Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
geohydro,3,allkm,2020,3455.675765,119.8302111,0
geohydro,4,allkm,2020,3923.327241,130.7689085,0
geohydro,5,allkm,2020,3728.640842,132.0905259,0
geohydro,6,allkm,2020,4468.252255,154.1914614,0
geohydro,7,allkm,2020,5163.057742,171.4045512,0
geohydro,8,allkm,2020,6780.770135,223.9611239,0
geohydro,9,allkm,2020,10037.09397,306.9623395,0
geohydro,10,allkm,2020,18605.38583,545.3341639,0
egs,1,allkm,2021,10502.21493,176.5112197,0
egs,2,allkm,2021,11038.41954,194.1814668,0
egs,3,allkm,2021,11102.89098,205.2069648,0
egs,4,allkm,2021,11237.16083,217.9168279,0
egs,5,allkm,2021,12706.19863,248.0508805,0
egs,6,allkm,2021,14803.13139,291.4206589,0
egs,7,allkm,2021,17650.26196,301.5106438,0
egs,8,allkm,2021,21343.97866,377.5739836,0
egs,9,allkm,2021,26784.69003,493.4716052,0
egs,10,allkm,2021,31455.9375,552.9375,0
egs,1,nearfield,2021,5116.475484,140.2666761,0
egs,2,nearfield,2021,4903.806016,142.2103604,0
egs,3,nearfield,2021,5433.089496,152.5518858,0
egs,4,nearfield,2021,5693.137729,168.8598287,0
egs,5,nearfield,2021,5115.662622,161.9890389,0
egs,6,nearfield,2021,6575.265124,209.8252199,0
egs,7,nearfield,2021,8667.29231,237.1325293,0
egs,8,nearfield,2021,10019.44829,272.9969552,0
egs,9,nearfield,2021,13270.91653,349.219675,0
egs,10,nearfield,2021,15429.6875,392.4875,0
geohydro,1,allkm,2021,2422.405264,95.77664072,0
geohydro,2,allkm,2021,3119.296988,111.0585412,0
geohydro,3,allkm,2021,3455.675765,119.8302111,0
geohydro,4,allkm,2021,3923.327241,130.7689085,0
geohydro,5,allkm,2021,3728.640842,132.0905259,0
geohydro,6,allkm,2021,4468.252255,154.1914614,0
geohydro,7,allkm,2021,5163.057742,171.4045512,0
geohydro,8,allkm,2021,6780.770135,223.9611239,0
geohydro,9,allkm,2021,10037.09397,306.9623395,0
geohydro,10,allkm,2021,18605.38583,545.3341639,0
egs,1,allkm,2022,10502.21493,176.5112197,0
egs,2,allkm,2022,11038.41954,194.1814668,0
egs,3,allkm,2022,11102.89098,205.2069648,0
egs,4,allkm,2022,11237.16083,217.9168279,0
egs,5,allkm,2022,12706.19863,248.0508805,0
egs,6,allkm,2022,14803.13139,291.4206589,0
egs,7,allkm,2022,17650.26196,301.5106438,0
egs,8,allkm,2022,21343.97866,377.5739836,0
egs,9,allkm,2022,26784.69003,493.4716052,0
egs,10,allkm,2022,31455.9375,552.9375,0
egs,1,nearfield,2022,5116.475484,140.2666761,0
egs,2,nearfield,2022,4903.806016,142.2103604,0
egs,3,nearfield,2022,5433.089496,152.5518858,0
egs,4,nearfield,2022,5693.137729,168.8598287,0
egs,5,nearfield,2022,5115.662622,161.9890389,0
egs,6,nearfield,2022,6575.265124,209.8252199,0
egs,7,nearfield,2022,8667.29231,237.1325293,0
egs,8,nearfield,2022,10019.44829,272.9969552,0
