r,rr,AC,DC,Source,Project(s),Vintage
p126,p86,,1653.48,1.5x geodesic distance,combinatorial,
p126,p87,,1527.45,1.5x geodesic distance,combinatorial,
p126,p88,,1306.63,1.5x geodesic distance,combinatorial,
p126,p89,,1217.37,1.5x geodesic distance,combinatorial,
p126,p9,,3811.43,1.5x geodesic distance,combinatorial,
p126,p90,,1493.71,1.5x geodesic distance,combinatorial,
p126,p91,,1461.33,1.5x geodesic distance,combinatorial,
p126,p92,,1066.2,1.5x geodesic distance,combinatorial,
p126,p93,,1005.93,1.5x geodesic distance,combinatorial,
p126,p94,,1037.08,1.5x geodesic distance,combinatorial,
p126,p95,,839.12,1.5x geodesic distance,combinatorial,
p126,p96,,883.75,1.5x geodesic distance,combinatorial,
p126,p97,,720.05,1.5x geodesic distance,combinatorial,
p126,p98,,555.73,1.5x geodesic distance,combinatorial,
p126,p99,,362.05,1.5x geodesic distance,combinatorial,
p127,p1,,3540.27,1.5x geodesic distance,combinatorial,
p127,p10,,3685.86,1.5x geodesic distance,combinatorial,
p127,p100,,500.94,1.5x geodesic distance,combinatorial,
p127,p101,,1689.88,1.5x geodesic distance,combinatorial,
p127,p102,,1830.59,1.5x geodesic distance,combinatorial,
p127,p103,,715.51,1.5x geodesic distance,combinatorial,
p127,p104,,907.33,1.5x geodesic distance,combinatorial,
p127,p105,,894.17,1.5x geodesic distance,combinatorial,
p127,p106,,1015.92,1.5x geodesic distance,combinatorial,
p127,p107,,1195.02,1.5x geodesic distance,combinatorial,
p127,p108,,1173.35,1.5x geodesic distance,combinatorial,
p127,p109,,1053.27,1.5x geodesic distance,combinatorial,
p127,p11,,3666.64,1.5x geodesic distance,combinatorial,
p127,p110,,879.81,1.5x geodesic distance,combinatorial,
p127,p111,,625.28,1.5x geodesic distance,combinatorial,
p127,p112,,772.62,1.5x geodesic distance,combinatorial,
p127,p113,,870.46,1.5x geodesic distance,combinatorial,
p127,p114,,915.1,1.5x geodesic distance,combinatorial,
p127,p115,,538.54,1.5x geodesic distance,combinatorial,
p127,p116,,706.67,1.5x geodesic distance,combinatorial,
p127,p117,,766.3,1.5x geodesic distance,combinatorial,
p127,p118,,744.97,1.5x geodesic distance,combinatorial,
p127,p119,,373.4,1.5x geodesic distance,combinatorial,
p127,p12,,3577.17,1.5x geodesic distance,combinatorial,
p127,p120,,415.78,1.5x geodesic distance,combinatorial,
p127,p121,,441.46,1.5x geodesic distance,combinatorial,
p127,p123,,467.08,1.5x geodesic distance,combinatorial,
p127,p124,,537.32,1.5x geodesic distance,combinatorial,
p127,p13,,3359.21,1.5x geodesic distance,combinatorial,
p127,p134,,305.06,1.5x geodesic distance,combinatorial,
p127,p14,,3187.78,1.5x geodesic distance,combinatorial,
p127,p15,,3186.95,1.5x geodesic distance,combinatorial,
p127,p16,,2881.67,1.5x geodesic distance,combinatorial,
p127,p17,,2967.65,1.5x geodesic distance,combinatorial,
p127,p18,,2772.41,1.5x geodesic distance,combinatorial,
p127,p19,,2445.53,1.5x geodesic distance,combinatorial,
p127,p2,,3430.29,1.5x geodesic distance,combinatorial,
p127,p20,,2590.01,1.5x geodesic distance,combinatorial,
p127,p21,,2620.81,1.5x geodesic distance,combinatorial,
p127,p22,,2469.99,1.5x geodesic distance,combinatorial,
p127,p23,,2385.52,1.5x geodesic distance,combinatorial,
p127,p24,,2394.52,1.5x geodesic distance,combinatorial,
p127,p25,,2942.48,1.5x geodesic distance,combinatorial,
p127,p26,,2770.33,1.5x geodesic distance,combinatorial,
p127,p27,,3366.02,1.5x geodesic distance,combinatorial,
p127,p28,,3241.06,1.5x geodesic distance,combinatorial,
p127,p29,,2919.13,1.5x geodesic distance,combinatorial,
p127,p3,,3197.85,1.5x geodesic distance,combinatorial,
p127,p30,,3218.97,1.5x geodesic distance,combinatorial,
p127,p31,,2753.17,1.5x geodesic distance,combinatorial,
p127,p32,,2219.73,1.5x geodesic distance,combinatorial,
p127,p33,,2446.56,1.5x geodesic distance,combinatorial,
p127,p34,,2460.27,1.5x geodesic distance,combinatorial,
p127,p35,,2391.46,1.5x geodesic distance,combinatorial,
p127,p36,,2030.39,1.5x geodesic distance,combinatorial,
p127,p37,,1747.72,1.5x geodesic distance,combinatorial,
p127,p38,,1740.22,1.5x geodesic distance,combinatorial,
p127,p39,,2289.5,1.5x geodesic distance,combinatorial,
p127,p4,,3335.03,1.5x geodesic distance,combinatorial,
p127,p40,,1908.15,1.5x geodesic distance,combinatorial,
p127,p41,,1721.57,1.5x geodesic distance,combinatorial,
p127,p42,,1700.38,1.5x geodesic distance,combinatorial,
p127,p43,,1478.02,1.5x geodesic distance,combinatorial,
p127,p44,,1664.65,1.5x geodesic distance,combinatorial,
p127,p45,,1622.54,1.5x geodesic distance,combinatorial,
p127,p46,,1326.81,1.5x geodesic distance,combinatorial,
p127,p47,,2676.59,1.5x geodesic distance,combinatorial,
p127,p48,,2469.33,1.5x geodesic distance,combinatorial,
p127,p49,,2290.74,1.5x geodesic distance,combinatorial,
p127,p5,,3607.13,1.5x geodesic distance,combinatorial,
p127,p50,,2048.4,1.5x geodesic distance,combinatorial,
p127,p51,,1898.62,1.5x geodesic distance,combinatorial,
p127,p52,,2192.09,1.5x geodesic distance,combinatorial,
p127,p53,,1934.15,1.5x geodesic distance,combinatorial,
p127,p54,,1674.64,1.5x geodesic distance,combinatorial,
p127,p55,,1655.04,1.5x geodesic distance,combinatorial,
p127,p56,,1770.4,1.5x geodesic distance,combinatorial,
p127,p57,,2014.73,1.5x geodesic distance,combinatorial,
p127,p58,,1885.02,1.5x geodesic distance,combinatorial,
p127,p59,,2911.73,1.5x geodesic distance,combinatorial,
p127,p6,,3709.32,1.5x geodesic distance,combinatorial,
p127,p60,,2512.66,1.5x geodesic distance,combinatorial,
p127,p61,,2693.44,1.5x geodesic distance,combinatorial,
p127,p62,,2600.82,1.5x geodesic distance,combinatorial,
p127,p63,,2143.29,1.5x geodesic distance,combinatorial,
p127,p64,,2366.71,1.5x geodesic distance,combinatorial,
p127,p65,,2471.16,1.5x geodesic distance,combinatorial,
p127,p66,,2133.19,1.5x geodesic distance,combinatorial,
p127,p67,,2233.64,1.5x geodesic distance,combinatorial,
p127,p68,,1532.4,1.5x geodesic distance,combinatorial,
p127,p69,,1419.9,1.5x geodesic distance,combinatorial,
p127,p7,,3230.82,1.5x geodesic distance,combinatorial,
p127,p70,,1532.05,1.5x geodesic distance,combinatorial,
p127,p71,,1486.24,1.5x geodesic distance,combinatorial,
p127,p72,,1362.89,1.5x geodesic distance,combinatorial,
p127,p73,,1505.56,1.5x geodesic distance,combinatorial,
p127,p74,,1085.41,1.5x geodesic distance,combinatorial,
p127,p75,,1088.09,1.5x geodesic distance,combinatorial,
p127,p76,,1115.72,1.5x geodesic distance,combinatorial,
p127,p77,,1271.61,1.5x geodesic distance,combinatorial,
p127,p78,,1191.01,1.5x geodesic distance,combinatorial,
p127,p79,,1078.96,1.5x geodesic distance,combinatorial,
p127,p8,,3700.7,1.5x geodesic distance,combinatorial,
p127,p80,,1079.31,1.5x geodesic distance,combinatorial,
p127,p81,,1298.11,1.5x geodesic distance,combinatorial,
p127,p82,,1250.28,1.5x geodesic distance,combinatorial,
p127,p83,,1156.05,1.5x geodesic distance,combinatorial,
p127,p84,,1461.47,1.5x geodesic distance,combinatorial,
p127,p85,,1710.44,1.5x geodesic distance,combinatorial,
p127,p86,,1835.22,1.5x geodesic distance,combinatorial,
p127,p87,,1723.01,1.5x geodesic distance,combinatorial,
p127,p88,,1492.25,1.5x geodesic distance,combinatorial,
p127,p89,,1424.31,1.5x geodesic distance,combinatorial,
p127,p9,,3840.67,1.5x geodesic distance,combinatorial,
p127,p90,,1715.18,1.5x geodesic distance,combinatorial,
p127,p91,,1689.45,1.5x geodesic distance,combinatorial,
p127,p92,,1240.62,1.5x geodesic distance,combinatorial,
p127,p93,,1169.34,1.5x geodesic distance,combinatorial,
p127,p94,,1259.7,1.5x geodesic distance,combinatorial,
p127,p95,,1068.9,1.5x geodesic distance,combinatorial,
p127,p96,,1142.79,1.5x geodesic distance,combinatorial,
p127,p97,,960.65,1.5x geodesic distance,combinatorial,
p127,p98,,810.93,1.5x geodesic distance,combinatorial,
p127,p99,,627.81,1.5x geodesic distance,combinatorial,
p128,p1,,3660.87,1.5x geodesic distance,combinatorial,
p128,p10,,3732.25,1.5x geodesic distance,combinatorial,
p128,p100,,425.52,1.5x geodesic distance,combinatorial,
p128,p101,,1543.83,1.5x geodesic distance,combinatorial,
p128,p102,,1664.77,1.5x geodesic distance,combinatorial,
p128,p103,,779.4,1.5x geodesic distance,combinatorial,
p128,p104,,970.13,1.5x geodesic distance,combinatorial,
p128,p105,,931.43,1.5x geodesic distance,combinatorial,
p128,p106,,1028.56,1.5x geodesic distance,combinatorial,
p128,p107,,1183.42,1.5x geodesic distance,combinatorial,
p128,p108,,1156.08,1.5x geodesic distance,combinatorial,
p128,p109,,1035.31,1.5x geodesic distance,combinatorial,
p128,p11,,3704.88,1.5x geodesic distance,combinatorial,
p128,p110,,821.69,1.5x geodesic distance,combinatorial,
p128,p111,,663.71,1.5x geodesic distance,combinatorial,
p128,p112,,774.63,1.5x geodesic distance,combinatorial,
p128,p113,,873.79,1.5x geodesic distance,combinatorial,
p128,p114,,907.15,1.5x geodesic distance,combinatorial,
p128,p115,,533.21,1.5x geodesic distance,combinatorial,
p128,p116,,679.29,1.5x geodesic distance,combinatorial,
p128,p117,,716.94,1.5x geodesic distance,combinatorial,
p128,p118,,651.52,1.5x geodesic distance,combinatorial,
p128,p119,,361.99,1.5x geodesic distance,combinatorial,
p128,p12,,3655.14,1.5x geodesic distance,combinatorial,
p128,p120,,358.91,1.5x geodesic distance,combinatorial,
p128,p121,,374,1.5x geodesic distance,combinatorial,
p128,p122,,172.93,1.5x geodesic distance,combinatorial,
p128,p123,,358.53,1.5x geodesic distance,combinatorial,
p128,p124,,377.69,1.5x geodesic distance,combinatorial,
p128,p125,,248.05,1.5x geodesic distance,combinatorial,
p128,p126,,132.37,1.5x geodesic distance,combinatorial,
p128,p129,,379.76,1.5x geodesic distance,combinatorial,
p128,p13,,3411.63,1.5x geodesic distance,combinatorial,
p128,p134,,412.98,1.5x geodesic distance,combinatorial,
p128,p14,,3299.95,1.5x geodesic distance,combinatorial,
p128,p15,,3283.07,1.5x geodesic distance,combinatorial,
p128,p16,,2973.46,1.5x geodesic distance,combinatorial,
p128,p17,,3081.1,1.5x geodesic distance,combinatorial,
p128,p18,,2888.9,1.5x geodesic distance,combinatorial,
p128,p19,,2566.5,1.5x geodesic distance,combinatorial,
p128,p2,,3545.31,1.5x geodesic distance,combinatorial,
p128,p20,,2695.01,1.5x geodesic distance,combinatorial,
p128,p21,,2706.68,1.5x geodesic distance,combinatorial,
p128,p22,,2564.09,1.5x geodesic distance,combinatorial,
p128,p23,,2478.62,1.5x geodesic distance,combinatorial,
p128,p24,,2462.6,1.5x geodesic distance,combinatorial,
p128,p25,,3017.06,1.5x geodesic distance,combinatorial,
p128,p26,,2839.6,1.5x geodesic distance,combinatorial,
p128,p27,,3406.91,1.5x geodesic distance,combinatorial,
p128,p28,,3271.33,1.5x geodesic distance,combinatorial,
p128,p29,,2955.8,1.5x geodesic distance,combinatorial,
p128,p3,,3316.85,1.5x geodesic distance,combinatorial,
p128,p30,,3238.48,1.5x geodesic distance,combinatorial,
p128,p31,,2779.77,1.5x geodesic distance,combinatorial,
p128,p32,,2310.18,1.5x geodesic distance,combinatorial,
p128,p33,,2503.86,1.5x geodesic distance,combinatorial,
p128,p34,,2510.37,1.5x geodesic distance,combinatorial,
p128,p35,,2500.31,1.5x geodesic distance,combinatorial,
p128,p36,,2143.23,1.5x geodesic distance,combinatorial,
p128,p37,,1863.87,1.5x geodesic distance,combinatorial,
p128,p38,,1823.38,1.5x geodesic distance,combinatorial,
p128,p39,,2362.09,1.5x geodesic distance,combinatorial,
p128,p4,,3452.02,1.5x geodesic distance,combinatorial,
p128,p40,,1965.57,1.5x geodesic distance,combinatorial,
p128,p41,,1779.04,1.5x geodesic distance,combinatorial,
p128,p42,,1823.38,1.5x geodesic distance,combinatorial,
p128,p43,,1577.84,1.5x geodesic distance,combinatorial,
p128,p44,,1757.26,1.5x geodesic distance,combinatorial,
p128,p45,,1692.41,1.5x geodesic distance,combinatorial,
p128,p46,,1413.22,1.5x geodesic distance,combinatorial,
p128,p47,,2685.39,1.5x geodesic distance,combinatorial,
p128,p48,,2470.97,1.5x geodesic distance,combinatorial,
p128,p49,,2315.75,1.5x geodesic distance,combinatorial,
p128,p5,,3718.2,1.5x geodesic distance,combinatorial,
p128,p50,,2050.47,1.5x geodesic distance,combinatorial,
p128,p51,,1901.06,1.5x geodesic distance,combinatorial,
p128,p52,,2226.59,1.5x geodesic distance,combinatorial,
p128,p53,,1956.82,1.5x geodesic distance,combinatorial,
p128,p54,,1705.01,1.5x geodesic distance,combinatorial,
p128,p55,,1658.93,1.5x geodesic distance,combinatorial,
p128,p56,,1765.35,1.5x geodesic distance,combinatorial,
p128,p57,,1978.68,1.5x geodesic distance,combinatorial,
p128,p58,,1802.61,1.5x geodesic distance,combinatorial,
p128,p59,,2916.05,1.5x geodesic distance,combinatorial,
p128,p6,,3805.09,1.5x geodesic distance,combinatorial,
p128,p60,,2503.11,1.5x geodesic distance,combinatorial,
p128,p61,,2679.85,1.5x geodesic distance,combinatorial,
p128,p62,,2591.71,1.5x geodesic distance,combinatorial,
p128,p63,,2119.67,1.5x geodesic distance,combinatorial,
p128,p64,,2327.85,1.5x geodesic distance,combinatorial,
p128,p65,,2430.48,1.5x geodesic distance,combinatorial,
p128,p66,,2075.07,1.5x geodesic distance,combinatorial,
p128,p67,,2180.1,1.5x geodesic distance,combinatorial,
p128,p68,,1622.31,1.5x geodesic distance,combinatorial,
p128,p69,,1488.87,1.5x geodesic distance,combinatorial,
p128,p7,,3329.88,1.5x geodesic distance,combinatorial,
p128,p70,,1590.42,1.5x geodesic distance,combinatorial,
p128,p71,,1525.08,1.5x geodesic distance,combinatorial,
p128,p72,,1373.5,1.5x geodesic distance,combinatorial,
p128,p73,,1512.81,1.5x geodesic distance,combinatorial,
p128,p74,,1215.65,1.5x geodesic distance,combinatorial,
p128,p75,,1188.51,1.5x geodesic distance,combinatorial,
p128,p76,,1211.49,1.5x geodesic distance,combinatorial,
p128,p77,,1360.96,1.5x geodesic distance,combinatorial,
p128,p78,,1267.55,1.5x geodesic distance,combinatorial,
p128,p79,,1155.64,1.5x geodesic distance,combinatorial,
p128,p8,,3790.86,1.5x geodesic distance,combinatorial,
p128,p80,,1134.72,1.5x geodesic distance,combinatorial,
p128,p81,,1351.37,1.5x geodesic distance,combinatorial,
p128,p82,,1289.99,1.5x geodesic distance,combinatorial,
p128,p83,,1182.41,1.5x geodesic distance,combinatorial,
p128,p84,,1447.54,1.5x geodesic distance,combinatorial,
p128,p85,,1683.1,1.5x geodesic distance,combinatorial,
p128,p86,,1785.44,1.5x geodesic distance,combinatorial,
p128,p87,,1659.82,1.5x geodesic distance,combinatorial,
p128,p88,,1438.66,1.5x geodesic distance,combinatorial,
p128,p89,,1349.6,1.5x geodesic distance,combinatorial,
p128,p9,,3913.6,1.5x geodesic distance,combinatorial,
p128,p90,,1624.53,1.5x geodesic distance,combinatorial,
p128,p91,,1591.04,1.5x geodesic distance,combinatorial,
p128,p92,,1197.19,1.5x geodesic distance,combinatorial,
p128,p93,,1135.57,1.5x geodesic distance,combinatorial,
p128,p94,,1168.16,1.5x geodesic distance,combinatorial,
p128,p95,,969.4,1.5x geodesic distance,combinatorial,
p128,p96,,999.87,1.5x geodesic distance,combinatorial,
p128,p97,,848.02,1.5x geodesic distance,combinatorial,
p128,p98,,677.43,1.5x geodesic distance,combinatorial,
p128,p99,,464.54,1.5x geodesic distance,combinatorial,
p129,p1,,3500.51,1.5x geodesic distance,combinatorial,
p129,p10,,3726.43,1.5x geodesic distance,combinatorial,
p129,p100,,668.93,1.5x geodesic distance,combinatorial,
p129,p101,,1873.8,1.5x geodesic distance,combinatorial,
p129,p102,,2020.09,1.5x geodesic distance,combinatorial,
p129,p103,,776.96,1.5x geodesic distance,combinatorial,
p129,p104,,960.54,1.5x geodesic distance,combinatorial,
p129,p105,,971.79,1.5x geodesic distance,combinatorial,
p129,p106,,1110.51,1.5x geodesic distance,combinatorial,
p129,p107,,1304.63,1.5x geodesic distance,combinatorial,
p129,p108,,1287.63,1.5x geodesic distance,combinatorial,
p129,p109,,1170.49,1.5x geodesic distance,combinatorial,
p129,p11,,3715.14,1.5x geodesic distance,combinatorial,
p129,p110,,1027.23,1.5x geodesic distance,combinatorial,
p129,p111,,715.68,1.5x geodesic distance,combinatorial,
p129,p112,,883.77,1.5x geodesic distance,combinatorial,
p129,p113,,976.9,1.5x geodesic distance,combinatorial,
p129,p114,,1028.57,1.5x geodesic distance,combinatorial,
p129,p115,,667.63,1.5x geodesic distance,combinatorial,
p129,p116,,840.75,1.5x geodesic distance,combinatorial,
p129,p117,,911.59,1.5x geodesic distance,combinatorial,
p129,p118,,913.39,1.5x geodesic distance,combinatorial,
p129,p119,,520.97,1.5x geodesic distance,combinatorial,
p129,p12,,3585.88,1.5x geodesic distance,combinatorial,
p129,p120,,580.86,1.5x geodesic distance,combinatorial,
p129,p121,,609.22,1.5x geodesic distance,combinatorial,
p129,p122,,487.06,1.5x geodesic distance,combinatorial,
p129,p123,,647.8,1.5x geodesic distance,combinatorial,
p129,p124,,727.63,1.5x geodesic distance,combinatorial,
p129,p125,,578.47,1.5x geodesic distance,combinatorial,
p129,p126,,456.31,1.5x geodesic distance,combinatorial,
p129,p128,,379.76,1.5x geodesic distance,combinatorial,
p129,p13,,3394.9,1.5x geodesic distance,combinatorial,
p129,p132,,341.05,1.5x geodesic distance,combinatorial,
p129,p134,,226.32,1.5x geodesic distance,combinatorial,
p129,p14,,3159.34,1.5x geodesic distance,combinatorial,
p129,p15,,3177.11,1.5x geodesic distance,combinatorial,
p129,p16,,2877.93,1.5x geodesic distance,combinatorial,
p129,p17,,2938.52,1.5x geodesic distance,combinatorial,
p129,p18,,2740.45,1.5x geodesic distance,combinatorial,
p129,p19,,2409.72,1.5x geodesic distance,combinatorial,
p129,p2,,3397.63,1.5x geodesic distance,combinatorial,
p129,p20,,2572.65,1.5x geodesic distance,combinatorial,
p129,p21,,2624.89,1.5x geodesic distance,combinatorial,
p129,p22,,2465.82,1.5x geodesic distance,combinatorial,
p129,p23,,2382.99,1.5x geodesic distance,combinatorial,
p129,p24,,2418.89,1.5x geodesic distance,combinatorial,
p129,p25,,2957.13,1.5x geodesic distance,combinatorial,
p129,p26,,2791.33,1.5x geodesic distance,combinatorial,
p129,p27,,3412.94,1.5x geodesic distance,combinatorial,
p129,p28,,3298.46,1.5x geodesic distance,combinatorial,
p129,p29,,2971.79,1.5x geodesic distance,combinatorial,
p129,p3,,3161.16,1.5x geodesic distance,combinatorial,
p129,p30,,3286.35,1.5x geodesic distance,combinatorial,
p129,p31,,2815.97,1.5x geodesic distance,combinatorial,
p129,p32,,2221.3,1.5x geodesic distance,combinatorial,
p129,p33,,2481.57,1.5x geodesic distance,combinatorial,
p129,p34,,2502.34,1.5x geodesic distance,combinatorial,
p129,p35,,2370.72,1.5x geodesic distance,combinatorial,
p129,p36,,2007.46,1.5x geodesic distance,combinatorial,
p129,p37,,1723.45,1.5x geodesic distance,combinatorial,
p129,p38,,1754.26,1.5x geodesic distance,combinatorial,
p129,p39,,2309.87,1.5x geodesic distance,combinatorial,
p129,p4,,3300.32,1.5x geodesic distance,combinatorial,
p129,p40,,1947.2,1.5x geodesic distance,combinatorial,
p129,p41,,1762.58,1.5x geodesic distance,combinatorial,
p129,p42,,1668.01,1.5x geodesic distance,combinatorial,
p129,p43,,1476.91,1.5x geodesic distance,combinatorial,
p129,p44,,1669.15,1.5x geodesic distance,combinatorial,
p129,p45,,1652.19,1.5x geodesic distance,combinatorial,
p129,p46,,1343.58,1.5x geodesic distance,combinatorial,
p129,p47,,2755.72,1.5x geodesic distance,combinatorial,
p129,p48,,2555.67,1.5x geodesic distance,combinatorial,
p129,p49,,2357.57,1.5x geodesic distance,combinatorial,
p129,p5,,3578.67,1.5x geodesic distance,combinatorial,
p129,p50,,2137.03,1.5x geodesic distance,combinatorial,
p129,p51,,1988.14,1.5x geodesic distance,combinatorial,
p129,p52,,2250.86,1.5x geodesic distance,combinatorial,
p129,p53,,2005.8,1.5x geodesic distance,combinatorial,
p129,p54,,1742,1.5x geodesic distance,combinatorial,
p129,p55,,1745.71,1.5x geodesic distance,combinatorial,
p129,p56,,1867.26,1.5x geodesic distance,combinatorial,
p129,p57,,2133.85,1.5x geodesic distance,combinatorial,
p129,p58,,2036.46,1.5x geodesic distance,combinatorial,
p129,p59,,2993.75,1.5x geodesic distance,combinatorial,
p129,p6,,3698.17,1.5x geodesic distance,combinatorial,
p129,p60,,2608.18,1.5x geodesic distance,combinatorial,
p129,p61,,2791.46,1.5x geodesic distance,combinatorial,
p129,p62,,2695.55,1.5x geodesic distance,combinatorial,
p129,p63,,2252.15,1.5x geodesic distance,combinatorial,
p129,p64,,2486.03,1.5x geodesic distance,combinatorial,
p129,p65,,2591.38,1.5x geodesic distance,combinatorial,
p129,p66,,2267.52,1.5x geodesic distance,combinatorial,
p129,p67,,2364.28,1.5x geodesic distance,combinatorial,
p129,p68,,1541.75,1.5x geodesic distance,combinatorial,
p129,p69,,1453.56,1.5x geodesic distance,combinatorial,
p129,p7,,3217.48,1.5x geodesic distance,combinatorial,
p129,p70,,1574.66,1.5x geodesic distance,combinatorial,
p129,p71,,1548.33,1.5x geodesic distance,combinatorial,
p129,p72,,1451.85,1.5x geodesic distance,combinatorial,
p129,p73,,1595.23,1.5x geodesic distance,combinatorial,
p129,p74,,1054.28,1.5x geodesic distance,combinatorial,
p129,p75,,1094.6,1.5x geodesic distance,combinatorial,
p129,p76,,1126.87,1.5x geodesic distance,combinatorial,
p129,p77,,1286.24,1.5x geodesic distance,combinatorial,
p129,p78,,1221.4,1.5x geodesic distance,combinatorial,
p129,p79,,1112.18,1.5x geodesic distance,combinatorial,
p129,p8,,3695.82,1.5x geodesic distance,combinatorial,
p129,p80,,1134.05,1.5x geodesic distance,combinatorial,
p129,p81,,1349.75,1.5x geodesic distance,combinatorial,
p129,p82,,1315.74,1.5x geodesic distance,combinatorial,
p129,p83,,1235.54,1.5x geodesic distance,combinatorial,
p129,p84,,1568.79,1.5x geodesic distance,combinatorial,
p129,p85,,1825.33,1.5x geodesic distance,combinatorial,
p129,p86,,1965.46,1.5x geodesic distance,combinatorial,
p129,p87,,1863.13,1.5x geodesic distance,combinatorial,
p129,p88,,1627.86,1.5x geodesic distance,combinatorial,
p129,p89,,1574,1.5x geodesic distance,combinatorial,
p129,p9,,3853.93,1.5x geodesic distance,combinatorial,
p129,p90,,1872.39,1.5x geodesic distance,combinatorial,
p129,p91,,1851.19,1.5x geodesic distance,combinatorial,
p129,p92,,1372.32,1.5x geodesic distance,combinatorial,
p129,p93,,1295.53,1.5x geodesic distance,combinatorial,
p129,p94,,1420.45,1.5x geodesic distance,combinatorial,
p129,p95,,1235.55,1.5x geodesic distance,combinatorial,
p129,p96,,1326.96,1.5x geodesic distance,combinatorial,
p129,p97,,1134.4,1.5x geodesic distance,combinatorial,
p129,p98,,993.82,1.5x geodesic distance,combinatorial,
p129,p99,,818.23,1.5x geodesic distance,combinatorial,
p13,p1,,1297.24,1.5x geodesic distance,combinatorial,
p13,p100,,3040.27,1.5x geodesic distance,combinatorial,
p13,p101,,2990.57,1.5x geodesic distance,combinatorial,
p13,p102,,3275.05,1.5x geodesic distance,combinatorial,
p13,p103,,2644.44,1.5x geodesic distance,combinatorial,
p13,p104,,2452.12,1.5x geodesic distance,combinatorial,
p13,p105,,2480.2,1.5x geodesic distance,combinatorial,
p13,p106,,2396.04,1.5x geodesic distance,combinatorial,
p13,p107,,2291.29,1.5x geodesic distance,combinatorial,
p13,p108,,2329.04,1.5x geodesic distance,combinatorial,
p13,p109,,2436.61,1.5x geodesic distance,combinatorial,
p13,p11,,388.55,1.5x geodesic distance,combinatorial,
p13,p110,,2707.68,1.5x geodesic distance,combinatorial,
p13,p111,,2748.91,1.5x geodesic distance,combinatorial,
p13,p112,,2649.06,1.5x geodesic distance,combinatorial,
p13,p113,,2553.37,1.5x geodesic distance,combinatorial,
p13,p114,,2535.18,1.5x geodesic distance,combinatorial,
p13,p115,,2884.23,1.5x geodesic distance,combinatorial,
p13,p116,,2767.3,1.5x geodesic distance,combinatorial,
p13,p117,,2769.92,1.5x geodesic distance,combinatorial,
p13,p118,,2921.83,1.5x geodesic distance,combinatorial,
p13,p119,,3050.92,1.5x geodesic distance,combinatorial,
p13,p120,,3074.37,1.5x geodesic distance,combinatorial,
p13,p121,,3071.13,1.5x geodesic distance,combinatorial,
p13,p122,,3269.69,1.5x geodesic distance,combinatorial,
p13,p123,,3136.15,1.5x geodesic distance,combinatorial,
p13,p124,,3256.36,1.5x geodesic distance,combinatorial,
p13,p125,,3252.13,1.5x geodesic distance,combinatorial,
p13,p126,,3301.2,1.5x geodesic distance,combinatorial,
p13,p127,,3359.21,1.5x geodesic distance,combinatorial,
p13,p128,,3411.63,1.5x geodesic distance,combinatorial,
p13,p129,,3394.9,1.5x geodesic distance,combinatorial,
p13,p130,,3531.91,1.5x geodesic distance,combinatorial,
p13,p131,,3566.17,1.5x geodesic distance,combinatorial,
p13,p132,,3412.19,1.5x geodesic distance,combinatorial,
p13,p133,,3544.33,1.5x geodesic distance,combinatorial,
p13,p134,,3618.8,1.5x geodesic distance,combinatorial,
p13,p14,,1065.5,1.5x geodesic distance,combinatorial,
p13,p15,,769.64,1.5x geodesic distance,combinatorial,
p13,p16,,792.53,1.5x geodesic distance,combinatorial,
p13,p17,,1107.63,1.5x geodesic distance,combinatorial,
p13,p18,,1206.97,1.5x geodesic distance,combinatorial,
p13,p19,,1402.62,1.5x geodesic distance,combinatorial,
p13,p2,,1152.35,1.5x geodesic distance,combinatorial,
p13,p20,,1120.22,1.5x geodesic distance,combinatorial,
p13,p21,,891.54,1.5x geodesic distance,combinatorial,
p13,p22,,1079.53,1.5x geodesic distance,combinatorial,
p13,p23,,1134.84,1.5x geodesic distance,combinatorial,
p13,p26,,638.52,1.5x geodesic distance,combinatorial,
p13,p29,,511.8,1.5x geodesic distance,combinatorial,
p13,p3,,1198.17,1.5x geodesic distance,combinatorial,
p13,p30,,556.45,1.5x geodesic distance,combinatorial,
p13,p31,,732.93,1.5x geodesic distance,combinatorial,
p13,p32,,1250.73,1.5x geodesic distance,combinatorial,
p13,p34,,901.26,1.5x geodesic distance,combinatorial,
p13,p35,,1282.62,1.5x geodesic distance,combinatorial,
p13,p36,,1565.38,1.5x geodesic distance,combinatorial,
p13,p37,,1801.68,1.5x geodesic distance,combinatorial,
p13,p38,,1653.31,1.5x geodesic distance,combinatorial,
p13,p39,,1099.8,1.5x geodesic distance,combinatorial,
p13,p4,,1172.99,1.5x geodesic distance,combinatorial,
p13,p40,,1451.1,1.5x geodesic distance,combinatorial,
p13,p41,,1637.64,1.5x geodesic distance,combinatorial,
p13,p42,,1885.63,1.5x geodesic distance,combinatorial,
p13,p43,,1947.64,1.5x geodesic distance,combinatorial,
p13,p44,,1753.11,1.5x geodesic distance,combinatorial,
p13,p45,,1742.7,1.5x geodesic distance,combinatorial,
p13,p46,,2054.51,1.5x geodesic distance,combinatorial,
p13,p47,,957.29,1.5x geodesic distance,combinatorial,
p13,p48,,1167.71,1.5x geodesic distance,combinatorial,
p13,p49,,1148.37,1.5x geodesic distance,combinatorial,
p13,p5,,1126.74,1.5x geodesic distance,combinatorial,
p13,p50,,1490.43,1.5x geodesic distance,combinatorial,
