i,r,UnitCT,value
CofireOld,p90,once,56.1
CofireOld,p74,recirc,19.5
CofireOld,p94,recirc,71.2
CofireOld,p101,recirc,250
CofireOld,p122,recirc,32.5
CofireNew,p96,once,85
lfill-gas,p1,none,7.65
lfill-gas,p2,none,10.5
lfill-gas,p3,none,22.7
lfill-gas,p5,none,32.8
lfill-gas,p9,none,73.358
lfill-gas,p10,none,197.07
lfill-gas,p11,none,22.12
lfill-gas,p15,none,3
lfill-gas,p25,none,8.94
lfill-gas,p28,none,6.74
lfill-gas,p33,none,3.2
lfill-gas,p41,none,6.4
lfill-gas,p43,none,108.8
lfill-gas,p45,none,4.8
lfill-gas,p46,none,9.09
lfill-gas,p53,none,7.1
lfill-gas,p55,none,3.2
lfill-gas,p56,none,4
lfill-gas,p63,none,29.6
lfill-gas,p64,none,13.2
lfill-gas,p65,none,18
lfill-gas,p66,none,14.2
lfill-gas,p67,none,27.7
lfill-gas,p68,none,18.49
lfill-gas,p70,none,6.4
lfill-gas,p72,none,4.7
lfill-gas,p75,none,8
lfill-gas,p76,none,8.9
lfill-gas,p78,none,7
lfill-gas,p79,none,35.9
lfill-gas,p80,none,131.9
lfill-gas,p81,none,9.6
lfill-gas,p82,none,6.4
lfill-gas,p83,none,5.9
lfill-gas,p85,none,4.8
lfill-gas,p91,none,17.8
lfill-gas,p92,none,6.2
lfill-gas,p94,none,13.4
lfill-gas,p95,none,5.2
lfill-gas,p96,none,23.7
lfill-gas,p97,none,16.5
lfill-gas,p98,none,10.5
lfill-gas,p99,none,203.720000000001
lfill-gas,p101,none,215.2
lfill-gas,p102,none,192.52
lfill-gas,p103,none,159.93
lfill-gas,p105,none,37.6
lfill-gas,p107,none,6.7
lfill-gas,p109,none,17.6
lfill-gas,p111,none,42
lfill-gas,p112,none,7.6
lfill-gas,p115,none,4.8
lfill-gas,p120,none,14.4
lfill-gas,p122,none,393.44
lfill-gas,p123,none,126.347
lfill-gas,p125,none,8
lfill-gas,p126,none,106.8
lfill-gas,p127,none,200.342
lfill-gas,p128,none,89.6
lfill-gas,p129,none,3.2
lfill-gas,p130,none,27.006
lfill-gas,p131,none,231.267
lfill-gas,p132,none,186.031
lfill-gas,p133,none,13.171
lfill-gas,p134,none,32.7
pumped-hydro,p4,none,258.248
pumped-hydro,p9,none,2246
pumped-hydro,p10,none,1620
pumped-hydro,p25,none,0.1
pumped-hydro,p28,none,216.3
pumped-hydro,p33,none,562.5
pumped-hydro,p51,none,260
pumped-hydro,p55,none,186
pumped-hydro,p67,none,1
pumped-hydro,p71,none,31
pumped-hydro,p73,none,450
pumped-hydro,p85,none,28
pumped-hydro,p92,none,1616.3
pumped-hydro,p94,none,1861.502
pumped-hydro,p95,none,2140
pumped-hydro,p96,none,576
pumped-hydro,p97,none,86
pumped-hydro,p99,none,3003
pumped-hydro,p103,none,1872
pumped-hydro,p118,none,238
pumped-hydro,p122,none,1491
pumped-hydro,p126,none,400
pumped-hydro,p127,none,1406.6
pumped-hydro,p131,none,1664.1
pumped-hydro,p132,none,29.4
pumped-hydro,p146,none,123
