t,r,i,UnitCT,value
2046,p67,gas-ct,none,302
2048,p67,gas-ct,none,403
2050,p67,gas-ct,none,75
2052,p67,gas-ct,none,261
2054,p67,gas-ct,none,140
2056,p67,gas-ct,none,69
2064,p67,gas-ct,none,74
2010,p68,gas-ct,none,18.8
2014,p68,gas-ct,none,5.4
2016,p68,gas-ct,none,34
2020,p68,gas-ct,none,3.5
2024,p68,gas-ct,none,5.86
2026,p68,gas-ct,none,23
2030,p68,gas-ct,none,2.5
2052,p68,gas-ct,none,983.6
2014,p69,gas-ct,none,2.5
2020,p69,gas-ct,none,69
2022,p69,gas-ct,none,2.6
2024,p69,gas-ct,none,10
2026,p69,gas-ct,none,59.2
2028,p69,gas-ct,none,135.9
2050,p69,gas-ct,none,14.7
2010,p70,gas-ct,none,60.6
2012,p70,gas-ct,none,1
2018,p70,gas-ct,none,166.6
2020,p70,gas-ct,none,193.9
2022,p70,gas-ct,none,40.1
2024,p70,gas-ct,none,150.8
2026,p70,gas-ct,none,2.3
2028,p70,gas-ct,none,180.2
2030,p70,gas-ct,none,1.8
2032,p70,gas-ct,none,6
2040,p70,gas-ct,none,75.8
2044,p70,gas-ct,none,84.2
2048,p70,gas-ct,none,1
2050,p70,gas-ct,none,32.6
2052,p70,gas-ct,none,2
2054,p70,gas-ct,none,15.6
2056,p70,gas-ct,none,57.5
2014,p71,gas-ct,none,6.4
2016,p71,gas-ct,none,7
2020,p71,gas-ct,none,15.1
2032,p71,gas-ct,none,0.8
2054,p71,gas-ct,none,8.5
2012,p72,gas-ct,none,26
2020,p72,gas-ct,none,12.5
2022,p72,gas-ct,none,15
2024,p72,gas-ct,none,148
2028,p72,gas-ct,none,162
2050,p72,gas-ct,none,49
2052,p72,gas-ct,none,928
2058,p72,gas-ct,none,11.3
2016,p74,gas-ct,none,12.5
2024,p74,gas-ct,none,17.4
2026,p74,gas-ct,none,17
2030,p74,gas-ct,none,20
2010,p75,gas-ct,none,5
2018,p75,gas-ct,none,78.4
2020,p75,gas-ct,none,30.1
2022,p75,gas-ct,none,37.4
2024,p75,gas-ct,none,86.1
2036,p75,gas-ct,none,5
2044,p75,gas-ct,none,75.1
2050,p75,gas-ct,none,254.7
2018,p76,gas-ct,none,12.6
2020,p76,gas-ct,none,15.81
2044,p76,gas-ct,none,240.3
2046,p76,gas-ct,none,76.5
2050,p76,gas-ct,none,303.2
2054,p76,gas-ct,none,66
2062,p76,gas-ct,none,53.3
2020,p77,gas-ct,none,1.1
2018,p78,gas-ct,none,76.5
2020,p78,gas-ct,none,156.3
2052,p78,gas-ct,none,471
2028,p79,gas-ct,none,180
2044,p79,gas-ct,none,351.7
2046,p79,gas-ct,none,352
2050,p79,gas-ct,none,78
2056,p79,gas-ct,none,300.5
2060,p8,gas-ct,none,5
2014,p80,gas-ct,none,54
2016,p80,gas-ct,none,12.3
2020,p80,gas-ct,none,324.7
2038,p80,gas-ct,none,2.14
2040,p80,gas-ct,none,5
2042,p80,gas-ct,none,1.6
2046,p80,gas-ct,none,6.8
2050,p80,gas-ct,none,1864.3
2052,p80,gas-ct,none,4802.515
2054,p80,gas-ct,none,182.5
2062,p80,gas-ct,none,4.4
2012,p81,gas-ct,none,26
2014,p81,gas-ct,none,82.47
2020,p81,gas-ct,none,96.59
2022,p81,gas-ct,none,9.9
2024,p81,gas-ct,none,193.8
2026,p81,gas-ct,none,15.7
2040,p81,gas-ct,none,3.4
2050,p81,gas-ct,none,416
2052,p81,gas-ct,none,401.6
2054,p81,gas-ct,none,142.4
2056,p81,gas-ct,none,440
2062,p81,gas-ct,none,6.6
2064,p81,gas-ct,none,1.1
2020,p82,gas-ct,none,14
2024,p82,gas-ct,none,18
2048,p82,gas-ct,none,112
2012,p83,gas-ct,none,10
2020,p83,gas-ct,none,1.3
2024,p83,gas-ct,none,2.8
2050,p83,gas-ct,none,634.1
2052,p83,gas-ct,none,441.5
2054,p83,gas-ct,none,432
2020,p84,gas-ct,none,12.4
2022,p84,gas-ct,none,5.6
2026,p84,gas-ct,none,22.2
2050,p84,gas-ct,none,89
2052,p84,gas-ct,none,31.2
2014,p85,gas-ct,none,44
2016,p85,gas-ct,none,28.2
2040,p85,gas-ct,none,13.6
2050,p85,gas-ct,none,85
2052,p85,gas-ct,none,171
2054,p85,gas-ct,none,46
2058,p85,gas-ct,none,46
2050,p86,gas-ct,none,78
2052,p86,gas-ct,none,253.7
2010,p87,gas-ct,none,312
2018,p87,gas-ct,none,16.9
2020,p87,gas-ct,none,72
2022,p87,gas-ct,none,48
2044,p87,gas-ct,none,70
2048,p87,gas-ct,none,75
2050,p87,gas-ct,none,4.8
2052,p87,gas-ct,none,308
2054,p87,gas-ct,none,279
2056,p87,gas-ct,none,150
2014,p88,gas-ct,none,360
2052,p88,gas-ct,none,293.2
2020,p89,gas-ct,none,16
2022,p89,gas-ct,none,363.2
2046,p89,gas-ct,none,740
2010,p9,gas-ct,none,186
2012,p9,gas-ct,none,170.9
2014,p9,gas-ct,none,256
2016,p9,gas-ct,none,48
2020,p9,gas-ct,none,110.997
2022,p9,gas-ct,none,165
2024,p9,gas-ct,none,40
2030,p9,gas-ct,none,56
2032,p9,gas-ct,none,63.8
2034,p9,gas-ct,none,2.5
2036,p9,gas-ct,none,268.9
2038,p9,gas-ct,none,76.16
2040,p9,gas-ct,none,48.7
2042,p9,gas-ct,none,107.2
2044,p9,gas-ct,none,64
2046,p9,gas-ct,none,146.5
2048,p9,gas-ct,none,26
2052,p9,gas-ct,none,690.81
2054,p9,gas-ct,none,322.676
2056,p9,gas-ct,none,192.125
2058,p9,gas-ct,none,4.2
2060,p9,gas-ct,none,684.31
2062,p9,gas-ct,none,398.8
2064,p9,gas-ct,none,820.15
2048,p90,gas-ct,none,228
2050,p90,gas-ct,none,100
2054,p90,gas-ct,none,727
2060,p90,gas-ct,none,340
2018,p91,gas-ct,none,12
2022,p91,gas-ct,none,32
2044,p91,gas-ct,none,82
2022,p92,gas-ct,none,427.2
2026,p92,gas-ct,none,1039.6
2050,p92,gas-ct,none,1400.8
2052,p92,gas-ct,none,882
2052,p93,gas-ct,none,581.6
2060,p93,gas-ct,none,110
2010,p94,gas-ct,none,3
2012,p94,gas-ct,none,31
2014,p94,gas-ct,none,28
2016,p94,gas-ct,none,79
2020,p94,gas-ct,none,18
2022,p94,gas-ct,none,640
2024,p94,gas-ct,none,149
2030,p94,gas-ct,none,49
2044,p94,gas-ct,none,786.9
2046,p94,gas-ct,none,324.4
2050,p94,gas-ct,none,2655.8
2052,p94,gas-ct,none,3152.8
2054,p94,gas-ct,none,807.3
2012,p95,gas-ct,none,176
2050,p95,gas-ct,none,509.9
2052,p95,gas-ct,none,930.58
2054,p95,gas-ct,none,522.68
2058,p95,gas-ct,none,82
2014,p96,gas-ct,none,11
2016,p96,gas-ct,none,52
2018,p96,gas-ct,none,52
2020,p96,gas-ct,none,135
2022,p96,gas-ct,none,105
2024,p96,gas-ct,none,384
2026,p96,gas-ct,none,124
2030,p96,gas-ct,none,52
2042,p96,gas-ct,none,86
2044,p96,gas-ct,none,8.4
2048,p96,gas-ct,none,234
2050,p96,gas-ct,none,47
2060,p96,gas-ct,none,40
2012,p97,gas-ct,none,218
2022,p97,gas-ct,none,52
2046,p97,gas-ct,none,1267.2
2050,p97,gas-ct,none,1149
2052,p97,gas-ct,none,462
2058,p97,gas-ct,none,339
2060,p97,gas-ct,none,24
2062,p97,gas-ct,none,741.226
2012,p98,gas-ct,none,118
2018,p98,gas-ct,none,61
2020,p98,gas-ct,none,64
2022,p98,gas-ct,none,64
2026,p98,gas-ct,none,20
2028,p98,gas-ct,none,20
2050,p98,gas-ct,none,694
2052,p98,gas-ct,none,799
2058,p98,gas-ct,none,282.5
2060,p98,gas-ct,none,169
2062,p98,gas-ct,none,5.443
2064,p98,gas-ct,none,56.5
2012,p99,gas-ct,none,64
2020,p99,gas-ct,none,151
2022,p99,gas-ct,none,95
2024,p99,gas-ct,none,0.4
2040,p99,gas-ct,none,676
2042,p99,gas-ct,none,348
2048,p99,gas-ct,none,20.1
2050,p99,gas-ct,none,617
2052,p99,gas-ct,none,451
2054,p99,gas-ct,none,947.1
2058,p99,gas-ct,none,321
2060,p99,gas-ct,none,160
2010,p1,lfill-gas,none,2.25
2060,p1,lfill-gas,none,5.4
2010,p10,lfill-gas,none,46.66
2014,p10,lfill-gas,none,49.91
2016,p10,lfill-gas,none,30.27
2018,p10,lfill-gas,none,10
2036,p10,lfill-gas,none,15.3
2038,p10,lfill-gas,none,27.95
2044,p10,lfill-gas,none,6.5
2048,p10,lfill-gas,none,2.73
2050,p10,lfill-gas,none,10.5
2056,p10,lfill-gas,none,1
2060,p10,lfill-gas,none,9
2062,p10,lfill-gas,none,1
2064,p10,lfill-gas,none,20
2072,p10,lfill-gas,none,32.89
2014,p101,lfill-gas,none,6.8
2034,p101,lfill-gas,none,41.1
2036,p101,lfill-gas,none,35
2038,p101,lfill-gas,none,26
2040,p101,lfill-gas,none,12.5
2042,p101,lfill-gas,none,26
2044,p101,lfill-gas,none,39
2058,p101,lfill-gas,none,34.4
2060,p101,lfill-gas,none,16.8
2062,p101,lfill-gas,none,4
2016,p102,lfill-gas,none,56
2032,p102,lfill-gas,none,71.62
2040,p102,lfill-gas,none,50
2042,p102,lfill-gas,none,54
2060,p102,lfill-gas,none,10.9
2066,p102,lfill-gas,none,85
2010,p103,lfill-gas,none,4.5
2018,p103,lfill-gas,none,1.4
2038,p103,lfill-gas,none,69.23
2042,p103,lfill-gas,none,11.2
2044,p103,lfill-gas,none,12
2046,p103,lfill-gas,none,6.5
2048,p103,lfill-gas,none,11.2
2050,p103,lfill-gas,none,0.8
2052,p103,lfill-gas,none,1.4
2054,p103,lfill-gas,none,2.4
2056,p103,lfill-gas,none,26.2
2058,p103,lfill-gas,none,8.7
2060,p103,lfill-gas,none,8.2
2062,p103,lfill-gas,none,31.8
2064,p103,lfill-gas,none,3
2064,p104,lfill-gas,none,3.2
2066,p104,lfill-gas,none,3.2
2044,p105,lfill-gas,none,6.4
2048,p105,lfill-gas,none,0.8
2050,p105,lfill-gas,none,3.2
2052,p105,lfill-gas,none,3.2
2054,p105,lfill-gas,none,3.2
2056,p105,lfill-gas,none,6.4
2058,p105,lfill-gas,none,6.4
2060,p105,lfill-gas,none,11.2
2062,p105,lfill-gas,none,7.5
2066,p105,lfill-gas,none,6.4
2024,p107,lfill-gas,none,65
2058,p107,lfill-gas,none,2.2
2060,p107,lfill-gas,none,3.6
2016,p109,lfill-gas,none,1.6
2054,p109,lfill-gas,none,8.8
2056,p109,lfill-gas,none,3.2
2058,p109,lfill-gas,none,3.2
2064,p109,lfill-gas,none,1.6
2066,p109,lfill-gas,none,2.4
2010,p11,lfill-gas,none,2.8
2036,p11,lfill-gas,none,1.7
2042,p11,lfill-gas,none,1.7
2048,p11,lfill-gas,none,6.4
2050,p11,lfill-gas,none,3.52
2054,p11,lfill-gas,none,2.8
2056,p11,lfill-gas,none,3.2
2062,p11,lfill-gas,none,5.051
2064,p11,lfill-gas,none,4.4
2010,p111,lfill-gas,none,3.6
2014,p111,lfill-gas,none,1.4
2052,p111,lfill-gas,none,29.4
2054,p111,lfill-gas,none,4.2
2060,p111,lfill-gas,none,1.6
2062,p111,lfill-gas,none,22
2064,p111,lfill-gas,none,8.56
2070,p111,lfill-gas,none,8.4
2052,p112,lfill-gas,none,2.8
2060,p112,lfill-gas,none,4.8
2062,p112,lfill-gas,none,6.4
2068,p114,lfill-gas,none,4.8
2060,p115,lfill-gas,none,4.8
2016,p117,lfill-gas,none,2.2
2062,p117,lfill-gas,none,1
2062,p118,lfill-gas,none,1
2064,p118,lfill-gas,none,5.4
2062,p12,lfill-gas,none,3.2
2054,p120,lfill-gas,none,14.4
2064,p120,lfill-gas,none,6.4
2018,p121,lfill-gas,none,2.2
2010,p122,lfill-gas,none,2.9
2014,p122,lfill-gas,none,9
2016,p122,lfill-gas,none,2.9
2018,p122,lfill-gas,none,1.6
2038,p122,lfill-gas,none,20
2040,p122,lfill-gas,none,61.3
2042,p122,lfill-gas,none,80
2044,p122,lfill-gas,none,47
2046,p122,lfill-gas,none,10.24
2048,p122,lfill-gas,none,66
2052,p122,lfill-gas,none,50.9
2056,p122,lfill-gas,none,24
2058,p122,lfill-gas,none,19.7
2060,p122,lfill-gas,none,24.7
2062,p122,lfill-gas,none,11
2064,p122,lfill-gas,none,6.4
2016,p123,lfill-gas,none,1.7
2018,p123,lfill-gas,none,0.797
2034,p123,lfill-gas,none,57
2046,p123,lfill-gas,none,54
2052,p123,lfill-gas,none,4.3
2056,p123,lfill-gas,none,3
2058,p123,lfill-gas,none,5.4
2060,p123,lfill-gas,none,3.15
2062,p123,lfill-gas,none,4
2056,p125,lfill-gas,none,7
2060,p125,lfill-gas,none,1
2064,p125,lfill-gas,none,2.102
2010,p126,lfill-gas,none,3.7
2012,p126,lfill-gas,none,1.1
2014,p126,lfill-gas,none,3.9
2016,p126,lfill-gas,none,1.8
2024,p126,lfill-gas,none,5.1
2038,p126,lfill-gas,none,10
2040,p126,lfill-gas,none,72
2042,p126,lfill-gas,none,33
2048,p126,lfill-gas,none,11.4
2054,p126,lfill-gas,none,1.8
2056,p126,lfill-gas,none,9
2058,p126,lfill-gas,none,13.775
2062,p126,lfill-gas,none,12.1
2010,p127,lfill-gas,none,1.4
2014,p127,lfill-gas,none,1.9
2018,p127,lfill-gas,none,2.2
2034,p127,lfill-gas,none,52.6
2038,p127,lfill-gas,none,2.2
2040,p127,lfill-gas,none,12.2
2042,p127,lfill-gas,none,3.2
2044,p127,lfill-gas,none,35.5
2046,p127,lfill-gas,none,4.67
2048,p127,lfill-gas,none,8.946
2052,p127,lfill-gas,none,5.299
2054,p127,lfill-gas,none,3.084
2056,p127,lfill-gas,none,13.513
2058,p127,lfill-gas,none,33.29
2060,p127,lfill-gas,none,20.8
2062,p127,lfill-gas,none,10.134
2064,p127,lfill-gas,none,6.4
2010,p128,lfill-gas,none,0.6
2014,p128,lfill-gas,none,1.2
2016,p128,lfill-gas,none,0.6
2040,p128,lfill-gas,none,74.3
2042,p128,lfill-gas,none,24.3
2064,p128,lfill-gas,none,1.8
2018,p129,lfill-gas,none,1.6
2060,p129,lfill-gas,none,1.6
2012,p130,lfill-gas,none,0.244
2014,p130,lfill-gas,none,5.413
2040,p130,lfill-gas,none,12
2042,p130,lfill-gas,none,2.28
2044,p130,lfill-gas,none,0.76
2046,p130,lfill-gas,none,0.733
2048,p130,lfill-gas,none,5.8
2066,p130,lfill-gas,none,1.5
2010,p131,lfill-gas,none,2.508
2012,p131,lfill-gas,none,3.6
2018,p131,lfill-gas,none,0.498
2036,p131,lfill-gas,none,62.144
2038,p131,lfill-gas,none,96.381
2040,p131,lfill-gas,none,38.218
2044,p131,lfill-gas,none,26.7
2048,p131,lfill-gas,none,1.76
2050,p131,lfill-gas,none,4.4
2052,p131,lfill-gas,none,2.8
2054,p131,lfill-gas,none,5.7
2058,p131,lfill-gas,none,4.193
2060,p131,lfill-gas,none,3.376
2062,p131,lfill-gas,none,3.302
2014,p132,lfill-gas,none,0.8
2016,p132,lfill-gas,none,8.4
2038,p132,lfill-gas,none,117.247
2042,p132,lfill-gas,none,16.9
2046,p132,lfill-gas,none,14
2048,p132,lfill-gas,none,0.888
2058,p132,lfill-gas,none,4.8
2014,p133,lfill-gas,none,2.4
2016,p133,lfill-gas,none,15.3
2054,p133,lfill-gas,none,6
2074,p133,lfill-gas,none,26.291
2012,p134,lfill-gas,none,18
2038,p134,lfill-gas,none,11.5
2060,p134,lfill-gas,none,3.2
2062,p14,lfill-gas,none,3.2
2066,p141,lfill-gas,none,2.85
2060,p147,lfill-gas,none,6.4
2064,p147,lfill-gas,none,4.2
2058,p15,lfill-gas,none,3
2062,p150,lfill-gas,none,7.6
2050,p2,lfill-gas,none,10.5
2072,p2,lfill-gas,none,26
2018,p25,lfill-gas,none,1.4
2056,p25,lfill-gas,none,3.64
2060,p25,lfill-gas,none,4.5
2064,p25,lfill-gas,none,6
2016,p28,lfill-gas,none,4
2060,p28,lfill-gas,none,2.74
2062,p28,lfill-gas,none,3.2
2042,p3,lfill-gas,none,22.7
2058,p33,lfill-gas,none,3.2
2052,p41,lfill-gas,none,3.2
2056,p41,lfill-gas,none,3.2
2064,p41,lfill-gas,none,8.799
2010,p43,lfill-gas,none,14.7
2040,p43,lfill-gas,none,33.7
2044,p43,lfill-gas,none,3
2052,p43,lfill-gas,none,2.4
2056,p43,lfill-gas,none,14.4
2058,p43,lfill-gas,none,2.4
2060,p43,lfill-gas,none,0.8
2062,p43,lfill-gas,none,3
2056,p45,lfill-gas,none,4.8
2012,p46,lfill-gas,none,1.6
2018,p46,lfill-gas,none,3.49
2056,p46,lfill-gas,none,3.2
2058,p46,lfill-gas,none,0.8
2062,p46,lfill-gas,none,1.1
2036,p5,lfill-gas,none,11.5
2042,p5,lfill-gas,none,1.6
2044,p5,lfill-gas,none,1.6
2046,p5,lfill-gas,none,2.3
2058,p5,lfill-gas,none,3
2060,p5,lfill-gas,none,16
2064,p5,lfill-gas,none,6.4
2016,p51,lfill-gas,none,1.4
2062,p51,lfill-gas,none,1.4
2064,p51,lfill-gas,none,1.4
2060,p53,lfill-gas,none,7.1
2064,p53,lfill-gas,none,1.9
2062,p54,lfill-gas,none,3.2
2056,p55,lfill-gas,none,3.2
2060,p56,lfill-gas,none,4
2062,p6,lfill-gas,none,1.6
2014,p63,lfill-gas,none,4.6
2016,p63,lfill-gas,none,2.8
2038,p63,lfill-gas,none,5.8
2058,p63,lfill-gas,none,8
2060,p63,lfill-gas,none,11.2
2062,p63,lfill-gas,none,3.2
2066,p63,lfill-gas,none,4
2016,p64,lfill-gas,none,3.6
2058,p64,lfill-gas,none,6.4
2060,p64,lfill-gas,none,3.2
2052,p65,lfill-gas,none,1.4
2054,p65,lfill-gas,none,11.2
2056,p65,lfill-gas,none,9.6
2066,p65,lfill-gas,none,1.4
2012,p66,lfill-gas,none,3
2016,p66,lfill-gas,none,3.9
2054,p66,lfill-gas,none,3.4
2056,p66,lfill-gas,none,3.9
2016,p67,lfill-gas,none,4
2018,p67,lfill-gas,none,1.7
2054,p67,lfill-gas,none,22
2060,p67,lfill-gas,none,5.6
2064,p67,lfill-gas,none,10.5
2048,p70,lfill-gas,none,6.4
2064,p70,lfill-gas,none,4.8
2058,p72,lfill-gas,none,2
2060,p72,lfill-gas,none,2.7
2064,p72,lfill-gas,none,1
2010,p75,lfill-gas,none,0.8
2014,p75,lfill-gas,none,0.8
2052,p75,lfill-gas,none,2.4
2054,p75,lfill-gas,none,0.8
2056,p75,lfill-gas,none,3.2
2016,p76,lfill-gas,none,0.9
2050,p76,lfill-gas,none,1.8
2052,p76,lfill-gas,none,2.4
2058,p76,lfill-gas,none,5.8
2060,p76,lfill-gas,none,1.4
2062,p76,lfill-gas,none,4.8
2066,p76,lfill-gas,none,1.6
2048,p78,lfill-gas,none,1.6
2054,p78,lfill-gas,none,5.4
2062,p78,lfill-gas,none,2.4
2014,p79,lfill-gas,none,2.4
2036,p79,lfill-gas,none,11.6
2042,p79,lfill-gas,none,1.6
2046,p79,lfill-gas,none,0.8
2050,p79,lfill-gas,none,6.4
2052,p79,lfill-gas,none,6.2
2056,p79,lfill-gas,none,3.2
2058,p79,lfill-gas,none,3.2
2060,p79,lfill-gas,none,2.9
2010,p80,lfill-gas,none,12.2
2012,p80,lfill-gas,none,37
2014,p80,lfill-gas,none,6.2
2018,p80,lfill-gas,none,6.5
2038,p80,lfill-gas,none,2.9
2040,p80,lfill-gas,none,2.9
2042,p80,lfill-gas,none,3.2
2044,p80,lfill-gas,none,5.8
2046,p80,lfill-gas,none,5.8
2048,p80,lfill-gas,none,2.9
2052,p80,lfill-gas,none,5.6
2054,p80,lfill-gas,none,7.2
2056,p80,lfill-gas,none,2.2
2058,p80,lfill-gas,none,17.7
2060,p80,lfill-gas,none,3.2
2062,p80,lfill-gas,none,17.6
2066,p80,lfill-gas,none,23.96
2016,p81,lfill-gas,none,7.2
2042,p81,lfill-gas,none,1.6
2044,p81,lfill-gas,none,0.8
2010,p82,lfill-gas,none,4
2040,p82,lfill-gas,none,1.6
2050,p82,lfill-gas,none,0.8
2016,p83,lfill-gas,none,3.6
2058,p83,lfill-gas,none,3.2
2056,p85,lfill-gas,none,4.8
2062,p88,lfill-gas,none,1.6
2060,p89,lfill-gas,none,1.6
2064,p89,lfill-gas,none,4.8
2010,p9,lfill-gas,none,1.3
2012,p9,lfill-gas,none,3
2014,p9,lfill-gas,none,7.9
2020,p9,lfill-gas,none,2.9
2036,p9,lfill-gas,none,2
2038,p9,lfill-gas,none,20.9
2040,p9,lfill-gas,none,4.25
2044,p9,lfill-gas,none,0.6
2048,p9,lfill-gas,none,1.6
2050,p9,lfill-gas,none,2.7
2052,p9,lfill-gas,none,2.6
2056,p9,lfill-gas,none,5.4
2058,p9,lfill-gas,none,1
2060,p9,lfill-gas,none,19.417
2062,p9,lfill-gas,none,5.415
2064,p9,lfill-gas,none,19.198
2066,p9,lfill-gas,none,1.6
2038,p91,lfill-gas,none,10
2056,p91,lfill-gas,none,4
2058,p91,lfill-gas,none,0.8
2060,p91,lfill-gas,none,3
2012,p92,lfill-gas,none,2.8
2042,p92,lfill-gas,none,3.2
2050,p92,lfill-gas,none,0.2
2062,p92,lfill-gas,none,6.4
2012,p94,lfill-gas,none,1.4
2044,p94,lfill-gas,none,1.6
2054,p94,lfill-gas,none,4
2060,p94,lfill-gas,none,6.4
2062,p94,lfill-gas,none,6.8
2064,p94,lfill-gas,none,4.8
2066,p94,lfill-gas,none,6.3
2058,p95,lfill-gas,none,6
2062,p95,lfill-gas,none,1.6
2052,p96,lfill-gas,none,2.2
2054,p96,lfill-gas,none,1.1
2056,p96,lfill-gas,none,10.6
2060,p96,lfill-gas,none,9.3
2062,p96,lfill-gas,none,3
2016,p97,lfill-gas,none,0.8
2046,p97,lfill-gas,none,4.5
2050,p97,lfill-gas,none,6.3
2052,p97,lfill-gas,none,0.9
2058,p97,lfill-gas,none,3.2
2060,p97,lfill-gas,none,1.6
2062,p97,lfill-gas,none,10.945
2064,p97,lfill-gas,none,1.5
2068,p97,lfill-gas,none,3.3
2010,p98,lfill-gas,none,1.9
2012,p98,lfill-gas,none,1.7
2058,p98,lfill-gas,none,3.6
2060,p98,lfill-gas,none,3.3
2062,p98,lfill-gas,none,15.3
2064,p98,lfill-gas,none,18.5
2066,p98,lfill-gas,none,1.8
2014,p99,lfill-gas,none,2.7
2016,p99,lfill-gas,none,2
2040,p99,lfill-gas,none,98
2042,p99,lfill-gas,none,3.2
2044,p99,lfill-gas,none,6
2048,p99,lfill-gas,none,1.78
2052,p99,lfill-gas,none,25.2
2054,p99,lfill-gas,none,28.8
2058,p99,lfill-gas,none,28.54
2060,p99,lfill-gas,none,18
2062,p99,lfill-gas,none,12.049
2064,p99,lfill-gas,none,4.8
2010,p10,pumped-hydro,none,9.9
2074,p10,pumped-hydro,none,481.262833675565
2078,p10,pumped-hydro,none,1060
2094,p10,pumped-hydro,none,5.4
2074,p103,pumped-hydro,none,1929.28463430731
2066,p118,pumped-hydro,none,132
2080,p118,pumped-hydro,none,106
2068,p122,pumped-hydro,none,1070
2070,p122,pumped-hydro,none,513
2066,p126,pumped-hydro,none,420
2062,p127,pumped-hydro,none,222.517688571429
2074,p127,pumped-hydro,none,1166.1
2072,p131,pumped-hydro,none,217.294520547945
2074,p131,pumped-hydro,none,1286.71284246575
2028,p132,pumped-hydro,none,27.4
2030,p132,pumped-hydro,none,2
2082,p25,pumped-hydro,none,0.1
2072,p28,pumped-hydro,none,176.3
2094,p28,pumped-hydro,none,40
2054,p33,pumped-hydro,none,8.5
2068,p33,pumped-hydro,none,324
2082,p33,pumped-hydro,none,115
2084,p33,pumped-hydro,none,115
2074,p4,pumped-hydro,none,82.244
2084,p4,pumped-hydro,none,176.004
2068,p51,pumped-hydro,none,129
2072,p51,pumped-hydro,none,131
2080,p55,pumped-hydro,none,31
2082,p55,pumped-hydro,none,155
2014,p67,pumped-hydro,none,1
2084,p71,pumped-hydro,none,31
2064,p73,pumped-hydro,none,440
2072,p85,pumped-hydro,none,28
2068,p9,pumped-hydro,none,718.9
2070,p9,pumped-hydro,none,117.2
2084,p9,pumped-hydro,none,1212
2088,p9,pumped-hydro,none,199.8
2078,p92,pumped-hydro,none,404.1
2080,p92,pumped-hydro,none,1212.2
2078,p94,pumped-hydro,none,286
2080,p94,pumped-hydro,none,213.2
2096,p94,pumped-hydro,none,910.203
2074,p95,pumped-hydro,none,306
2076,p95,pumped-hydro,none,390
2092,p95,pumped-hydro,none,1360
2078,p96,pumped-hydro,none,576
2056,p97,pumped-hydro,none,86
2086,p99,pumped-hydro,none,3003
2014,p101,biopower,once,59
2038,p101,biopower,once,125
2040,p134,biopower,once,65
2020,p43,biopower,once,13.1
2030,p43,biopower,once,15.1
2058,p43,biopower,once,15
2024,p46,biopower,once,33
2014,p9,biopower,once,9
2038,p9,biopower,once,54
2028,p98,biopower,once,74
2064,p99,biopower,once,81
2088,p107,coal-igcc,once,618
2038,p122,coal-new,once,306
2040,p122,coal-new,once,363
2044,p122,coal-new,once,742
2018,p131,coal-new,once,25.5953166815343
2086,p54,coal-new,once,881.5
2062,p70,coal-new,once,3.2
2066,p70,coal-new,once,18.8
2072,p75,coal-new,once,58.4
2014,p76,coal-new,once,6.9
2034,p79,coal-new,once,17.7941176470588
2036,p79,coal-new,once,18.0367647058824
2040,p99,coal-new,once,16.8888888888889
2042,p101,coaloldscr,once,293
2046,p101,coaloldscr,once,385
2048,p101,coaloldscr,once,678
2052,p101,coaloldscr,once,395
2060,p101,coaloldscr,once,437
2034,p103,coaloldscr,once,117
2036,p103,coaloldscr,once,132.5
2038,p103,coaloldscr,once,260
2040,p103,coaloldscr,once,3066
2042,p103,coaloldscr,once,350
2048,p103,coaloldscr,once,63.2
2052,p103,coaloldscr,once,32
2056,p103,coaloldscr,once,60
2018,p105,coaloldscr,once,160
2046,p105,coaloldscr,once,500
2048,p105,coaloldscr,once,495
2022,p107,coaloldscr,once,280
2024,p107,coaloldscr,once,90
2030,p107,coaloldscr,once,977.5
2032,p107,coaloldscr,once,195.5
2036,p107,coaloldscr,once,149
2040,p107,coaloldscr,once,306
2042,p107,coaloldscr,once,222.5
2044,p107,coaloldscr,once,421.8
2046,p107,coaloldscr,once,299
2048,p107,coaloldscr,once,270
2020,p108,coaloldscr,once,138
2022,p108,coaloldscr,once,260.7
2020,p111,coaloldscr,once,136
2046,p111,coaloldscr,once,640
2018,p112,coaloldscr,once,1154
2020,p112,coaloldscr,once,720
2030,p112,coaloldscr,once,962.8
2042,p112,coaloldscr,once,290
2044,p112,coaloldscr,once,600
2046,p112,coaloldscr,once,600
2040,p114,coaloldscr,once,51
2050,p114,coaloldscr,once,510
2046,p115,coaloldscr,once,563
2056,p116,coaloldscr,once,50
2016,p122,coaloldscr,once,742
2018,p122,coaloldscr,once,669
2034,p123,coaloldscr,once,173
2036,p123,coaloldscr,once,173
2038,p123,coaloldscr,once,173
2040,p123,coaloldscr,once,667
2046,p123,coaloldscr,once,1205
2030,p127,coaloldscr,once,293.5
2060,p127,coaloldscr,once,685.9
2020,p130,coaloldscr,once,47.5
2022,p130,coaloldscr,once,47.82
2036,p130,coaloldscr,once,108
2044,p130,coaloldscr,once,330.5
2028,p24,coaloldscr,once,220
2034,p35,coaloldscr,once,53.1
2050,p36,coaloldscr,once,445
2054,p41,coaloldscr,once,655.9
2034,p43,coaloldscr,once,511
2050,p45,coaloldscr,once,500
2054,p45,coaloldscr,once,1348.502
2054,p46,coaloldscr,once,387.7
2056,p53,coaloldscr,once,229
2044,p54,coaloldscr,once,564
