*tech,region,year,sc_point_gid,capacity
wind-ons_7,p18007,2010,40533,130.5
wind-ons_7,p18007,2010,40535,106.0
wind-ons_7,p42051,2010,40590,52.5
wind-ons_6,p42055,2010,40600,30.0
wind-ons_8,p17113,2010,40903,18.9
wind-ons_8,p17113,2010,40904,60.0
wind-ons_7,p18007,2010,40913,99.0
wind-ons_8,p18007,2010,40914,201.3
wind-ons_7,p18007,2010,40915,100.0
wind-ons_7,p18157,2010,40917,199.7
wind-ons_4,p06095,2010,41050,60.0
wind-ons_9,p31109,2010,41231,0.7
wind-ons_8,p31131,2010,41232,0.7
wind-ons_8,p17113,2010,41285,42.0
wind-ons_8,p18007,2010,41294,100.0
wind-ons_7,p18171,2010,41295,100.0
wind-ons_8,p06095,2010,41431,78.0
wind-ons_9,p06095,2010,41432,54.0
wind-ons_1,p06067,2010,41437,24.0
wind-ons_9,p17113,2010,41664,30.0
wind-ons_8,p17113,2010,41665,132.0
wind-ons_8,p17113,2010,41666,132.0
wind-ons_8,p06095,2010,41811,150.0
wind-ons_9,p06095,2010,41812,18.0
wind-ons_1,p06077,2010,41817,9.0
wind-ons_8,p29005,2010,41997,60.0
wind-ons_9,p29147,2010,42000,50.4
wind-ons_8,p17179,2010,42040,54.0
wind-ons_8,p17113,2010,42045,9.8
wind-ons_1,p06077,2010,42197,13.1
wind-ons_8,p29005,2010,42377,54.0
wind-ons_8,p17107,2010,42420,46.5
wind-ons_5,p54049,2010,42483,30.0
wind-ons_5,p54027,2010,42497,30.0
wind-ons_4,p06013,2010,42571,85.8
wind-ons_8,p29005,2010,42757,32.0
wind-ons_9,p29147,2010,42764,24.0
wind-ons_9,p29075,2010,42765,26.4
wind-ons_5,p06013,2010,42951,126.0
wind-ons_8,p06013,2010,42952,30.0
wind-ons_2,p06077,2010,42956,54.0
wind-ons_2,p06077,2010,42957,1.2
wind-ons_6,p54077,2010,43249,18.0
wind-ons_10,p54023,2010,43252,72.0
wind-ons_8,p54023,2010,43253,72.0
wind-ons_7,p06001,2010,43331,60.0
wind-ons_8,p06001,2010,43332,66.0
wind-ons_8,p29087,2010,43519,5.0
wind-ons_9,p29147,2010,43524,48.0
wind-ons_8,p29081,2010,43527,8.7
wind-ons_10,p54023,2010,43632,20.0
wind-ons_4,p06077,2010,43712,50.5
wind-ons_7,p17009,2010,44311,1.7
wind-ons_6,p54001,2010,44388,52.0
wind-ons_1,p06085,2010,44470,18.0
wind-ons_2,p06085,2010,44471,38.0
wind-ons_3,p06099,2010,44473,21.0
wind-ons_1,p06085,2010,44850,12.1
wind-ons_2,p06085,2010,44851,18.0
wind-ons_1,p06085,2010,44852,10.5
wind-ons_2,p06099,2010,44853,10.9
wind-ons_2,p06099,2010,44854,5.52
wind-ons_2,p06085,2010,45229,2.43
wind-ons_1,p06085,2010,45230,4.14
wind-ons_1,p06099,2010,45232,4.14
wind-ons_1,p06099,2010,45233,3.24
wind-ons_1,p06099,2010,45234,2.43
wind-ons_5,p54097,2010,45525,30.0
wind-ons_5,p49001,2010,45674,203.5
wind-ons_5,p54101,2010,45905,6.0
wind-ons_10,p20029,2010,46162,84.0
wind-ons_10,p20029,2010,46163,72.0
wind-ons_4,p06047,2010,46373,17.0
wind-ons_9,p20029,2010,46542,12.0
wind-ons_10,p20029,2010,46543,33.0
wind-ons_1,p06039,2010,47143,0.1
wind-ons_4,p06019,2010,47899,1.8
wind-ons_3,p06039,2010,47902,4.2
wind-ons_9,p20105,2010,48059,54.0
wind-ons_2,p06019,2010,48277,1.6
wind-ons_4,p06019,2010,48279,3.5
wind-ons_10,p20105,2010,48439,148.5
wind-ons_10,p20105,2010,48440,46.8
wind-ons_2,p06019,2010,48657,3.0
wind-ons_3,p06019,2010,48658,4.5
wind-ons_4,p06019,2010,48659,7.4
wind-ons_5,p06019,2010,48660,8.3
wind-ons_4,p06019,2010,48661,14.1
wind-ons_1,p06019,2010,49036,3.7
wind-ons_2,p06019,2010,49037,6.5
wind-ons_4,p06019,2010,49038,7.5
wind-ons_4,p06019,2010,49039,13.6
wind-ons_4,p06019,2010,49040,15.0
wind-ons_1,p06053,2010,49413,1.5
wind-ons_2,p06053,2010,49414,2.4
wind-ons_2,p06019,2010,49417,8.7
wind-ons_9,p20171,2010,49558,99.0
wind-ons_1,p06019,2010,50176,15.3
wind-ons_1,p06019,2010,50556,17.3
wind-ons_6,p08099,2010,51067,4.0
wind-ons_7,p08099,2010,51068,1.5
wind-ons_1,p06031,2010,51318,29.0
wind-ons_1,p06031,2010,51320,54.0
wind-ons_1,p06031,2010,51699,22.9
wind-ons_1,p06031,2010,51700,28.5
wind-ons_10,p20047,2010,51849,100.5
wind-ons_1,p06029,2010,52081,75.0
wind-ons_1,p06107,2010,52082,60.0
wind-ons_9,p08099,2010,52207,162.0
wind-ons_9,p08009,2010,52585,75.0
wind-ons_9,p20205,2010,53015,60.0
wind-ons_9,p20069,2010,53362,78.0
wind-ons_9,p20119,2010,53742,34.2
wind-ons_10,p20007,2010,54136,50.0
wind-ons_2,p06079,2010,54352,18.4
wind-ons_2,p06079,2010,54356,60.0
wind-ons_10,p20007,2010,54517,44.0
wind-ons_10,p20191,2010,54526,90.0
wind-ons_2,p06083,2010,55112,21.2
wind-ons_1,p06083,2010,55113,22.0
wind-ons_1,p06083,2010,55114,59.6
wind-ons_1,p06083,2010,55115,48.0
wind-ons_1,p06083,2010,55493,23.1
wind-ons_1,p06083,2010,55494,48.0
wind-ons_2,p06083,2010,55873,28.7
wind-ons_4,p06083,2010,56253,25.3
wind-ons_1,p06083,2010,56254,12.3
wind-ons_9,p40151,2010,56414,18.9
wind-ons_3,p06083,2010,56634,46.9
wind-ons_1,p06083,2010,56635,19.0
wind-ons_10,p40059,2010,56788,54.0
wind-ons_5,p47151,2010,56900,0.7
wind-ons_10,p40153,2010,57169,36.0
wind-ons_6,p47001,2010,57280,27.0
wind-ons_5,p47001,2010,57281,0.7
wind-ons_9,p48421,2010,57531,10.0
wind-ons_10,p48195,2010,57535,114.0
wind-ons_10,p48195,2010,57536,79.8
wind-ons_10,p40045,2010,57546,30.0
wind-ons_10,p40045,2010,57547,30.0
wind-ons_8,p40151,2010,57553,25.5
wind-ons_4,p47129,2010,57660,0.7
wind-ons_10,p48421,2010,57912,10.0
wind-ons_9,p48195,2010,57916,3.0
wind-ons_10,p40045,2010,57927,48.0
wind-ons_10,p40153,2010,57931,60.0
wind-ons_10,p40153,2010,57932,4.5
wind-ons_10,p40093,2010,57933,25.5
wind-ons_9,p40153,2010,58311,53.2
wind-ons_10,p40153,2010,58312,25.5
wind-ons_10,p40153,2010,58691,25.5
wind-ons_10,p48341,2010,59050,10.0
wind-ons_9,p48341,2010,59051,10.0
wind-ons_10,p48341,2010,59431,49.5
wind-ons_9,p48341,2010,59432,10.0
wind-ons_10,p48341,2010,59809,8.8
wind-ons_9,p48341,2010,59810,10.0
wind-ons_10,p48065,2010,60953,79.5
