tech,ba,year,var_name,con_name,value
ccgt-gas,Gujarat,2030,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2030,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2030,cap,eq_reserve_margin,39788.87711191899
ccgt-gas,Rajasthan,2017,cap,_obj,-732.0002927999999
ccgt-gas,Rajasthan,2017,cap,eq_cap_init_noret,-41.39527056084728
ccgt-gas,Rajasthan,2017,cap,eq_capacity_limit,773.3955633608467
ccgt-gas,Rajasthan,2017,cap,eq_reserve_margin,4.551026222543441e-13
ccgt-gas,Rajasthan,2018,cap,_obj,-671.5597606237967
ccgt-gas,Rajasthan,2018,cap,eq_cap_init_noret,-262.29566142332817
ccgt-gas,Rajasthan,2018,cap,eq_capacity_limit,933.8554220471243
ccgt-gas,Rajasthan,2018,cap,eq_reserve_margin,2.2755131112717207e-13
ccgt-gas,Rajasthan,2019,cap,_obj,-616.1100064439039
ccgt-gas,Rajasthan,2019,cap,eq_cap_init_noret,98.08197728438944
ccgt-gas,Rajasthan,2019,cap,eq_capacity_limit,518.0280291595142
ccgt-gas,Rajasthan,2019,cap,eq_reserve_margin,2.2755131112717207e-13
ccgt-gas,Rajasthan,2020,cap,_obj,-565.2381820951824
ccgt-gas,Rajasthan,2020,cap,eq_cap_init_noret,219.44304329459317
ccgt-gas,Rajasthan,2020,cap,eq_capacity_limit,345.7951388005891
ccgt-gas,Rajasthan,2020,cap,eq_reserve_margin,0.0
ccgt-gas,Rajasthan,2021,cap,_obj,-518.56730742684
ccgt-gas,Rajasthan,2021,cap,eq_cap_init_noret,261.18174316901724
ccgt-gas,Rajasthan,2021,cap,eq_capacity_limit,257.3855642578225
ccgt-gas,Rajasthan,2021,cap,eq_reserve_margin,1.1377565556358606e-12
ccgt-gas,Rajasthan,2022,cap,_obj,-475.74968229979675
ccgt-gas,Rajasthan,2022,cap,eq_cap_init_noret,234.69417363071767
ccgt-gas,Rajasthan,2022,cap,eq_cap_init_retmo,0.0
ccgt-gas,Rajasthan,2022,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2022,cap,eq_capacity_limit,241.05550866907902
ccgt-gas,Rajasthan,2022,cap,eq_reserve_margin,1.3653078667630327e-12
ccgt-gas,Rajasthan,2023,cap,_obj,-436.46761858697755
ccgt-gas,Rajasthan,2023,cap,eq_cap_init_retub,-31402.368236142036
ccgt-gas,Rajasthan,2023,cap,eq_cap_init_retmo,29027.56081615619
ccgt-gas,Rajasthan,2023,cap,eq_growthlimit_relative,1082.5574098305742
