*r,rr,multiplier
p30,p67,1.321
p30,p68,1.11
p30,p69,1.111
p30,p70,1.116
p30,p71,1.099
p30,p72,1.096
p30,p73,1.101
p30,p74,1.121
p30,p75,1.111
p30,p76,1.112
p30,p77,1.116
p30,p78,1.11
p30,p79,1.099
p30,p80,1.084
p30,p81,1.104
p30,p82,1.087
p30,p83,1.082
p30,p84,1.122
p30,p85,1.125
p30,p86,1.119
p30,p87,1.114
p30,p88,1.132
p30,p89,1.194
p30,p90,1.17
p30,p91,1.194
p30,p92,1.153
p30,p93,1.131
p30,p94,1.249
p30,p95,1.302
p30,p96,1.329
p30,p97,1.336
p30,p98,1.326
p30,p99,1.345
p30,p100,1.398
p30,p101,1.306
p30,p102,1.335
p30,p103,1.073
p30,p104,1.08
p30,p105,1.095
p30,p106,1.08
p30,p107,1.102
p30,p108,1.104
p30,p109,1.128
p30,p110,1.22
p30,p111,1.143
p30,p112,1.15
p30,p113,1.127
p30,p114,1.153
p30,p115,1.242
p30,p116,1.227
p30,p117,1.268
p30,p118,1.29
p30,p119,1.343
p30,p120,1.442
p30,p121,1.439
p30,p122,1.48
p30,p123,1.434
p30,p124,1.496
p30,p125,1.475
p30,p126,1.478
p30,p127,1.388
p30,p128,1.567
p30,p129,1.429
p30,p130,1.525
p30,p131,1.538
p30,p132,1.47
p30,p133,1.519
p30,p134,1.603
p31,p1,1.319
p31,p2,1.283
p31,p3,1.29
p31,p4,1.284
p31,p5,1.317
p31,p6,1.326
p31,p7,1.263
p31,p8,1.326
p31,p9,1.664
p31,p10,1.615
p31,p11,1.564
p31,p12,1.371
p31,p13,1.292
p31,p14,1.294
p31,p15,1.27
p31,p16,1.293
p31,p17,1.288
p31,p18,1.275
p31,p19,1.115
p31,p20,1.283
p31,p21,1.323
p31,p22,1.236
p31,p23,1.142
p31,p24,1.227
p31,p25,1.329
p31,p26,1.34
p31,p27,1.308
p31,p28,1.426
p31,p29,1.266
p31,p30,1.439
p31,p32,1.148
p31,p33,1.28
p31,p34,1.294
p31,p35,1.122
p31,p36,1.113
p31,p37,1.103
p31,p38,1.122
p31,p39,1.18
p31,p40,1.143
p31,p41,1.112
p31,p42,1.097
p31,p43,1.102
p31,p44,1.112
p31,p45,1.107
p31,p46,1.1
p31,p47,1.315
p31,p48,1.154
p31,p49,1.198
p31,p50,1.121
p31,p51,1.114
p31,p52,1.168
p31,p53,1.12
p31,p54,1.098
p31,p55,1.104
p31,p56,1.107
p31,p57,1.119
p31,p58,1.092
p31,p59,1.178
p31,p60,1.137
p31,p61,1.246
p31,p62,1.166
p31,p63,1.254
p31,p64,1.325
p31,p65,1.336
p31,p66,1.124
p31,p67,1.358
p31,p68,1.107
p31,p69,1.092
p31,p70,1.097
p31,p71,1.094
p31,p72,1.097
p31,p73,1.106
p31,p74,1.112
p31,p75,1.097
p31,p76,1.099
p31,p77,1.102
p31,p78,1.094
p31,p79,1.084
p31,p80,1.078
p31,p81,1.089
p31,p82,1.083
p31,p83,1.077
p31,p84,1.125
p31,p85,1.121
p31,p86,1.11
p31,p87,1.104
p31,p88,1.132
p31,p89,1.212
p31,p90,1.177
p31,p91,1.207
p31,p92,1.173
p31,p93,1.145
p31,p94,1.279
p31,p95,1.342
p31,p96,1.37
p31,p97,1.381
p31,p98,1.377
p31,p99,1.396
p31,p100,1.461
p31,p101,1.337
p31,p102,1.368
p31,p103,1.066
p31,p104,1.075
p31,p105,1.095
p31,p106,1.075
p31,p107,1.106
p31,p108,1.109
p31,p109,1.14
p31,p110,1.254
p31,p111,1.154
p31,p112,1.163
p31,p113,1.135
p31,p114,1.169
p31,p115,1.274
p31,p116,1.259
p31,p117,1.308
p31,p118,1.336
p31,p119,1.393
p31,p120,1.514
p31,p121,1.51
p31,p122,1.552
p31,p123,1.503
p31,p124,1.565
p31,p125,1.545
p31,p126,1.548
p31,p127,1.44
p31,p128,1.649
p31,p129,1.485
p31,p130,1.597
p31,p131,1.611
p31,p132,1.532
p31,p133,1.589
p31,p134,1.683
p32,p1,1.352
p32,p2,1.329
p32,p3,1.332
p32,p4,1.312
p32,p5,1.381
p32,p6,1.314
p32,p7,1.255
p32,p8,1.315
p32,p9,1.597
p32,p10,1.451
p32,p11,1.43
p32,p12,1.322
p32,p13,1.246
p32,p14,1.351
p32,p15,1.263
p32,p16,1.307
p32,p17,1.229
p32,p18,1.131
p32,p19,1.034
p32,p20,1.168
p32,p21,1.195
p32,p22,1.259
p32,p23,1.182
p32,p24,1.128
p32,p25,1.254
p32,p26,1.252
p32,p27,1.254
p32,p28,1.246
p32,p29,1.183
p32,p30,1.135
p32,p31,1.148
p32,p33,1.106
p32,p34,1.1
p32,p35,1.031
p32,p36,1.043
p32,p37,1.034
p32,p38,1.036
p32,p39,1.066
p32,p40,1.056
p32,p41,1.029
p32,p42,1.029
p32,p43,1.034
p32,p44,1.049
p32,p45,1.03
p32,p46,1.06
p32,p47,1.037
p32,p48,1.036
p32,p49,1.029
p32,p50,1.022
p32,p51,1.032
p32,p52,1.026
p32,p53,1.028
p32,p54,1.051
p32,p55,1.061
p32,p56,1.043
p32,p57,1.065
p32,p58,1.054
p32,p59,1.075
p32,p60,1.032
p32,p61,1.068
p32,p62,1.04
p32,p63,1.104
p32,p64,1.188
p32,p65,1.163
p32,p66,1.078
p32,p67,1.126
p32,p68,1.04
p32,p69,1.024
p32,p70,1.031
p32,p71,1.038
p32,p72,1.042
p32,p73,1.059
p32,p74,1.081
p32,p75,1.059
p32,p76,1.058
p32,p77,1.061
p32,p78,1.068
p32,p79,1.064
p32,p80,1.03
p32,p81,1.025
p32,p82,1.028
p32,p83,1.024
p32,p84,1.078
p32,p85,1.069
p32,p86,1.069
p32,p87,1.069
p32,p88,1.106
p32,p89,1.193
p32,p90,1.141
p32,p91,1.168
p32,p92,1.112
p32,p93,1.066
p32,p94,1.264
p32,p95,1.295
p32,p96,1.362
p32,p97,1.313
p32,p98,1.348
p32,p99,1.371
p32,p100,1.549
p32,p101,1.316
p32,p102,1.341
p32,p103,1.032
p32,p104,1.034
p32,p105,1.062
p32,p106,1.021
p32,p107,1.03
p32,p108,1.033
p32,p109,1.072
p32,p110,1.206
p32,p111,1.149
p32,p112,1.144
p32,p113,1.1
p32,p114,1.135
p32,p115,1.304
p32,p116,1.254
p32,p117,1.303
p32,p118,1.302
p32,p119,1.451
p32,p120,1.539
p32,p121,1.534
p32,p122,1.64
p32,p123,1.603
p32,p124,1.649
p32,p125,1.63
p32,p126,1.634
p32,p127,1.5
p32,p128,1.752
p32,p129,1.55
p32,p130,1.683
p32,p131,1.699
p32,p132,1.606
p32,p133,1.672
p32,p134,1.78
p33,p1,1.315
p33,p2,1.274
p33,p3,1.346
p33,p4,1.276
p33,p5,1.299
p33,p6,1.321
p33,p7,1.248
p33,p8,1.321
p33,p9,1.71
p33,p10,1.624
p33,p11,1.471
p33,p12,1.44
p33,p13,1.455
p33,p14,1.405
p33,p15,1.255
p33,p16,1.296
p33,p17,1.288
p33,p18,1.235
p33,p19,1.109
p33,p20,1.235
p33,p21,1.269
p33,p22,1.239
p33,p23,1.223
p33,p24,1.224
p33,p25,1.498
p33,p26,1.496
p33,p27,1.422
p33,p28,1.369
p33,p29,1.323
p33,p30,1.343
p33,p31,1.28
p33,p32,1.106
p33,p34,1.414
p33,p35,1.118
p33,p36,1.068
p33,p37,1.065
p33,p38,1.054
p33,p39,1.174
p33,p40,1.069
p33,p41,1.059
p33,p42,1.059
p33,p43,1.049
p33,p44,1.072
p33,p45,1.053
p33,p46,1.049
p33,p47,1.097
p33,p48,1.076
p33,p49,1.121
p33,p50,1.072
p33,p51,1.059
p33,p52,1.1
p33,p53,1.057
p33,p54,1.072
p33,p55,1.048
p33,p56,1.058
p33,p57,1.104
p33,p58,1.082
p33,p59,1.207
p33,p60,1.065
p33,p61,1.134
p33,p62,1.087
p33,p63,1.178
p33,p64,1.267
p33,p65,1.223
p33,p66,1.112
p33,p67,1.267
p33,p68,1.045
p33,p69,1.047
p33,p70,1.058
p33,p71,1.08
p33,p72,1.076
p33,p73,1.071
p33,p74,1.08
p33,p75,1.052
p33,p76,1.054
p33,p77,1.052
p33,p78,1.06
p33,p79,1.056
p33,p80,1.054
p33,p81,1.059
p33,p82,1.07
p33,p83,1.07
p33,p84,1.073
p33,p85,1.072
p33,p86,1.096
p33,p87,1.09
p33,p88,1.093
p33,p89,1.177
p33,p90,1.165
p33,p91,1.195
p33,p92,1.139
p33,p93,1.101
p33,p94,1.25
p33,p95,1.328
p33,p96,1.347
p33,p97,1.346
p33,p98,1.379
p33,p99,1.399
p33,p100,1.471
p33,p101,1.319
p33,p102,1.345
p33,p103,1.053
p33,p104,1.056
p33,p105,1.09
p33,p106,1.064
p33,p107,1.07
p33,p108,1.07
p33,p109,1.112
p33,p110,1.242
p33,p111,1.16
p33,p112,1.177
p33,p113,1.141
p33,p114,1.183
p33,p115,1.303
p33,p116,1.285
p33,p117,1.345
p33,p118,1.334
p33,p119,1.441
p33,p120,1.523
p33,p121,1.519
p33,p122,1.62
p33,p123,1.516
p33,p124,1.63
p33,p125,1.611
p33,p126,1.615
p33,p127,1.488
p33,p128,1.727
p33,p129,1.537
p33,p130,1.663
p33,p131,1.679
p33,p132,1.59
p33,p133,1.653
p33,p134,1.757
p34,p1,1.309
p34,p2,1.27
p34,p3,1.336
p34,p4,1.271
p34,p5,1.293
p34,p6,1.409
p34,p7,1.244
p34,p8,1.411
p34,p9,1.772
p34,p10,1.575
p34,p11,1.492
p34,p12,1.452
p34,p13,1.432
p34,p14,1.39
p34,p15,1.251
p34,p16,1.284
p34,p17,1.278
p34,p18,1.229
p34,p19,1.077
p34,p20,1.227
p34,p21,1.257
p34,p22,1.229
p34,p23,1.218
p34,p24,1.199
p34,p25,1.518
p34,p26,1.526
p34,p27,1.35
p34,p28,1.387
p34,p29,1.343
p34,p30,1.357
p34,p31,1.294
p34,p32,1.1
p34,p33,1.414
p34,p35,1.077
p34,p36,1.068
p34,p37,1.065
p34,p38,1.061
p34,p39,1.142
p34,p40,1.06
p34,p41,1.052
p34,p42,1.06
p34,p43,1.054
p34,p44,1.079
p34,p45,1.049
p34,p46,1.05
p34,p47,1.082
p34,p48,1.053
p34,p49,1.091
p34,p50,1.05
p34,p51,1.046
p34,p52,1.074
p34,p53,1.043
p34,p54,1.079
p34,p55,1.04
p34,p56,1.049
p34,p57,1.084
p34,p58,1.066
p34,p59,1.22
p34,p60,1.045
p34,p61,1.127
p34,p62,1.074
p34,p63,1.186
p34,p64,1.242
p34,p65,1.222
p34,p66,1.096
p34,p67,1.287
p34,p68,1.051
p34,p69,1.043
p34,p70,1.052
p34,p71,1.072
p34,p72,1.076
p34,p73,1.07
p34,p74,1.083
p34,p75,1.053
p34,p76,1.055
p34,p77,1.053
p34,p78,1.057
p34,p79,1.053
p34,p80,1.05
p34,p81,1.055
p34,p82,1.063
p34,p83,1.065
p34,p84,1.068
p34,p85,1.062
p34,p86,1.077
p34,p87,1.075
p34,p88,1.086
p34,p89,1.173
p34,p90,1.154
p34,p91,1.185
p34,p92,1.145
p34,p93,1.108
p34,p94,1.251
p34,p95,1.34
p34,p96,1.349
p34,p97,1.358
p34,p98,1.39
p34,p99,1.41
p34,p100,1.483
p34,p101,1.318
p34,p102,1.345
p34,p103,1.049
p34,p104,1.053
p34,p105,1.084
p34,p106,1.062
p34,p107,1.078
p34,p108,1.079
p34,p109,1.112
p34,p110,1.253
p34,p111,1.154
p34,p112,1.172
p34,p113,1.137
p34,p114,1.174
p34,p115,1.295
p34,p116,1.281
p34,p117,1.341
p34,p118,1.345
p34,p119,1.432
p34,p120,1.513
p34,p121,1.509
p34,p122,1.609
p34,p123,1.528
p34,p124,1.62
p34,p125,1.6
p34,p126,1.604
p34,p127,1.48
p34,p128,1.716
p34,p129,1.528
p34,p130,1.653
p34,p131,1.669
p34,p132,1.581
p34,p133,1.643
p34,p134,1.747
p35,p1,1.412
p35,p2,1.391
p35,p3,1.411
p35,p4,1.374
p35,p5,1.446
p35,p6,1.327
p35,p7,1.274
p35,p8,1.312
p35,p9,1.58
p35,p10,1.447
p35,p11,1.428
p35,p12,1.301
p35,p13,1.254
p35,p14,1.44
p35,p15,1.288
p35,p16,1.271
p35,p17,1.297
p35,p18,1.174
p35,p19,1.083
p35,p20,1.151
p35,p21,1.277
p35,p22,1.123
p35,p23,1.115
p35,p24,1.116
p35,p25,1.266
p35,p26,1.22
p35,p27,1.261
p35,p28,1.288
p35,p29,1.274
p35,p30,1.119
p35,p31,1.122
p35,p32,1.031
p35,p33,1.118
p35,p34,1.077
p35,p36,1.074
p35,p37,1.056
p35,p38,1.037
p35,p39,1.047
p35,p40,1.034
p35,p41,1.052
p35,p42,1.043
p35,p43,1.041
p35,p44,1.033
p35,p45,1.034
p35,p46,1.042
p35,p47,1.036
p35,p48,1.03
p35,p49,1.024
p35,p50,1.021
p35,p51,1.029
p35,p52,1.023
p35,p53,1.026
p35,p54,1.048
p35,p55,1.049
p35,p56,1.033
p35,p57,1.057
p35,p58,1.048
p35,p59,1.068
p35,p60,1.027
p35,p61,1.063
p35,p62,1.039
p35,p63,1.087
p35,p64,1.159
p35,p65,1.138
p35,p66,1.068
p35,p67,1.109
p35,p68,1.029
p35,p69,1.026
p35,p70,1.034
p35,p71,1.049
p35,p72,1.052
p35,p73,1.069
p35,p74,1.109
p35,p75,1.057
p35,p76,1.053
p35,p77,1.046
p35,p78,1.051
p35,p79,1.049
p35,p80,1.03
p35,p81,1.026
p35,p82,1.031
p35,p83,1.025
p35,p84,1.083
p35,p85,1.055
p35,p86,1.06
p35,p87,1.057
p35,p88,1.095
p35,p89,1.169
p35,p90,1.12
p35,p91,1.144
p35,p92,1.094
p35,p93,1.062
p35,p94,1.216
p35,p95,1.266
p35,p96,1.322
p35,p97,1.283
p35,p98,1.316
p35,p99,1.339
p35,p100,1.492
p35,p101,1.284
p35,p102,1.31
p35,p103,1.032
p35,p104,1.033
p35,p105,1.057
p35,p106,1.022
p35,p107,1.033
p35,p108,1.034
p35,p109,1.068
p35,p110,1.186
p35,p111,1.133
p35,p112,1.128
p35,p113,1.089
p35,p114,1.119
p35,p115,1.269
p35,p116,1.225
p35,p117,1.269
p35,p118,1.273
p35,p119,1.403
p35,p120,1.482
p35,p121,1.477
p35,p122,1.577
p35,p123,1.541
p35,p124,1.59
p35,p125,1.568
p35,p126,1.572
p35,p127,1.453
p35,p128,1.682
p35,p129,1.501
p35,p130,1.623
p35,p131,1.638
p35,p132,1.553
p35,p133,1.614
p35,p134,1.715
p36,p1,1.34
p36,p2,1.316
p36,p3,1.317
p36,p4,1.298
p36,p5,1.368
p36,p6,1.28
p36,p7,1.223
p36,p8,1.268
p36,p9,1.517
p36,p10,1.393
p36,p11,1.378
p36,p12,1.277
p36,p13,1.213
p36,p14,1.334
p36,p15,1.23
p36,p16,1.204
p36,p17,1.215
p36,p18,1.122
p36,p19,1.04
p36,p20,1.102
p36,p21,1.145
p36,p22,1.061
p36,p23,1.07
p36,p24,1.08
p36,p25,1.201
p36,p26,1.197
p36,p27,1.223
p36,p28,1.202
p36,p29,1.143
p36,p30,1.112
p36,p31,1.113
p36,p32,1.043
p36,p33,1.068
p36,p34,1.068
p36,p35,1.074
p36,p37,1.035
p36,p38,1.022
p36,p39,1.045
p36,p40,1.028
p36,p41,1.021
p36,p42,1.017
p36,p43,1.022
p36,p44,1.027
p36,p45,1.026
p36,p46,1.036
p36,p47,1.028
p36,p48,1.034
p36,p49,1.038
p36,p50,1.026
p36,p51,1.027
p36,p52,1.049
p36,p53,1.024
p36,p54,1.024
p36,p55,1.03
p36,p56,1.031
p36,p57,1.057
p36,p58,1.054
p36,p59,1.061
p36,p60,1.035
p36,p61,1.056
p36,p62,1.033
p36,p63,1.097
p36,p64,1.17
p36,p65,1.145
p36,p66,1.07
p36,p67,1.113
p36,p68,1.018
p36,p69,1.025
p36,p70,1.028
p36,p71,1.033
p36,p72,1.043
p36,p73,1.04
p36,p74,1.119
p36,p75,1.041
p36,p76,1.035
p36,p77,1.041
p36,p78,1.048
p36,p79,1.046
p36,p80,1.034
p36,p81,1.024
p36,p82,1.028
p36,p83,1.024
p36,p84,1.059
p36,p85,1.055
p36,p86,1.061
p36,p87,1.047
p36,p88,1.078
p36,p89,1.171
p36,p90,1.115
p36,p91,1.141
p36,p92,1.107
p36,p93,1.077
p36,p94,1.247
p36,p95,1.306
p36,p96,1.362
p36,p97,1.324
p36,p98,1.359
p36,p99,1.381
p36,p100,1.564
p36,p101,1.286
p36,p102,1.313
p36,p103,1.031
p36,p104,1.033
p36,p105,1.063
p36,p106,1.019
p36,p107,1.041
p36,p108,1.043
p36,p109,1.079
p36,p110,1.216
p36,p111,1.153
p36,p112,1.148
p36,p113,1.102
p36,p114,1.138
p36,p115,1.312
p36,p116,1.261
p36,p117,1.312
p36,p118,1.312
p36,p119,1.464
p36,p120,1.554
p36,p121,1.549
p36,p122,1.657
p36,p123,1.619
p36,p124,1.665
p36,p125,1.647
p36,p126,1.65
p36,p127,1.512
p36,p128,1.77
p36,p129,1.562
p36,p130,1.698
p36,p131,1.715
p36,p132,1.62
p36,p133,1.687
p36,p134,1.798
p37,p1,1.296
p37,p2,1.272
p37,p3,1.267
p37,p4,1.255
p37,p5,1.321
p37,p6,1.247
p37,p7,1.19
p37,p8,1.238
p37,p9,1.455
p37,p10,1.346
p37,p11,1.283
p37,p12,1.237
p37,p13,1.181
p37,p14,1.28
p37,p15,1.195
p37,p16,1.168
p37,p17,1.175
p37,p18,1.099
p37,p19,1.025
p37,p20,1.078
p37,p21,1.117
p37,p22,1.05
p37,p23,1.06
p37,p24,1.062
p37,p25,1.158
p37,p26,1.143
p37,p27,1.181
p37,p28,1.189
p37,p29,1.131
p37,p30,1.103
p37,p31,1.103
p37,p32,1.034
p37,p33,1.065
p37,p34,1.065
p37,p35,1.056
p37,p36,1.035
p37,p38,1.031
p37,p39,1.044
p37,p40,1.026
p37,p41,1.029
p37,p42,1.01
p37,p43,1.056
p37,p44,1.009
p37,p45,1.007
p37,p46,1.076
p37,p47,1.02
p37,p48,1.019
p37,p49,1.019
p37,p50,1.028
p37,p51,1.045
p37,p52,1.023
p37,p53,1.033
p37,p54,1.032
p37,p55,1.035
p37,p56,1.036
p37,p57,1.068
p37,p58,1.049
p37,p59,1.052
p37,p60,1.02
p37,p61,1.045
p37,p62,1.022
p37,p63,1.102
p37,p64,1.17
p37,p65,1.19
p37,p66,1.08
p37,p67,1.125
p37,p68,1.008
p37,p69,1.012
p37,p70,1.007
p37,p71,1.016
p37,p72,1.023
p37,p73,1.027
p37,p74,1.157
p37,p75,1.055
p37,p76,1.048
p37,p77,1.067
p37,p78,1.084
p37,p79,1.055
p37,p80,1.08
p37,p81,1.022
p37,p82,1.022
p37,p83,1.025
p37,p84,1.047
p37,p85,1.061
p37,p86,1.069
p37,p87,1.042
p37,p88,1.07
p37,p89,1.17
p37,p90,1.103
p37,p91,1.151
p37,p92,1.097
p37,p93,1.06
p37,p94,1.246
p37,p95,1.331
p37,p96,1.392
p37,p97,1.351
p37,p98,1.387
p37,p99,1.408
p37,p100,1.627
p37,p101,1.286
p37,p102,1.314
p37,p103,1.036
p37,p104,1.039
p37,p105,1.073
p37,p106,1.022
p37,p107,1.021
p37,p108,1.026
p37,p109,1.094
p37,p110,1.234
p37,p111,1.176
p37,p112,1.17
p37,p113,1.118
p37,p114,1.159
p37,p115,1.353
p37,p116,1.296
p37,p117,1.352
p37,p118,1.337
p37,p119,1.519
p37,p120,1.617
p37,p121,1.611
p37,p122,1.725
p37,p123,1.685
p37,p124,1.727
p37,p125,1.713
p37,p126,1.716
p37,p127,1.562
p37,p128,1.843
p37,p129,1.613
p37,p130,1.76
p37,p131,1.778
p37,p132,1.675
p37,p133,1.747
p37,p134,1.864
p38,p1,1.272
p38,p2,1.247
p38,p3,1.239
p38,p4,1.231
p38,p5,1.295
p38,p6,1.254
p38,p7,1.195
p38,p8,1.253
p38,p9,1.481
p38,p10,1.375
p38,p11,1.321
p38,p12,1.253
p38,p13,1.204
p38,p14,1.25
p38,p15,1.198
p38,p16,1.208
p38,p17,1.151
p38,p18,1.086
p38,p19,1.049
p38,p20,1.056
p38,p21,1.113
p38,p22,1.112
p38,p23,1.072
p38,p24,1.072
p38,p25,1.191
p38,p26,1.168
p38,p27,1.208
p38,p28,1.219
p38,p29,1.156
p38,p30,1.116
p38,p31,1.122
p38,p32,1.036
p38,p33,1.054
p38,p34,1.061
p38,p35,1.037
p38,p36,1.022
p38,p37,1.031
p38,p39,1.052
p38,p40,1.036
p38,p41,1.043
p38,p42,1.017
p38,p43,1.034
p38,p44,1.025
p38,p45,1.049
p38,p46,1.052
p38,p47,1.025
p38,p48,1.019
p38,p49,1.022
p38,p50,1.033
p38,p51,1.051
p38,p52,1.026
p38,p53,1.039
p38,p54,1.038
p38,p55,1.043
p38,p56,1.043
p38,p57,1.083
p38,p58,1.067
p38,p59,1.063
p38,p60,1.021
p38,p61,1.053
p38,p62,1.023
p38,p63,1.141
p38,p64,1.204
p38,p65,1.226
p38,p66,1.094
p38,p67,1.149
p38,p68,1.018
p38,p69,1.016
p38,p70,1.038
p38,p71,1.052
p38,p72,1.065
p38,p73,1.057
p38,p74,1.108
p38,p75,1.057
p38,p76,1.063
p38,p77,1.06
p38,p78,1.068
p38,p79,1.062
p38,p80,1.03
p38,p81,1.02
p38,p82,1.026
p38,p83,1.021
p38,p84,1.082
p38,p85,1.074
p38,p86,1.082
p38,p87,1.058
p38,p88,1.107
p38,p89,1.227
p38,p90,1.143
p38,p91,1.174
p38,p92,1.133
p38,p93,1.083
p38,p94,1.308
p38,p95,1.377
p38,p96,1.439
p38,p97,1.398
p38,p98,1.435
p38,p99,1.454
p38,p100,1.697
p38,p101,1.345
p38,p102,1.369
p38,p103,1.033
p38,p104,1.035
p38,p105,1.079
p38,p106,1.016
p38,p107,1.032
p38,p108,1.036
p38,p109,1.092
p38,p110,1.269
p38,p111,1.196
p38,p112,1.192
p38,p113,1.131
p38,p114,1.18
p38,p115,1.398
p38,p116,1.335
p38,p117,1.397
p38,p118,1.382
p38,p119,1.579
p38,p120,1.688
p38,p121,1.681
p38,p122,1.8
p38,p123,1.76
p38,p124,1.795
p38,p125,1.787
p38,p126,1.79
p38,p127,1.616
p38,p128,1.925
p38,p129,1.667
p38,p130,1.828
p38,p131,1.847
p38,p132,1.735
p38,p133,1.813
p38,p134,1.936
p39,p1,1.313
p39,p2,1.271
p39,p3,1.284
p39,p4,1.272
p39,p5,1.296
p39,p6,1.322
p39,p7,1.241
p39,p8,1.322
p39,p9,1.619
p39,p10,1.48
p39,p11,1.394
p39,p12,1.332
p39,p13,1.265
p39,p14,1.299
p39,p15,1.249
p39,p16,1.29
p39,p17,1.191
p39,p18,1.107
p39,p19,1.054
p39,p20,1.17
p39,p21,1.202
p39,p22,1.221
p39,p23,1.07
p39,p24,1.229
p39,p25,1.296
p39,p26,1.28
p39,p27,1.267
p39,p28,1.286
p39,p29,1.222
p39,p30,1.151
p39,p31,1.18
p39,p32,1.066
p39,p33,1.174
p39,p34,1.142
p39,p35,1.047
p39,p36,1.045
p39,p37,1.044
p39,p38,1.052
p39,p40,1.027
p39,p41,1.045
p39,p42,1.038
p39,p43,1.031
p39,p44,1.032
p39,p45,1.058
p39,p46,1.049
p39,p47,1.041
p39,p48,1.027
p39,p49,1.017
p39,p50,1.016
p39,p51,1.036
p39,p52,1.016
p39,p53,1.035
p39,p54,1.026
p39,p55,1.032
p39,p56,1.05
p39,p57,1.069
p39,p58,1.056
p39,p59,1.086
p39,p60,1.023
p39,p61,1.082
p39,p62,1.044
p39,p63,1.114
p39,p64,1.208
p39,p65,1.175
p39,p66,1.082
p39,p67,1.136
p39,p68,1.033
p39,p69,1.05
p39,p70,1.057
p39,p71,1.041
p39,p72,1.029
p39,p73,1.04
p39,p74,1.075
p39,p75,1.052
p39,p76,1.055
p39,p77,1.053
p39,p78,1.067
p39,p79,1.062
p39,p80,1.058
p39,p81,1.055
p39,p82,1.054
p39,p83,1.045
p39,p84,1.062
p39,p85,1.075
p39,p86,1.077
p39,p87,1.074
p39,p88,1.089
p39,p89,1.182
p39,p90,1.154
p39,p91,1.183
p39,p92,1.105
p39,p93,1.066
p39,p94,1.244
p39,p95,1.305
p39,p96,1.343
p39,p97,1.324
p39,p98,1.358
p39,p99,1.38
p39,p100,1.575
p39,p101,1.322
p39,p102,1.347
p39,p103,1.055
p39,p104,1.06
p39,p105,1.087
p39,p106,1.042
p39,p107,1.03
p39,p108,1.032
p39,p109,1.081
p39,p110,1.215
p39,p111,1.173
p39,p112,1.167
p39,p113,1.122
p39,p114,1.157
p39,p115,1.328
p39,p116,1.276
p39,p117,1.326
p39,p118,1.311
p39,p119,1.476
p39,p120,1.565
p39,p121,1.559
p39,p122,1.665
p39,p123,1.629
p39,p124,1.673
p39,p125,1.655
p39,p126,1.659
p39,p127,1.522
p39,p128,1.777
p39,p129,1.571
p39,p130,1.706
p39,p131,1.722
p39,p132,1.628
p39,p133,1.695
p39,p134,1.803
p40,p1,1.269
p40,p2,1.217
p40,p3,1.238
p40,p4,1.23
p40,p5,1.24
p40,p6,1.256
p40,p7,1.181
p40,p8,1.256
p40,p9,1.496
p40,p10,1.411
p40,p11,1.35
p40,p12,1.256
p40,p13,1.204
p40,p14,1.248
p40,p15,1.183
p40,p16,1.19
p40,p17,1.153
p40,p18,1.092
p40,p19,1.031
p40,p20,1.094
p40,p21,1.105
p40,p22,1.104
p40,p23,1.066
p40,p24,1.059
p40,p25,1.191
p40,p26,1.184
p40,p27,1.224
p40,p28,1.238
p40,p29,1.166
p40,p30,1.135
p40,p31,1.143
p40,p32,1.056
p40,p33,1.069
p40,p34,1.06
p40,p35,1.034
p40,p36,1.028
p40,p37,1.026
p40,p38,1.036
p40,p39,1.027
p40,p41,1.038
p40,p42,1.021
p40,p43,1.037
p40,p44,1.028
p40,p45,1.031
p40,p46,1.043
p40,p47,1.022
p40,p48,1.014
p40,p49,1.014
p40,p50,1.025
p40,p51,1.027
p40,p52,1.019
p40,p53,1.018
p40,p54,1.046
p40,p55,1.063
p40,p56,1.036
p40,p57,1.078
p40,p58,1.058
p40,p59,1.07
p40,p60,1.017
p40,p61,1.058
p40,p62,1.02
p40,p63,1.152
p40,p64,1.255
p40,p65,1.281
p40,p66,1.093
p40,p67,1.157
p40,p68,1.038
p40,p69,1.025
p40,p70,1.053
p40,p71,1.065
p40,p72,1.041
p40,p73,1.062
p40,p74,1.094
p40,p75,1.049
p40,p76,1.052
p40,p77,1.049
p40,p78,1.055
p40,p79,1.049
p40,p80,1.043
p40,p81,1.059
p40,p82,1.073
p40,p83,1.059
p40,p84,1.099
p40,p85,1.077
p40,p86,1.082
p40,p87,1.075
p40,p88,1.134
p40,p89,1.251
p40,p90,1.17
p40,p91,1.205
p40,p92,1.142
p40,p93,1.088
p40,p94,1.328
p40,p95,1.386
p40,p96,1.431
p40,p97,1.407
p40,p98,1.444
p40,p99,1.461
p40,p100,1.552
p40,p101,1.382
p40,p102,1.403
p40,p103,1.047
p40,p104,1.052
p40,p105,1.106
p40,p106,1.052
p40,p107,1.04
p40,p108,1.042
p40,p109,1.108
p40,p110,1.28
p40,p111,1.198
p40,p112,1.224
p40,p113,1.169
p40,p114,1.21
p40,p115,1.387
p40,p116,1.362
p40,p117,1.422
p40,p118,1.391
p40,p119,1.561
p40,p120,1.665
p40,p121,1.657
p40,p122,1.774
p40,p123,1.734
p40,p124,1.772
p40,p125,1.761
p40,p126,1.764
p40,p127,1.599
p40,p128,1.895
p40,p129,1.649
p40,p130,1.804
p40,p131,1.823
p40,p132,1.715
p40,p133,1.79
p40,p134,1.91
