*i,ii,ctt,wst
nuclear_o_ss,nuclear,o,ss
nuclear_o_ww,nuclear,o,ww
nuclear_r_fsu,nuclear,r,fsu
nuclear_r_fsa,nuclear,r,fsa
nuclear_r_fsl,nuclear,r,fsl
nuclear_r_fg,nuclear,r,fg
nuclear_r_sg,nuclear,r,sg
nuclear_r_ss,nuclear,r,ss
nuclear_r_ww,nuclear,r,ww
nuclear_p_fsu,nuclear,p,fsu
nuclear_p_fsa,nuclear,p,fsa
nuclear_p_fsl,nuclear,p,fsl
nuclear_p_fg,nuclear,p,fg
nuclear_p_sg,nuclear,p,sg
nuclear_p_ss,nuclear,p,ss
nuclear_p_ww,nuclear,p,ww
nuclear_d_fsu,nuclear,d,fsu
nuclear_d_fsa,nuclear,d,fsa
nuclear_d_fsl,nuclear,d,fsl
nuclear_d_fg,nuclear,d,fg
nuclear_d_sg,nuclear,d,sg
nuclear_d_ss,nuclear,d,ss
nuclear_d_ww,nuclear,d,ww
nuclear-SMR_o_fsu,nuclear-SMR,o,fsu
nuclear-SMR_o_fsa,nuclear-SMR,o,fsa
nuclear-SMR_o_fsl,nuclear-SMR,o,fsl
nuclear-SMR_o_fg,nuclear-SMR,o,fg
nuclear-SMR_o_sg,nuclear-SMR,o,sg
nuclear-SMR_o_ss,nuclear-SMR,o,ss
nuclear-SMR_o_ww,nuclear-SMR,o,ww
nuclear-SMR_r_fsu,nuclear-SMR,r,fsu
nuclear-SMR_r_fsa,nuclear-SMR,r,fsa
nuclear-SMR_r_fsl,nuclear-SMR,r,fsl
nuclear-SMR_r_fg,nuclear-SMR,r,fg
nuclear-SMR_r_sg,nuclear-SMR,r,sg
nuclear-SMR_r_ss,nuclear-SMR,r,ss
nuclear-SMR_r_ww,nuclear-SMR,r,ww
nuclear-SMR_p_fsu,nuclear-SMR,p,fsu
nuclear-SMR_p_fsa,nuclear-SMR,p,fsa
nuclear-SMR_p_fsl,nuclear-SMR,p,fsl
nuclear-SMR_p_fg,nuclear-SMR,p,fg
nuclear-SMR_p_sg,nuclear-SMR,p,sg
nuclear-SMR_p_ss,nuclear-SMR,p,ss
nuclear-SMR_p_ww,nuclear-SMR,p,ww
nuclear-SMR_d_fsu,nuclear-SMR,d,fsu
nuclear-SMR_d_fsa,nuclear-SMR,d,fsa
nuclear-SMR_d_fsl,nuclear-SMR,d,fsl
nuclear-SMR_d_fg,nuclear-SMR,d,fg
nuclear-SMR_d_sg,nuclear-SMR,d,sg
nuclear-SMR_d_ss,nuclear-SMR,d,ss
nuclear-SMR_d_ww,nuclear-SMR,d,ww
biopower_o_fsu,biopower,o,fsu
biopower_o_fsa,biopower,o,fsa
biopower_o_fsl,biopower,o,fsl
biopower_o_fg,biopower,o,fg
biopower_o_sg,biopower,o,sg
biopower_o_ss,biopower,o,ss
biopower_o_ww,biopower,o,ww
biopower_r_fsu,biopower,r,fsu
biopower_r_fsa,biopower,r,fsa
biopower_r_fsl,biopower,r,fsl
biopower_r_fg,biopower,r,fg
biopower_r_sg,biopower,r,sg
biopower_r_ss,biopower,r,ss
biopower_r_ww,biopower,r,ww
biopower_p_fsu,biopower,p,fsu
biopower_p_fsa,biopower,p,fsa
biopower_p_fsl,biopower,p,fsl
biopower_p_fg,biopower,p,fg
biopower_p_sg,biopower,p,sg
biopower_p_ss,biopower,p,ss
biopower_p_ww,biopower,p,ww
biopower_d_fsu,biopower,d,fsu
biopower_d_fsa,biopower,d,fsa
biopower_d_fsl,biopower,d,fsl
biopower_d_fg,biopower,d,fg
biopower_d_sg,biopower,d,sg
biopower_d_ss,biopower,d,ss
biopower_d_ww,biopower,d,ww
biopower_n_fsu,biopower,n,fsu
biopower_n_fsa,biopower,n,fsa
biopower_n_fsl,biopower,n,fsl
biopower_n_fg,biopower,n,fg
biopower_n_sg,biopower,n,sg
biopower_n_ss,biopower,n,ss
biopower_n_ww,biopower,n,ww
beccs_mod_o_fsu,beccs_mod,o,fsu
beccs_mod_o_fsa,beccs_mod,o,fsa
beccs_mod_o_fsl,beccs_mod,o,fsl
beccs_mod_o_fg,beccs_mod,o,fg
beccs_mod_o_sg,beccs_mod,o,sg
beccs_mod_o_ss,beccs_mod,o,ss
beccs_mod_o_ww,beccs_mod,o,ww
beccs_mod_r_fsu,beccs_mod,r,fsu
beccs_mod_r_fsa,beccs_mod,r,fsa
beccs_mod_r_fsl,beccs_mod,r,fsl
beccs_mod_r_fg,beccs_mod,r,fg
beccs_mod_r_sg,beccs_mod,r,sg
beccs_mod_r_ss,beccs_mod,r,ss
beccs_mod_r_ww,beccs_mod,r,ww
beccs_mod_p_fsu,beccs_mod,p,fsu
beccs_mod_p_fsa,beccs_mod,p,fsa
beccs_mod_p_fsl,beccs_mod,p,fsl
beccs_mod_p_fg,beccs_mod,p,fg
beccs_mod_p_sg,beccs_mod,p,sg
beccs_mod_p_ss,beccs_mod,p,ss
beccs_mod_p_ww,beccs_mod,p,ww
beccs_mod_d_fsu,beccs_mod,d,fsu
beccs_mod_d_fsa,beccs_mod,d,fsa
beccs_mod_d_fsl,beccs_mod,d,fsl
beccs_mod_d_fg,beccs_mod,d,fg
beccs_mod_d_sg,beccs_mod,d,sg
beccs_mod_d_ss,beccs_mod,d,ss
beccs_mod_d_ww,beccs_mod,d,ww
beccs_mod_n_fsu,beccs_mod,n,fsu
beccs_mod_n_fsa,beccs_mod,n,fsa
beccs_mod_n_fsl,beccs_mod,n,fsl
beccs_mod_n_fg,beccs_mod,n,fg
beccs_mod_n_sg,beccs_mod,n,sg
beccs_mod_n_ss,beccs_mod,n,ss
beccs_mod_n_ww,beccs_mod,n,ww
beccs_max_o_fsu,beccs_max,o,fsu
beccs_max_o_fsa,beccs_max,o,fsa
beccs_max_o_fsl,beccs_max,o,fsl
beccs_max_o_fg,beccs_max,o,fg
beccs_max_o_sg,beccs_max,o,sg
beccs_max_o_ss,beccs_max,o,ss
beccs_max_o_ww,beccs_max,o,ww
beccs_max_r_fsu,beccs_max,r,fsu
beccs_max_r_fsa,beccs_max,r,fsa
beccs_max_r_fsl,beccs_max,r,fsl
beccs_max_r_fg,beccs_max,r,fg
beccs_max_r_sg,beccs_max,r,sg
beccs_max_r_ss,beccs_max,r,ss
beccs_max_r_ww,beccs_max,r,ww
beccs_max_p_fsu,beccs_max,p,fsu
beccs_max_p_fsa,beccs_max,p,fsa
beccs_max_p_fsl,beccs_max,p,fsl
beccs_max_p_fg,beccs_max,p,fg
beccs_max_p_sg,beccs_max,p,sg
beccs_max_p_ss,beccs_max,p,ss
beccs_max_p_ww,beccs_max,p,ww
beccs_max_d_fsu,beccs_max,d,fsu
beccs_max_d_fsa,beccs_max,d,fsa
beccs_max_d_fsl,beccs_max,d,fsl
beccs_max_d_fg,beccs_max,d,fg
beccs_max_d_sg,beccs_max,d,sg
beccs_max_d_ss,beccs_max,d,ss
beccs_max_d_ww,beccs_max,d,ww
beccs_max_n_fsu,beccs_max,n,fsu
beccs_max_n_fsa,beccs_max,n,fsa
beccs_max_n_fsl,beccs_max,n,fsl
beccs_max_n_fg,beccs_max,n,fg
beccs_max_n_sg,beccs_max,n,sg
beccs_max_n_ss,beccs_max,n,ss
beccs_max_n_ww,beccs_max,n,ww
lfill-gas_o_fsu,lfill-gas,o,fsu
lfill-gas_o_fsa,lfill-gas,o,fsa
lfill-gas_o_fsl,lfill-gas,o,fsl
lfill-gas_o_fg,lfill-gas,o,fg
lfill-gas_o_sg,lfill-gas,o,sg
lfill-gas_o_ss,lfill-gas,o,ss
lfill-gas_o_ww,lfill-gas,o,ww
lfill-gas_r_fsu,lfill-gas,r,fsu
lfill-gas_r_fsa,lfill-gas,r,fsa
lfill-gas_r_fsl,lfill-gas,r,fsl
lfill-gas_r_fg,lfill-gas,r,fg
lfill-gas_r_sg,lfill-gas,r,sg
lfill-gas_r_ss,lfill-gas,r,ss
lfill-gas_r_ww,lfill-gas,r,ww
lfill-gas_p_fsu,lfill-gas,p,fsu
lfill-gas_p_fsa,lfill-gas,p,fsa
lfill-gas_p_fsl,lfill-gas,p,fsl
lfill-gas_p_fg,lfill-gas,p,fg
lfill-gas_p_sg,lfill-gas,p,sg
lfill-gas_p_ss,lfill-gas,p,ss
lfill-gas_p_ww,lfill-gas,p,ww
lfill-gas_d_fsu,lfill-gas,d,fsu
lfill-gas_d_fsa,lfill-gas,d,fsa
lfill-gas_d_fsl,lfill-gas,d,fsl
lfill-gas_d_fg,lfill-gas,d,fg
lfill-gas_d_sg,lfill-gas,d,sg
lfill-gas_d_ss,lfill-gas,d,ss
lfill-gas_d_ww,lfill-gas,d,ww
lfill-gas_n_fsu,lfill-gas,n,fsu
lfill-gas_n_fsa,lfill-gas,n,fsa
lfill-gas_n_fsl,lfill-gas,n,fsl
lfill-gas_n_fg,lfill-gas,n,fg
lfill-gas_n_sg,lfill-gas,n,sg
lfill-gas_n_ss,lfill-gas,n,ss
lfill-gas_n_ww,lfill-gas,n,ww
csp-ns_r_fsu,csp-ns,r,fsu
csp-ns_r_fsa,csp-ns,r,fsa
csp-ns_r_fsl,csp-ns,r,fsl
csp-ns_r_fg,csp-ns,r,fg
csp-ns_r_sg,csp-ns,r,sg
csp-ns_r_ss,csp-ns,r,ss
csp-ns_r_ww,csp-ns,r,ww
csp-ns_d_fsu,csp-ns,d,fsu
csp-ns_d_fsa,csp-ns,d,fsa
csp-ns_d_fsl,csp-ns,d,fsl
csp-ns_d_fg,csp-ns,d,fg
csp-ns_d_sg,csp-ns,d,sg
csp-ns_d_ss,csp-ns,d,ss
csp-ns_d_ww,csp-ns,d,ww
csp1_1_r_fsu,csp1_1,r,fsu
csp1_2_r_fsu,csp1_2,r,fsu
csp1_3_r_fsu,csp1_3,r,fsu
csp1_4_r_fsu,csp1_4,r,fsu
csp1_5_r_fsu,csp1_5,r,fsu
csp1_6_r_fsu,csp1_6,r,fsu
csp1_7_r_fsu,csp1_7,r,fsu
csp1_8_r_fsu,csp1_8,r,fsu
csp1_9_r_fsu,csp1_9,r,fsu
csp1_10_r_fsu,csp1_10,r,fsu
csp1_11_r_fsu,csp1_11,r,fsu
csp1_12_r_fsu,csp1_12,r,fsu
csp1_1_r_fsa,csp1_1,r,fsa
csp1_2_r_fsa,csp1_2,r,fsa
csp1_3_r_fsa,csp1_3,r,fsa
csp1_4_r_fsa,csp1_4,r,fsa
csp1_5_r_fsa,csp1_5,r,fsa
csp1_6_r_fsa,csp1_6,r,fsa
csp1_7_r_fsa,csp1_7,r,fsa
csp1_8_r_fsa,csp1_8,r,fsa
csp1_9_r_fsa,csp1_9,r,fsa
csp1_10_r_fsa,csp1_10,r,fsa
csp1_11_r_fsa,csp1_11,r,fsa
csp1_12_r_fsa,csp1_12,r,fsa
csp1_1_r_fsl,csp1_1,r,fsl
csp1_2_r_fsl,csp1_2,r,fsl
csp1_3_r_fsl,csp1_3,r,fsl
csp1_4_r_fsl,csp1_4,r,fsl
csp1_5_r_fsl,csp1_5,r,fsl
csp1_6_r_fsl,csp1_6,r,fsl
csp1_7_r_fsl,csp1_7,r,fsl
csp1_8_r_fsl,csp1_8,r,fsl
csp1_9_r_fsl,csp1_9,r,fsl
csp1_10_r_fsl,csp1_10,r,fsl
csp1_11_r_fsl,csp1_11,r,fsl
csp1_12_r_fsl,csp1_12,r,fsl
csp1_1_r_fg,csp1_1,r,fg
csp1_2_r_fg,csp1_2,r,fg
csp1_3_r_fg,csp1_3,r,fg
csp1_4_r_fg,csp1_4,r,fg
csp1_5_r_fg,csp1_5,r,fg
csp1_6_r_fg,csp1_6,r,fg
csp1_7_r_fg,csp1_7,r,fg
csp1_8_r_fg,csp1_8,r,fg
csp1_9_r_fg,csp1_9,r,fg
csp1_10_r_fg,csp1_10,r,fg
csp1_11_r_fg,csp1_11,r,fg
csp1_12_r_fg,csp1_12,r,fg
csp1_1_r_sg,csp1_1,r,sg
csp1_2_r_sg,csp1_2,r,sg
csp1_3_r_sg,csp1_3,r,sg
csp1_4_r_sg,csp1_4,r,sg
csp1_5_r_sg,csp1_5,r,sg
csp1_6_r_sg,csp1_6,r,sg
csp1_7_r_sg,csp1_7,r,sg
csp1_8_r_sg,csp1_8,r,sg
csp1_9_r_sg,csp1_9,r,sg
csp1_10_r_sg,csp1_10,r,sg
csp1_11_r_sg,csp1_11,r,sg
csp1_12_r_sg,csp1_12,r,sg
csp1_1_r_ss,csp1_1,r,ss
csp1_2_r_ss,csp1_2,r,ss
csp1_3_r_ss,csp1_3,r,ss
csp1_4_r_ss,csp1_4,r,ss
csp1_5_r_ss,csp1_5,r,ss
csp1_6_r_ss,csp1_6,r,ss
csp1_7_r_ss,csp1_7,r,ss
csp1_8_r_ss,csp1_8,r,ss
csp1_9_r_ss,csp1_9,r,ss
csp1_10_r_ss,csp1_10,r,ss
csp1_11_r_ss,csp1_11,r,ss
csp1_12_r_ss,csp1_12,r,ss
csp1_1_r_ww,csp1_1,r,ww
csp1_2_r_ww,csp1_2,r,ww
csp1_3_r_ww,csp1_3,r,ww
csp1_4_r_ww,csp1_4,r,ww
csp1_5_r_ww,csp1_5,r,ww
csp1_6_r_ww,csp1_6,r,ww
csp1_7_r_ww,csp1_7,r,ww
csp1_8_r_ww,csp1_8,r,ww
csp1_9_r_ww,csp1_9,r,ww
csp1_10_r_ww,csp1_10,r,ww
csp1_11_r_ww,csp1_11,r,ww
csp1_12_r_ww,csp1_12,r,ww
csp1_1_d_fsu,csp1_1,d,fsu
csp1_2_d_fsu,csp1_2,d,fsu
csp1_3_d_fsu,csp1_3,d,fsu
csp1_4_d_fsu,csp1_4,d,fsu
csp1_5_d_fsu,csp1_5,d,fsu
csp1_6_d_fsu,csp1_6,d,fsu
csp1_7_d_fsu,csp1_7,d,fsu
csp1_8_d_fsu,csp1_8,d,fsu
csp1_9_d_fsu,csp1_9,d,fsu
csp1_10_d_fsu,csp1_10,d,fsu
csp1_11_d_fsu,csp1_11,d,fsu
csp1_12_d_fsu,csp1_12,d,fsu
csp1_1_d_fsa,csp1_1,d,fsa
csp1_2_d_fsa,csp1_2,d,fsa
csp1_3_d_fsa,csp1_3,d,fsa
csp1_4_d_fsa,csp1_4,d,fsa
csp1_5_d_fsa,csp1_5,d,fsa
csp1_6_d_fsa,csp1_6,d,fsa
csp1_7_d_fsa,csp1_7,d,fsa
csp1_8_d_fsa,csp1_8,d,fsa
csp1_9_d_fsa,csp1_9,d,fsa
csp1_10_d_fsa,csp1_10,d,fsa
csp1_11_d_fsa,csp1_11,d,fsa
csp1_12_d_fsa,csp1_12,d,fsa
csp1_1_d_fsl,csp1_1,d,fsl
csp1_2_d_fsl,csp1_2,d,fsl
csp1_3_d_fsl,csp1_3,d,fsl
csp1_4_d_fsl,csp1_4,d,fsl
csp1_5_d_fsl,csp1_5,d,fsl
csp1_6_d_fsl,csp1_6,d,fsl
csp1_7_d_fsl,csp1_7,d,fsl
csp1_8_d_fsl,csp1_8,d,fsl
csp1_9_d_fsl,csp1_9,d,fsl
csp1_10_d_fsl,csp1_10,d,fsl
csp1_11_d_fsl,csp1_11,d,fsl
csp1_12_d_fsl,csp1_12,d,fsl
csp1_1_d_fg,csp1_1,d,fg
csp1_2_d_fg,csp1_2,d,fg
csp1_3_d_fg,csp1_3,d,fg
csp1_4_d_fg,csp1_4,d,fg
csp1_5_d_fg,csp1_5,d,fg
csp1_6_d_fg,csp1_6,d,fg
csp1_7_d_fg,csp1_7,d,fg
csp1_8_d_fg,csp1_8,d,fg
csp1_9_d_fg,csp1_9,d,fg
csp1_10_d_fg,csp1_10,d,fg
csp1_11_d_fg,csp1_11,d,fg
csp1_12_d_fg,csp1_12,d,fg
csp1_1_d_sg,csp1_1,d,sg
csp1_2_d_sg,csp1_2,d,sg
csp1_3_d_sg,csp1_3,d,sg
csp1_4_d_sg,csp1_4,d,sg
csp1_5_d_sg,csp1_5,d,sg
csp1_6_d_sg,csp1_6,d,sg
csp1_7_d_sg,csp1_7,d,sg
csp1_8_d_sg,csp1_8,d,sg
csp1_9_d_sg,csp1_9,d,sg
csp1_10_d_sg,csp1_10,d,sg
csp1_11_d_sg,csp1_11,d,sg
csp1_12_d_sg,csp1_12,d,sg
csp1_1_d_ss,csp1_1,d,ss
csp1_2_d_ss,csp1_2,d,ss
csp1_3_d_ss,csp1_3,d,ss
csp1_4_d_ss,csp1_4,d,ss
csp1_5_d_ss,csp1_5,d,ss
csp1_6_d_ss,csp1_6,d,ss
csp1_7_d_ss,csp1_7,d,ss
csp1_8_d_ss,csp1_8,d,ss
csp1_9_d_ss,csp1_9,d,ss
csp1_10_d_ss,csp1_10,d,ss
csp1_11_d_ss,csp1_11,d,ss
csp1_12_d_ss,csp1_12,d,ss
csp1_1_d_ww,csp1_1,d,ww
csp1_2_d_ww,csp1_2,d,ww
csp1_3_d_ww,csp1_3,d,ww
csp1_4_d_ww,csp1_4,d,ww
csp1_5_d_ww,csp1_5,d,ww
csp1_6_d_ww,csp1_6,d,ww
csp1_7_d_ww,csp1_7,d,ww
csp1_8_d_ww,csp1_8,d,ww
csp1_9_d_ww,csp1_9,d,ww
csp1_10_d_ww,csp1_10,d,ww
csp1_11_d_ww,csp1_11,d,ww
csp1_12_d_ww,csp1_12,d,ww
csp2_1_r_fsu,csp2_1,r,fsu
csp2_2_r_fsu,csp2_2,r,fsu
csp2_3_r_fsu,csp2_3,r,fsu
csp2_4_r_fsu,csp2_4,r,fsu
csp2_5_r_fsu,csp2_5,r,fsu
csp2_6_r_fsu,csp2_6,r,fsu
csp2_7_r_fsu,csp2_7,r,fsu
csp2_8_r_fsu,csp2_8,r,fsu
csp2_9_r_fsu,csp2_9,r,fsu
csp2_10_r_fsu,csp2_10,r,fsu
csp2_11_r_fsu,csp2_11,r,fsu
csp2_12_r_fsu,csp2_12,r,fsu
csp2_1_r_fsa,csp2_1,r,fsa
csp2_2_r_fsa,csp2_2,r,fsa
csp2_3_r_fsa,csp2_3,r,fsa
csp2_4_r_fsa,csp2_4,r,fsa
csp2_5_r_fsa,csp2_5,r,fsa
csp2_6_r_fsa,csp2_6,r,fsa
csp2_7_r_fsa,csp2_7,r,fsa
csp2_8_r_fsa,csp2_8,r,fsa
csp2_9_r_fsa,csp2_9,r,fsa
csp2_10_r_fsa,csp2_10,r,fsa
csp2_11_r_fsa,csp2_11,r,fsa
csp2_12_r_fsa,csp2_12,r,fsa
csp2_1_r_fsl,csp2_1,r,fsl
csp2_2_r_fsl,csp2_2,r,fsl
csp2_3_r_fsl,csp2_3,r,fsl
csp2_4_r_fsl,csp2_4,r,fsl
csp2_5_r_fsl,csp2_5,r,fsl
csp2_6_r_fsl,csp2_6,r,fsl
csp2_7_r_fsl,csp2_7,r,fsl
csp2_8_r_fsl,csp2_8,r,fsl
csp2_9_r_fsl,csp2_9,r,fsl
csp2_10_r_fsl,csp2_10,r,fsl
csp2_11_r_fsl,csp2_11,r,fsl
csp2_12_r_fsl,csp2_12,r,fsl
csp2_1_r_fg,csp2_1,r,fg
csp2_2_r_fg,csp2_2,r,fg
csp2_3_r_fg,csp2_3,r,fg
csp2_4_r_fg,csp2_4,r,fg
csp2_5_r_fg,csp2_5,r,fg
csp2_6_r_fg,csp2_6,r,fg
csp2_7_r_fg,csp2_7,r,fg
csp2_8_r_fg,csp2_8,r,fg
csp2_9_r_fg,csp2_9,r,fg
csp2_10_r_fg,csp2_10,r,fg
csp2_11_r_fg,csp2_11,r,fg
csp2_12_r_fg,csp2_12,r,fg
csp2_1_r_sg,csp2_1,r,sg
csp2_2_r_sg,csp2_2,r,sg
csp2_3_r_sg,csp2_3,r,sg
csp2_4_r_sg,csp2_4,r,sg
csp2_5_r_sg,csp2_5,r,sg
csp2_6_r_sg,csp2_6,r,sg
csp2_7_r_sg,csp2_7,r,sg
csp2_8_r_sg,csp2_8,r,sg
csp2_9_r_sg,csp2_9,r,sg
csp2_10_r_sg,csp2_10,r,sg
csp2_11_r_sg,csp2_11,r,sg
csp2_12_r_sg,csp2_12,r,sg
csp2_1_r_ss,csp2_1,r,ss
csp2_2_r_ss,csp2_2,r,ss
csp2_3_r_ss,csp2_3,r,ss
csp2_4_r_ss,csp2_4,r,ss
csp2_5_r_ss,csp2_5,r,ss
csp2_6_r_ss,csp2_6,r,ss
csp2_7_r_ss,csp2_7,r,ss
csp2_8_r_ss,csp2_8,r,ss
csp2_9_r_ss,csp2_9,r,ss
csp2_10_r_ss,csp2_10,r,ss
csp2_11_r_ss,csp2_11,r,ss
csp2_12_r_ss,csp2_12,r,ss
csp2_1_r_ww,csp2_1,r,ww
csp2_2_r_ww,csp2_2,r,ww
csp2_3_r_ww,csp2_3,r,ww
csp2_4_r_ww,csp2_4,r,ww
csp2_5_r_ww,csp2_5,r,ww
csp2_6_r_ww,csp2_6,r,ww
csp2_7_r_ww,csp2_7,r,ww
csp2_8_r_ww,csp2_8,r,ww
csp2_9_r_ww,csp2_9,r,ww
csp2_10_r_ww,csp2_10,r,ww
csp2_11_r_ww,csp2_11,r,ww
csp2_12_r_ww,csp2_12,r,ww
csp2_1_d_fsu,csp2_1,d,fsu
csp2_2_d_fsu,csp2_2,d,fsu
csp2_3_d_fsu,csp2_3,d,fsu
csp2_4_d_fsu,csp2_4,d,fsu
csp2_5_d_fsu,csp2_5,d,fsu
csp2_6_d_fsu,csp2_6,d,fsu
csp2_7_d_fsu,csp2_7,d,fsu
csp2_8_d_fsu,csp2_8,d,fsu
csp2_9_d_fsu,csp2_9,d,fsu
csp2_10_d_fsu,csp2_10,d,fsu
csp2_11_d_fsu,csp2_11,d,fsu
csp2_12_d_fsu,csp2_12,d,fsu
csp2_1_d_fsa,csp2_1,d,fsa
csp2_2_d_fsa,csp2_2,d,fsa
csp2_3_d_fsa,csp2_3,d,fsa
csp2_4_d_fsa,csp2_4,d,fsa
csp2_5_d_fsa,csp2_5,d,fsa
csp2_6_d_fsa,csp2_6,d,fsa
csp2_7_d_fsa,csp2_7,d,fsa
csp2_8_d_fsa,csp2_8,d,fsa
csp2_9_d_fsa,csp2_9,d,fsa
csp2_10_d_fsa,csp2_10,d,fsa
csp2_11_d_fsa,csp2_11,d,fsa
csp2_12_d_fsa,csp2_12,d,fsa
csp2_1_d_fsl,csp2_1,d,fsl
csp2_2_d_fsl,csp2_2,d,fsl
csp2_3_d_fsl,csp2_3,d,fsl
csp2_4_d_fsl,csp2_4,d,fsl
csp2_5_d_fsl,csp2_5,d,fsl
csp2_6_d_fsl,csp2_6,d,fsl
csp2_7_d_fsl,csp2_7,d,fsl
csp2_8_d_fsl,csp2_8,d,fsl
csp2_9_d_fsl,csp2_9,d,fsl
csp2_10_d_fsl,csp2_10,d,fsl
csp2_11_d_fsl,csp2_11,d,fsl
csp2_12_d_fsl,csp2_12,d,fsl
csp2_1_d_fg,csp2_1,d,fg
csp2_2_d_fg,csp2_2,d,fg
csp2_3_d_fg,csp2_3,d,fg
csp2_4_d_fg,csp2_4,d,fg
csp2_5_d_fg,csp2_5,d,fg
csp2_6_d_fg,csp2_6,d,fg
csp2_7_d_fg,csp2_7,d,fg
csp2_8_d_fg,csp2_8,d,fg
csp2_9_d_fg,csp2_9,d,fg
csp2_10_d_fg,csp2_10,d,fg
csp2_11_d_fg,csp2_11,d,fg
csp2_12_d_fg,csp2_12,d,fg
csp2_1_d_sg,csp2_1,d,sg
csp2_2_d_sg,csp2_2,d,sg
csp2_3_d_sg,csp2_3,d,sg
csp2_4_d_sg,csp2_4,d,sg
csp2_5_d_sg,csp2_5,d,sg
csp2_6_d_sg,csp2_6,d,sg
csp2_7_d_sg,csp2_7,d,sg
csp2_8_d_sg,csp2_8,d,sg
csp2_9_d_sg,csp2_9,d,sg
csp2_10_d_sg,csp2_10,d,sg
csp2_11_d_sg,csp2_11,d,sg
csp2_12_d_sg,csp2_12,d,sg
csp2_1_d_ss,csp2_1,d,ss
csp2_2_d_ss,csp2_2,d,ss
csp2_3_d_ss,csp2_3,d,ss
csp2_4_d_ss,csp2_4,d,ss
csp2_5_d_ss,csp2_5,d,ss
csp2_6_d_ss,csp2_6,d,ss
csp2_7_d_ss,csp2_7,d,ss
csp2_8_d_ss,csp2_8,d,ss
csp2_9_d_ss,csp2_9,d,ss
csp2_10_d_ss,csp2_10,d,ss
csp2_11_d_ss,csp2_11,d,ss
csp2_12_d_ss,csp2_12,d,ss
csp2_1_d_ww,csp2_1,d,ww
csp2_2_d_ww,csp2_2,d,ww
csp2_3_d_ww,csp2_3,d,ww
csp2_4_d_ww,csp2_4,d,ww
csp2_5_d_ww,csp2_5,d,ww
csp2_6_d_ww,csp2_6,d,ww
csp2_7_d_ww,csp2_7,d,ww
csp2_8_d_ww,csp2_8,d,ww
csp2_9_d_ww,csp2_9,d,ww
csp2_10_d_ww,csp2_10,d,ww
csp2_11_d_ww,csp2_11,d,ww
csp2_12_d_ww,csp2_12,d,ww
csp3_1_r_fsu,csp3_1,r,fsu
csp3_2_r_fsu,csp3_2,r,fsu
csp3_3_r_fsu,csp3_3,r,fsu
csp3_4_r_fsu,csp3_4,r,fsu
csp3_5_r_fsu,csp3_5,r,fsu
csp3_6_r_fsu,csp3_6,r,fsu
csp3_7_r_fsu,csp3_7,r,fsu
csp3_8_r_fsu,csp3_8,r,fsu
csp3_9_r_fsu,csp3_9,r,fsu
csp3_10_r_fsu,csp3_10,r,fsu
csp3_11_r_fsu,csp3_11,r,fsu
csp3_12_r_fsu,csp3_12,r,fsu
csp3_1_r_fsa,csp3_1,r,fsa
csp3_2_r_fsa,csp3_2,r,fsa
csp3_3_r_fsa,csp3_3,r,fsa
csp3_4_r_fsa,csp3_4,r,fsa
csp3_5_r_fsa,csp3_5,r,fsa
csp3_6_r_fsa,csp3_6,r,fsa
csp3_7_r_fsa,csp3_7,r,fsa
csp3_8_r_fsa,csp3_8,r,fsa
csp3_9_r_fsa,csp3_9,r,fsa
csp3_10_r_fsa,csp3_10,r,fsa
csp3_11_r_fsa,csp3_11,r,fsa
csp3_12_r_fsa,csp3_12,r,fsa
csp3_1_r_fsl,csp3_1,r,fsl
csp3_2_r_fsl,csp3_2,r,fsl
csp3_3_r_fsl,csp3_3,r,fsl
csp3_4_r_fsl,csp3_4,r,fsl
csp3_5_r_fsl,csp3_5,r,fsl
csp3_6_r_fsl,csp3_6,r,fsl
csp3_7_r_fsl,csp3_7,r,fsl
csp3_8_r_fsl,csp3_8,r,fsl
csp3_9_r_fsl,csp3_9,r,fsl
csp3_10_r_fsl,csp3_10,r,fsl
csp3_11_r_fsl,csp3_11,r,fsl
csp3_12_r_fsl,csp3_12,r,fsl
csp3_1_r_fg,csp3_1,r,fg
csp3_2_r_fg,csp3_2,r,fg
csp3_3_r_fg,csp3_3,r,fg
csp3_4_r_fg,csp3_4,r,fg
csp3_5_r_fg,csp3_5,r,fg
csp3_6_r_fg,csp3_6,r,fg
csp3_7_r_fg,csp3_7,r,fg
csp3_8_r_fg,csp3_8,r,fg
csp3_9_r_fg,csp3_9,r,fg
csp3_10_r_fg,csp3_10,r,fg
csp3_11_r_fg,csp3_11,r,fg
csp3_12_r_fg,csp3_12,r,fg
csp3_1_r_sg,csp3_1,r,sg
csp3_2_r_sg,csp3_2,r,sg
csp3_3_r_sg,csp3_3,r,sg
csp3_4_r_sg,csp3_4,r,sg
csp3_5_r_sg,csp3_5,r,sg
csp3_6_r_sg,csp3_6,r,sg
csp3_7_r_sg,csp3_7,r,sg
csp3_8_r_sg,csp3_8,r,sg
csp3_9_r_sg,csp3_9,r,sg
csp3_10_r_sg,csp3_10,r,sg
csp3_11_r_sg,csp3_11,r,sg
csp3_12_r_sg,csp3_12,r,sg
csp3_1_r_ss,csp3_1,r,ss
csp3_2_r_ss,csp3_2,r,ss
csp3_3_r_ss,csp3_3,r,ss
csp3_4_r_ss,csp3_4,r,ss
