"r","rs","i","h","value"
"Andhra_Pradesh",5,"UPV","H3",0.435688172043011
"Andhra_Pradesh",5,"UPV","H1",0
"Andhra_Pradesh",5,"UPV","H7",0
"Andhra_Pradesh",5,"UPV","H2",0.0423870967741935
"Andhra_Pradesh",5,"UPV","H5",0.152204301075269
"Andhra_Pradesh",5,"ONSWIND","H32",0.201577868852459
"Andhra_Pradesh",5,"ONSWIND","H34",0.320186274509804
"Andhra_Pradesh",5,"ONSWIND","H31",0.139590163934426
"Andhra_Pradesh",5,"ONSWIND","H29",0.191311475409836
"Andhra_Pradesh",5,"ONSWIND","H35",0.180625
"Andhra_Pradesh",5,"ONSWIND","H30",0.181688524590164
"Andhra_Pradesh",5,"ONSWIND","H33",0.278415300546448
"Andhra_Pradesh",5,"ONSWIND","H25",0.225342391304348
"Andhra_Pradesh",5,"ONSWIND","H27",0.356170212765958
"Andhra_Pradesh",5,"ONSWIND","H24",0.151633152173913
"Andhra_Pradesh",5,"ONSWIND","H22",0.276947463768116
"Andhra_Pradesh",5,"ONSWIND","H28",0.2796
"Andhra_Pradesh",5,"ONSWIND","H23",0.224347826086957
"Andhra_Pradesh",5,"ONSWIND","H26",0.34092
"Andhra_Pradesh",5,"ONSWIND","H11",0.0579025423728814
"Andhra_Pradesh",5,"ONSWIND","H13",0.157642857142857
"Andhra_Pradesh",5,"ONSWIND","H10",0.0295550847457627
"Andhra_Pradesh",5,"ONSWIND","H8",0.0808615819209041
"Andhra_Pradesh",5,"ONSWIND","H14",0.187075
"Andhra_Pradesh",5,"ONSWIND","H9",0.0521694915254237
"Andhra_Pradesh",5,"ONSWIND","H12",0.131299435028249
"Andhra_Pradesh",5,"ONSWIND","H18",0.194241758241758
"Andhra_Pradesh",5,"ONSWIND","H20",0.339330472103004
"Andhra_Pradesh",5,"ONSWIND","H17",0.121158241758242
"Andhra_Pradesh",5,"ONSWIND","H15",0.230652747252747
"Andhra_Pradesh",5,"ONSWIND","H21",0.2759
"Andhra_Pradesh",5,"ONSWIND","H16",0.187351648351648
"Andhra_Pradesh",5,"ONSWIND","H19",0.310644688644689
"Andhra_Pradesh",5,"ONSWIND","H4",0.0804435483870967
"Andhra_Pradesh",5,"ONSWIND","H6",0.287961538461538
"Andhra_Pradesh",5,"ONSWIND","H3",0.0591344086021505
"Andhra_Pradesh",5,"ONSWIND","H1",0.123278801843318
"Andhra_Pradesh",5,"ONSWIND","H7",0.264475
"Andhra_Pradesh",5,"ONSWIND","H2",0.0863494623655914
"Andhra_Pradesh",5,"ONSWIND","H5",0.208693548387097
"Andhra_Pradesh",5,"OFSWIND","H32",0.34786475409836
"Andhra_Pradesh",5,"OFSWIND","H34",0.283950980392157
"Andhra_Pradesh",5,"OFSWIND","H31",0.341561475409836
"Andhra_Pradesh",5,"OFSWIND","H29",0.232267759562842
"Andhra_Pradesh",5,"OFSWIND","H35",0.17445
"Andhra_Pradesh",5,"OFSWIND","H30",0.28027868852459
"Andhra_Pradesh",5,"OFSWIND","H33",0.319655737704918
"Andhra_Pradesh",5,"OFSWIND","H25",0.428557065217391
"Andhra_Pradesh",5,"OFSWIND","H27",0.551920972644377
"Andhra_Pradesh",5,"OFSWIND","H24",0.431279891304348
"Andhra_Pradesh",5,"OFSWIND","H22",0.528760869565218
"Andhra_Pradesh",5,"OFSWIND","H28",0.3985
"Andhra_Pradesh",5,"OFSWIND","H23",0.475605072463768
"Andhra_Pradesh",5,"OFSWIND","H26",0.517778181818182
"Andhra_Pradesh",5,"OFSWIND","H11",0.07775
"Andhra_Pradesh",5,"OFSWIND","H13",0.129770408163265
"Andhra_Pradesh",5,"OFSWIND","H10",0.0765254237288136
"Andhra_Pradesh",5,"OFSWIND","H8",0.0968813559322033
"Andhra_Pradesh",5,"OFSWIND","H14",0.133875
"Andhra_Pradesh",5,"OFSWIND","H9",0.0753050847457627
"Andhra_Pradesh",5,"OFSWIND","H12",0.104316384180791
"Andhra_Pradesh",5,"OFSWIND","H18",0.414567032967033
"Andhra_Pradesh",5,"OFSWIND","H20",0.487364806866953
"Andhra_Pradesh",5,"OFSWIND","H17",0.363452747252748
"Andhra_Pradesh",5,"OFSWIND","H15",0.423604395604395
"Andhra_Pradesh",5,"OFSWIND","H21",0.381125
"Andhra_Pradesh",5,"OFSWIND","H16",0.399410256410256
"Andhra_Pradesh",5,"OFSWIND","H19",0.503263736263736
"Andhra_Pradesh",5,"OFSWIND","H4",0.187443548387097
"Andhra_Pradesh",5,"OFSWIND","H6",0.192192307692308
"Andhra_Pradesh",5,"OFSWIND","H3",0.157440860215054
"Andhra_Pradesh",5,"OFSWIND","H1",0.113267281105991
