t,i,r,c,wVC,cap
2039,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2025,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2036,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2023,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2047,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2019,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2040,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2042,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2038,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2022,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2034,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2036,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2032,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2031,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2017,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2029,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2030,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2028,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2021,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2018,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2041,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2044,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2026,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2025,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2045,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2043,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2027,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2033,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2035,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2037,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2046,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2039,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2020,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2024,CCGT-GAS,Rajasthan,init-1,1062.01,270.5
2031,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2047,CCGT-GAS,Rajasthan,init-2,1565.61194,335
2018,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2030,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2021,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2036,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2034,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2032,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2017,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2028,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2022,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2023,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2041,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2025,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2043,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2029,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2042,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2039,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2045,CCGT-GAS,Rajasthan,init-2,1565.61194,335
2040,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2038,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2033,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2035,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2027,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2037,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2019,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2026,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2044,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2020,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2046,CCGT-GAS,Rajasthan,init-2,1565.61194,335
2024,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2031,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
2047,CCGT-GAS,Tamil_Nadu,init-7,5831.548243,992.8
2036,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
2032,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
2022,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
2017,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
2028,CCGT-GAS,Tamil_Nadu,init-7,5837.814388,997.8
