t,r,i,value
2035,Delhi,COGENERATION-BAGASSE,0
2037,Delhi,COGENERATION-BAGASSE,0
2039,Delhi,COGENERATION-BAGASSE,0
2041,Delhi,COGENERATION-BAGASSE,0
2043,Delhi,COGENERATION-BAGASSE,0
2045,Delhi,COGENERATION-BAGASSE,0
2047,Delhi,COGENERATION-BAGASSE,0
2017,Delhi,CT-GAS,0
2019,Delhi,CT-GAS,0
2021,Delhi,CT-GAS,0
2023,Delhi,CT-GAS,0
2025,Delhi,CT-GAS,0
2027,Delhi,CT-GAS,0
2029,Delhi,CT-GAS,0
2031,Delhi,CT-GAS,0
2033,Delhi,CT-GAS,0
2035,Delhi,CT-GAS,0
2037,Delhi,CT-GAS,0
2039,Delhi,CT-GAS,0
2041,Delhi,CT-GAS,0
2043,Delhi,CT-GAS,0
2045,Delhi,CT-GAS,0
2047,Delhi,CT-GAS,0
2017,Delhi,DIESEL,0
2019,Delhi,DIESEL,0
2021,Delhi,DIESEL,0
2023,Delhi,DIESEL,0
2025,Delhi,DIESEL,0
2027,Delhi,DIESEL,0
2029,Delhi,DIESEL,0
2031,Delhi,DIESEL,0
2033,Delhi,DIESEL,0
2035,Delhi,DIESEL,0
2037,Delhi,DIESEL,0
2039,Delhi,DIESEL,0
2041,Delhi,DIESEL,0
2043,Delhi,DIESEL,0
2045,Delhi,DIESEL,0
2047,Delhi,DIESEL,0
2017,Delhi,SUBCRITICAL-COAL,705
2019,Delhi,SUBCRITICAL-COAL,0
2021,Delhi,SUBCRITICAL-COAL,0
2023,Delhi,SUBCRITICAL-COAL,0
2025,Delhi,SUBCRITICAL-COAL,0
2027,Delhi,SUBCRITICAL-COAL,0
2029,Delhi,SUBCRITICAL-COAL,0
2031,Delhi,SUBCRITICAL-COAL,0
2033,Delhi,SUBCRITICAL-COAL,0
2035,Delhi,SUBCRITICAL-COAL,0
2037,Delhi,SUBCRITICAL-COAL,0
2039,Delhi,SUBCRITICAL-COAL,0
2041,Delhi,SUBCRITICAL-COAL,0
2043,Delhi,SUBCRITICAL-COAL,0
2045,Delhi,SUBCRITICAL-COAL,0
2047,Delhi,SUBCRITICAL-COAL,0
2017,Delhi,SUBCRITICAL-LIGNITE,0
2019,Delhi,SUBCRITICAL-LIGNITE,0
2021,Delhi,SUBCRITICAL-LIGNITE,0
2023,Delhi,SUBCRITICAL-LIGNITE,0
2025,Delhi,SUBCRITICAL-LIGNITE,0
2027,Delhi,SUBCRITICAL-LIGNITE,0
2029,Delhi,SUBCRITICAL-LIGNITE,0
2031,Delhi,SUBCRITICAL-LIGNITE,0
2033,Delhi,SUBCRITICAL-LIGNITE,0
2035,Delhi,SUBCRITICAL-LIGNITE,0
2037,Delhi,SUBCRITICAL-LIGNITE,0
2039,Delhi,SUBCRITICAL-LIGNITE,0
2041,Delhi,SUBCRITICAL-LIGNITE,0
2043,Delhi,SUBCRITICAL-LIGNITE,0
2045,Delhi,SUBCRITICAL-LIGNITE,0
2047,Delhi,SUBCRITICAL-LIGNITE,0
2017,Delhi,SUPERCRITICAL-COAL,0
2019,Delhi,SUPERCRITICAL-COAL,0
2021,Delhi,SUPERCRITICAL-COAL,0
2023,Delhi,SUPERCRITICAL-COAL,0
2025,Delhi,SUPERCRITICAL-COAL,0
2027,Delhi,SUPERCRITICAL-COAL,0
2029,Delhi,SUPERCRITICAL-COAL,0
2031,Delhi,SUPERCRITICAL-COAL,0
2033,Delhi,SUPERCRITICAL-COAL,0
2035,Delhi,SUPERCRITICAL-COAL,0
2037,Delhi,SUPERCRITICAL-COAL,0
2039,Delhi,SUPERCRITICAL-COAL,0
2041,Delhi,SUPERCRITICAL-COAL,0
2043,Delhi,SUPERCRITICAL-COAL,0
2045,Delhi,SUPERCRITICAL-COAL,0
2047,Delhi,SUPERCRITICAL-COAL,0
2017,Delhi,WHR,0
2019,Delhi,WHR,0
2021,Delhi,WHR,0
2023,Delhi,WHR,0
2025,Delhi,WHR,0
2027,Delhi,WHR,0
2029,Delhi,WHR,0
2031,Delhi,WHR,0
2033,Delhi,WHR,0
2035,Delhi,WHR,0
2037,Delhi,WHR,0
2039,Delhi,WHR,0
2041,Delhi,WHR,0
2043,Delhi,WHR,0
2045,Delhi,WHR,0
2047,Delhi,WHR,0
2017,Goa,CCGT-GAS,0
2019,Goa,CCGT-GAS,0
2021,Goa,CCGT-GAS,0
2023,Goa,CCGT-GAS,0
2025,Goa,CCGT-GAS,0
2027,Goa,CCGT-GAS,0
2029,Goa,CCGT-GAS,0
2031,Goa,CCGT-GAS,0
2033,Goa,CCGT-GAS,0
2035,Goa,CCGT-GAS,0
2037,Goa,CCGT-GAS,0
2039,Goa,CCGT-GAS,0
2041,Goa,CCGT-GAS,0
2043,Goa,CCGT-GAS,0
2045,Goa,CCGT-GAS,0
2047,Goa,CCGT-GAS,0
2017,Goa,CCGT-LNG,0
2019,Goa,CCGT-LNG,0
2021,Goa,CCGT-LNG,0
2023,Goa,CCGT-LNG,0
2025,Goa,CCGT-LNG,0
2027,Goa,CCGT-LNG,0
2029,Goa,CCGT-LNG,0
2031,Goa,CCGT-LNG,0
2033,Goa,CCGT-LNG,0
2035,Goa,CCGT-LNG,0
2037,Goa,CCGT-LNG,0
2039,Goa,CCGT-LNG,0
2041,Goa,CCGT-LNG,0
2043,Goa,CCGT-LNG,0
2045,Goa,CCGT-LNG,0
2047,Goa,CCGT-LNG,0
2017,Goa,COGENERATION-BAGASSE,0
2019,Goa,COGENERATION-BAGASSE,0
2021,Goa,COGENERATION-BAGASSE,0
2023,Goa,COGENERATION-BAGASSE,0
2025,Goa,COGENERATION-BAGASSE,0
2027,Goa,COGENERATION-BAGASSE,0
2029,Goa,COGENERATION-BAGASSE,0
2031,Goa,COGENERATION-BAGASSE,0
2033,Goa,COGENERATION-BAGASSE,0
2035,Goa,COGENERATION-BAGASSE,0
2037,Goa,COGENERATION-BAGASSE,0
2039,Goa,COGENERATION-BAGASSE,0
2041,Goa,COGENERATION-BAGASSE,0
2043,Goa,COGENERATION-BAGASSE,0
2045,Goa,COGENERATION-BAGASSE,0
2047,Goa,COGENERATION-BAGASSE,0
2017,Goa,CT-GAS,0
2019,Goa,CT-GAS,0
2021,Goa,CT-GAS,0
2023,Goa,CT-GAS,0
2025,Goa,CT-GAS,0
2027,Goa,CT-GAS,0
2029,Goa,CT-GAS,0
2031,Goa,CT-GAS,0
2033,Goa,CT-GAS,0
2035,Goa,CT-GAS,0
2037,Goa,CT-GAS,0
2039,Goa,CT-GAS,0
2041,Goa,CT-GAS,0
2043,Goa,CT-GAS,0
2045,Goa,CT-GAS,0
2047,Goa,CT-GAS,0
2017,Goa,DIESEL,0
2019,Goa,DIESEL,0
2021,Goa,DIESEL,0
2023,Goa,DIESEL,0
2025,Goa,DIESEL,0
2027,Goa,DIESEL,0
2029,Goa,DIESEL,0
2031,Goa,DIESEL,0
2033,Goa,DIESEL,0
2035,Goa,DIESEL,0
2037,Goa,DIESEL,0
2039,Goa,DIESEL,0
2041,Goa,DIESEL,0
2043,Goa,DIESEL,0
2045,Goa,DIESEL,0
2047,Goa,DIESEL,0
2017,Goa,SUBCRITICAL-COAL,0
2019,Goa,SUBCRITICAL-COAL,0
2021,Goa,SUBCRITICAL-COAL,0
2023,Goa,SUBCRITICAL-COAL,0
2025,Goa,SUBCRITICAL-COAL,0
2027,Goa,SUBCRITICAL-COAL,0
2029,Goa,SUBCRITICAL-COAL,0
2031,Goa,SUBCRITICAL-COAL,0
2033,Goa,SUBCRITICAL-COAL,0
2035,Goa,SUBCRITICAL-COAL,0
2037,Goa,SUBCRITICAL-COAL,0
2039,Goa,SUBCRITICAL-COAL,0
2041,Goa,SUBCRITICAL-COAL,0
2043,Goa,SUBCRITICAL-COAL,0
2045,Goa,SUBCRITICAL-COAL,0
2047,Goa,SUBCRITICAL-COAL,0
2017,Goa,SUBCRITICAL-LIGNITE,0
2019,Goa,SUBCRITICAL-LIGNITE,0
2021,Goa,SUBCRITICAL-LIGNITE,0
2023,Goa,SUBCRITICAL-LIGNITE,0
2025,Goa,SUBCRITICAL-LIGNITE,0
2027,Goa,SUBCRITICAL-LIGNITE,0
2029,Goa,SUBCRITICAL-LIGNITE,0
2031,Goa,SUBCRITICAL-LIGNITE,0
2033,Goa,SUBCRITICAL-LIGNITE,0
2035,Goa,SUBCRITICAL-LIGNITE,0
2037,Goa,SUBCRITICAL-LIGNITE,0
2039,Goa,SUBCRITICAL-LIGNITE,0
2041,Goa,SUBCRITICAL-LIGNITE,0
2043,Goa,SUBCRITICAL-LIGNITE,0
2045,Goa,SUBCRITICAL-LIGNITE,0
2047,Goa,SUBCRITICAL-LIGNITE,0
2017,Goa,SUPERCRITICAL-COAL,0
2019,Goa,SUPERCRITICAL-COAL,0
2021,Goa,SUPERCRITICAL-COAL,0
2023,Goa,SUPERCRITICAL-COAL,0
2025,Goa,SUPERCRITICAL-COAL,0
2027,Goa,SUPERCRITICAL-COAL,0
2029,Goa,SUPERCRITICAL-COAL,0
2031,Goa,SUPERCRITICAL-COAL,0
2033,Goa,SUPERCRITICAL-COAL,0
2035,Goa,SUPERCRITICAL-COAL,0
2037,Goa,SUPERCRITICAL-COAL,0
2039,Goa,SUPERCRITICAL-COAL,0
2041,Goa,SUPERCRITICAL-COAL,0
2043,Goa,SUPERCRITICAL-COAL,0
2045,Goa,SUPERCRITICAL-COAL,0
2047,Goa,SUPERCRITICAL-COAL,0
2017,Goa,WHR,0
2019,Goa,WHR,0
2021,Goa,WHR,0
2023,Goa,WHR,0
2025,Goa,WHR,0
2027,Goa,WHR,0
2029,Goa,WHR,0
2031,Goa,WHR,0
2033,Goa,WHR,0
2035,Goa,WHR,0
2037,Goa,WHR,0
2039,Goa,WHR,0
2041,Goa,WHR,0
2043,Goa,WHR,0
2045,Goa,WHR,0
2047,Goa,WHR,0
2017,Gujarat,CCGT-GAS,104
2019,Gujarat,CCGT-GAS,160
2021,Gujarat,CCGT-GAS,0
2023,Gujarat,CCGT-GAS,0
2025,Gujarat,CCGT-GAS,0
2027,Gujarat,CCGT-GAS,0
2029,Gujarat,CCGT-GAS,0
2031,Gujarat,CCGT-GAS,0
2033,Gujarat,CCGT-GAS,0
2035,Gujarat,CCGT-GAS,0
2037,Gujarat,CCGT-GAS,0
2039,Gujarat,CCGT-GAS,87
2041,Gujarat,CCGT-GAS,0
2043,Gujarat,CCGT-GAS,0
2045,Gujarat,CCGT-GAS,0
2047,Gujarat,CCGT-GAS,0
2017,Gujarat,CCGT-LNG,70
2019,Gujarat,CCGT-LNG,0
2021,Gujarat,CCGT-LNG,0
2023,Gujarat,CCGT-LNG,424
2025,Gujarat,CCGT-LNG,0
2027,Gujarat,CCGT-LNG,60
2029,Gujarat,CCGT-LNG,0
2031,Gujarat,CCGT-LNG,0
2033,Gujarat,CCGT-LNG,0
2035,Gujarat,CCGT-LNG,602
2037,Gujarat,CCGT-LNG,152
2039,Gujarat,CCGT-LNG,975
2041,Gujarat,CCGT-LNG,0
2043,Gujarat,CCGT-LNG,0
2045,Gujarat,CCGT-LNG,0
2047,Gujarat,CCGT-LNG,0
2017,Gujarat,COGENERATION-BAGASSE,0
2019,Gujarat,COGENERATION-BAGASSE,0
2021,Gujarat,COGENERATION-BAGASSE,0
2023,Gujarat,COGENERATION-BAGASSE,0
2025,Gujarat,COGENERATION-BAGASSE,0
2027,Gujarat,COGENERATION-BAGASSE,0
2029,Gujarat,COGENERATION-BAGASSE,0
2031,Gujarat,COGENERATION-BAGASSE,0
2033,Gujarat,COGENERATION-BAGASSE,0
2035,Gujarat,COGENERATION-BAGASSE,0
2037,Gujarat,COGENERATION-BAGASSE,0
2039,Gujarat,COGENERATION-BAGASSE,0
2041,Gujarat,COGENERATION-BAGASSE,0
2043,Gujarat,COGENERATION-BAGASSE,0
2045,Gujarat,COGENERATION-BAGASSE,0
2047,Gujarat,COGENERATION-BAGASSE,0
2017,Gujarat,CT-GAS,0
2019,Gujarat,CT-GAS,0
2021,Gujarat,CT-GAS,0
2023,Gujarat,CT-GAS,0
2025,Gujarat,CT-GAS,0
2027,Gujarat,CT-GAS,0
2029,Gujarat,CT-GAS,0
2031,Gujarat,CT-GAS,0
2033,Gujarat,CT-GAS,0
2035,Gujarat,CT-GAS,0
2037,Gujarat,CT-GAS,0
2039,Gujarat,CT-GAS,0
2041,Gujarat,CT-GAS,0
2043,Gujarat,CT-GAS,0
2045,Gujarat,CT-GAS,0
2047,Gujarat,CT-GAS,0
2017,Gujarat,DIESEL,0
2019,Gujarat,DIESEL,0
2021,Gujarat,DIESEL,0
2023,Gujarat,DIESEL,0
2025,Gujarat,DIESEL,0
2027,Gujarat,DIESEL,0
2029,Gujarat,DIESEL,0
2031,Gujarat,DIESEL,0
2033,Gujarat,DIESEL,0
2035,Gujarat,DIESEL,0
2037,Gujarat,DIESEL,0
2039,Gujarat,DIESEL,0
2041,Gujarat,DIESEL,0
2043,Gujarat,DIESEL,0
2045,Gujarat,DIESEL,0
2047,Gujarat,DIESEL,0
2017,Gujarat,SUBCRITICAL-COAL,572
2019,Gujarat,SUBCRITICAL-COAL,0
2021,Gujarat,SUBCRITICAL-COAL,353
2023,Gujarat,SUBCRITICAL-COAL,242
2025,Gujarat,SUBCRITICAL-COAL,3
2027,Gujarat,SUBCRITICAL-COAL,60
2029,Gujarat,SUBCRITICAL-COAL,61.6
2031,Gujarat,SUBCRITICAL-COAL,118.5
2033,Gujarat,SUBCRITICAL-COAL,22.9
2035,Gujarat,SUBCRITICAL-COAL,519
2037,Gujarat,SUBCRITICAL-COAL,763
2039,Gujarat,SUBCRITICAL-COAL,444.4
2041,Gujarat,SUBCRITICAL-COAL,357
2043,Gujarat,SUBCRITICAL-COAL,0
2045,Gujarat,SUBCRITICAL-COAL,0
2047,Gujarat,SUBCRITICAL-COAL,0
2017,Gujarat,SUBCRITICAL-LIGNITE,0
2019,Gujarat,SUBCRITICAL-LIGNITE,0
2021,Gujarat,SUBCRITICAL-LIGNITE,0
2023,Gujarat,SUBCRITICAL-LIGNITE,0
2025,Gujarat,SUBCRITICAL-LIGNITE,0
2027,Gujarat,SUBCRITICAL-LIGNITE,0
2029,Gujarat,SUBCRITICAL-LIGNITE,0
2031,Gujarat,SUBCRITICAL-LIGNITE,0
2033,Gujarat,SUBCRITICAL-LIGNITE,0
2035,Gujarat,SUBCRITICAL-LIGNITE,0
2037,Gujarat,SUBCRITICAL-LIGNITE,0
2039,Gujarat,SUBCRITICAL-LIGNITE,0
2041,Gujarat,SUBCRITICAL-LIGNITE,0
2043,Gujarat,SUBCRITICAL-LIGNITE,0
2045,Gujarat,SUBCRITICAL-LIGNITE,0
2047,Gujarat,SUBCRITICAL-LIGNITE,0
2017,Gujarat,SUPERCRITICAL-COAL,0
2019,Gujarat,SUPERCRITICAL-COAL,0
2021,Gujarat,SUPERCRITICAL-COAL,0
2023,Gujarat,SUPERCRITICAL-COAL,0
2025,Gujarat,SUPERCRITICAL-COAL,0
2027,Gujarat,SUPERCRITICAL-COAL,0
2029,Gujarat,SUPERCRITICAL-COAL,0
2031,Gujarat,SUPERCRITICAL-COAL,0
2033,Gujarat,SUPERCRITICAL-COAL,0
2035,Gujarat,SUPERCRITICAL-COAL,481
2037,Gujarat,SUPERCRITICAL-COAL,3673
2039,Gujarat,SUPERCRITICAL-COAL,1166
2041,Gujarat,SUPERCRITICAL-COAL,0
2043,Gujarat,SUPERCRITICAL-COAL,0
2045,Gujarat,SUPERCRITICAL-COAL,0
2047,Gujarat,SUPERCRITICAL-COAL,0
2017,Gujarat,WHR,0
2019,Gujarat,WHR,0
2021,Gujarat,WHR,0
2023,Gujarat,WHR,0
2025,Gujarat,WHR,0
2027,Gujarat,WHR,0
2029,Gujarat,WHR,0
2031,Gujarat,WHR,0
2033,Gujarat,WHR,0
2035,Gujarat,WHR,0
2037,Gujarat,WHR,0
2039,Gujarat,WHR,0
2041,Gujarat,WHR,0
2043,Gujarat,WHR,0
2045,Gujarat,WHR,0
2047,Gujarat,WHR,0
2017,Haryana,CCGT-GAS,0
2019,Haryana,CCGT-GAS,0
2021,Haryana,CCGT-GAS,0
2023,Haryana,CCGT-GAS,0
2025,Haryana,CCGT-GAS,0
2027,Haryana,CCGT-GAS,0
2029,Haryana,CCGT-GAS,0
2031,Haryana,CCGT-GAS,0
2033,Haryana,CCGT-GAS,0
2035,Haryana,CCGT-GAS,0
2037,Haryana,CCGT-GAS,0
2039,Haryana,CCGT-GAS,0
2041,Haryana,CCGT-GAS,0
2043,Haryana,CCGT-GAS,0
2045,Haryana,CCGT-GAS,0
2047,Haryana,CCGT-GAS,0
2017,Haryana,CCGT-LNG,0
2019,Haryana,CCGT-LNG,0
2021,Haryana,CCGT-LNG,0
2023,Haryana,CCGT-LNG,0
2025,Haryana,CCGT-LNG,0
2027,Haryana,CCGT-LNG,0
2029,Haryana,CCGT-LNG,0
2031,Haryana,CCGT-LNG,0
2033,Haryana,CCGT-LNG,0
2035,Haryana,CCGT-LNG,0
2037,Haryana,CCGT-LNG,0
2039,Haryana,CCGT-LNG,0
2041,Haryana,CCGT-LNG,0
2043,Haryana,CCGT-LNG,0
2045,Haryana,CCGT-LNG,0
2047,Haryana,CCGT-LNG,0
2017,Haryana,COGENERATION-BAGASSE,0
2019,Haryana,COGENERATION-BAGASSE,0
2021,Haryana,COGENERATION-BAGASSE,0
2023,Haryana,COGENERATION-BAGASSE,0
2025,Haryana,COGENERATION-BAGASSE,0
2027,Haryana,COGENERATION-BAGASSE,0
2029,Haryana,COGENERATION-BAGASSE,0
2031,Haryana,COGENERATION-BAGASSE,0
2033,Haryana,COGENERATION-BAGASSE,0
2035,Haryana,COGENERATION-BAGASSE,0
2037,Haryana,COGENERATION-BAGASSE,0
2039,Haryana,COGENERATION-BAGASSE,0
2041,Haryana,COGENERATION-BAGASSE,0
2043,Haryana,COGENERATION-BAGASSE,0
2045,Haryana,COGENERATION-BAGASSE,0
2047,Haryana,COGENERATION-BAGASSE,0
2017,Haryana,CT-GAS,0
2019,Haryana,CT-GAS,0
2021,Haryana,CT-GAS,0
2023,Haryana,CT-GAS,0
2025,Haryana,CT-GAS,0
2027,Haryana,CT-GAS,0
2029,Haryana,CT-GAS,0
2031,Haryana,CT-GAS,0
2033,Haryana,CT-GAS,0
2035,Haryana,CT-GAS,0
2037,Haryana,CT-GAS,0
2039,Haryana,CT-GAS,0
2041,Haryana,CT-GAS,0
2043,Haryana,CT-GAS,0
2045,Haryana,CT-GAS,0
2047,Haryana,CT-GAS,0
2017,Haryana,DIESEL,0
2019,Haryana,DIESEL,0
2021,Haryana,DIESEL,0
2023,Haryana,DIESEL,0
2025,Haryana,DIESEL,0
2027,Haryana,DIESEL,0
2029,Haryana,DIESEL,0
2031,Haryana,DIESEL,0
2033,Haryana,DIESEL,0
2035,Haryana,DIESEL,0
2037,Haryana,DIESEL,0
2039,Haryana,DIESEL,0
2041,Haryana,DIESEL,0
2043,Haryana,DIESEL,0
2045,Haryana,DIESEL,0
2047,Haryana,DIESEL,0
2017,Haryana,SUBCRITICAL-COAL,0
2019,Haryana,SUBCRITICAL-COAL,0
2021,Haryana,SUBCRITICAL-COAL,0
2023,Haryana,SUBCRITICAL-COAL,0
2025,Haryana,SUBCRITICAL-COAL,0
2027,Haryana,SUBCRITICAL-COAL,53
2029,Haryana,SUBCRITICAL-COAL,31
2031,Haryana,SUBCRITICAL-COAL,31
2033,Haryana,SUBCRITICAL-COAL,75
2035,Haryana,SUBCRITICAL-COAL,212
2037,Haryana,SUBCRITICAL-COAL,98
2039,Haryana,SUBCRITICAL-COAL,0
2041,Haryana,SUBCRITICAL-COAL,0
2043,Haryana,SUBCRITICAL-COAL,0
2045,Haryana,SUBCRITICAL-COAL,0
2047,Haryana,SUBCRITICAL-COAL,0
2017,Haryana,SUBCRITICAL-LIGNITE,0
2019,Haryana,SUBCRITICAL-LIGNITE,0
2021,Haryana,SUBCRITICAL-LIGNITE,0
2023,Haryana,SUBCRITICAL-LIGNITE,0
2025,Haryana,SUBCRITICAL-LIGNITE,0
2027,Haryana,SUBCRITICAL-LIGNITE,0
2029,Haryana,SUBCRITICAL-LIGNITE,0
2031,Haryana,SUBCRITICAL-LIGNITE,0
2033,Haryana,SUBCRITICAL-LIGNITE,0
2035,Haryana,SUBCRITICAL-LIGNITE,0
2037,Haryana,SUBCRITICAL-LIGNITE,0
2039,Haryana,SUBCRITICAL-LIGNITE,0
2041,Haryana,SUBCRITICAL-LIGNITE,0
2043,Haryana,SUBCRITICAL-LIGNITE,0
2045,Haryana,SUBCRITICAL-LIGNITE,0
2047,Haryana,SUBCRITICAL-LIGNITE,0
2017,Haryana,SUPERCRITICAL-COAL,0
2019,Haryana,SUPERCRITICAL-COAL,0
2021,Haryana,SUPERCRITICAL-COAL,0
2023,Haryana,SUPERCRITICAL-COAL,0
2025,Haryana,SUPERCRITICAL-COAL,0
2027,Haryana,SUPERCRITICAL-COAL,0
2029,Haryana,SUPERCRITICAL-COAL,0
2031,Haryana,SUPERCRITICAL-COAL,0
2033,Haryana,SUPERCRITICAL-COAL,0
2035,Haryana,SUPERCRITICAL-COAL,0
2037,Haryana,SUPERCRITICAL-COAL,1320
2039,Haryana,SUPERCRITICAL-COAL,0
2041,Haryana,SUPERCRITICAL-COAL,0
2043,Haryana,SUPERCRITICAL-COAL,0
2045,Haryana,SUPERCRITICAL-COAL,0
2047,Haryana,SUPERCRITICAL-COAL,0
2017,Haryana,WHR,0
2019,Haryana,WHR,0
2021,Haryana,WHR,0
2023,Haryana,WHR,0
2025,Haryana,WHR,0
2027,Haryana,WHR,0
2029,Haryana,WHR,0
2031,Haryana,WHR,0
2033,Haryana,WHR,0
2035,Haryana,WHR,0
2037,Haryana,WHR,0
2039,Haryana,WHR,0
2041,Haryana,WHR,0
2043,Haryana,WHR,0
2045,Haryana,WHR,0
2047,Haryana,WHR,0
2017,Jammu_Kashmir,CCGT-GAS,0
2019,Jammu_Kashmir,CCGT-GAS,0
2021,Jammu_Kashmir,CCGT-GAS,0
2023,Jammu_Kashmir,CCGT-GAS,0
2025,Jammu_Kashmir,CCGT-GAS,0
2027,Jammu_Kashmir,CCGT-GAS,0
2029,Jammu_Kashmir,CCGT-GAS,0
2031,Jammu_Kashmir,CCGT-GAS,0
2033,Jammu_Kashmir,CCGT-GAS,0
2035,Jammu_Kashmir,CCGT-GAS,0
2037,Jammu_Kashmir,CCGT-GAS,0
2039,Jammu_Kashmir,CCGT-GAS,0
2041,Jammu_Kashmir,CCGT-GAS,0
2043,Jammu_Kashmir,CCGT-GAS,0
2045,Jammu_Kashmir,CCGT-GAS,0
2047,Jammu_Kashmir,CCGT-GAS,0
2017,Jammu_Kashmir,CCGT-LNG,0
2019,Jammu_Kashmir,CCGT-LNG,0
2021,Jammu_Kashmir,CCGT-LNG,0
2023,Jammu_Kashmir,CCGT-LNG,0
2025,Jammu_Kashmir,CCGT-LNG,0
2027,Jammu_Kashmir,CCGT-LNG,0
2029,Jammu_Kashmir,CCGT-LNG,0
2031,Jammu_Kashmir,CCGT-LNG,0
2033,Jammu_Kashmir,CCGT-LNG,0
2035,Jammu_Kashmir,CCGT-LNG,0
2037,Jammu_Kashmir,CCGT-LNG,0
2039,Jammu_Kashmir,CCGT-LNG,0
2041,Jammu_Kashmir,CCGT-LNG,0
2043,Jammu_Kashmir,CCGT-LNG,0
2045,Jammu_Kashmir,CCGT-LNG,0
2047,Jammu_Kashmir,CCGT-LNG,0
2017,Jammu_Kashmir,COGENERATION-BAGASSE,0
2019,Jammu_Kashmir,COGENERATION-BAGASSE,0
2021,Jammu_Kashmir,COGENERATION-BAGASSE,0
2023,Jammu_Kashmir,COGENERATION-BAGASSE,0
2025,Jammu_Kashmir,COGENERATION-BAGASSE,0
2027,Jammu_Kashmir,COGENERATION-BAGASSE,0
2029,Jammu_Kashmir,COGENERATION-BAGASSE,0
2031,Jammu_Kashmir,COGENERATION-BAGASSE,0
2033,Jammu_Kashmir,COGENERATION-BAGASSE,0
2035,Jammu_Kashmir,COGENERATION-BAGASSE,0
2037,Jammu_Kashmir,COGENERATION-BAGASSE,0
2039,Jammu_Kashmir,COGENERATION-BAGASSE,0
2041,Jammu_Kashmir,COGENERATION-BAGASSE,0
2043,Jammu_Kashmir,COGENERATION-BAGASSE,0
2045,Jammu_Kashmir,COGENERATION-BAGASSE,0
2047,Jammu_Kashmir,COGENERATION-BAGASSE,0
2017,Jammu_Kashmir,CT-GAS,0
2019,Jammu_Kashmir,CT-GAS,0
2021,Jammu_Kashmir,CT-GAS,0
2023,Jammu_Kashmir,CT-GAS,0
2025,Jammu_Kashmir,CT-GAS,0
2027,Jammu_Kashmir,CT-GAS,0
2029,Jammu_Kashmir,CT-GAS,0
2031,Jammu_Kashmir,CT-GAS,0
2033,Jammu_Kashmir,CT-GAS,0
2035,Jammu_Kashmir,CT-GAS,0
2037,Jammu_Kashmir,CT-GAS,0
2039,Jammu_Kashmir,CT-GAS,0
2041,Jammu_Kashmir,CT-GAS,0
2043,Jammu_Kashmir,CT-GAS,0
2045,Jammu_Kashmir,CT-GAS,0
2047,Jammu_Kashmir,CT-GAS,0
2017,Jammu_Kashmir,DIESEL,0
2019,Jammu_Kashmir,DIESEL,0
2021,Jammu_Kashmir,DIESEL,0
2023,Jammu_Kashmir,DIESEL,0
2025,Jammu_Kashmir,DIESEL,0
2027,Jammu_Kashmir,DIESEL,0
2029,Jammu_Kashmir,DIESEL,0
2031,Jammu_Kashmir,DIESEL,0
2033,Jammu_Kashmir,DIESEL,0
2035,Jammu_Kashmir,DIESEL,0
2037,Jammu_Kashmir,DIESEL,0
2039,Jammu_Kashmir,DIESEL,0
2041,Jammu_Kashmir,DIESEL,0
2043,Jammu_Kashmir,DIESEL,0
2045,Jammu_Kashmir,DIESEL,0
2047,Jammu_Kashmir,DIESEL,0
2017,Jammu_Kashmir,SUBCRITICAL-COAL,0
2019,Jammu_Kashmir,SUBCRITICAL-COAL,0
2021,Jammu_Kashmir,SUBCRITICAL-COAL,0
2023,Jammu_Kashmir,SUBCRITICAL-COAL,0
2025,Jammu_Kashmir,SUBCRITICAL-COAL,0
2027,Jammu_Kashmir,SUBCRITICAL-COAL,0
2029,Jammu_Kashmir,SUBCRITICAL-COAL,0
2031,Jammu_Kashmir,SUBCRITICAL-COAL,0
2033,Jammu_Kashmir,SUBCRITICAL-COAL,0
2035,Jammu_Kashmir,SUBCRITICAL-COAL,0
2037,Jammu_Kashmir,SUBCRITICAL-COAL,0
2039,Jammu_Kashmir,SUBCRITICAL-COAL,0
2041,Jammu_Kashmir,SUBCRITICAL-COAL,0
2043,Jammu_Kashmir,SUBCRITICAL-COAL,0
2045,Jammu_Kashmir,SUBCRITICAL-COAL,0
2047,Jammu_Kashmir,SUBCRITICAL-COAL,0
2017,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2019,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2021,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2023,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2025,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2027,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2029,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2031,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2033,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2035,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2037,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2039,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2041,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2043,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
