r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p36,0.714627732,0.855081886,1.294439259,1.066894645,1.526799338,1.298111964,1.283312459,1.416329093,1.302947319,1.318852209,1.146676938,1.058325359,1,1,1,1,1,1,1,1,1,1,1,1
p37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p38,0.832037618,1.078025901,1.308671534,1.078832014,1.550937399,1.557426087,1.373693379,1.430153989,1.233130991,0.940535892,1.31941953,1.133872128,1,1,1,1,1,1,1,1,1,1,1,1
p39,1,1,1,1,1,1,1,1,1,1,1,1,0.690391797,0.790289537,1.105462129,0.934329708,2.785402101,2.782688573,2.502727976,2.602772086,0.822357504,0.760553144,0.861679626,0.737652632
p40,1.059408775,1.183596761,1.531141123,1.264440288,0.998056054,0.98481404,0.883096213,0.900853111,1.046935591,0.976371807,1.117838559,0.925952198,0.903243345,1.060367145,1.312121368,1.117759379,1.37895016,1.267345457,1.110758229,1.250724736,1.155927754,1.018542527,1.120491712,1.032148461
p41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p42,1,1,1,1,1,1,1,1,1,1,1,1,1.30084775,1.027481219,1.386008409,1.356227719,1.420196332,1.060697262,0.557600945,0.733780409,0.376503972,1.150204719,0.518365006,0.337021822
p43,1.151959331,0.87233774,1.227960596,1.228496846,1.104791674,0.847179134,0.47197407,0.628912199,0.567239434,1.26911219,0.665104748,0.468133249,1.131769306,0.943221861,1.37058538,1.312696913,1.198061255,0.919904198,0.500312562,0.690601253,0.910586551,1.458174235,0.956598866,0.710033732
p44,1,1,1,1,1,1,1,1,1,1,1,1,1.407553868,1.176023862,1.543572847,1.503797426,0.981907913,0.784831172,0.395226541,0.530975711,0.517838947,0.866500349,0.514394085,0.378857497
p45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
