,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p23,0.007,0.442,0.424,0.042,0.0,0.345,0.3,0.005,0.0,0.205,0.189,0.001,0.003,0.388,0.374,0.025,0.375
p24,0.007,0.478,0.358,0.034,0.0,0.402,0.278,0.005,0.0,0.252,0.21,0.001,0.003,0.423,0.337,0.022,0.29
p25,0.002,0.415,0.491,0.057,0.0,0.357,0.405,0.015,0.0,0.214,0.266,0.004,0.001,0.38,0.457,0.041,0.453
p26,0.004,0.457,0.439,0.051,0.0,0.379,0.35,0.013,0.0,0.203,0.218,0.003,0.002,0.395,0.397,0.038,0.402
p27,0.001,0.423,0.502,0.047,0.0,0.4,0.418,0.013,0.0,0.314,0.354,0.006,0.001,0.443,0.505,0.036,0.405
p28,0.0,0.396,0.503,0.049,0.0,0.38,0.43,0.014,0.0,0.299,0.375,0.006,0.0,0.423,0.525,0.039,0.401
p29,0.005,0.427,0.425,0.051,0.0,0.403,0.378,0.016,0.0,0.313,0.336,0.005,0.002,0.449,0.476,0.043,0.285
p3,0.008,0.441,0.422,0.036,0.0,0.343,0.273,0.003,0.0,0.159,0.138,0.0,0.003,0.376,0.331,0.019,0.397
p30,0.0,0.417,0.456,0.035,0.0,0.408,0.409,0.01,0.0,0.339,0.379,0.005,0.0,0.46,0.519,0.032,0.305
p31,0.002,0.463,0.424,0.03,0.0,0.438,0.377,0.006,0.0,0.356,0.338,0.002,0.001,0.473,0.462,0.023,0.35
p32,0.007,0.413,0.421,0.039,0.0,0.334,0.313,0.005,0.0,0.23,0.259,0.001,0.004,0.382,0.397,0.023,0.414
p33,0.005,0.446,0.361,0.029,0.0,0.39,0.312,0.005,0.0,0.285,0.265,0.001,0.002,0.421,0.369,0.02,0.312
p34,0.005,0.461,0.382,0.03,0.0,0.412,0.35,0.007,0.0,0.307,0.303,0.002,0.002,0.446,0.413,0.023,0.366
p35,0.006,0.437,0.407,0.037,0.0,0.334,0.275,0.004,0.0,0.177,0.173,0.0,0.003,0.388,0.365,0.02,0.419
p36,0.003,0.373,0.455,0.061,0.0,0.283,0.328,0.014,0.0,0.139,0.225,0.003,0.001,0.334,0.415,0.039,0.432
p37,0.002,0.349,0.448,0.065,0.0,0.261,0.321,0.013,0.0,0.124,0.207,0.003,0.001,0.312,0.416,0.043,0.427
p38,0.002,0.362,0.453,0.059,0.0,0.288,0.337,0.013,0.0,0.17,0.255,0.004,0.001,0.327,0.415,0.038,0.427
p39,0.006,0.443,0.422,0.03,0.0,0.368,0.316,0.004,0.0,0.242,0.249,0.001,0.003,0.401,0.381,0.017,0.399
p4,0.006,0.467,0.454,0.037,0.0,0.362,0.303,0.003,0.0,0.171,0.163,0.0,0.002,0.403,0.372,0.019,0.41
p40,0.001,0.355,0.472,0.061,0.0,0.301,0.378,0.016,0.0,0.201,0.304,0.006,0.0,0.333,0.432,0.041,0.429
p41,0.001,0.359,0.435,0.052,0.0,0.303,0.347,0.013,0.0,0.194,0.265,0.004,0.001,0.333,0.394,0.035,0.402
p42,0.003,0.348,0.424,0.057,0.0,0.253,0.297,0.01,0.0,0.134,0.2,0.002,0.001,0.318,0.4,0.037,0.437
p43,0.004,0.351,0.415,0.05,0.0,0.258,0.298,0.009,0.0,0.158,0.217,0.002,0.002,0.318,0.384,0.032,0.388
p44,0.002,0.355,0.434,0.054,0.0,0.28,0.324,0.011,0.0,0.16,0.241,0.003,0.001,0.324,0.395,0.035,0.43
p45,0.002,0.342,0.446,0.055,0.0,0.281,0.352,0.012,0.0,0.179,0.27,0.003,0.001,0.315,0.41,0.037,0.425
p46,0.005,0.361,0.385,0.043,0.0,0.268,0.267,0.007,0.0,0.166,0.198,0.001,0.003,0.333,0.353,0.027,0.349
p47,0.002,0.448,0.418,0.026,0.0,0.424,0.369,0.006,0.0,0.359,0.342,0.002,0.001,0.467,0.446,0.019,0.399
p48,0.0,0.361,0.536,0.074,0.0,0.321,0.461,0.031,0.0,0.259,0.423,0.018,0.0,0.359,0.531,0.059,0.473
p49,0.0,0.378,0.519,0.069,0.0,0.319,0.421,0.024,0.0,0.238,0.36,0.012,0.0,0.358,0.492,0.05,0.482
p5,0.004,0.37,0.465,0.058,0.0,0.275,0.303,0.008,0.0,0.13,0.152,0.001,0.001,0.289,0.338,0.029,0.435
p50,0.0,0.352,0.479,0.053,0.0,0.307,0.386,0.016,0.0,0.239,0.338,0.007,0.0,0.323,0.436,0.039,0.42
p51,0.001,0.334,0.456,0.053,0.0,0.287,0.361,0.013,0.0,0.22,0.309,0.005,0.0,0.313,0.415,0.034,0.417
p52,0.001,0.369,0.515,0.07,0.0,0.317,0.421,0.023,0.0,0.234,0.368,0.01,0.0,0.348,0.481,0.048,0.5
p53,0.001,0.341,0.466,0.057,0.0,0.295,0.37,0.015,0.0,0.217,0.313,0.005,0.0,0.318,0.418,0.038,0.419
p54,0.002,0.338,0.409,0.045,0.0,0.312,0.336,0.011,0.0,0.224,0.276,0.003,0.001,0.329,0.366,0.029,0.38
p55,0.001,0.347,0.434,0.045,0.0,0.306,0.353,0.011,0.0,0.21,0.279,0.003,0.001,0.315,0.394,0.03,0.398
p56,0.001,0.349,0.437,0.044,0.0,0.298,0.345,0.01,0.0,0.214,0.268,0.003,0.0,0.313,0.391,0.028,0.385
p57,0.001,0.368,0.414,0.037,0.0,0.308,0.334,0.01,0.0,0.225,0.273,0.004,0.0,0.324,0.384,0.027,0.369
p58,0.001,0.365,0.341,0.024,0.0,0.332,0.305,0.005,0.0,0.258,0.263,0.002,0.001,0.357,0.367,0.019,0.321
p59,0.001,0.449,0.435,0.028,0.0,0.423,0.386,0.006,0.0,0.365,0.353,0.002,0.001,0.478,0.481,0.022,0.392
p6,0.005,0.429,0.472,0.058,0.0,0.334,0.327,0.01,0.0,0.158,0.177,0.001,0.002,0.341,0.365,0.032,0.461
