r,tz
p13065,ET
p13067,ET
p13069,ET
p13071,ET
p13073,ET
p13075,ET
p13077,ET
p13079,ET
p13081,ET
p13083,ET
p13085,ET
p13087,ET
p13089,ET
p13091,ET
p13093,ET
p13095,ET
p13097,ET
p13099,ET
p13101,ET
p13103,ET
p13105,ET
p13107,ET
p13109,ET
p13111,ET
p13113,ET
p13115,ET
p13117,ET
p13119,ET
p13121,ET
p13123,ET
p13125,ET
p13127,ET
p13129,ET
p13131,ET
p13133,ET
p13135,ET
p13137,ET
p13139,ET
p13141,ET
p13143,ET
p13145,ET
p13147,ET
p13149,ET
p13151,ET
p13153,ET
p13155,ET
p13157,ET
p13159,ET
p13161,ET
p13163,ET
p13165,ET
p13167,ET
p13169,ET
p13171,ET
p13173,ET
p13175,ET
p13177,ET
p13179,ET
p13181,ET
p13183,ET
p13185,ET
p13187,ET
p13189,ET
p13191,ET
p13193,ET
p13195,ET
p13197,ET
p13199,ET
p13201,ET
p13205,ET
p13207,ET
p13209,ET
p13211,ET
p13213,ET
p13215,ET
p13217,ET
p13219,ET
p13221,ET
p13223,ET
p13225,ET
p13227,ET
p13229,ET
p13231,ET
p13233,ET
p13235,ET
p13237,ET
p13239,ET
p13241,ET
p13243,ET
p13245,ET
p13247,ET
p13249,ET
p13251,ET
p13253,ET
p13255,ET
p13257,ET
p13259,ET
p13261,ET
p13263,ET
p13265,ET
p13267,ET
p13269,ET
p13271,ET
p13273,ET
p13275,ET
p13277,ET
p13279,ET
p13281,ET
p13283,ET
p13285,ET
p13287,ET
p13289,ET
p13291,ET
p13293,ET
p13295,ET
p13297,ET
p13299,ET
p13301,ET
p13303,ET
p13305,ET
p13307,ET
p13309,ET
p13311,ET
p13313,ET
p13315,ET
p13317,ET
p13319,ET
p13321,ET
p45001,ET
p45007,ET
p45021,ET
p45023,ET
p45045,ET
p45047,ET
p45057,ET
p45059,ET
p45073,ET
p45077,ET
p45083,ET
p45087,ET
p45091,ET
p45003,ET
p45005,ET
p45009,ET
p45011,ET
p45013,ET
p45015,ET
p45017,ET
p45019,ET
p45025,ET
p45027,ET
p45029,ET
p45031,ET
p45033,ET
p45035,ET
p45037,ET
p45039,ET
p45041,ET
p45043,ET
p45049,ET
p45051,ET
p45053,ET
p45055,ET
p45061,ET
p45063,ET
p45065,ET
p45067,ET
p45069,ET
p45071,ET
p45075,ET
p45079,ET
p45081,ET
p45085,ET
p45089,ET
p37003,ET
p37005,ET
p37007,ET
p37009,ET
p37011,ET
p37021,ET
p37023,ET
p37025,ET
p37027,ET
p37035,ET
p37039,ET
p37043,ET
p37045,ET
p37057,ET
p37059,ET
p37067,ET
p37071,ET
p37075,ET
p37081,ET
p37087,ET
p37089,ET
p37097,ET
p37099,ET
p37109,ET
p37111,ET
p37113,ET
p37115,ET
p37119,ET
p37121,ET
p37149,ET
p37151,ET
p37157,ET
p37159,ET
p37161,ET
p37167,ET
p37169,ET
p37171,ET
p37173,ET
p37175,ET
p37179,ET
p37189,ET
p37193,ET
p37197,ET
p37199,ET
p37001,ET
p37013,ET
p37015,ET
p37017,ET
p37019,ET
p37029,ET
p37031,ET
p37033,ET
p37037,ET
p37041,ET
p37047,ET
p37049,ET
p37051,ET
p37053,ET
p37055,ET
p37061,ET
p37063,ET
p37065,ET
p37069,ET
p37073,ET
p37077,ET
p37079,ET
p37083,ET
p37085,ET
p37091,ET
p37093,ET
p37095,ET
p37101,ET
p37103,ET
p37105,ET
p37107,ET
p37117,ET
p37123,ET
p37125,ET
p37127,ET
p37129,ET
p37131,ET
p37133,ET
p37135,ET
p37137,ET
p37139,ET
p37141,ET
p37143,ET
p37145,ET
p37147,ET
p37153,ET
p37155,ET
p37163,ET
p37165,ET
p37177,ET
p37181,ET
p37183,ET
p37185,ET
p37187,ET
p37191,ET
p37195,ET
p51003,ET
p51005,ET
p51007,ET
p51011,ET
p51013,ET
p51015,ET
p51017,ET
p51025,ET
p51029,ET
p51031,ET
p51033,ET
p51036,ET
p51037,ET
p51041,ET
p51047,ET
p51049,ET
p51053,ET
p51057,ET
p51059,ET
p51061,ET
p51065,ET
p51073,ET
p51075,ET
p51081,ET
p51083,ET
p51085,ET
p51087,ET
p51091,ET
p51093,ET
p51095,ET
p51097,ET
p51099,ET
p51101,ET
p51103,ET
p51107,ET
p51109,ET
p51111,ET
p51115,ET
p51117,ET
p51119,ET
p51127,ET
p51133,ET
p51135,ET
p51137,ET
p51143,ET
p51145,ET
p51147,ET
p51149,ET
p51153,ET
p51159,ET
p51163,ET
p51165,ET
p51171,ET
p51175,ET
p51177,ET
p51179,ET
p51181,ET
p51183,ET
p51193,ET
p51199,ET
p51510,ET
p51530,ET
p51540,ET
p51550,ET
p51570,ET
p51580,ET
p51590,ET
p51595,ET
p51600,ET
p51610,ET
p51620,ET
p51630,ET
p51650,ET
p51660,ET
p51670,ET
p51678,ET
p51683,ET
p51685,ET
p51700,ET
p51710,ET
p51730,ET
p51735,ET
p51740,ET
p51760,ET
p51790,ET
p51800,ET
p51810,ET
p51820,ET
p51830,ET
p51043,ET
p51069,ET
p51079,ET
p51113,ET
p51139,ET
p51157,ET
p51187,ET
p51840,ET
p12001,ET
p12003,ET
p12007,ET
p12015,ET
p12017,ET
p12019,ET
p12021,ET
p12023,ET
p12027,ET
p12029,ET
p12031,ET
p12035,ET
p12037,ET
p12039,ET
p12041,ET
p12043,ET
p12047,ET
p12049,ET
p12051,ET
p12053,ET
p12055,ET
p12057,ET
p12065,ET
p12067,ET
p12069,ET
p12071,ET
p12073,ET
p12075,ET
p12077,ET
p12079,ET
p12081,ET
p12083,ET
p12087,ET
p12089,ET
p12093,ET
p12095,ET
p12097,ET
p12101,ET
p12103,ET
p12105,ET
p12107,ET
p12109,ET
p12115,ET
p12117,ET
p12119,ET
p12121,ET
p12123,ET
p12125,ET
p12127,ET
p12129,ET
p12009,ET
p12011,ET
p12061,ET
p12085,ET
p12086,ET
p12099,ET
p12111,ET
p26001,ET
p26005,ET
p26007,ET
p26009,ET
p26011,ET
p26015,ET
p26017,ET
p26019,ET
p26023,ET
p26025,ET
p26029,ET
p26031,ET
p26033,ET
p26035,ET
p26037,ET
p26039,ET
p26045,ET
p26047,ET
p26049,ET
p26051,ET
p26055,ET
p26057,ET
p26059,ET
p26063,ET
p26065,ET
p26067,ET
p26069,ET
p26073,ET
p26075,ET
p26079,ET
p26081,ET
p26085,ET
p26087,ET
p26089,ET
p26091,ET
p26093,ET
p26095,ET
p26097,ET
p26099,ET
p26101,ET
p26105,ET
p26107,ET
p26111,ET
p26113,ET
p26115,ET
p26117,ET
p26119,ET
p26121,ET
p26123,ET
p26125,ET
p26127,ET
p26129,ET
p26133,ET
p26135,ET
p26137,ET
p26139,ET
p26141,ET
p26143,ET
p26145,ET
p26147,ET
p26151,ET
p26153,ET
p26155,ET
p26157,ET
p26161,ET
p26163,ET
p26165,ET
p26021,ET
p26027,ET
p26077,ET
p26149,ET
p26159,ET
p18001,ET
p18003,ET
p18007,ET
p18009,ET
p18011,ET
p18015,ET
p18017,ET
p18023,ET
p18033,ET
p18035,ET
p18039,ET
p18045,ET
p18049,ET
p18053,ET
p18059,ET
p18063,ET
p18067,ET
p18069,ET
p18073,ET
p18075,ET
p18085,ET
p18087,ET
p18089,ET
p18091,ET
p18095,ET
p18099,ET
p18103,ET
p18107,ET
p18111,ET
p18113,ET
p18121,ET
p18127,ET
p18131,ET
p18133,ET
p18135,ET
p18141,ET
p18149,ET
p18151,ET
p18157,ET
p18159,ET
p18165,ET
p18167,ET
p18169,ET
p18171,ET
p18179,ET
p18181,ET
p18183,ET
p18057,ET
p18097,ET
p18005,ET
p18013,ET
p18019,ET
p18021,ET
p18025,ET
p18027,ET
p18029,ET
p18031,ET
p18037,ET
p18041,ET
p18043,ET
p18047,ET
p18051,ET
p18055,ET
p18061,ET
p18065,ET
p18071,ET
p18077,ET
p18079,ET
p18081,ET
p18083,ET
p18093,ET
p18101,ET
p18105,ET
p18109,ET
p18115,ET
p18117,ET
p18119,ET
p18123,ET
p18125,ET
p18129,ET
p18137,ET
p18139,ET
p18143,ET
p18145,ET
p18147,ET
p18153,ET
p18155,ET
p18161,ET
p18163,ET
p18173,ET
p18175,ET
p18177,ET
p21027,CT
p21033,CT
p21055,CT
p21059,CT
p21085,CT
p21091,CT
p21101,CT
p21107,CT
p21149,CT
p21177,CT
p21183,CT
p21225,CT
p21233,CT
p21001,ET
p21005,ET
p21009,ET
p21011,ET
p21013,ET
p21015,ET
p21017,ET
p21021,ET
p21023,ET
p21029,ET
p21037,ET
p21041,ET
p21045,ET
p21049,ET
p21051,ET
p21061,ET
p21063,ET
p21065,ET
p21067,ET
p21069,ET
p21073,ET
p21077,ET
p21079,ET
p21081,ET
p21087,ET
p21089,ET
p21093,ET
p21095,ET
p21097,ET
p21099,ET
p21103,ET
p21109,ET
p21111,ET
p21113,ET
p21115,ET
p21117,ET
p21121,ET
p21123,ET
p21125,ET
p21129,ET
p21135,ET
p21137,ET
p21151,ET
p21153,ET
p21155,ET
p21161,ET
p21163,ET
p21165,ET
p21167,ET
p21173,ET
p21175,ET
p21179,ET
p21181,ET
p21185,ET
p21187,ET
p21189,ET
p21191,ET
p21197,ET
p21201,ET
p21203,ET
p21205,ET
p21209,ET
p21211,ET
p21215,ET
p21217,ET
p21223,ET
p21229,ET
p21235,ET
p21237,ET
p21239,ET
p21019,ET
p21025,ET
p21043,ET
p21071,ET
p21119,ET
p21127,ET
p21131,ET
p21133,ET
p21159,ET
p21193,ET
p21195,ET
p39007,ET
p39029,ET
p39035,ET
p39043,ET
p39051,ET
p39055,ET
p39085,ET
p39093,ET
p39095,ET
p39099,ET
p39103,ET
p39123,ET
p39133,ET
p39143,ET
p39151,ET
p39153,ET
p39155,ET
p39173,ET
p39001,ET
p39003,ET
p39005,ET
p39009,ET
p39011,ET
p39013,ET
p39019,ET
p39021,ET
p39031,ET
p39033,ET
p39037,ET
p39039,ET
p39041,ET
p39045,ET
p39049,ET
p39053,ET
p39059,ET
p39063,ET
p39065,ET
p39067,ET
p39069,ET
p39071,ET
p39073,ET
p39075,ET
p39077,ET
p39079,ET
p39081,ET
p39083,ET
p39087,ET
p39089,ET
p39091,ET
p39101,ET
p39105,ET
p39107,ET
p39111,ET
p39115,ET
p39117,ET
p39119,ET
p39121,ET
p39125,ET
p39127,ET
p39129,ET
p39131,ET
p39137,ET
p39139,ET
p39141,ET
p39145,ET
p39147,ET
p39149,ET
p39157,ET
p39159,ET
p39161,ET
p39163,ET
p39167,ET
p39169,ET
p39171,ET
p39175,ET
p39023,ET
p39027,ET
p39047,ET
p39057,ET
p39097,ET
p39109,ET
p39113,ET
p39135,ET
p39015,ET
p39017,ET
p39025,ET
p39061,ET
p39165,ET
p42003,ET
p42005,ET
p42007,ET
p42019,ET
p42051,ET
p42059,ET
p42125,ET
p42129,ET
p54001,ET
p54003,ET
p54007,ET
p54009,ET
p54013,ET
p54015,ET
p54017,ET
p54021,ET
p54023,ET
p54025,ET
p54027,ET
p54029,ET
p54031,ET
p54033,ET
p54035,ET
p54037,ET
p54041,ET
p54049,ET
p54051,ET
p54057,ET
p54061,ET
p54063,ET
p54065,ET
p54067,ET
p54069,ET
p54071,ET
p54073,ET
p54075,ET
p54077,ET
p54083,ET
p54085,ET
p54087,ET
p54089,ET
p54091,ET
p54093,ET
p54095,ET
p54097,ET
p54101,ET
p54103,ET
p54105,ET
p54107,ET
p54005,ET
p54011,ET
p54019,ET
p54039,ET
p54043,ET
p54045,ET
p54047,ET
p54053,ET
p54055,ET
p54059,ET
p54079,ET
p54081,ET
p54099,ET
p54109,ET
p51009,ET
p51019,ET
p51021,ET
p51023,ET
p51027,ET
p51035,ET
p51045,ET
p51051,ET
p51063,ET
p51067,ET
p51071,ET
p51077,ET
p51089,ET
p51105,ET
p51121,ET
p51125,ET
p51141,ET
p51155,ET
p51161,ET
p51167,ET
p51169,ET
p51173,ET
p51185,ET
p51191,ET
p51195,ET
p51197,ET
p51520,ET
p51640,ET
p51680,ET
p51690,ET
p51720,ET
p51750,ET
p51770,ET
p51775,ET
p42023,ET
p42027,ET
p42035,ET
p42047,ET
p42105,ET
p42055,ET
p42057,ET
p24001,ET
p24021,ET
p24023,ET
p24043,ET
p42001,ET
p42009,ET
p42011,ET
p42013,ET
p42015,ET
p42017,ET
p42021,ET
p42025,ET
p42029,ET
p42031,ET
p42033,ET
p42037,ET
p42039,ET
p42041,ET
p42043,ET
p42045,ET
p42049,ET
p42053,ET
p42061,ET
p42063,ET
p42065,ET
p42067,ET
p42069,ET
p42071,ET
p42073,ET
p42075,ET
p42077,ET
p42079,ET
p42081,ET
p42083,ET
p42085,ET
p42087,ET
p42089,ET
p42091,ET
p42093,ET
p42095,ET
p42097,ET
p42099,ET
p42101,ET
p42103,ET
p42107,ET
p42109,ET
p42111,ET
p42113,ET
p42115,ET
p42117,ET
p42119,ET
p42121,ET
p42123,ET
p42127,ET
p42131,ET
p42133,ET
p11001,ET
p24003,ET
p24005,ET
p24009,ET
p24011,ET
p24013,ET
p24015,ET
p24017,ET
p24019,ET
p24025,ET
p24027,ET
p24029,ET
p24031,ET
p24033,ET
p24035,ET
p24037,ET
p24039,ET
p24041,ET
p24045,ET
p24047,ET
p24510,ET
p51001,ET
p51131,ET
p10001,ET
p10003,ET
p10005,ET
p34001,ET
p34003,ET
p34005,ET
p34007,ET
p34009,ET
p34011,ET
p34013,ET
p34015,ET
p34017,ET
p34019,ET
p34021,ET
p34023,ET
p34025,ET
p34027,ET
p34029,ET
p34031,ET
p34033,ET
p34035,ET
p34037,ET
p34039,ET
p34041,ET
p36001,ET
p36003,ET
p36005,ET
p36007,ET
p36009,ET
p36011,ET
p36013,ET
p36015,ET
p36017,ET
p36019,ET
p36021,ET
p36023,ET
p36025,ET
p36027,ET
p36029,ET
p36031,ET
p36033,ET
p36035,ET
p36037,ET
p36039,ET
p36041,ET
p36043,ET
p36045,ET
p36047,ET
p36049,ET
p36051,ET
p36053,ET
p36055,ET
p36057,ET
p36061,ET
p36063,ET
p36065,ET
p36067,ET
p36069,ET
p36071,ET
p36073,ET
p36075,ET
p36077,ET
p36079,ET
p36081,ET
p36083,ET
p36085,ET
p36087,ET
p36089,ET
p36091,ET
p36093,ET
p36095,ET
p36097,ET
p36099,ET
p36101,ET
p36105,ET
p36107,ET
p36109,ET
p36111,ET
p36113,ET
p36115,ET
p36117,ET
p36119,ET
p36121,ET
p36123,ET
p36059,ET
p36103,ET
p50001,ET
p50003,ET
p50005,ET
p50007,ET
p50009,ET
p50011,ET
p50013,ET
p50015,ET
p50017,ET
p50019,ET
p50021,ET
p50023,ET
p50025,ET
p50027,ET
p33001,ET
p33003,ET
p33005,ET
p33007,ET
p33009,ET
p33011,ET
p33013,ET
p33015,ET
p33017,ET
p33019,ET
p25001,ET
p25003,ET
p25005,ET
p25007,ET
p25009,ET
p25011,ET
p25013,ET
p25015,ET
p25017,ET
p25019,ET
p25021,ET
p25023,ET
p25025,ET
p25027,ET
p09110,ET
p09120,ET
p09130,ET
p09140,ET
p09150,ET
p09160,ET
p09170,ET
p09180,ET
p09190,ET
p44001,ET
p44003,ET
p44005,ET
p44007,ET
p44009,ET
p23001,ET
p23003,ET
p23005,ET
p23007,ET
p23009,ET
p23011,ET
p23013,ET
p23015,ET
p23017,ET
p23019,ET
p23021,ET
p23023,ET
p23025,ET
p23027,ET
p23029,ET
p23031,ET
p1,PT
p2,PT
p3,PT
p4,PT
p5,PT
p6,PT
p7,PT
p8,PT
p9,PT
p10,PT
p11,PT
p12,PT
p13,PT
p14,PT
p15,MT
p16,MT
p17,MT
p18,MT
p19,MT
p20,MT
p21,MT
p22,MT
p23,MT
p24,MT
p25,MT
p26,MT
p27,MT
p28,MT
p29,MT
p30,MT
p31,MT
p32,MT
p33,MT
p34,MT
p35,MT
p36,CT
p37,CT
p38,CT
p39,MT
p40,CT
p41,CT
p42,CT
p43,CT
p44,CT
p45,CT
p46,CT
p47,MT
p48,CT
p49,CT
p50,CT
p51,CT
p52,CT
p53,CT
p54,CT
p55,CT
p56,CT
p57,CT
p58,CT
p59,MT
p60,CT
p61,CT
p62,CT
p63,CT
p64,CT
p65,CT
p66,CT
p67,CT
p68,CT
p69,CT
p70,CT
p71,CT
p72,CT
p73,CT
p74,ET
p75,CT
p76,CT
p77,CT
p78,CT
p79,CT
p80,CT
p81,CT
p82,CT
p83,CT
p84,CT
p85,CT
p86,CT
p87,CT
p88,CT
p89,CT
p90,CT
p91,CT
p92,CT
p93,CT
p94,ET
p95,ET
p96,ET
p97,ET
p98,ET
p99,ET
p100,ET
p101,ET
p102,ET
p103,ET
p104,ET
p105,ET
p106,ET
p107,ET
p108,CT
p109,ET
p110,ET
p111,ET
p112,ET
p113,ET
p114,ET
p115,ET
p116,ET
p117,ET
p118,ET
p119,ET
p120,ET
p121,ET
p122,ET
p123,ET
p124,ET
p125,ET
p126,ET
p127,ET
p128,ET
p129,ET
p130,ET
p131,ET
p132,ET
p133,ET
p134,ET
p135,PT
p136,PT
p137,PT
p138,PT
p139,PT
p140,MT
p141,MT
p142,CT
p143,CT
p144,ET
p145,ET
p146,ET
p147,ET
p148,ET
p149,ET
p150,ET
p151,ET
p152,AT
p153,AT
p154,#N/A
p155,#N/A
p156,AT
p157,MT
p158,MT
p159,MT
p160,MT
p161,MT
p162,MT
p163,MT
p164,MT
p165,MT
p166,CT
p167,CT
p168,CT
p169,CT
p170,CT
p171,CT
p172,CT
p173,CT
p174,CT
p175,CT
p176,CT
p177,CT
p178,CT
p179,CT
p180,CT
p181,CT
p182,CT
p183,CT
p184,CT
p185,CT
p186,CT
p187,CT
p188,CT
p189,CT
p190,CT
p191,CT
p192,CT
p193,CT
p194,CT
p195,CT
p196,CT
p197,CT
p198,CT
p199,CT
p200,CT
p201,PT
p202,PT
p203,PT
p204,PT
p205,MT
