,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p30,2.435539638,48.87996376,104.064,190.905,302.297,335.056,344.448,349.61,353.867,357.284,358.738,361.725,364.48,366.815,368.905,371.814,373.039,376.181,380.117,384.274,389.008
p31,0.65127812,21.37159267,44.514,71.65,110.412,178.901,243.29,295.789,342.776,378.578,401.588,432.809,458.764,487.105,509.262,528.543,539.947,557.98,566.588,574.4,587.049
p32,0,0,5.383,10.167,15.268,16.411,17.203,17.66,18.032,18.318,18.468,18.663,18.831,19.043,19.202,19.347,19.416,19.497,19.555,19.647,19.797
p33,2.526042441,132.7315941,199.672,269.228,382.401,438.083,482.166,517.659,553.683,586.543,610.437,638.076,658.945,675.323,685.326,693.889,699.959,701.917,709.649,720.298,727.927
p34,0.857821277,34.1684059,92.648,126.831,186.545,213.831,234.769,252.487,269.994,285.776,297.805,310.568,319.83,327.094,331.289,334.982,337.37,338.136,340.907,344.919,347.735
p35,0,0,0.088,0.52,1.161,1.328,1.515,1.636,1.743,1.856,1.938,2.034,2.111,2.17,2.238,2.321,2.391,2.467,2.539,2.568,2.649
p36,0,0,7.822,11.113,13.781,13.839,13.88,13.921,13.98,14.055,14.142,14.265,14.403,14.553,14.711,14.882,15.061,15.268,15.476,15.64,15.83
p37,0,0,17.408,29.554,42.004,42.282,42.356,42.377,42.4,42.424,42.444,42.483,42.518,42.556,42.595,42.633,42.657,42.694,42.794,42.867,42.98
p38,0,0,19.848,30.499,40.517,41.717,42.459,42.775,43.054,43.305,43.488,43.677,43.855,44.012,44.151,44.286,44.356,44.491,44.642,44.655,44.771
p39,0,0,4.645,7.245,9.528,9.753,9.908,10.001,10.077,10.13,10.163,10.197,10.223,10.25,10.276,10.294,10.306,10.322,10.331,10.334,10.335
p4,0.119576402,0.38937141,1.505,2.921,4.676,5.019,5.019,5.019,5.019,5.019,5.614,6.268,6.39,6.473,6.475,6.487,6.488,6.538,6.616,6.65,6.65
p40,0,0,10.039,16.868,23.752,24.507,24.974,25.221,25.417,25.554,25.651,25.751,25.84,25.927,26.02,26.117,26.173,26.309,26.384,26.389,26.474
p41,0,0,10.546,16.554,22.506,23.582,24.044,24.235,24.55,24.728,24.849,24.987,25.134,25.284,25.429,25.562,25.63,25.755,25.82,26.197,26.499
p42,0,0,0.474,2.478,18.594,19.819,21.097,22.242,23.52,24.679,25.57,26.336,26.956,27.507,27.974,28.445,28.674,29.14,29.97,30.971,32.519
p43,0,0,15.929,81.338,590.604,621.743,670.952,721.429,781.858,842.482,893.377,937.504,974.242,1011.204,1044.621,1076.826,1096.614,1121.75,1143.401,1158.555,1183.109
p44,0,0,0.598,3.228,23.478,25.404,27.649,29.448,31.33,33.014,34.252,35.288,36.196,37.019,37.684,38.284,38.578,39.06,39.494,39.777,40.469
p45,0,0,8.543,17.785,35.49,35.689,35.729,35.751,35.768,35.779,35.788,35.795,35.801,35.808,35.815,35.825,35.829,35.855,35.873,35.873,35.889
p46,0.037516039,2.141675603,3.599,6.34,13.714,21.841,31.975,39.104,46.874,54.326,60.492,67.386,73.121,78.249,82.689,86.795,89.4,93.983,98.519,102.363,107.486
