tech,ctt,wst
csp1_2_d_fg,d,fg
csp1_3_d_fg,d,fg
csp1_4_d_fg,d,fg
csp1_5_d_fg,d,fg
csp1_6_d_fg,d,fg
csp1_7_d_fg,d,fg
csp1_8_d_fg,d,fg
csp1_9_d_fg,d,fg
csp1_10_d_fg,d,fg
csp1_11_d_fg,d,fg
csp1_12_d_fg,d,fg
csp1_1_d_sg,d,sg
csp1_2_d_sg,d,sg
csp1_3_d_sg,d,sg
csp1_4_d_sg,d,sg
csp1_5_d_sg,d,sg
csp1_6_d_sg,d,sg
csp1_7_d_sg,d,sg
csp1_8_d_sg,d,sg
csp1_9_d_sg,d,sg
csp1_10_d_sg,d,sg
csp1_11_d_sg,d,sg
csp1_12_d_sg,d,sg
csp1_1_d_ss,d,ss
csp1_2_d_ss,d,ss
csp1_3_d_ss,d,ss
csp1_4_d_ss,d,ss
csp1_5_d_ss,d,ss
csp1_6_d_ss,d,ss
csp1_7_d_ss,d,ss
csp1_8_d_ss,d,ss
csp1_9_d_ss,d,ss
csp1_10_d_ss,d,ss
csp1_11_d_ss,d,ss
csp1_12_d_ss,d,ss
csp1_1_d_ww,d,ww
csp1_2_d_ww,d,ww
csp1_3_d_ww,d,ww
csp1_4_d_ww,d,ww
csp1_5_d_ww,d,ww
csp1_6_d_ww,d,ww
csp1_7_d_ww,d,ww
csp1_8_d_ww,d,ww
csp1_9_d_ww,d,ww
csp1_10_d_ww,d,ww
csp1_11_d_ww,d,ww
csp1_12_d_ww,d,ww
csp2_1_r_fsu,r,fsu
csp2_2_r_fsu,r,fsu
csp2_3_r_fsu,r,fsu
csp2_4_r_fsu,r,fsu
csp2_5_r_fsu,r,fsu
csp2_6_r_fsu,r,fsu
csp2_7_r_fsu,r,fsu
csp2_8_r_fsu,r,fsu
csp2_9_r_fsu,r,fsu
csp2_10_r_fsu,r,fsu
csp2_11_r_fsu,r,fsu
csp2_12_r_fsu,r,fsu
csp2_1_r_fsa,r,fsa
csp2_2_r_fsa,r,fsa
csp2_3_r_fsa,r,fsa
csp2_4_r_fsa,r,fsa
csp2_5_r_fsa,r,fsa
csp2_6_r_fsa,r,fsa
csp2_7_r_fsa,r,fsa
csp2_8_r_fsa,r,fsa
csp2_9_r_fsa,r,fsa
csp2_10_r_fsa,r,fsa
csp2_11_r_fsa,r,fsa
csp2_12_r_fsa,r,fsa
csp2_1_r_fsl,r,fsl
csp2_2_r_fsl,r,fsl
csp2_3_r_fsl,r,fsl
csp2_4_r_fsl,r,fsl
csp2_5_r_fsl,r,fsl
csp2_6_r_fsl,r,fsl
csp2_7_r_fsl,r,fsl
csp2_8_r_fsl,r,fsl
csp2_9_r_fsl,r,fsl
csp2_10_r_fsl,r,fsl
csp2_11_r_fsl,r,fsl
csp2_12_r_fsl,r,fsl
csp2_1_r_fg,r,fg
csp2_2_r_fg,r,fg
csp2_3_r_fg,r,fg
csp2_4_r_fg,r,fg
csp2_5_r_fg,r,fg
csp2_6_r_fg,r,fg
csp2_7_r_fg,r,fg
csp2_8_r_fg,r,fg
csp2_9_r_fg,r,fg
csp2_10_r_fg,r,fg
csp2_11_r_fg,r,fg
csp2_12_r_fg,r,fg
csp2_1_r_sg,r,sg
csp2_2_r_sg,r,sg
csp2_3_r_sg,r,sg
csp2_4_r_sg,r,sg
csp2_5_r_sg,r,sg
csp2_6_r_sg,r,sg
csp2_7_r_sg,r,sg
csp2_8_r_sg,r,sg
csp2_9_r_sg,r,sg
csp2_10_r_sg,r,sg
csp2_11_r_sg,r,sg
csp2_12_r_sg,r,sg
csp2_1_r_ss,r,ss
csp2_2_r_ss,r,ss
csp2_3_r_ss,r,ss
csp2_4_r_ss,r,ss
csp2_5_r_ss,r,ss
csp2_6_r_ss,r,ss
csp2_7_r_ss,r,ss
csp2_8_r_ss,r,ss
csp2_9_r_ss,r,ss
csp2_10_r_ss,r,ss
csp2_11_r_ss,r,ss
csp2_12_r_ss,r,ss
csp2_1_r_ww,r,ww
csp2_2_r_ww,r,ww
csp2_3_r_ww,r,ww
csp2_4_r_ww,r,ww
csp2_5_r_ww,r,ww
csp2_6_r_ww,r,ww
csp2_7_r_ww,r,ww
csp2_8_r_ww,r,ww
csp2_9_r_ww,r,ww
csp2_10_r_ww,r,ww
csp2_11_r_ww,r,ww
csp2_12_r_ww,r,ww
csp2_1_d_fsu,d,fsu
csp2_2_d_fsu,d,fsu
csp2_3_d_fsu,d,fsu
csp2_4_d_fsu,d,fsu
csp2_5_d_fsu,d,fsu
csp2_6_d_fsu,d,fsu
csp2_7_d_fsu,d,fsu
csp2_8_d_fsu,d,fsu
csp2_9_d_fsu,d,fsu
csp2_10_d_fsu,d,fsu
csp2_11_d_fsu,d,fsu
csp2_12_d_fsu,d,fsu
csp2_1_d_fsa,d,fsa
csp2_2_d_fsa,d,fsa
csp2_3_d_fsa,d,fsa
csp2_4_d_fsa,d,fsa
csp2_5_d_fsa,d,fsa
csp2_6_d_fsa,d,fsa
csp2_7_d_fsa,d,fsa
csp2_8_d_fsa,d,fsa
csp2_9_d_fsa,d,fsa
csp2_10_d_fsa,d,fsa
csp2_11_d_fsa,d,fsa
csp2_12_d_fsa,d,fsa
csp2_1_d_fsl,d,fsl
csp2_2_d_fsl,d,fsl
csp2_3_d_fsl,d,fsl
csp2_4_d_fsl,d,fsl
csp2_5_d_fsl,d,fsl
csp2_6_d_fsl,d,fsl
csp2_7_d_fsl,d,fsl
csp2_8_d_fsl,d,fsl
csp2_9_d_fsl,d,fsl
csp2_10_d_fsl,d,fsl
csp2_11_d_fsl,d,fsl
csp2_12_d_fsl,d,fsl
csp2_1_d_fg,d,fg
csp2_2_d_fg,d,fg
csp2_3_d_fg,d,fg
csp2_4_d_fg,d,fg
csp2_5_d_fg,d,fg
csp2_6_d_fg,d,fg
csp2_7_d_fg,d,fg
csp2_8_d_fg,d,fg
csp2_9_d_fg,d,fg
csp2_10_d_fg,d,fg
csp2_11_d_fg,d,fg
csp2_12_d_fg,d,fg
csp2_1_d_sg,d,sg
csp2_2_d_sg,d,sg
csp2_3_d_sg,d,sg
csp2_4_d_sg,d,sg
csp2_5_d_sg,d,sg
csp2_6_d_sg,d,sg
csp2_7_d_sg,d,sg
csp2_8_d_sg,d,sg
csp2_9_d_sg,d,sg
csp2_10_d_sg,d,sg
csp2_11_d_sg,d,sg
csp2_12_d_sg,d,sg
csp2_1_d_ss,d,ss
csp2_2_d_ss,d,ss
csp2_3_d_ss,d,ss
csp2_4_d_ss,d,ss
csp2_5_d_ss,d,ss
csp2_6_d_ss,d,ss
csp2_7_d_ss,d,ss
csp2_8_d_ss,d,ss
csp2_9_d_ss,d,ss
csp2_10_d_ss,d,ss
csp2_11_d_ss,d,ss
csp2_12_d_ss,d,ss
csp2_1_d_ww,d,ww
csp2_2_d_ww,d,ww
csp2_3_d_ww,d,ww
csp2_4_d_ww,d,ww
csp2_5_d_ww,d,ww
csp2_6_d_ww,d,ww
csp2_7_d_ww,d,ww
csp2_8_d_ww,d,ww
csp2_9_d_ww,d,ww
csp2_10_d_ww,d,ww
csp2_11_d_ww,d,ww
csp2_12_d_ww,d,ww
csp3_1_r_fsu,r,fsu
csp3_2_r_fsu,r,fsu
csp3_3_r_fsu,r,fsu
csp3_4_r_fsu,r,fsu
csp3_5_r_fsu,r,fsu
csp3_6_r_fsu,r,fsu
csp3_7_r_fsu,r,fsu
csp3_8_r_fsu,r,fsu
csp3_9_r_fsu,r,fsu
csp3_10_r_fsu,r,fsu
csp3_11_r_fsu,r,fsu
csp3_12_r_fsu,r,fsu
csp3_1_r_fsa,r,fsa
csp3_2_r_fsa,r,fsa
csp3_3_r_fsa,r,fsa
csp3_4_r_fsa,r,fsa
csp3_5_r_fsa,r,fsa
csp3_6_r_fsa,r,fsa
csp3_7_r_fsa,r,fsa
csp3_8_r_fsa,r,fsa
csp3_9_r_fsa,r,fsa
csp3_10_r_fsa,r,fsa
csp3_11_r_fsa,r,fsa
csp3_12_r_fsa,r,fsa
csp3_1_r_fsl,r,fsl
csp3_2_r_fsl,r,fsl
csp3_3_r_fsl,r,fsl
csp3_4_r_fsl,r,fsl
csp3_5_r_fsl,r,fsl
csp3_6_r_fsl,r,fsl
csp3_7_r_fsl,r,fsl
csp3_8_r_fsl,r,fsl
csp3_9_r_fsl,r,fsl
csp3_10_r_fsl,r,fsl
csp3_11_r_fsl,r,fsl
csp3_12_r_fsl,r,fsl
csp3_1_r_fg,r,fg
csp3_2_r_fg,r,fg
csp3_3_r_fg,r,fg
csp3_4_r_fg,r,fg
csp3_5_r_fg,r,fg
csp3_6_r_fg,r,fg
csp3_7_r_fg,r,fg
csp3_8_r_fg,r,fg
csp3_9_r_fg,r,fg
csp3_10_r_fg,r,fg
csp3_11_r_fg,r,fg
csp3_12_r_fg,r,fg
csp3_1_r_sg,r,sg
csp3_2_r_sg,r,sg
csp3_3_r_sg,r,sg
csp3_4_r_sg,r,sg
csp3_5_r_sg,r,sg
csp3_6_r_sg,r,sg
csp3_7_r_sg,r,sg
csp3_8_r_sg,r,sg
csp3_9_r_sg,r,sg
csp3_10_r_sg,r,sg
csp3_11_r_sg,r,sg
csp3_12_r_sg,r,sg
csp3_1_r_ss,r,ss
csp3_2_r_ss,r,ss
csp3_3_r_ss,r,ss
csp3_4_r_ss,r,ss
csp3_5_r_ss,r,ss
csp3_6_r_ss,r,ss
csp3_7_r_ss,r,ss
csp3_8_r_ss,r,ss
csp3_9_r_ss,r,ss
csp3_10_r_ss,r,ss
csp3_11_r_ss,r,ss
csp3_12_r_ss,r,ss
csp3_1_r_ww,r,ww
csp3_2_r_ww,r,ww
csp3_3_r_ww,r,ww
csp3_4_r_ww,r,ww
csp3_5_r_ww,r,ww
csp3_6_r_ww,r,ww
csp3_7_r_ww,r,ww
csp3_8_r_ww,r,ww
csp3_9_r_ww,r,ww
csp3_10_r_ww,r,ww
csp3_11_r_ww,r,ww
csp3_12_r_ww,r,ww
csp3_1_d_fsu,d,fsu
csp3_2_d_fsu,d,fsu
csp3_3_d_fsu,d,fsu
csp3_4_d_fsu,d,fsu
csp3_5_d_fsu,d,fsu
csp3_6_d_fsu,d,fsu
csp3_7_d_fsu,d,fsu
csp3_8_d_fsu,d,fsu
csp3_9_d_fsu,d,fsu
csp3_10_d_fsu,d,fsu
csp3_11_d_fsu,d,fsu
csp3_12_d_fsu,d,fsu
csp3_1_d_fsa,d,fsa
csp3_2_d_fsa,d,fsa
csp3_3_d_fsa,d,fsa
csp3_4_d_fsa,d,fsa
csp3_5_d_fsa,d,fsa
csp3_6_d_fsa,d,fsa
csp3_7_d_fsa,d,fsa
csp3_8_d_fsa,d,fsa
csp3_9_d_fsa,d,fsa
csp3_10_d_fsa,d,fsa
csp3_11_d_fsa,d,fsa
csp3_12_d_fsa,d,fsa
csp3_1_d_fsl,d,fsl
csp3_2_d_fsl,d,fsl
csp3_3_d_fsl,d,fsl
csp3_4_d_fsl,d,fsl
csp3_5_d_fsl,d,fsl
csp3_6_d_fsl,d,fsl
csp3_7_d_fsl,d,fsl
csp3_8_d_fsl,d,fsl
csp3_9_d_fsl,d,fsl
csp3_10_d_fsl,d,fsl
csp3_11_d_fsl,d,fsl
csp3_12_d_fsl,d,fsl
csp3_1_d_fg,d,fg
csp3_2_d_fg,d,fg
csp3_3_d_fg,d,fg
csp3_4_d_fg,d,fg
csp3_5_d_fg,d,fg
csp3_6_d_fg,d,fg
csp3_7_d_fg,d,fg
csp3_8_d_fg,d,fg
csp3_9_d_fg,d,fg
csp3_10_d_fg,d,fg
csp3_11_d_fg,d,fg
csp3_12_d_fg,d,fg
csp3_1_d_sg,d,sg
csp3_2_d_sg,d,sg
csp3_3_d_sg,d,sg
csp3_4_d_sg,d,sg
csp3_5_d_sg,d,sg
csp3_6_d_sg,d,sg
csp3_7_d_sg,d,sg
csp3_8_d_sg,d,sg
csp3_9_d_sg,d,sg
csp3_10_d_sg,d,sg
csp3_11_d_sg,d,sg
csp3_12_d_sg,d,sg
csp3_1_d_ss,d,ss
csp3_2_d_ss,d,ss
csp3_3_d_ss,d,ss
csp3_4_d_ss,d,ss
csp3_5_d_ss,d,ss
csp3_6_d_ss,d,ss
csp3_7_d_ss,d,ss
csp3_8_d_ss,d,ss
csp3_9_d_ss,d,ss
csp3_10_d_ss,d,ss
csp3_11_d_ss,d,ss
csp3_12_d_ss,d,ss
csp3_1_d_ww,d,ww
csp3_2_d_ww,d,ww
csp3_3_d_ww,d,ww
csp3_4_d_ww,d,ww
csp3_5_d_ww,d,ww
csp3_6_d_ww,d,ww
csp3_7_d_ww,d,ww
csp3_8_d_ww,d,ww
csp3_9_d_ww,d,ww
csp3_10_d_ww,d,ww
csp3_11_d_ww,d,ww
csp3_12_d_ww,d,ww
csp4_1_r_fsu,r,fsu
csp4_2_r_fsu,r,fsu
csp4_3_r_fsu,r,fsu
csp4_4_r_fsu,r,fsu
csp4_5_r_fsu,r,fsu
csp4_6_r_fsu,r,fsu
csp4_7_r_fsu,r,fsu
csp4_8_r_fsu,r,fsu
csp4_9_r_fsu,r,fsu
csp4_10_r_fsu,r,fsu
csp4_11_r_fsu,r,fsu
csp4_12_r_fsu,r,fsu
csp4_1_r_fsa,r,fsa
csp4_2_r_fsa,r,fsa
csp4_3_r_fsa,r,fsa
csp4_4_r_fsa,r,fsa
csp4_5_r_fsa,r,fsa
csp4_6_r_fsa,r,fsa
csp4_7_r_fsa,r,fsa
csp4_8_r_fsa,r,fsa
csp4_9_r_fsa,r,fsa
csp4_10_r_fsa,r,fsa
csp4_11_r_fsa,r,fsa
csp4_12_r_fsa,r,fsa
csp4_1_r_fsl,r,fsl
csp4_2_r_fsl,r,fsl
csp4_3_r_fsl,r,fsl
csp4_4_r_fsl,r,fsl
csp4_5_r_fsl,r,fsl
csp4_6_r_fsl,r,fsl
csp4_7_r_fsl,r,fsl
csp4_8_r_fsl,r,fsl
csp4_9_r_fsl,r,fsl
csp4_10_r_fsl,r,fsl
csp4_11_r_fsl,r,fsl
csp4_12_r_fsl,r,fsl
csp4_1_r_fg,r,fg
csp4_2_r_fg,r,fg
csp4_3_r_fg,r,fg
csp4_4_r_fg,r,fg
csp4_5_r_fg,r,fg
csp4_6_r_fg,r,fg
csp4_7_r_fg,r,fg
csp4_8_r_fg,r,fg
csp4_9_r_fg,r,fg
csp4_10_r_fg,r,fg
csp4_11_r_fg,r,fg
csp4_12_r_fg,r,fg
csp4_1_r_sg,r,sg
csp4_2_r_sg,r,sg
csp4_3_r_sg,r,sg
csp4_4_r_sg,r,sg
csp4_5_r_sg,r,sg
csp4_6_r_sg,r,sg
csp4_7_r_sg,r,sg
csp4_8_r_sg,r,sg
csp4_9_r_sg,r,sg
csp4_10_r_sg,r,sg
csp4_11_r_sg,r,sg
csp4_12_r_sg,r,sg
csp4_1_r_ss,r,ss
csp4_2_r_ss,r,ss
csp4_3_r_ss,r,ss
csp4_4_r_ss,r,ss
csp4_5_r_ss,r,ss
csp4_6_r_ss,r,ss
csp4_7_r_ss,r,ss
csp4_8_r_ss,r,ss
csp4_9_r_ss,r,ss
csp4_10_r_ss,r,ss
csp4_11_r_ss,r,ss
csp4_12_r_ss,r,ss
csp4_1_r_ww,r,ww
csp4_2_r_ww,r,ww
csp4_3_r_ww,r,ww
csp4_4_r_ww,r,ww
csp4_5_r_ww,r,ww
csp4_6_r_ww,r,ww
csp4_7_r_ww,r,ww
csp4_8_r_ww,r,ww
csp4_9_r_ww,r,ww
csp4_10_r_ww,r,ww
csp4_11_r_ww,r,ww
csp4_12_r_ww,r,ww
csp4_1_d_fsu,d,fsu
csp4_2_d_fsu,d,fsu
csp4_3_d_fsu,d,fsu
csp4_4_d_fsu,d,fsu
csp4_5_d_fsu,d,fsu
csp4_6_d_fsu,d,fsu
csp4_7_d_fsu,d,fsu
csp4_8_d_fsu,d,fsu
csp4_9_d_fsu,d,fsu
csp4_10_d_fsu,d,fsu
csp4_11_d_fsu,d,fsu
csp4_12_d_fsu,d,fsu
csp4_1_d_fsa,d,fsa
csp4_2_d_fsa,d,fsa
csp4_3_d_fsa,d,fsa
csp4_4_d_fsa,d,fsa
csp4_5_d_fsa,d,fsa
csp4_6_d_fsa,d,fsa
csp4_7_d_fsa,d,fsa
csp4_8_d_fsa,d,fsa
csp4_9_d_fsa,d,fsa
csp4_10_d_fsa,d,fsa
csp4_11_d_fsa,d,fsa
csp4_12_d_fsa,d,fsa
csp4_1_d_fsl,d,fsl
csp4_2_d_fsl,d,fsl
csp4_3_d_fsl,d,fsl
csp4_4_d_fsl,d,fsl
csp4_5_d_fsl,d,fsl
csp4_6_d_fsl,d,fsl
csp4_7_d_fsl,d,fsl
csp4_8_d_fsl,d,fsl
csp4_9_d_fsl,d,fsl
csp4_10_d_fsl,d,fsl
csp4_11_d_fsl,d,fsl
csp4_12_d_fsl,d,fsl
csp4_1_d_fg,d,fg
csp4_2_d_fg,d,fg
csp4_3_d_fg,d,fg
csp4_4_d_fg,d,fg
csp4_5_d_fg,d,fg
csp4_6_d_fg,d,fg
csp4_7_d_fg,d,fg
csp4_8_d_fg,d,fg
csp4_9_d_fg,d,fg
csp4_10_d_fg,d,fg
csp4_11_d_fg,d,fg
csp4_12_d_fg,d,fg
csp4_1_d_sg,d,sg
csp4_2_d_sg,d,sg
csp4_3_d_sg,d,sg
csp4_4_d_sg,d,sg
csp4_5_d_sg,d,sg
csp4_6_d_sg,d,sg
csp4_7_d_sg,d,sg
csp4_8_d_sg,d,sg
csp4_9_d_sg,d,sg
csp4_10_d_sg,d,sg
csp4_11_d_sg,d,sg
csp4_12_d_sg,d,sg
csp4_1_d_ss,d,ss
csp4_2_d_ss,d,ss
csp4_3_d_ss,d,ss
csp4_4_d_ss,d,ss
csp4_5_d_ss,d,ss
csp4_6_d_ss,d,ss
csp4_7_d_ss,d,ss
csp4_8_d_ss,d,ss
csp4_9_d_ss,d,ss
csp4_10_d_ss,d,ss
csp4_11_d_ss,d,ss
csp4_12_d_ss,d,ss
csp4_1_d_ww,d,ww
csp4_2_d_ww,d,ww
csp4_3_d_ww,d,ww
csp4_4_d_ww,d,ww
csp4_5_d_ww,d,ww
csp4_6_d_ww,d,ww
csp4_7_d_ww,d,ww
csp4_8_d_ww,d,ww
csp4_9_d_ww,d,ww
csp4_10_d_ww,d,ww
csp4_11_d_ww,d,ww
csp4_12_d_ww,d,ww
