r,h,i,value
s162,H10,csp1_2,0.301722738
s162,H10,csp1_1,0.282990714
s162,H11,csp1_2,0.373995833
s162,H11,csp1_1,0.365167708
s162,H12,csp1_2,0.0012395
s162,H12,csp1_1,0.001368917
s162,H14,csp1_2,0.404330202
s162,H14,csp1_1,0.352237422
s162,H15,csp1_2,0.470356929
s162,H15,csp1_1,0.463846875
s162,H16,csp1_2,0.035093043
s162,H16,csp1_1,0.041220109
s162,H17,csp1_2,0.456739674
s162,H17,csp1_1,0.351883967
s162,H2,csp1_2,0.372993478
s162,H2,csp1_1,0.337767003
s162,H3,csp1_2,0.456739674
s162,H3,csp1_1,0.351883967
s162,H4,csp1_2,0.037851413
s162,H4,csp1_1,0.039712609
s162,H6,csp1_2,0.444837588
s162,H6,csp1_1,0.42862096
s162,H7,csp1_2,0.522304508
s162,H7,csp1_1,0.511724795
s162,H8,csp1_2,0.008895902
s162,H8,csp1_1,0.008716066
s163,H10,csp1_6,0.320720714
s163,H10,csp1_7,0.338266845
s163,H10,csp1_8,0.362521905
s163,H10,csp1_9,0.36629875
s163,H10,csp1_12,0.48675875
s163,H10,csp1_11,0.491702917
s163,H10,csp1_10,0.384265536
s163,H11,csp1_6,0.634892083
s163,H11,csp1_7,0.657010729
s163,H11,csp1_8,0.694479792
s163,H11,csp1_9,0.705853333
s163,H11,csp1_12,0.603622813
s163,H11,csp1_11,0.601029688
s163,H11,csp1_10,0.762497083
s163,H12,csp1_6,0.034560583
s163,H12,csp1_7,0.03880225
s163,H12,csp1_8,0.0406685
s163,H12,csp1_9,0.046451167
s163,H12,csp1_12,0.00503225
s163,H12,csp1_11,0.00442275
s163,H12,csp1_10,0.056576583
s163,H14,csp1_6,0.365431134
s163,H14,csp1_7,0.382208773
s163,H14,csp1_8,0.458831755
s163,H14,csp1_9,0.486495419
s163,H14,csp1_12,0.672351398
s163,H14,csp1_11,0.659382609
s163,H14,csp1_10,0.518635326
s163,H15,csp1_6,0.631797962
s163,H15,csp1_7,0.665058696
s163,H15,csp1_8,0.705959511
s163,H15,csp1_9,0.715695109
s163,H15,csp1_12,0.768473777
s163,H15,csp1_11,0.733344293
s163,H15,csp1_10,0.80025163
s163,H16,csp1_6,0.102647609
s163,H16,csp1_7,0.108505978
s163,H16,csp1_8,0.121221957
s163,H16,csp1_9,0.130520435
s163,H16,csp1_12,0.077106848
s163,H16,csp1_11,0.06242337
s163,H16,csp1_10,0.163312826
s163,H17,csp1_6,0.672277174
s163,H17,csp1_7,0.691838723
s163,H17,csp1_8,0.680229348
s163,H17,csp1_9,0.679669701
s163,H17,csp1_12,0.659919973
s163,H17,csp1_11,0.611587636
s163,H17,csp1_10,0.67965625
s163,H2,csp1_6,0.46010396
s163,H2,csp1_7,0.463507609
s163,H2,csp1_8,0.490852329
s163,H2,csp1_9,0.502790761
s163,H2,csp1_12,0.613168478
s163,H2,csp1_11,0.593496118
s163,H2,csp1_10,0.468593245
s163,H3,csp1_6,0.672277174
s163,H3,csp1_7,0.691838723
s163,H3,csp1_8,0.680229348
s163,H3,csp1_9,0.679669701
s163,H3,csp1_12,0.659919973
s163,H3,csp1_11,0.611587636
s163,H3,csp1_10,0.67965625
s163,H4,csp1_6,0.12984663
s163,H4,csp1_7,0.124703043
s163,H4,csp1_8,0.131681087
s163,H4,csp1_9,0.147599022
s163,H4,csp1_12,0.089530652
s163,H4,csp1_11,0.076664457
s163,H4,csp1_10,0.159516739
s163,H6,csp1_6,0.372175176
s163,H6,csp1_7,0.374818501
s163,H6,csp1_8,0.425031382
s163,H6,csp1_9,0.421408782
s163,H6,csp1_12,0.607655972
s163,H6,csp1_11,0.574432787
s163,H6,csp1_10,0.450379508
s163,H7,csp1_6,0.638516803
s163,H7,csp1_7,0.63367541
s163,H7,csp1_8,0.652132172
s163,H7,csp1_9,0.680332172
s163,H7,csp1_12,0.652753279
s163,H7,csp1_11,0.663562295
s163,H7,csp1_10,0.746831967
s163,H8,csp1_6,0.06050918
s163,H8,csp1_7,0.064001639
s163,H8,csp1_8,0.061966721
s163,H8,csp1_9,0.068622131
s163,H8,csp1_12,0.018029344
s163,H8,csp1_11,0.013283115
s163,H8,csp1_10,0.08022082
s164,H10,csp1_6,0.353975
s164,H10,csp1_7,0.368404405
s164,H10,csp1_8,0.373937619
s164,H10,csp1_9,0.369594286
s164,H10,csp1_10,0.374041071
s164,H11,csp1_6,0.635116771
s164,H11,csp1_7,0.653341563
s164,H11,csp1_8,0.699752708
s164,H11,csp1_9,0.712095521
s164,H11,csp1_10,0.731714792
s164,H12,csp1_6,0.026062167
s164,H12,csp1_7,0.0281015
s164,H12,csp1_8,0.03232025
s164,H12,csp1_9,0.042639167
s164,H12,csp1_10,0.049518833
s164,H14,csp1_6,0.389382842
s164,H14,csp1_7,0.429080745
s164,H14,csp1_8,0.468223525
s164,H14,csp1_9,0.471320419
s164,H14,csp1_10,0.487328571
s164,H15,csp1_6,0.641598098
s164,H15,csp1_7,0.700324728
s164,H15,csp1_8,0.736891033
s164,H15,csp1_9,0.75692337
s164,H15,csp1_10,0.781699185
s164,H16,csp1_6,0.101390109
s164,H16,csp1_7,0.112248913
s164,H16,csp1_8,0.123533696
s164,H16,csp1_9,0.138869783
s164,H16,csp1_10,0.146158478
s164,H17,csp1_6,0.635127174
s164,H17,csp1_7,0.645740217
s164,H17,csp1_8,0.688690761
s164,H17,csp1_9,0.691522147
s164,H17,csp1_10,0.710911957
s164,H2,csp1_6,0.457355745
s164,H2,csp1_7,0.458348214
s164,H2,csp1_8,0.486325155
s164,H2,csp1_9,0.495053106
s164,H2,csp1_10,0.492411413
s164,H3,csp1_6,0.635127174
s164,H3,csp1_7,0.645740217
s164,H3,csp1_8,0.688690761
s164,H3,csp1_9,0.691522147
s164,H3,csp1_10,0.710911957
s164,H4,csp1_6,0.123048696
s164,H4,csp1_7,0.128088696
s164,H4,csp1_8,0.142617609
s164,H4,csp1_9,0.152916957
s164,H4,csp1_10,0.171834239
s164,H6,csp1_6,0.386698595
s164,H6,csp1_7,0.403799297
s164,H6,csp1_8,0.420861241
s164,H6,csp1_9,0.435487822
s164,H6,csp1_10,0.437701405
s164,H7,csp1_6,0.59755123
s164,H7,csp1_7,0.655158402
s164,H7,csp1_8,0.662380533
s164,H7,csp1_9,0.702122541
s164,H7,csp1_10,0.707669262
s164,H8,csp1_6,0.052722623
s164,H8,csp1_7,0.058448033
s164,H8,csp1_8,0.061671639
s164,H8,csp1_9,0.074641967
s164,H8,csp1_10,0.083895902
s165,H10,csp1_3,0.293345536
s165,H10,csp1_6,0.344944762
s165,H10,csp1_5,0.328978631
s165,H10,csp1_4,0.333764226
s165,H10,csp1_7,0.358680179
s165,H10,csp1_8,0.362966429
s165,H10,csp1_9,0.368003988
s165,H11,csp1_3,0.578691146
s165,H11,csp1_6,0.64403
s165,H11,csp1_5,0.6161825
s165,H11,csp1_4,0.602831458
s165,H11,csp1_7,0.673494063
s165,H11,csp1_8,0.674320521
s165,H11,csp1_9,0.69753625
s165,H12,csp1_3,0.01318925
s165,H12,csp1_6,0.0188445
s165,H12,csp1_5,0.015961
s165,H12,csp1_4,0.014559583
s165,H12,csp1_7,0.025103167
s165,H12,csp1_8,0.0285075
s165,H12,csp1_9,0.031007333
s165,H14,csp1_3,0.340973137
s165,H14,csp1_6,0.399332842
s165,H14,csp1_5,0.372497671
s165,H14,csp1_4,0.369920885
s165,H14,csp1_7,0.435172671
s165,H14,csp1_8,0.466374612
s165,H14,csp1_9,0.479601863
s165,H15,csp1_3,0.572238179
s165,H15,csp1_6,0.659096603
s165,H15,csp1_5,0.623843614
s165,H15,csp1_4,0.56506481
s165,H15,csp1_7,0.695443478
s165,H15,csp1_8,0.720187228
s165,H15,csp1_9,0.737752717
s165,H16,csp1_3,0.084188913
s165,H16,csp1_6,0.099789783
s165,H16,csp1_5,0.099278152
s165,H16,csp1_4,0.082077826
s165,H16,csp1_7,0.118684239
s165,H16,csp1_8,0.128170217
s165,H16,csp1_9,0.134168696
s165,H17,csp1_3,0.601559103
s165,H17,csp1_6,0.667506793
s165,H17,csp1_5,0.654695516
s165,H17,csp1_4,0.596770109
s165,H17,csp1_7,0.654138723
s165,H17,csp1_8,0.683505978
s165,H17,csp1_9,0.714941984
s165,H2,csp1_3,0.421748214
s165,H2,csp1_6,0.450657298
s165,H2,csp1_5,0.441904348
s165,H2,csp1_4,0.440661102
s165,H2,csp1_7,0.464378183
s165,H2,csp1_8,0.454864984
s165,H2,csp1_9,0.477988276
s165,H3,csp1_3,0.601559103
s165,H3,csp1_6,0.667506793
s165,H3,csp1_5,0.654695516
s165,H3,csp1_4,0.596770109
s165,H3,csp1_7,0.654138723
s165,H3,csp1_8,0.683505978
s165,H3,csp1_9,0.714941984
s165,H4,csp1_3,0.124030652
s165,H4,csp1_6,0.13724
s165,H4,csp1_5,0.136897717
s165,H4,csp1_4,0.125418913
s165,H4,csp1_7,0.140574674
s165,H4,csp1_8,0.152326413
s165,H4,csp1_9,0.158064565
s165,H6,csp1_3,0.378968735
s165,H6,csp1_6,0.39325726
s165,H6,csp1_5,0.399698009
s165,H6,csp1_4,0.382426581
s165,H6,csp1_7,0.383136534
s165,H6,csp1_8,0.406020726
s165,H6,csp1_9,0.420456674
s165,H7,csp1_3,0.584919467
s165,H7,csp1_6,0.631042008
s165,H7,csp1_5,0.612499795
s165,H7,csp1_4,0.570910861
s165,H7,csp1_7,0.612728074
s165,H7,csp1_8,0.656633607
s165,H7,csp1_9,0.673033811
s165,H8,csp1_3,0.044549672
s165,H8,csp1_6,0.048668852
s165,H8,csp1_5,0.042422295
s165,H8,csp1_4,0.042531311
s165,H8,csp1_7,0.055074918
s165,H8,csp1_8,0.060954262
s165,H8,csp1_9,0.066289672
s166,H10,csp1_3,0.258160298
s166,H10,csp1_2,0.24929119
s166,H10,csp1_6,0.359860536
s166,H10,csp1_5,0.339150595
s166,H10,csp1_4,0.329563452
s166,H10,csp1_7,0.365966131
s166,H10,csp1_8,0.34666494
s166,H11,csp1_3,0.517969479
s166,H11,csp1_2,0.496910104
s166,H11,csp1_6,0.640415938
s166,H11,csp1_5,0.631115417
s166,H11,csp1_4,0.609928646
s166,H11,csp1_7,0.651328333
s166,H11,csp1_8,0.669923021
s166,H12,csp1_3,0.02343425
s166,H12,csp1_2,0.020899083
s166,H12,csp1_6,0.022548833
s166,H12,csp1_5,0.019677417
s166,H12,csp1_4,0.016754417
s166,H12,csp1_7,0.023681167
s166,H12,csp1_8,0.033847333
s166,H14,csp1_3,0.300320109
s166,H14,csp1_2,0.298653882
s166,H14,csp1_6,0.387193478
s166,H14,csp1_5,0.37404705
s166,H14,csp1_4,0.345124146
s166,H14,csp1_7,0.415369022
s166,H14,csp1_8,0.43502104
s166,H15,csp1_3,0.563725815
s166,H15,csp1_2,0.552046332
s166,H15,csp1_6,0.623225
s166,H15,csp1_5,0.598452174
s166,H15,csp1_4,0.578090489
s166,H15,csp1_7,0.65791019
s166,H15,csp1_8,0.661538179
s166,H16,csp1_3,0.082171196
s166,H16,csp1_2,0.080577065
s166,H16,csp1_6,0.092453043
s166,H16,csp1_5,0.088127283
s166,H16,csp1_4,0.089839457
s166,H16,csp1_7,0.106476304
s166,H16,csp1_8,0.115170652
s166,H17,csp1_3,0.633048505
s166,H17,csp1_2,0.602570652
s166,H17,csp1_6,0.638180842
s166,H17,csp1_5,0.649399864
s166,H17,csp1_4,0.604672147
s166,H17,csp1_7,0.631711005
s166,H17,csp1_8,0.646173098
s166,H2,csp1_3,0.409459938
s166,H2,csp1_2,0.389611491
s166,H2,csp1_6,0.469302329
s166,H2,csp1_5,0.469680668
s166,H2,csp1_4,0.437022127
s166,H2,csp1_7,0.454571739
s166,H2,csp1_8,0.47535986
s166,H3,csp1_3,0.633048505
s166,H3,csp1_2,0.602570652
s166,H3,csp1_6,0.638180842
s166,H3,csp1_5,0.649399864
s166,H3,csp1_4,0.604672147
s166,H3,csp1_7,0.631711005
s166,H3,csp1_8,0.646173098
s166,H4,csp1_3,0.115325109
s166,H4,csp1_2,0.10779663
s166,H4,csp1_6,0.131242283
s166,H4,csp1_5,0.128204565
s166,H4,csp1_4,0.117970652
s166,H4,csp1_7,0.126739239
s166,H4,csp1_8,0.124543043
s166,H6,csp1_3,0.328283372
s166,H6,csp1_2,0.312642037
s166,H6,csp1_6,0.369734075
s166,H6,csp1_5,0.357414637
s166,H6,csp1_4,0.362205621
s166,H6,csp1_7,0.389636066
s166,H6,csp1_8,0.405687588
s166,H7,csp1_3,0.596185246
s166,H7,csp1_2,0.552993852
s166,H7,csp1_6,0.624186885
s166,H7,csp1_5,0.614956762
s166,H7,csp1_4,0.605564754
s166,H7,csp1_7,0.622958402
s166,H7,csp1_8,0.632517418
s166,H8,csp1_3,0.05632459
s166,H8,csp1_2,0.053035574
s166,H8,csp1_6,0.052532131
s166,H8,csp1_5,0.049528033
s166,H8,csp1_4,0.046555574
s166,H8,csp1_7,0.051451967
s166,H8,csp1_8,0.061104098
s167,H10,csp1_3,0.32884375
s167,H10,csp1_5,0.335679464
s167,H10,csp1_4,0.33170256
s167,H11,csp1_3,0.541907604
s167,H11,csp1_5,0.601465521
s167,H11,csp1_4,0.582556979
s167,H12,csp1_3,0.010392417
s167,H12,csp1_5,0.014718
s167,H12,csp1_4,0.013455333
s167,H14,csp1_3,0.342466615
s167,H14,csp1_5,0.366020963
s167,H14,csp1_4,0.365756056
s167,H15,csp1_3,0.545997554
s167,H15,csp1_5,0.572422011
s167,H15,csp1_4,0.555536957
s167,H16,csp1_3,0.068376739
s167,H16,csp1_5,0.085133261
s167,H16,csp1_4,0.082304022
s167,H17,csp1_3,0.597690897
s167,H17,csp1_5,0.643901902
s167,H17,csp1_4,0.603054755
s167,H2,csp1_3,0.446540373
s167,H2,csp1_5,0.451642547
s167,H2,csp1_4,0.444445342
s167,H3,csp1_3,0.597690897
s167,H3,csp1_5,0.643901902
s167,H3,csp1_4,0.603054755
s167,H4,csp1_3,0.110601413
s167,H4,csp1_5,0.123189891
s167,H4,csp1_4,0.117877391
s167,H6,csp1_3,0.359664403
s167,H6,csp1_5,0.37200726
s167,H6,csp1_4,0.372794028
s167,H7,csp1_3,0.564713525
s167,H7,csp1_5,0.575394262
s167,H7,csp1_4,0.578175
s167,H8,csp1_3,0.034633115
s167,H8,csp1_5,0.038706557
s167,H8,csp1_4,0.041069836
s168,H10,csp1_3,0.311919048
s168,H10,csp1_2,0.300984167
s168,H10,csp1_1,0.288601726
s168,H10,csp1_4,0.327719643
s168,H11,csp1_3,0.545551042
s168,H11,csp1_2,0.506624167
s168,H11,csp1_1,0.462880208
s168,H11,csp1_4,0.550992396
s168,H12,csp1_3,0.010175333
s168,H12,csp1_2,0.00684125
s168,H12,csp1_1,0.00595525
s168,H12,csp1_4,0.009825167
s168,H14,csp1_3,0.338339984
s168,H14,csp1_2,0.314159084
s168,H14,csp1_1,0.319891693
s168,H14,csp1_4,0.343654658
s168,H15,csp1_3,0.512106114
s168,H15,csp1_2,0.49708125
s168,H15,csp1_1,0.494183424
s168,H15,csp1_4,0.549094837
s168,H16,csp1_3,0.071885217
s168,H16,csp1_2,0.068245109
s168,H16,csp1_1,0.063849674
s168,H16,csp1_4,0.071004783
s168,H17,csp1_3,0.592616576
s168,H17,csp1_2,0.593887636
s168,H17,csp1_1,0.56849144
s168,H17,csp1_4,0.597681114
s168,H2,csp1_3,0.447441227
s168,H2,csp1_2,0.451957764
s168,H2,csp1_1,0.428175388
s168,H2,csp1_4,0.459435714
s168,H3,csp1_3,0.592616576
s168,H3,csp1_2,0.593887636
s168,H3,csp1_1,0.56849144
s168,H3,csp1_4,0.597681114
s168,H4,csp1_3,0.098750543
s168,H4,csp1_2,0.095893478
s168,H4,csp1_1,0.084371848
s168,H4,csp1_4,0.113643804
s168,H6,csp1_3,0.350014169
s168,H6,csp1_2,0.350044379
s168,H6,csp1_1,0.334810539
s168,H6,csp1_4,0.36383829
s168,H7,csp1_3,0.558618648
s168,H7,csp1_2,0.525360861
s168,H7,csp1_1,0.508107377
s168,H7,csp1_4,0.570059426
s168,H8,csp1_3,0.03509377
s168,H8,csp1_2,0.02884459
s168,H8,csp1_1,0.027373115
s168,H8,csp1_4,0.035195574
s169,H10,csp1_3,0.314822024
s169,H10,csp1_2,0.301518988
s169,H10,csp1_1,0.282386726
s169,H10,csp1_5,0.328989167
s169,H10,csp1_4,0.321846726
s169,H11,csp1_3,0.551672188
s169,H11,csp1_2,0.503064167
s169,H11,csp1_1,0.472902396
s169,H11,csp1_5,0.609176563
s169,H11,csp1_4,0.585318958
s169,H12,csp1_3,0.012312667
s169,H12,csp1_2,0.0082275
s169,H12,csp1_1,0.0058705
s169,H12,csp1_5,0.016705833
s169,H12,csp1_4,0.015699
s169,H14,csp1_3,0.327989363
s169,H14,csp1_2,0.306986724
s169,H14,csp1_1,0.30948028
s169,H14,csp1_5,0.347706289
s169,H14,csp1_4,0.331248447
s169,H15,csp1_3,0.545559918
s169,H15,csp1_2,0.492916848
s169,H15,csp1_1,0.508579755
s169,H15,csp1_5,0.577944701
s169,H15,csp1_4,0.551841033
s169,H16,csp1_3,0.080164022
s169,H16,csp1_2,0.067594348
s169,H16,csp1_1,0.065069457
s169,H16,csp1_5,0.083277283
s169,H16,csp1_4,0.083169783
s169,H17,csp1_3,0.593062636
s169,H17,csp1_2,0.57882731
s169,H17,csp1_1,0.577613179
s169,H17,csp1_5,0.63306087
s169,H17,csp1_4,0.618791576
s169,H2,csp1_3,0.43164604
s169,H2,csp1_2,0.42141809
s169,H2,csp1_1,0.409724457
s169,H2,csp1_5,0.473556444
s169,H2,csp1_4,0.458984239
s169,H3,csp1_3,0.593062636
s169,H3,csp1_2,0.57882731
s169,H3,csp1_1,0.577613179
s169,H3,csp1_5,0.63306087
s169,H3,csp1_4,0.618791576
s169,H4,csp1_3,0.105146413
s169,H4,csp1_2,0.092821957
s169,H4,csp1_1,0.084650326
s169,H4,csp1_5,0.123954891
s169,H4,csp1_4,0.117665217
s169,H6,csp1_3,0.369934778
s169,H6,csp1_2,0.380620726
s169,H6,csp1_1,0.363342037
s169,H6,csp1_5,0.375180211
s169,H6,csp1_4,0.377490281
s169,H7,csp1_3,0.581756762
s169,H7,csp1_2,0.572484426
s169,H7,csp1_1,0.534434836
s169,H7,csp1_5,0.614393033
s169,H7,csp1_4,0.605708197
s169,H8,csp1_3,0.03343459
s169,H8,csp1_2,0.031915738
s169,H8,csp1_1,0.029483279
s169,H8,csp1_5,0.047046885
s169,H8,csp1_4,0.039531639
s17,H10,csp1_3,0.14844506
s17,H10,csp1_2,0.121344821
s17,H10,csp1_1,0.130645774
s17,H10,csp1_5,0.1910775
s17,H10,csp1_4,0.183143274
s17,H11,csp1_3,0.180984167
s17,H11,csp1_2,0.143518854
s17,H11,csp1_1,0.14557875
s17,H11,csp1_5,0.2296675
s17,H11,csp1_4,0.213841146
s17,H14,csp1_3,0.340754736
s17,H14,csp1_2,0.341032686
s17,H14,csp1_1,0.293271584
s17,H14,csp1_5,0.377669099
s17,H14,csp1_4,0.356123059
s17,H15,csp1_3,0.361572962
s17,H15,csp1_2,0.351230299
s17,H15,csp1_1,0.274438995
s17,H15,csp1_5,0.393934239
s17,H15,csp1_4,0.36644375
s17,H16,csp1_3,0.029972935
s17,H16,csp1_2,0.029117065
s17,H16,csp1_1,0.023646739
s17,H16,csp1_5,0.037793587
s17,H16,csp1_4,0.031115761
s17,H17,csp1_3,0.668165489
s17,H17,csp1_2,0.675560598
s17,H17,csp1_1,0.573919565
s17,H17,csp1_5,0.672470924
s17,H17,csp1_4,0.665307745
s17,H2,csp1_3,0.610274379
s17,H2,csp1_2,0.584282609
s17,H2,csp1_1,0.591573137
s17,H2,csp1_5,0.661302484
s17,H2,csp1_4,0.640467314
s17,H3,csp1_3,0.668165489
s17,H3,csp1_2,0.675560598
s17,H3,csp1_1,0.573919565
s17,H3,csp1_5,0.672470924
s17,H3,csp1_4,0.665307745
s17,H4,csp1_3,0.118312717
s17,H4,csp1_2,0.109389891
s17,H4,csp1_1,0.099540109
s17,H4,csp1_5,0.129874348
s17,H4,csp1_4,0.125675326
s17,H6,csp1_3,0.444683607
s17,H6,csp1_2,0.427696253
s17,H6,csp1_1,0.445530211
s17,H6,csp1_5,0.500077986
s17,H6,csp1_4,0.488445902
s17,H7,csp1_3,0.525844467
s17,H7,csp1_2,0.503107582
s17,H7,csp1_1,0.480945902
s17,H7,csp1_5,0.5656375
s17,H7,csp1_4,0.557586066
s17,H8,csp1_3,0.013011803
s17,H8,csp1_2,0.014400328
s17,H8,csp1_1,0.01252082
s17,H8,csp1_5,0.015771475
s17,H8,csp1_4,0.014756066
s170,H10,csp1_2,0.291107024
s170,H10,csp1_1,0.284005952
s170,H11,csp1_2,0.471204688
s170,H11,csp1_1,0.446878333
s170,H12,csp1_2,0.00686225
s170,H12,csp1_1,0.004557833
s170,H14,csp1_2,0.310523913
s170,H14,csp1_1,0.329054193
s170,H15,csp1_2,0.47738913
s170,H15,csp1_1,0.494655707
s170,H16,csp1_2,0.063073043
s170,H16,csp1_1,0.061757609
s170,H17,csp1_2,0.572401087
s170,H17,csp1_1,0.585010734
s170,H2,csp1_2,0.417599767
s170,H2,csp1_1,0.427345885
s170,H3,csp1_2,0.572401087
s170,H3,csp1_1,0.585010734
s170,H4,csp1_2,0.08966837
s170,H4,csp1_1,0.084958261
s170,H6,csp1_2,0.350626932
s170,H6,csp1_1,0.331394848
s170,H7,csp1_2,0.502310041
s170,H7,csp1_1,0.462621516
s170,H8,csp1_2,0.028301639
s170,H8,csp1_1,0.02508541
s171,H10,csp1_3,0.319188571
s171,H10,csp1_2,0.286013631
s171,H10,csp1_1,0.255361726
s171,H10,csp1_5,0.332704583
s171,H10,csp1_4,0.299255476
s171,H11,csp1_3,0.549461354
s171,H11,csp1_2,0.514925208
s171,H11,csp1_1,0.412087188
s171,H11,csp1_5,0.622724688
s171,H11,csp1_4,0.575570625
s171,H12,csp1_3,0.013762167
s171,H12,csp1_2,0.009700583
s171,H12,csp1_1,0.006266917
s171,H12,csp1_5,0.01824375
s171,H12,csp1_4,0.018732083
s171,H14,csp1_3,0.334762112
s171,H14,csp1_2,0.319804891
s171,H14,csp1_1,0.286609472
s171,H14,csp1_5,0.353714286
s171,H14,csp1_4,0.341204503
s171,H15,csp1_3,0.532458288
s171,H15,csp1_2,0.531004755
s171,H15,csp1_1,0.488568207
s171,H15,csp1_5,0.577141576
s171,H15,csp1_4,0.553698234
s171,H16,csp1_3,0.074611848
s171,H16,csp1_2,0.067869783
s171,H16,csp1_1,0.065691413
s171,H16,csp1_5,0.091095543
s171,H16,csp1_4,0.086015
s171,H17,csp1_3,0.598522826
s171,H17,csp1_2,0.565172554
s171,H17,csp1_1,0.497450136
s171,H17,csp1_5,0.613046332
s171,H17,csp1_4,0.600522011
s171,H2,csp1_3,0.443413199
s171,H2,csp1_2,0.416726708
s171,H2,csp1_1,0.379623835
s171,H2,csp1_5,0.451902562
s171,H2,csp1_4,0.442233618
s171,H3,csp1_3,0.598522826
s171,H3,csp1_2,0.565172554
s171,H3,csp1_1,0.497450136
s171,H3,csp1_5,0.613046332
s171,H3,csp1_4,0.600522011
s171,H4,csp1_3,0.104337935
s171,H4,csp1_2,0.091874348
s171,H4,csp1_1,0.077587391
s171,H4,csp1_5,0.115591957
s171,H4,csp1_4,0.118171522
s171,H6,csp1_3,0.369886534
s171,H6,csp1_2,0.382384543
s171,H6,csp1_1,0.340215457
s171,H6,csp1_5,0.357590632
s171,H6,csp1_4,0.339690515
s171,H7,csp1_3,0.572340779
s171,H7,csp1_2,0.557192213
s171,H7,csp1_1,0.50463627
s171,H7,csp1_5,0.594126844
s171,H7,csp1_4,0.588118033
s171,H8,csp1_3,0.040175902
s171,H8,csp1_2,0.035366721
s171,H8,csp1_1,0.033683607
s171,H8,csp1_5,0.049893443
s171,H8,csp1_4,0.046528033
s172,H10,csp1_3,0.20575381
s172,H10,csp1_2,0.225603214
s172,H10,csp1_1,0.229186726
s172,H10,csp1_4,0.217233512
s172,H11,csp1_3,0.40603
s172,H11,csp1_2,0.397736667
s172,H11,csp1_1,0.367156563
s172,H11,csp1_4,0.425833958
s172,H12,csp1_3,0.011626917
s172,H12,csp1_2,0.008948583
s172,H12,csp1_1,0.007653
s172,H12,csp1_4,0.013773583
s172,H14,csp1_3,0.35954705
s172,H14,csp1_2,0.347697593
s172,H14,csp1_1,0.329702717
s172,H14,csp1_4,0.359056289
s172,H15,csp1_3,0.570800136
s172,H15,csp1_2,0.55230163
s172,H15,csp1_1,0.510973234
s172,H15,csp1_4,0.581209647
s172,H16,csp1_3,0.067873478
s172,H16,csp1_2,0.072282174
s172,H16,csp1_1,0.065090543
s172,H16,csp1_4,0.07197587
s172,H17,csp1_3,0.581148505
s172,H17,csp1_2,0.550576766
s172,H17,csp1_1,0.487547147
s172,H17,csp1_4,0.626316712
s172,H2,csp1_3,0.447172516
s172,H2,csp1_2,0.431290528
s172,H2,csp1_1,0.391472127
s172,H2,csp1_4,0.482147283
s172,H3,csp1_3,0.581148505
s172,H3,csp1_2,0.550576766
s172,H3,csp1_1,0.487547147
s172,H3,csp1_4,0.626316712
s172,H4,csp1_3,0.069217174
s172,H4,csp1_2,0.077561739
s172,H4,csp1_1,0.080476848
s172,H4,csp1_4,0.08453837
s172,H6,csp1_3,0.383207377
s172,H6,csp1_2,0.383760656
s172,H6,csp1_1,0.377938173
s172,H6,csp1_4,0.400600468
s172,H7,csp1_3,0.574695492
s172,H7,csp1_2,0.543870082
s172,H7,csp1_1,0.513265574
s172,H7,csp1_4,0.581631148
s172,H8,csp1_3,0.041117049
s172,H8,csp1_2,0.037147213
s172,H8,csp1_1,0.030550656
s172,H8,csp1_4,0.044116721
s173,H10,csp1_2,0.237630476
s173,H10,csp1_1,0.241590417
s173,H11,csp1_2,0.423039271
s173,H11,csp1_1,0.410077708
s173,H12,csp1_2,0.0127375
s173,H12,csp1_1,0.012102417
s173,H14,csp1_2,0.308354503
s173,H14,csp1_1,0.304151553
s173,H15,csp1_2,0.548731522
s173,H15,csp1_1,0.537963723
s173,H16,csp1_2,0.068037826
s173,H16,csp1_1,0.069315326
s173,H17,csp1_2,0.617835734
s173,H17,csp1_1,0.580248505
s173,H2,csp1_2,0.421737578
s173,H2,csp1_1,0.394031988
s173,H3,csp1_2,0.617835734
s173,H3,csp1_1,0.580248505
s173,H4,csp1_2,0.08919587
s173,H4,csp1_1,0.087617609
s173,H6,csp1_2,0.363742857
s173,H6,csp1_1,0.364171429
s173,H7,csp1_2,0.593013934
s173,H7,csp1_1,0.561547131
s173,H8,csp1_2,0.043001311
s173,H8,csp1_1,0.038653443
s174,H10,csp1_3,0.245232619
s174,H10,csp1_2,0.215907143
s174,H10,csp1_1,0.203426012
s174,H11,csp1_3,0.387107917
s174,H11,csp1_2,0.359066875
s174,H11,csp1_1,0.360888854
s174,H12,csp1_3,0.00719575
s174,H12,csp1_2,0.006259167
s174,H12,csp1_1,0.00734625
s174,H14,csp1_3,0.389797283
s174,H14,csp1_2,0.364003106
s174,H14,csp1_1,0.340171739
s174,H15,csp1_3,0.602988859
s174,H15,csp1_2,0.583700815
s174,H15,csp1_1,0.536419973
s174,H16,csp1_3,0.063166196
s174,H16,csp1_2,0.061511848
s174,H16,csp1_1,0.061360109
s174,H17,csp1_3,0.627868342
s174,H17,csp1_2,0.580220109
s174,H17,csp1_1,0.54342337
s174,H2,csp1_3,0.422349224
s174,H2,csp1_2,0.404441537
s174,H2,csp1_1,0.373411646
s174,H3,csp1_3,0.627868342
s174,H3,csp1_2,0.580220109
s174,H3,csp1_1,0.54342337
s174,H4,csp1_3,0.086811739
