r,i,h,value
p31,dupv_6,H6,0.491193305
p31,dupv_7,H6,0.495770402
p31,dupv_5,H7,0.536350297
p31,dupv_6,H7,0.528730073
p31,dupv_7,H7,0.559898441
p31,dupv_5,H8,0.02807626
p31,dupv_6,H8,0.027464311
p31,dupv_7,H8,0.034659236
p32,dupv_3,H1,0.013603873
p32,dupv_3,H10,0.21841069
p32,dupv_3,H11,0.26642995
p32,dupv_3,H14,0.495333489
p32,dupv_3,H15,0.533305871
p32,dupv_3,H16,0.066954662
p32,dupv_3,H17,0.586014816
p32,dupv_3,H2,0.572286369
p32,dupv_3,H3,0.586014816
p32,dupv_3,H4,0.115954872
p32,dupv_3,H6,0.421802331
p32,dupv_3,H7,0.449163623
p32,dupv_3,H8,0.017575951
p33,dupv_3,H10,0.224957154
p33,dupv_4,H10,0.24984976
p33,dupv_5,H10,0.257486016
p33,dupv_3,H11,0.271142235
p33,dupv_4,H11,0.342608358
p33,dupv_5,H11,0.332743503
p33,dupv_3,H14,0.517641229
p33,dupv_4,H14,0.556300472
p33,dupv_5,H14,0.552949022
p33,dupv_3,H15,0.518726828
p33,dupv_4,H15,0.598736515
p33,dupv_5,H15,0.606125971
p33,dupv_3,H16,0.06257567
p33,dupv_4,H16,0.080066801
p33,dupv_5,H16,0.096202996
p33,dupv_3,H17,0.445389241
p33,dupv_4,H17,0.54831713
p33,dupv_5,H17,0.588636872
p33,dupv_3,H2,0.556894665
p33,dupv_4,H2,0.607685728
p33,dupv_5,H2,0.556235477
p33,dupv_3,H3,0.445389241
p33,dupv_4,H3,0.54831713
p33,dupv_5,H3,0.588636872
p33,dupv_3,H4,0.082219385
p33,dupv_4,H4,0.09766678
p33,dupv_5,H4,0.137075648
p33,dupv_3,H6,0.393338779
p33,dupv_4,H6,0.436821021
p33,dupv_5,H6,0.454374185
p33,dupv_3,H7,0.41384432
p33,dupv_4,H7,0.457778588
p33,dupv_5,H7,0.529829681
p33,dupv_3,H8,0.016961413
p33,dupv_4,H8,0.019358283
p33,dupv_5,H8,0.037028486
p34,dupv_4,H10,0.29560963
p34,dupv_5,H10,0.286392934
p34,dupv_4,H11,0.366021813
p34,dupv_5,H11,0.389650804
p34,dupv_4,H14,0.57467148
p34,dupv_5,H14,0.568932793
p34,dupv_4,H15,0.618331043
p34,dupv_5,H15,0.638671683
p34,dupv_4,H16,0.07569067
p34,dupv_5,H16,0.079116354
p34,dupv_4,H17,0.542088692
p34,dupv_5,H17,0.595833326
p34,dupv_4,H2,0.614000294
p34,dupv_5,H2,0.625571194
p34,dupv_4,H3,0.542088692
p34,dupv_5,H3,0.595833326
p34,dupv_4,H4,0.09774049
p34,dupv_5,H4,0.10671743
p34,dupv_4,H6,0.457063774
p34,dupv_5,H6,0.479214135
p34,dupv_4,H7,0.485750195
p34,dupv_5,H7,0.520293126
p34,dupv_4,H8,0.021829208
p34,dupv_5,H8,0.021704747
p35,dupv_3,H1,0.012999399
p35,dupv_3,H10,0.158966584
p35,dupv_3,H11,0.186458878
p35,dupv_3,H14,0.460096169
p35,dupv_3,H15,0.456643465
p35,dupv_3,H16,0.062303835
p35,dupv_3,H17,0.575753074
p35,dupv_3,H2,0.546980932
p35,dupv_3,H3,0.575753074
p35,dupv_3,H4,0.136916325
p35,dupv_3,H6,0.344054433
p35,dupv_3,H7,0.368495624
p35,dupv_3,H8,0.022743592
p36,dupv_3,H1,0.01691138
p36,dupv_2,H10,0.134522004
p36,dupv_3,H10,0.171899618
p36,dupv_2,H11,0.261527797
p36,dupv_3,H11,0.20883458
p36,dupv_2,H14,0.376373267
p36,dupv_3,H14,0.452478842
p36,dupv_2,H15,0.512970238
p36,dupv_3,H15,0.516311939
p36,dupv_2,H16,0.13878128
p36,dupv_3,H16,0.066670123
p36,dupv_2,H17,0.565687624
p36,dupv_3,H17,0.601943873
p36,dupv_2,H2,0.484721653
p36,dupv_3,H2,0.527792296
p36,dupv_2,H3,0.565687624
p36,dupv_3,H3,0.601943873
p36,dupv_2,H4,0.218672962
p36,dupv_3,H4,0.12922828
p36,dupv_2,H6,0.30131521
p36,dupv_3,H6,0.36939129
p36,dupv_2,H7,0.4133066
p36,dupv_3,H7,0.392519344
p36,dupv_2,H8,0.056920519
p36,dupv_3,H8,0.016719223
p37,dupv_2,H10,0.140125844
p37,dupv_2,H11,0.223866264
p37,dupv_2,H14,0.362859303
p37,dupv_2,H15,0.481381525
p37,dupv_2,H16,0.101701487
p37,dupv_2,H17,0.57271039
p37,dupv_2,H2,0.491999044
p37,dupv_2,H3,0.57271039
p37,dupv_2,H4,0.18491527
p37,dupv_2,H6,0.309289034
p37,dupv_2,H7,0.380030505
p37,dupv_2,H8,0.03640946
p38,dupv_3,H10,0.183490891
p38,dupv_3,H11,0.30485754
p38,dupv_3,H14,0.416605388
p38,dupv_3,H15,0.524862127
p38,dupv_3,H16,0.106496528
p38,dupv_3,H17,0.600460231
p38,dupv_3,H2,0.502318035
p38,dupv_3,H3,0.600460231
p38,dupv_3,H4,0.185444402
p38,dupv_3,H6,0.371423802
p38,dupv_3,H7,0.478537145
p38,dupv_3,H8,0.048801026
p39,dupv_4,H1,0.011628997
p39,dupv_4,H10,0.231806229
p39,dupv_4,H11,0.296264621
p39,dupv_4,H14,0.513843807
p39,dupv_4,H15,0.582379105
p39,dupv_4,H16,0.068932356
p39,dupv_4,H17,0.598861416
p39,dupv_4,H2,0.597326677
p39,dupv_4,H3,0.598861416
p39,dupv_4,H4,0.106286615
p39,dupv_4,H6,0.434700101
p39,dupv_4,H7,0.464363506
p39,dupv_4,H8,0.017258325
p40,dupv_3,H10,0.212455411
p40,dupv_4,H10,0.21207959
p40,dupv_3,H11,0.338336688
p40,dupv_4,H11,0.357954955
p40,dupv_4,H12,0.013166273
p40,dupv_3,H14,0.450925585
p40,dupv_4,H14,0.452790736
p40,dupv_3,H15,0.550060446
p40,dupv_4,H15,0.577393808
p40,dupv_3,H16,0.115090153
p40,dupv_4,H16,0.129520145
p40,dupv_3,H17,0.608704677
p40,dupv_4,H17,0.639796505
p40,dupv_3,H2,0.513677109
p40,dupv_4,H2,0.513024053
p40,dupv_3,H3,0.608704677
p40,dupv_4,H3,0.639796505
p40,dupv_3,H4,0.182232752
p40,dupv_4,H4,0.203307861
p40,dupv_3,H6,0.361422275
p40,dupv_4,H6,0.375928398
p40,dupv_3,H7,0.503239705
p40,dupv_4,H7,0.518256175
p40,dupv_3,H8,0.050781529
p40,dupv_4,H8,0.060251279
p41,dupv_3,H10,0.221113139
p41,dupv_3,H11,0.317678802
p41,dupv_3,H14,0.448425936
p41,dupv_3,H15,0.561232547
p41,dupv_3,H16,0.107275748
p41,dupv_3,H17,0.601226517
p41,dupv_3,H2,0.511908347
p41,dupv_3,H3,0.601226517
p41,dupv_3,H4,0.165014142
p41,dupv_3,H6,0.368217454
p41,dupv_3,H7,0.489457057
p41,dupv_3,H8,0.045839679
p42,dupv_2,H10,0.143292491
p42,dupv_2,H11,0.220165189
p42,dupv_2,H14,0.365657765
p42,dupv_2,H15,0.481034579
p42,dupv_2,H16,0.101767071
p42,dupv_2,H17,0.573575109
p42,dupv_2,H2,0.493808438
p42,dupv_2,H3,0.573575109
p42,dupv_2,H4,0.181923605
p42,dupv_2,H6,0.313442589
p42,dupv_2,H7,0.3756133
p42,dupv_2,H8,0.034756941
p43,dupv_2,H10,0.183956593
p43,dupv_2,H11,0.250697582
p43,dupv_2,H14,0.395790407
p43,dupv_2,H15,0.470425318
p43,dupv_2,H16,0.078903694
p43,dupv_2,H17,0.563418237
p43,dupv_2,H2,0.496247751
p43,dupv_2,H3,0.563418237
p43,dupv_2,H4,0.152147627
p43,dupv_2,H6,0.344367004
p43,dupv_2,H7,0.399735415
p43,dupv_2,H8,0.030347287
p44,dupv_3,H10,0.176447888
p44,dupv_3,H11,0.270889076
p44,dupv_3,H14,0.393000856
p44,dupv_3,H15,0.486288133
p44,dupv_3,H16,0.093476527
p44,dupv_3,H17,0.574575602
p44,dupv_3,H2,0.484953018
p44,dupv_3,H3,0.574575602
p44,dupv_3,H4,0.168538716
p44,dupv_3,H6,0.351384497
p44,dupv_3,H7,0.431278591
p44,dupv_3,H8,0.040370466
p45,dupv_3,H10,0.200328737
p45,dupv_3,H11,0.303116799
p45,dupv_3,H14,0.426262821
p45,dupv_3,H15,0.526195116
p45,dupv_3,H16,0.097714966
p45,dupv_3,H17,0.593503706
p45,dupv_3,H2,0.505104397
p45,dupv_3,H3,0.593503706
p45,dupv_3,H4,0.167989897
p45,dupv_3,H6,0.358855988
p45,dupv_3,H7,0.476170052
p45,dupv_3,H8,0.041924073
p46,dupv_2,H10,0.18871164
p46,dupv_2,H11,0.237436583
p46,dupv_2,H14,0.40971159
p46,dupv_2,H15,0.461711886
p46,dupv_2,H16,0.071252046
p46,dupv_2,H17,0.55827685
p46,dupv_2,H2,0.509145039
p46,dupv_2,H3,0.55827685
p46,dupv_2,H4,0.138765485
p46,dupv_2,H6,0.350824582
p46,dupv_2,H7,0.407084621
p46,dupv_2,H8,0.025598948
p47,dupv_6,H10,0.368999155
p47,dupv_6,H11,0.464673544
p47,dupv_6,H14,0.590911389
p47,dupv_6,H15,0.64149504
p47,dupv_6,H16,0.074602646
p47,dupv_6,H17,0.626680217
p47,dupv_6,H2,0.595157889
p47,dupv_6,H3,0.626680217
p47,dupv_6,H4,0.108252978
p47,dupv_6,H6,0.473961095
p47,dupv_6,H7,0.533835397
p47,dupv_6,H8,0.026023946
p48,dupv_5,H10,0.288155518
p48,dupv_6,H10,0.300451487
p48,dupv_5,H11,0.4742361
p48,dupv_6,H11,0.498618425
p48,dupv_5,H12,0.035737241
p48,dupv_6,H12,0.04198232
p48,dupv_5,H14,0.470945012
p48,dupv_6,H14,0.485086687
p48,dupv_5,H15,0.65030576
p48,dupv_6,H15,0.671469057
p48,dupv_5,H16,0.162993756
p48,dupv_6,H16,0.169612547
p48,dupv_5,H17,0.648947161
p48,dupv_6,H17,0.664676205
p48,dupv_5,H2,0.503195671
p48,dupv_6,H2,0.494555757
p48,dupv_5,H3,0.648947161
p48,dupv_6,H3,0.664676205
p48,dupv_5,H4,0.204475546
p48,dupv_6,H4,0.203842945
p48,dupv_5,H6,0.412569716
p48,dupv_6,H6,0.396344391
p48,dupv_5,H7,0.576097379
p48,dupv_6,H7,0.557762016
p48,dupv_5,H8,0.082293504
p48,dupv_6,H8,0.079098253
p49,dupv_5,H10,0.255265439
p49,dupv_5,H11,0.435738091
p49,dupv_5,H12,0.02973751
p49,dupv_5,H14,0.459048401
p49,dupv_5,H15,0.641501192
p49,dupv_5,H16,0.157270701
p49,dupv_5,H17,0.657516664
p49,dupv_5,H2,0.523690174
p49,dupv_5,H3,0.657516664
p49,dupv_5,H4,0.202432497
p49,dupv_5,H6,0.404377524
p49,dupv_5,H7,0.567717614
p49,dupv_5,H8,0.081201663
p50,dupv_4,H10,0.27248575
p50,dupv_5,H10,0.282732882
p50,dupv_4,H11,0.417702943
p50,dupv_5,H11,0.456821564
p50,dupv_4,H12,0.017222693
p50,dupv_5,H12,0.025886864
p50,dupv_4,H14,0.418288308
p50,dupv_5,H14,0.443836475
p50,dupv_4,H15,0.556894072
p50,dupv_5,H15,0.607034327
p50,dupv_4,H16,0.110107288
p50,dupv_5,H16,0.136801296
p50,dupv_4,H17,0.623583882
p50,dupv_5,H17,0.635942325
p50,dupv_4,H2,0.499316494
p50,dupv_5,H2,0.490234042
p50,dupv_4,H3,0.623583882
p50,dupv_5,H3,0.635942325
p50,dupv_4,H4,0.169510681
p50,dupv_5,H4,0.181012531
p50,dupv_4,H6,0.371770898
p50,dupv_5,H6,0.391886034
p50,dupv_4,H7,0.500869807
p50,dupv_5,H7,0.539643296
p50,dupv_4,H8,0.051159401
p50,dupv_5,H8,0.062725656
p51,dupv_4,H10,0.264344619
p51,dupv_4,H11,0.389991603
p51,dupv_4,H12,0.011508851
p51,dupv_4,H14,0.427608502
p51,dupv_4,H15,0.544693866
p51,dupv_4,H16,0.098285532
p51,dupv_4,H17,0.603226502
p51,dupv_4,H2,0.50264211
p51,dupv_4,H3,0.603226502
p51,dupv_4,H4,0.15090955
p51,dupv_4,H6,0.361204524
p51,dupv_4,H7,0.458068163
p51,dupv_4,H8,0.041123793
p52,dupv_5,H10,0.242718756
p52,dupv_5,H11,0.421629427
p52,dupv_5,H12,0.024582812
p52,dupv_5,H14,0.450514441
p52,dupv_5,H15,0.619620252
p52,dupv_5,H16,0.142887407
p52,dupv_5,H17,0.675774196
p52,dupv_5,H2,0.519602523
p52,dupv_5,H3,0.675774196
p52,dupv_5,H4,0.21310305
p52,dupv_5,H6,0.390222688
p52,dupv_5,H7,0.568424505
p52,dupv_5,H8,0.075211474
p53,dupv_3,H10,0.246142636
p53,dupv_4,H10,0.263013953
p53,dupv_5,H10,0.258245618
p53,dupv_3,H11,0.348975498
p53,dupv_4,H11,0.386971577
p53,dupv_5,H11,0.431808536
p53,dupv_4,H12,0.013553163
p53,dupv_5,H12,0.025940567
p53,dupv_3,H14,0.447042402
p53,dupv_4,H14,0.439061349
p53,dupv_5,H14,0.473162525
p53,dupv_3,H15,0.546938072
p53,dupv_4,H15,0.577043857
p53,dupv_5,H15,0.629758096
p53,dupv_3,H16,0.097758002
p53,dupv_4,H16,0.114965052
p53,dupv_5,H16,0.15361805
p53,dupv_3,H17,0.59109783
p53,dupv_4,H17,0.627947823
p53,dupv_5,H17,0.662217822
p53,dupv_3,H2,0.507968672
p53,dupv_4,H2,0.512248855
p53,dupv_5,H2,0.528293942
p53,dupv_3,H3,0.59109783
p53,dupv_4,H3,0.627947823
p53,dupv_5,H3,0.662217822
p53,dupv_3,H4,0.15233957
p53,dupv_4,H4,0.179115987
p53,dupv_5,H4,0.206603979
p53,dupv_3,H6,0.362855292
p53,dupv_4,H6,0.38721387
p53,dupv_5,H6,0.399099084
p53,dupv_3,H7,0.423040376
p53,dupv_4,H7,0.489382182
p53,dupv_5,H7,0.56071279
p53,dupv_3,H8,0.034144302
p53,dupv_4,H8,0.050144033
p53,dupv_5,H8,0.075256356
p54,dupv_3,H10,0.249843242
p54,dupv_3,H11,0.34949761
p54,dupv_3,H14,0.444045522
p54,dupv_3,H15,0.551183407
p54,dupv_3,H16,0.093894408
p54,dupv_3,H17,0.588476633
p54,dupv_3,H2,0.510938573
p54,dupv_3,H3,0.588476633
p54,dupv_3,H4,0.150150246
p54,dupv_3,H6,0.361647918
p54,dupv_3,H7,0.413600706
p54,dupv_3,H8,0.032100273
p55,dupv_3,H10,0.259499189
p55,dupv_4,H10,0.260362524
p55,dupv_3,H11,0.350677628
p55,dupv_4,H11,0.355037597
p55,dupv_3,H14,0.459886631
p55,dupv_4,H14,0.46375379
p55,dupv_3,H15,0.547657288
p55,dupv_4,H15,0.547834266
p55,dupv_3,H16,0.089783129
p55,dupv_4,H16,0.090040542
p55,dupv_3,H17,0.555815034
p55,dupv_4,H17,0.544084385
p55,dupv_3,H2,0.509318523
p55,dupv_4,H2,0.513743167
p55,dupv_3,H3,0.555815034
p55,dupv_4,H3,0.544084385
p55,dupv_3,H4,0.135501986
p55,dupv_4,H4,0.12774252
p55,dupv_3,H6,0.36153559
p55,dupv_4,H6,0.366943374
p55,dupv_3,H7,0.430743244
p55,dupv_4,H7,0.433493991
p55,dupv_3,H8,0.030224552
p55,dupv_4,H8,0.029354878
p56,dupv_4,H10,0.264803238
p56,dupv_4,H11,0.363451506
p56,dupv_4,H14,0.45241025
p56,dupv_4,H15,0.535375674
p56,dupv_4,H16,0.088941187
p56,dupv_4,H17,0.545653297
p56,dupv_4,H2,0.505864307
p56,dupv_4,H3,0.545653297
p56,dupv_4,H4,0.133235747
p56,dupv_4,H6,0.353982226
p56,dupv_4,H7,0.419347324
p56,dupv_4,H8,0.034287924
p57,dupv_4,H10,0.272518468
p57,dupv_4,H11,0.388788221
p57,dupv_4,H12,0.01277561
p57,dupv_4,H14,0.424982216
p57,dupv_4,H15,0.556101747
p57,dupv_4,H16,0.088774081
p57,dupv_4,H17,0.568774516
p57,dupv_4,H2,0.473932163
p57,dupv_4,H3,0.568774516
p57,dupv_4,H4,0.118468681
p57,dupv_4,H6,0.374246187
p57,dupv_4,H7,0.484770128
p57,dupv_4,H8,0.038505103
p58,dupv_4,H10,0.282730939
p58,dupv_5,H10,0.318552683
p58,dupv_4,H11,0.349575488
p58,dupv_5,H11,0.380333399
p58,dupv_4,H14,0.458379566
p58,dupv_5,H14,0.521768531
p58,dupv_4,H15,0.507720832
p58,dupv_5,H15,0.569997484
p58,dupv_4,H16,0.060899683
p58,dupv_5,H16,0.062920413
p58,dupv_4,H17,0.439068094
p58,dupv_5,H17,0.495355665
p58,dupv_4,H2,0.462798487
p58,dupv_5,H2,0.459298897
p58,dupv_4,H3,0.439068094
p58,dupv_5,H3,0.495355665
p58,dupv_4,H4,0.070846527
p58,dupv_5,H4,0.076107063
p58,dupv_4,H6,0.441548547
p58,dupv_5,H6,0.473483423
p58,dupv_4,H7,0.485637774
p58,dupv_5,H7,0.526631841
p58,dupv_4,H8,0.024421314
p58,dupv_5,H8,0.023918636
p59,dupv_6,H10,0.382615259
p59,dupv_7,H10,0.3910753
p59,dupv_6,H11,0.471835479
p59,dupv_7,H11,0.489491657
p59,dupv_6,H12,0.01076087
p59,dupv_7,H12,0.010699709
p59,dupv_6,H14,0.610072718
p59,dupv_7,H14,0.617261406
p59,dupv_6,H15,0.685326022
p59,dupv_7,H15,0.695457856
p59,dupv_6,H16,0.0902706
p59,dupv_7,H16,0.090869093
p59,dupv_6,H17,0.6249173
p59,dupv_7,H17,0.637664037
p59,dupv_6,H2,0.585556459
p59,dupv_7,H2,0.596274413
p59,dupv_6,H3,0.6249173
p59,dupv_7,H3,0.637664037
p59,dupv_6,H4,0.108501921
p59,dupv_7,H4,0.111550928
p59,dupv_6,H6,0.497058786
p59,dupv_7,H6,0.510129056
p59,dupv_6,H7,0.559091429
p59,dupv_7,H7,0.574499322
p59,dupv_6,H8,0.031932139
p59,dupv_7,H8,0.032325374
p60,dupv_5,H10,0.307722139
p60,dupv_6,H10,0.303260866
p60,dupv_5,H11,0.495857261
p60,dupv_6,H11,0.503836369
p60,dupv_5,H12,0.036410459
p60,dupv_6,H12,0.041599643
p60,dupv_5,H14,0.468845797
p60,dupv_6,H14,0.472740181
p60,dupv_5,H15,0.645111007
p60,dupv_6,H15,0.652370985
p60,dupv_5,H16,0.146330031
p60,dupv_6,H16,0.157890368
p60,dupv_5,H17,0.64028409
p60,dupv_6,H17,0.629829631
p60,dupv_5,H2,0.500060216
p60,dupv_6,H2,0.498538435
p60,dupv_5,H3,0.64028409
p60,dupv_6,H3,0.629829631
p60,dupv_5,H4,0.186961981
p60,dupv_6,H4,0.183777686
p60,dupv_5,H6,0.383419248
p60,dupv_6,H6,0.397277172
p60,dupv_5,H7,0.546820311
p60,dupv_6,H7,0.543481567
p60,dupv_5,H8,0.073853795
p60,dupv_6,H8,0.076765426
p61,dupv_5,H10,0.304069733
p61,dupv_6,H10,0.312303629
p61,dupv_5,H11,0.473469933
p61,dupv_6,H11,0.520898918
p61,dupv_5,H12,0.031594826
p61,dupv_6,H12,0.05183024
p61,dupv_5,H14,0.443143523
p61,dupv_6,H14,0.480426999
p61,dupv_5,H15,0.605565135
p61,dupv_6,H15,0.649026279
p61,dupv_5,H16,0.131569946
p61,dupv_6,H16,0.157916922
p61,dupv_5,H17,0.627785438
p61,dupv_6,H17,0.653143852
p61,dupv_5,H2,0.492950177
p61,dupv_6,H2,0.515400988
p61,dupv_5,H3,0.627785438
p61,dupv_6,H3,0.653143852
p61,dupv_5,H4,0.171166523
p61,dupv_6,H4,0.190544242
p61,dupv_5,H6,0.374763317
p61,dupv_6,H6,0.394298439
p61,dupv_5,H7,0.544875713
p61,dupv_6,H7,0.560150471
p61,dupv_5,H8,0.066513867
p61,dupv_6,H8,0.091543504
p62,dupv_6,H10,0.316244983
p62,dupv_6,H11,0.520269092
p62,dupv_6,H12,0.047606218
p62,dupv_6,H14,0.492749715
p62,dupv_6,H15,0.680329851
p62,dupv_6,H16,0.164633116
p62,dupv_6,H17,0.668847859
p62,dupv_6,H2,0.507718012
p62,dupv_6,H3,0.668847859
p62,dupv_6,H4,0.194575171
p62,dupv_6,H6,0.405515355
p62,dupv_6,H7,0.565248026
p62,dupv_6,H8,0.086254855
p63,dupv_4,H10,0.278348265
p63,dupv_5,H10,0.283920891
p63,dupv_4,H11,0.434424035
p63,dupv_5,H11,0.444390351
p63,dupv_4,H12,0.019890731
p63,dupv_5,H12,0.023052452
p63,dupv_4,H14,0.414138114
p63,dupv_5,H14,0.425080648
p63,dupv_4,H15,0.568841473
p63,dupv_5,H15,0.576447395
p63,dupv_4,H16,0.105116183
p63,dupv_5,H16,0.111556422
p63,dupv_4,H17,0.607798754
p63,dupv_5,H17,0.609157782
p63,dupv_4,H2,0.493709433
p63,dupv_5,H2,0.497102823
p63,dupv_4,H3,0.607798754
p63,dupv_5,H3,0.609157782
p63,dupv_4,H4,0.139585909
p63,dupv_5,H4,0.14821078
p63,dupv_4,H6,0.37064478
p63,dupv_5,H6,0.37538291
p63,dupv_4,H7,0.507455805
p63,dupv_5,H7,0.513501923
p63,dupv_4,H8,0.048692791
p63,dupv_5,H8,0.054921373
p64,dupv_4,H10,0.275071931
p64,dupv_5,H10,0.276565185
p64,dupv_4,H11,0.425325566
p64,dupv_5,H11,0.434380708
p64,dupv_4,H12,0.024106505
p64,dupv_5,H12,0.024432759
p64,dupv_4,H14,0.3984207
p64,dupv_5,H14,0.40172743
p64,dupv_4,H15,0.567594756
p64,dupv_5,H15,0.573440909
p64,dupv_4,H16,0.107401078
p64,dupv_5,H16,0.105989257
p64,dupv_4,H17,0.598691305
p64,dupv_5,H17,0.606865504
p64,dupv_4,H2,0.476086889
p64,dupv_5,H2,0.478396785
p64,dupv_4,H3,0.598691305
p64,dupv_5,H3,0.606865504
p64,dupv_4,H4,0.138933392
p64,dupv_5,H4,0.142502604
p64,dupv_4,H6,0.371418007
p64,dupv_5,H6,0.383565114
p64,dupv_4,H7,0.5252364
p64,dupv_5,H7,0.525127863
p64,dupv_4,H8,0.056501563
p64,dupv_5,H8,0.057983704
p65,dupv_4,H10,0.258041724
p65,dupv_5,H10,0.248727187
p65,dupv_4,H11,0.387675442
p65,dupv_5,H11,0.394477383
p65,dupv_4,H12,0.01976481
p65,dupv_5,H12,0.025850975
p65,dupv_4,H14,0.427697942
p65,dupv_5,H14,0.433589428
p65,dupv_4,H15,0.580989316
p65,dupv_5,H15,0.621730974
p65,dupv_4,H16,0.104836108
p65,dupv_5,H16,0.110634818
p65,dupv_4,H17,0.590828428
p65,dupv_5,H17,0.616288137
p65,dupv_4,H2,0.469474981
p65,dupv_5,H2,0.507500136
p65,dupv_4,H3,0.590828428
p65,dupv_5,H3,0.616288137
p65,dupv_4,H4,0.137087323
p65,dupv_5,H4,0.145291795
p65,dupv_4,H6,0.402750799
p65,dupv_5,H6,0.433985689
p65,dupv_4,H7,0.51312841
p65,dupv_5,H7,0.557618739
p65,dupv_4,H8,0.052479276
p65,dupv_5,H8,0.061720646
p66,dupv_4,H10,0.261279198
p66,dupv_4,H11,0.360881089
p66,dupv_4,H12,0.014911709
p66,dupv_4,H14,0.395405424
p66,dupv_4,H15,0.51263488
p66,dupv_4,H16,0.087589456
p66,dupv_4,H17,0.509420798
p66,dupv_4,H2,0.455472043
p66,dupv_4,H3,0.509420798
p66,dupv_4,H4,0.106014552
p66,dupv_4,H6,0.390307767
p66,dupv_4,H7,0.477653315
p66,dupv_4,H8,0.041228748
p67,dupv_4,H10,0.266033367
p67,dupv_5,H10,0.272527181
p67,dupv_4,H11,0.374574915
p67,dupv_5,H11,0.383668338
p67,dupv_4,H12,0.014215325
p67,dupv_5,H12,0.014162148
p67,dupv_4,H14,0.430070707
p67,dupv_5,H14,0.453527754
p67,dupv_4,H15,0.559628153
p67,dupv_5,H15,0.578519488
p67,dupv_4,H16,0.088237737
p67,dupv_5,H16,0.098365995
p67,dupv_4,H17,0.549168973
p67,dupv_5,H17,0.601856743
p67,dupv_4,H2,0.470249852
p67,dupv_5,H2,0.465044288
p67,dupv_4,H3,0.549168973
p67,dupv_5,H3,0.601856743
p67,dupv_4,H4,0.117413163
p67,dupv_5,H4,0.131729613
p67,dupv_4,H6,0.432657232
p67,dupv_5,H6,0.434802565
p67,dupv_4,H7,0.518152386
p67,dupv_5,H7,0.546496858
p67,dupv_4,H8,0.043472328
p67,dupv_5,H8,0.047077559
p68,dupv_2,H10,0.18476289
p68,dupv_3,H10,0.190394998
p68,dupv_2,H11,0.259258472
p68,dupv_3,H11,0.256855438
p68,dupv_2,H14,0.400177852
p68,dupv_3,H14,0.422930828
p68,dupv_2,H15,0.505558033
p68,dupv_3,H15,0.51318885
p68,dupv_2,H16,0.084012804
p68,dupv_3,H16,0.083798083
p68,dupv_2,H17,0.568757062
p68,dupv_3,H17,0.574598636
p68,dupv_2,H2,0.492216429
p68,dupv_3,H2,0.499609748
p68,dupv_2,H3,0.568757062
p68,dupv_3,H3,0.574598636
p68,dupv_2,H4,0.159877219
p68,dupv_3,H4,0.159245304
p68,dupv_2,H6,0.344956018
p68,dupv_3,H6,0.352117405
p68,dupv_2,H7,0.434018117
p68,dupv_3,H7,0.439733447
p68,dupv_2,H8,0.033414452
p68,dupv_3,H8,0.032762973
p69,dupv_3,H10,0.20619846
p69,dupv_3,H11,0.261917297
p69,dupv_3,H14,0.437979081
p69,dupv_3,H15,0.528100102
p69,dupv_3,H16,0.084960618
p69,dupv_3,H17,0.576807075
p69,dupv_3,H2,0.512983094
p69,dupv_3,H3,0.576807075
p69,dupv_3,H4,0.142422599
p69,dupv_3,H6,0.371034291
p69,dupv_3,H7,0.438354622
p69,dupv_3,H8,0.029219714
p70,dupv_3,H10,0.217832355
p70,dupv_3,H11,0.289468493
p70,dupv_3,H14,0.424286892
p70,dupv_3,H15,0.548722449
p70,dupv_3,H16,0.091772269
p70,dupv_3,H17,0.580199423
p70,dupv_3,H2,0.518747042
p70,dupv_3,H3,0.580199423
p70,dupv_3,H4,0.148275448
p70,dupv_3,H6,0.36736408
p70,dupv_3,H7,0.450893737
p70,dupv_3,H8,0.031643513
p71,dupv_3,H10,0.222656098
p71,dupv_3,H11,0.304168593
p71,dupv_3,H14,0.43260175
p71,dupv_3,H15,0.52161056
p71,dupv_3,H16,0.081997224
p71,dupv_3,H17,0.57298995
p71,dupv_3,H2,0.528495141
p71,dupv_3,H3,0.57298995
p71,dupv_3,H4,0.140145372
p71,dupv_3,H6,0.38550515
p71,dupv_3,H7,0.428889921
p71,dupv_3,H8,0.029115795
p72,dupv_3,H10,0.229087546
p72,dupv_4,H10,0.255871667
p72,dupv_3,H11,0.297672022
p72,dupv_4,H11,0.296031097
p72,dupv_3,H14,0.466596645
p72,dupv_4,H14,0.491168008
p72,dupv_3,H15,0.507595359
p72,dupv_4,H15,0.557684395
p72,dupv_3,H16,0.068401621
p72,dupv_4,H16,0.066225688
p72,dupv_3,H17,0.551866427
p72,dupv_4,H17,0.579776363
p72,dupv_3,H2,0.518032016
p72,dupv_4,H2,0.550554428
p72,dupv_3,H3,0.551866427
p72,dupv_4,H3,0.579776363
p72,dupv_3,H4,0.115306705
p72,dupv_4,H4,0.10203879
p72,dupv_3,H6,0.367756921
p72,dupv_4,H6,0.404223889
p72,dupv_3,H7,0.395749983
p72,dupv_4,H7,0.432768974
p72,dupv_3,H8,0.019811418
p72,dupv_4,H8,0.015929819
p73,dupv_3,H10,0.239777188
p73,dupv_3,H11,0.313580109
p73,dupv_3,H14,0.454619833
p73,dupv_3,H15,0.498834714
p73,dupv_3,H16,0.075768844
p73,dupv_3,H17,0.520472147
