wst,r,t,Value
fsu,p84,2050,1.0418213074459428
fsu,p85,2010,1.0
fsu,p85,2012,0.9014800310110006
fsu,p85,2014,0.8915266040656014
fsu,p85,2016,0.9153122582094708
fsu,p85,2018,0.9040451609515899
fsu,p85,2020,0.8658279381692897
fsu,p85,2022,0.8893277999518969
fsu,p85,2024,0.8907820727943471
fsu,p85,2026,0.8642767411882537
fsu,p85,2028,0.8949548596121154
fsu,p85,2030,0.9103922540872964
fsu,p85,2032,0.9458665165214288
fsu,p85,2034,0.9644908481069632
fsu,p85,2036,0.958091173006272
fsu,p85,2038,0.9642500972571734
fsu,p85,2040,1.0060969530589237
fsu,p85,2042,1.0018583636776677
fsu,p85,2044,1.0299492393525231
fsu,p85,2046,1.0474019069414615
fsu,p85,2048,0.9877800309190584
fsu,p85,2050,1.041869318595641
fsu,p86,2010,1.0
fsu,p86,2012,0.9139832916000404
fsu,p86,2014,0.90595398412231
fsu,p86,2016,0.930389183335254
fsu,p86,2018,0.9243297134597608
fsu,p86,2020,0.8934604455446127
fsu,p86,2022,0.914083623125511
fsu,p86,2024,0.9141898853302712
fsu,p86,2026,0.8874991792563074
fsu,p86,2028,0.9149020733040792
fsu,p86,2030,0.9297961322734272
fsu,p86,2032,0.9641271056303552
fsu,p86,2034,0.9788371913973336
fsu,p86,2036,0.9714366189558336
fsu,p86,2038,0.973303718162907
fsu,p86,2040,1.0079897729727976
fsu,p86,2042,1.0039672079191793
fsu,p86,2044,1.0300935885965024
fsu,p86,2046,1.0494695497800717
fsu,p86,2048,0.9910629458876864
fsu,p86,2050,1.0377269751000175
fsu,p87,2010,1.0
fsu,p87,2012,0.9270597206808524
fsu,p87,2014,0.9194434204522148
fsu,p87,2016,0.9421655442104632
fsu,p87,2018,0.9374831155095079
fsu,p87,2020,0.9096906939387698
fsu,p87,2022,0.9271598754750644
fsu,p87,2024,0.9261631616834516
fsu,p87,2026,0.9000146284120439
fsu,p87,2028,0.9260460321837342
fsu,p87,2030,0.9399265896948638
fsu,p87,2032,0.9730777141243236
fsu,p87,2034,0.9866486545363616
fsu,p87,2036,0.9797758451064406
fsu,p87,2038,0.9799190026995108
fsu,p87,2040,1.0115258909003737
fsu,p87,2042,1.0087830150570118
fsu,p87,2044,1.0334060588993348
fsu,p87,2046,1.053087933963516
fsu,p87,2048,0.9949332695752988
fsu,p87,2050,1.0387392482626634
fsu,p88,2010,1.0
fsu,p88,2012,0.9492400693750797
fsu,p88,2014,0.9545889905643956
fsu,p88,2016,0.9658835003839324
fsu,p88,2018,0.9562648677180108
fsu,p88,2020,0.9297602408577892
fsu,p88,2022,0.9110675833856906
fsu,p88,2024,0.9135503368215254
fsu,p88,2026,0.9302540280915228
fsu,p88,2028,0.9458150163135619
fsu,p88,2030,0.9230879774325288
fsu,p88,2032,0.9507376318498464
fsu,p88,2034,0.9520901071551224
fsu,p88,2036,0.9590000841540348
fsu,p88,2038,0.9690953121213624
fsu,p88,2040,0.9908999100060956
fsu,p88,2042,0.996758288222098
fsu,p88,2044,1.0002733363902918
fsu,p88,2046,0.9944075716619104
fsu,p88,2048,0.9532262260577916
fsu,p88,2050,0.995687515181908
fsu,p89,2010,1.0
fsu,p89,2012,0.962823637281296
fsu,p89,2014,0.970267986828958
fsu,p89,2016,0.9786284439019958
fsu,p89,2018,0.966262725388357
fsu,p89,2020,0.936459447749159
fsu,p89,2022,0.9119717024682682
fsu,p89,2024,0.9139122233914964
fsu,p89,2026,0.9332945929870179
fsu,p89,2028,0.9481487841941528
fsu,p89,2030,0.91846603519739
fsu,p89,2032,0.941075316808797
fsu,p89,2034,0.945212729294092
fsu,p89,2036,0.9564878268677568
fsu,p89,2038,0.9724109850180184
fsu,p89,2040,0.99916341996892
fsu,p89,2042,1.0037264184360566
fsu,p89,2044,1.0060437950259482
fsu,p89,2046,1.000652410853019
fsu,p89,2048,0.9617090034969128
fsu,p89,2050,1.0103207860800565
fsu,p90,2010,1.0
fsu,p90,2012,0.9845510716192256
fsu,p90,2014,0.9983896118915444
fsu,p90,2016,1.0215661987437266
fsu,p90,2018,1.0169309400103483
fsu,p90,2020,0.9869915167689142
fsu,p90,2022,0.9591989398174108
fsu,p90,2024,0.9742725273034252
fsu,p90,2026,0.99834574032178
fsu,p90,2028,1.0146015489376026
fsu,p90,2030,0.9696351500975646
fsu,p90,2032,0.976026277874427
fsu,p90,2034,0.9818139787231844
fsu,p90,2036,0.9819723480720576
fsu,p90,2038,0.9937337353607304
fsu,p90,2040,1.017937898859667
fsu,p90,2042,1.0132274697875412
fsu,p90,2044,1.0053844656341195
fsu,p90,2046,0.9888398713073056
fsu,p90,2048,0.9669838605252647
fsu,p90,2050,1.0438769029717505
fsu,p91,2010,1.0
fsu,p91,2012,1.0030605001564317
fsu,p91,2014,1.0198072889942318
fsu,p91,2016,1.0565293598855834
fsu,p91,2018,1.0540281237908642
fsu,p91,2020,0.9917303838933844
fsu,p91,2022,0.9704492650363904
fsu,p91,2024,0.9939122260308908
fsu,p91,2026,1.032786983893482
fsu,p91,2028,1.0421320843441184
fsu,p91,2030,1.0181719113304455
fsu,p91,2032,1.0244208880705017
fsu,p91,2034,1.0329483216717497
fsu,p91,2036,1.0046979558495883
fsu,p91,2038,1.024396690376271
fsu,p91,2040,1.0494148267560022
fsu,p91,2042,1.0327665481766022
fsu,p91,2044,1.0247793788566908
fsu,p91,2046,0.9783183321687864
fsu,p91,2048,0.9770507629443608
fsu,p91,2050,1.0664849089530677
fsu,p92,2010,1.0
fsu,p92,2012,0.9392357770302028
fsu,p92,2014,0.9328976393933268
fsu,p92,2016,0.954751298914457
fsu,p92,2018,0.9526312621280252
fsu,p92,2020,0.9281191339279582
fsu,p92,2022,0.9427307232884556
fsu,p92,2024,0.9404783695120039
fsu,p92,2026,0.914131805624519
fsu,p92,2028,0.9373451251745724
fsu,p92,2030,0.9498011881301311
fsu,p92,2032,0.9809689340812588
fsu,p92,2034,0.993597057244936
fsu,p92,2036,0.9866256691053956
fsu,p92,2038,0.9848474090001592
fsu,p92,2040,1.014148100401191
fsu,p92,2042,1.0121067929163
fsu,p92,2044,1.034971217220818
fsu,p92,2046,1.0551166461230599
fsu,p92,2048,0.9989956472856804
fsu,p92,2050,1.0398683846974868
fsu,p93,2010,1.0
fsu,p93,2012,0.9573606148070708
fsu,p93,2014,0.9528924547150328
fsu,p93,2016,0.9730199563709372
fsu,p93,2018,0.9698291616939478
fsu,p93,2020,0.9478475109703384
fsu,p93,2022,0.9636639244207768
fsu,p93,2024,0.9577670474076572
fsu,p93,2026,0.9328143487923828
fsu,p93,2028,0.9490788261978657
fsu,p93,2030,0.9595658247783392
fsu,p93,2032,0.991136815505077
fsu,p93,2034,1.007518052803277
fsu,p93,2036,1.0027416871102166
fsu,p93,2038,1.002736268414271
fsu,p93,2040,1.029146562520012
fsu,p93,2042,1.0222113777302868
fsu,p93,2044,1.0415918822679444
fsu,p93,2046,1.061784194321287
fsu,p93,2048,1.0107602575215815
fsu,p93,2050,1.0519131808169953
fsu,p94,2010,1.0
fsu,p94,2012,0.9873066726301822
fsu,p94,2014,1.0048139607449285
fsu,p94,2016,1.0467403504074528
fsu,p94,2018,1.049156137667289
fsu,p94,2020,1.0072905144303042
fsu,p94,2022,0.9982453528685188
fsu,p94,2024,1.019921566826576
fsu,p94,2026,1.0446678649177183
fsu,p94,2028,1.0514172028798259
fsu,p94,2030,1.016131901276685
fsu,p94,2032,1.021153824825031
fsu,p94,2034,1.0232291659960788
fsu,p94,2036,0.9980369095575048
fsu,p94,2038,1.0203460478947437
fsu,p94,2040,1.0424061128506728
fsu,p94,2042,1.0274618754242604
fsu,p94,2044,1.0199324489483077
fsu,p94,2046,0.9821947045866242
fsu,p94,2048,0.9822701277949978
fsu,p94,2050,1.0618989287917129
fsu,p95,2010,1.0
fsu,p95,2012,0.9745662674248252
fsu,p95,2014,1.0000686090294644
fsu,p95,2016,1.0385111886930083
fsu,p95,2018,1.0508845411113978
fsu,p95,2020,1.017735879993635
fsu,p95,2022,1.0198095649463268
fsu,p95,2024,1.0245735709807444
fsu,p95,2026,1.0312409099537505
fsu,p95,2028,1.024480338989204
fsu,p95,2030,0.9891916182171834
fsu,p95,2032,0.9953436868483996
fsu,p95,2034,0.9904340004994584
fsu,p95,2036,0.9718868175168224
fsu,p95,2038,0.9714975232723262
fsu,p95,2040,0.9896443812387798
fsu,p95,2042,0.9742175631585942
fsu,p95,2044,0.970518013330442
fsu,p95,2046,0.9395464484811455
fsu,p95,2048,0.9388977354945556
fsu,p95,2050,1.0001731831424532
fsu,p96,2010,1.0
fsu,p96,2012,0.9693964771552142
fsu,p96,2014,0.9998954021609608
fsu,p96,2016,1.0402319509294733
fsu,p96,2018,1.0522197624871628
fsu,p96,2020,1.0142280435776954
fsu,p96,2022,1.021465940047813
fsu,p96,2024,1.033066485400552
fsu,p96,2026,1.0496601675838804
fsu,p96,2028,1.052401525148238
fsu,p96,2030,1.021105980394312
fsu,p96,2032,1.0230706711511477
fsu,p96,2034,1.0211217817197158
fsu,p96,2036,1.002034200656691
fsu,p96,2038,1.0034619250304309
fsu,p96,2040,1.0183005974554913
fsu,p96,2042,0.9951724109314098
fsu,p96,2044,0.9878518442726056
fsu,p96,2046,0.9483492921684019
fsu,p96,2048,0.9440340185164382
fsu,p96,2050,1.0083515094261748
fsu,p97,2010,1.0
fsu,p97,2012,1.0095629961799226
fsu,p97,2014,1.0266394231494151
fsu,p97,2016,1.0548508568328956
fsu,p97,2018,1.0615017267162221
fsu,p97,2020,1.0200257235931012
fsu,p97,2022,1.0221967190653822
fsu,p97,2024,1.0185876473087854
fsu,p97,2026,1.0255436934368911
fsu,p97,2028,1.0147299990567284
fsu,p97,2030,0.978949184990136
fsu,p97,2032,0.9876502054348902
fsu,p97,2034,1.0020333615700074
fsu,p97,2036,0.9965370320694268
fsu,p97,2038,0.9970710234532436
fsu,p97,2040,1.0199721323402315
fsu,p97,2042,0.99775784545862
fsu,p97,2044,0.9969470644048296
fsu,p97,2046,0.9694912709709844
fsu,p97,2048,0.9582553429449888
fsu,p97,2050,1.0184084363204828
fsu,p98,2010,1.0
fsu,p98,2012,1.0477907885744526
fsu,p98,2014,1.0746596307028689
fsu,p98,2016,1.1022330689398645
fsu,p98,2018,1.1099776959128906
fsu,p98,2020,1.0521249263627976
fsu,p98,2022,1.062796818758372
fsu,p98,2024,1.0645949044183651
fsu,p98,2026,1.0746220086803109
fsu,p98,2028,1.0890341233914291
fsu,p98,2030,1.0656039502991572
fsu,p98,2032,1.0710717785120063
fsu,p98,2034,1.0910133182569468
fsu,p98,2036,1.094204128472079
fsu,p98,2038,1.0887722781388085
fsu,p98,2040,1.1027755992990926
fsu,p98,2042,1.0668430347519569
fsu,p98,2044,1.066833830650052
fsu,p98,2046,1.0225032554218465
fsu,p98,2048,0.9860562324033508
fsu,p98,2050,1.043333216689034
fsu,p99,2010,1.0
fsu,p99,2012,1.1179230971192868
fsu,p99,2014,1.119973238592035
fsu,p99,2016,1.1053518893909058
fsu,p99,2018,1.0905492211750896
fsu,p99,2020,1.0829473941744814
fsu,p99,2022,1.0865570940107376
fsu,p99,2024,1.0685188207271124
fsu,p99,2026,1.0421779847133874
fsu,p99,2028,1.0397099164576906
fsu,p99,2030,1.0364300824411754
fsu,p99,2032,1.0638576031894722
