,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p5,5.718094633,41.9169796,53.7073,90.4607,131.2234,162.5885,190.7787,236.8922,309.4034,418.4509,582.1173,778.202,857.8826,942.8281,1030.2169,1119.8902,1209.3804,1296.6261,1366.7655,1442.7048,1524.9616
p50,0,0,0.4638,1.0591,4.5283,14.1844,30.6807,66.2148,146.945,315.7246,490.2782,673.1863,849.4327,1046.5371,1247.58,1576.322,1870.0317,2082.6997,2303.2569,2570.9145,2768.0622
p51,0,0,0.1208,0.2741,0.8728,3.1741,7.1447,16.3147,35.7701,77.1321,118.4496,171.0062,234.0754,310.8119,396.1003,540.2607,675.7468,776.7119,882.6862,1000.5572,1086.577
p52,0,0,1.8134,2.6693,3.4013,3.8954,4.2098,4.7645,6.2813,9.795,16.6976,22.5218,26.7939,30.6692,34.3146,37.9853,41.5645,45.5559,49.7399,53.9819,64.8802
p53,0,0,23.417,37.9972,52.3842,63.6686,72.0127,86.8755,114.4185,175.2089,283.3583,388.7859,481.4709,578.5301,678.8011,780.3415,893.2846,1000.6781,1139.4942,1292.9029,1518.3103
p54,0.094914678,2.754555382,26.1218,36.5605,49.4831,52.7199,56.404,62.6852,74.0492,93.8929,134.4202,182.3744,237.1685,301.7145,374.5648,451.9984,537.4633,629.8349,693.3536,767.8183,882.5267
p55,0.007026694,1.701282147,16.1034,22.1436,29.2558,30.5347,31.7043,34.0231,40.0577,52.4102,80.6151,110.9741,142.3134,177.8232,219.2792,264.3138,314.8652,366.522,400.4422,438.3223,509.6477
p56,0,0,0.8529,1.7885,6.4072,12.2998,16.8243,19.4732,28.9578,57.3056,123.1124,204.0159,289.6923,359.8693,403.6119,433.054,459.5992,478.4294,507.8747,547.0032,576.3939
p57,0.681239627,1.237219526,1.7093,3.6592,5.6881,6.556,8.0099,11.102,18.2641,36.2009,70.88,118.6237,175.0257,235.4767,296.0089,353.6033,407.7487,458.5504,511.9334,565.8621,617.4732
p58,2.973437518,3.310040121,30.6031,75.6611,96.377,125.8972,143.8464,188.1265,356.3698,609.3619,1029.2466,1256.4807,1408.8701,1539.0006,1655.0763,1840.3895,1980.1048,2151.59,2405.3214,2714.8734,2749.2816
