*r,cs,miles
p49,Cisco3,191.73
p49,Dakota06,157.87
p49,Dakota07,159.37
p49,Leonard1,186.78
p49,Morrison3,176.44
p49,Morrow1,114.29
p49,Queen1,186.78
p49,Reagan01,36.83
p49,Seven_Rivers1,186.78
p49,Simpson04,36.83
p49,Viola01,36.83
p49,Wolfcamp1,95.85
p49,Wolfcamp2,130.07
p50,Arbuckle1,10.01
p50,Arbuckle4,109.17
p50,Atoka1,199.66
p50,Canyon1,136.3
p50,Cisco1,139.67
p50,Leonard1,199.66
p50,Morrow1,104.37
p50,Paluxy2,191.12
p50,Paluxy3,180.61
p50,Queen1,199.66
p50,Seven_Rivers1,199.66
p50,Wolfcamp1,139.67
p50,Woodbine1,199.75
p51,Arbuckle1,83.6
p51,Arbuckle4,63.71
p51,Morrow1,174.56
p52,Arbuckle1,73.65
p52,Arbuckle2,65.41
p52,Arbuckle3,63.29
p52,Arbuckle4,0.0
p52,Canyon1,192.19
p52,Cisco1,192.19
p52,Dakota06,190.49
p52,Fountain2a,184.91
p52,Fountain2b,184.91
p52,Lyons3,191.9
p52,Maha01,199.5
p52,Morrison3,126.52
p52,Morrow1,120.83
p52,Reagan01,60.82
p52,Simpson04,82.18
p52,Viola01,60.82
p52,Wolfcamp1,192.19
p53,Arbuckle1,50.79
p53,Arbuckle4,0.0
p53,Morrow1,121.32
p54,Arbuckle4,101.99
p55,Arbuckle4,156.02
p55,Knox1,194.45
p55,Mount_Simon02,198.01
p55,Mount_Simon03,171.02
p56,Arbuckle1,176.41
p56,Arbuckle4,130.26
p56,Paluxy3,197.06
p57,Frio01,140.28
p57,Frio03a,147.89
p57,Frio03b,147.89
p57,Frio04,170.96
p57,Frio05,190.37
p57,Frio06,171.94
p57,Frio07a,182.84
p57,Frio07b,182.84
p57,Frio08,195.26
p57,Lower_Tuscaloosa06,91.33
p57,Lower_Tuscaloosa08,196.2
p57,Lower_Tuscaloosa09,191.38
p57,Paluxy1,33.4
p57,Paluxy2,13.21
p57,Paluxy3,0.0
p57,WashitaFredericksburg3,196.71
p57,Woodbine1,14.31
p58,Lower_Tuscaloosa01,128.04
p58,Lower_Tuscaloosa03,152.11
p58,Lower_Tuscaloosa06,109.64
p58,Lower_Tuscaloosa07,26.84
p58,Lower_Tuscaloosa08,120.32
p58,Lower_Tuscaloosa09,72.54
p58,Lower_Tuscaloosa10,29.96
p58,Paluxy6,29.53
p58,WashitaFredericksburg3,31.83
p59,Atoka1,82.0
p59,Atoka2,128.57
p59,Canyon3,82.71
p59,Canyon4,123.89
p59,Cisco3,82.71
p59,Cisco4,123.89
p59,Leonard1,81.52
p59,Leonard2,128.57
p59,Queen1,81.52
p59,Queen2,128.57
p59,Seven_Rivers1,81.52
p59,Seven_Rivers2,128.57
p6,Domengine2,124.14
p6,Forbes,124.14
p6,Mokelumne_River2,124.14
p6,Moreno1Starkey,124.14
p6,Winters2,124.14
p60,Atoka1,0.0
p60,Atoka2,87.98
p60,Canyon1,125.44
p60,Canyon2,150.37
p60,Canyon3,0.0
p60,Canyon4,88.53
p60,Cisco1,125.44
p60,Cisco2,150.37
p60,Cisco3,0.0
p60,Cisco4,88.53
p60,Leonard1,0.0
p60,Leonard2,87.98
p60,Queen1,0.0
p60,Queen2,87.98
p60,Seven_Rivers1,0.0
p60,Seven_Rivers2,87.98
p60,Wolfcamp1,125.44
p60,Wolfcamp2,150.37
p61,Atoka1,0.0
p61,Atoka2,80.43
p61,Canyon3,0.0
p61,Canyon4,81.15
p61,Cisco3,0.0
p61,Cisco4,81.15
p61,Leonard1,0.0
p61,Leonard2,80.43
p61,Queen1,0.0
p61,Queen2,80.43
p61,Seven_Rivers1,0.0
p61,Seven_Rivers2,80.43
p62,Atoka1,0.0
p62,Atoka2,40.33
p62,Canyon1,152.53
p62,Canyon2,156.32
p62,Canyon3,0.0
p62,Canyon4,41.05
p62,Cisco1,152.53
p62,Cisco2,156.32
p62,Cisco3,0.0
p62,Cisco4,41.05
p62,Leonard1,0.0
p62,Leonard2,40.33
p62,Queen1,0.0
p62,Queen2,40.33
p62,Seven_Rivers1,0.0
p62,Seven_Rivers2,40.33
p62,Wolfcamp1,152.53
p62,Wolfcamp2,156.32
p63,Paluxy1,73.64
p63,Paluxy2,41.42
p63,Paluxy3,31.64
p63,Woodbine1,50.58
p64,Atoka1,175.01
p64,Canyon3,177.5
p64,Cisco3,177.5
p64,Frio01,87.43
p64,Frio02,109.37
p64,Frio03a,162.2
p64,Frio03b,162.2
p64,Frio04,187.14
p64,Frio06,112.4
p64,Frio07a,133.81
p64,Frio07b,133.81
p64,Frio08,150.86
p64,Frio09a,110.7
p64,Frio09b,110.7
p64,Frio10,130.36
p64,Frio11,150.61
p64,Frio12a,187.61
p64,Frio12b,187.61
p64,Frio13a,194.2
p64,Frio13b,194.2
p64,Frio13c,194.2
p64,Leonard1,175.01
p64,Paluxy1,183.32
p64,Paluxy2,142.84
p64,Paluxy3,116.96
p64,Queen1,175.01
p64,Seven_Rivers1,175.01
p64,Woodbine1,73.39
p65,Atoka1,140.5
p65,Canyon3,143.3
p65,Cisco3,143.3
p65,Frio01,87.46
p65,Frio02,87.52
p65,Frio06,135.58
p65,Frio07a,156.87
p65,Frio07b,156.87
p65,Frio08,172.29
p65,Frio09a,107.16
p65,Frio09b,107.16
p65,Frio10,122.48
p65,Frio11,162.09
p65,Frio12a,141.06
p65,Frio12b,141.06
p65,Frio13a,149.7
p65,Frio13b,149.7
p65,Frio13c,149.7
p65,Leonard1,140.5
p65,Paluxy3,187.61
p65,Queen1,140.5
p65,Seven_Rivers1,140.5
p65,Woodbine1,141.43
p66,Frio01,22.66
p66,Frio02,188.86
p66,Frio03a,2.79
p66,Frio03b,2.79
p66,Frio04,0.0
p66,Frio05,14.5
p66,Frio06,25.2
p66,Frio07a,20.08
p66,Frio07b,20.08
p66,Frio08,22.25
p66,Frio09a,117.68
p66,Frio09b,117.68
p66,Frio10,109.43
p66,Frio11,112.08
p66,Lower_Tuscaloosa06,57.68
p66,Lower_Tuscaloosa07,153.39
p66,Lower_Tuscaloosa08,197.72
p66,Lower_Tuscaloosa09,155.77
p66,Paluxy1,160.96
p66,Paluxy2,98.87
p66,Paluxy3,94.91
p66,Paluxy6,189.86
p66,WashitaFredericksburg3,179.88
p66,Woodbine1,72.39
p67,Frio01,1.55
p67,Frio02,119.15
p67,Frio03a,31.84
p67,Frio03b,31.84
p67,Frio04,48.92
p67,Frio05,61.34
p67,Frio06,0.0
p67,Frio07a,17.46
p67,Frio07b,17.46
p67,Frio08,33.11
p67,Frio09a,51.56
p67,Frio09b,51.56
p67,Frio10,50.07
p67,Frio11,54.7
p67,Lower_Tuscaloosa06,128.28
p67,Paluxy1,161.5
p67,Paluxy2,106.6
p67,Paluxy3,95.41
p67,Woodbine1,60.87
p69,Mount_Simon03,158.21
p70,Mount_Simon03,175.23
p71,Knox1,164.08
p71,Mount_Simon02,181.25
p71,Mount_Simon03,88.19
p72,Knox1,23.68
p72,Knox2,65.85
p72,Knox3,129.47
p72,Knox4,119.08
p72,Knox5,128.48
p72,Knox6,128.1
p72,Mount_Simon02,41.86
p72,Mount_Simon03,2.97
p72,Mount_Simon04,119.09
p72,Mount_Simon05,135.64
p72,Mount_Simon06,156.14
p72,StPeter02,65.85
p72,StPeter03,129.47
p72,StPeter04,119.08
p72,StPeter05,128.48
p72,StPeter06,128.1
p73,Knox1,100.93
p73,Knox2,132.52
p73,Knox4,189.16
p73,Knox5,175.39
p73,Knox6,187.66
p73,Mount_Simon02,109.53
p73,Mount_Simon03,75.18
p73,Mount_Simon04,189.16
p73,StPeter02,132.52
p73,StPeter04,189.16
p73,StPeter05,175.39
p73,StPeter06,187.66
p78,Mount_Simon03,127.25
p78,Mount_Simon06,152.42
p79,Mount_Simon03,143.34
p8,Domengine2,46.97
p8,Forbes,46.24
p8,Mokelumne_River2,46.36
p8,Moreno1Starkey,46.97
p8,Winters2,46.24
p80,Conasuaga1,188.8
p80,Knox1,136.08
p80,Knox3,158.54
p80,Mount_SImon07,44.8
p80,Mount_SImon08,136.52
p80,Mount_Simon02,147.67
p80,Mount_Simon03,59.08
p80,Mount_Simon05,159.3
p80,Mount_Simon06,34.56
p80,Mount_Simon10,143.84
p80,StPeter03,158.54
p81,Knox1,128.13
p81,Knox3,199.37
p81,Mount_SImon07,181.21
p81,Mount_Simon02,151.57
p81,Mount_Simon03,45.6
p81,Mount_Simon06,151.0
p81,StPeter03,199.37
p82,Knox1,56.14
p82,Knox2,135.83
p82,Knox3,130.0
p82,Knox4,189.83
p82,Mount_SImon07,159.39
p82,Mount_Simon02,79.69
p82,Mount_Simon03,0.0
p82,Mount_Simon04,181.62
p82,Mount_Simon05,130.6
p82,Mount_Simon06,105.25
p82,StPeter02,135.83
p82,StPeter03,130.0
p82,StPeter04,189.83
p83,Knox1,14.77
p83,Knox2,78.41
p83,Knox3,46.05
p83,Knox4,122.36
p83,Knox5,169.64
p83,Knox6,159.51
p83,Mount_SImon07,138.89
p83,Mount_Simon02,20.12
p83,Mount_Simon03,0.0
p83,Mount_Simon04,109.69
p83,Mount_Simon05,46.72
p83,Mount_Simon06,33.34
p83,Mount_Simon10,169.09
p83,StPeter02,78.41
p83,StPeter03,46.05
p83,StPeter04,122.36
p83,StPeter05,169.64
p83,StPeter06,159.51
p84,Knox1,72.2
p84,Knox2,88.86
p84,Knox3,183.74
p84,Knox4,143.15
p84,Knox5,105.77
p84,Knox6,132.65
p84,Mount_Simon02,93.49
p84,Mount_Simon03,88.9
p84,Mount_Simon04,143.15
p84,Mount_Simon05,199.16
p84,StPeter02,88.86
p84,StPeter03,183.74
p84,StPeter04,143.15
p84,StPeter05,105.77
p84,StPeter06,132.65
p85,Lower_Tuscaloosa06,129.04
p85,Lower_Tuscaloosa08,139.76
p85,Paluxy2,173.44
p85,Paluxy3,149.76
p85,Paluxy6,157.71
p85,WashitaFredericksburg3,165.32
p85,Woodbine1,187.64
p86,Frio01,159.83
p86,Frio03a,164.04
p86,Frio03b,164.04
p86,Frio04,184.55
p86,Lower_Tuscaloosa06,0.0
p86,Lower_Tuscaloosa07,112.2
p86,Lower_Tuscaloosa08,55.02
p86,Lower_Tuscaloosa09,68.82
p86,Lower_Tuscaloosa10,172.48
p86,Paluxy1,179.39
p86,Paluxy2,142.19
p86,Paluxy3,119.09
p86,Paluxy6,57.47
p86,WashitaFredericksburg3,53.7
p86,Woodbine1,158.76
p87,Lower_Tuscaloosa01,98.27
p87,Lower_Tuscaloosa02,124.12
p87,Lower_Tuscaloosa03,173.11
p87,Lower_Tuscaloosa06,38.98
p87,Lower_Tuscaloosa07,93.06
p87,Lower_Tuscaloosa08,0.0
p87,Lower_Tuscaloosa09,45.35
p87,Lower_Tuscaloosa10,96.48
p87,Paluxy4,98.84
p87,Paluxy5,175.72
p87,Paluxy6,0.0
p87,WashitaFredericksburg1,99.11
p87,WashitaFredericksburg2,175.52
p87,WashitaFredericksburg3,0.0
p88,Basal_Sandstone_TN_Zone_2,142.68
p88,Knox5,198.41
p88,Lower_Tuscaloosa01,140.8
p88,Lower_Tuscaloosa06,160.13
p88,Lower_Tuscaloosa08,96.45
p88,Lower_Tuscaloosa09,185.17
p88,Paluxy4,103.21
p88,Paluxy6,91.19
p88,StPeter05,198.41
p88,WashitaFredericksburg1,109.76
p88,WashitaFredericksburg3,97.17
p89,Basal_Sandstone_TN_Zone_2,110.93
p89,Lower_Tuscaloosa01,116.9
p89,Lower_Tuscaloosa02,187.28
p89,Lower_Tuscaloosa03,182.79
p89,Lower_Tuscaloosa05,183.76
p89,Lower_Tuscaloosa08,123.84
p89,Lower_Tuscaloosa09,160.46
p89,Lower_Tuscaloosa10,188.05
p89,Paluxy4,86.5
p89,Paluxy5,182.89
p89,Paluxy6,97.98
p89,WashitaFredericksburg1,99.9
p89,WashitaFredericksburg2,181.98
p89,WashitaFredericksburg3,100.68
p9,Domengine1,35.47
p9,Domengine2,32.58
p9,Forbes,31.62
p9,Mokelumne_River1,35.47
p9,Mokelumne_River2,32.6
p9,Monterey1a,53.16
p9,Monterey1b,55.58
p9,Moreno1Starkey,31.62
p9,Moreno2,55.58
p9,Panoche1a,52.61
p9,Panoche1b,55.58
p9,Starkey1,35.47
p9,Stevens1,195.93
p9,Temblor1a,195.93
p9,Temblor1b,195.93
p9,Temblor2a,52.61
p9,Temblor2b,52.61
p9,Temblor3a,53.16
p9,Temblor3b,53.16
p9,Temblor3c,53.16
p9,Winters1a,35.47
p9,Winters1b,35.47
p9,Winters1c,35.47
p9,Winters2,31.62
p90,Lower_Tuscaloosa01,28.56
p90,Lower_Tuscaloosa02,0.0
p90,Lower_Tuscaloosa03,28.02
p90,Lower_Tuscaloosa04,181.93
p90,Lower_Tuscaloosa05,171.73
p90,Lower_Tuscaloosa06,196.37
p90,Lower_Tuscaloosa07,93.04
p90,Lower_Tuscaloosa08,77.2
p90,Lower_Tuscaloosa09,46.27
p90,Lower_Tuscaloosa10,20.81
p90,Paluxy4,0.0
p90,Paluxy5,27.52
p90,Paluxy6,21.22
p90,WashitaFredericksburg1,0.0
p90,WashitaFredericksburg2,29.57
p90,WashitaFredericksburg3,19.85
p91,Lower_Tuscaloosa01,41.63
p91,Lower_Tuscaloosa02,11.87
p91,Lower_Tuscaloosa03,0.35
p91,Lower_Tuscaloosa04,136.22
p91,Lower_Tuscaloosa05,132.54
p91,Lower_Tuscaloosa08,116.2
p91,Lower_Tuscaloosa09,91.44
p91,Paluxy4,13.08
p91,Paluxy5,0.0
p91,WashitaFredericksburg1,12.51
p91,WashitaFredericksburg2,0.0
p92,Basal_Sandstone_TN_Zone_2,75.88
p92,Knox1,119.11
p92,Knox2,122.89
p92,Knox3,119.01
p92,Knox4,121.29
p92,Knox5,61.48
p92,Knox6,70.43
p92,Lockport01,166.94
p92,Mount_Simon02,181.94
p92,Mount_Simon03,197.14
p92,Mount_Simon04,119.0
p92,Mount_Simon05,122.37
p92,Mount_Simon06,136.26
p92,Rome_Trough_Sst1,109.45
p92,Rose_Run1,100.77
p92,StPeter02,122.89
p92,StPeter03,119.01
p92,StPeter04,121.29
p92,StPeter05,61.48
p92,StPeter06,70.43
p93,Basal_Sandstone_TN_Zone_2,86.92
p93,Knox1,104.39
p93,Knox2,96.81
p93,Knox3,63.34
p93,Knox4,70.1
p93,Knox5,32.11
p93,Knox6,43.92
p93,Lockport01,144.39
p93,Mount_Simon02,136.29
p93,Mount_Simon03,179.55
p93,Mount_Simon04,67.41
p93,Mount_Simon05,63.34
p93,Mount_Simon06,74.12
p93,Mount_Simon10,175.6
p93,Rome_Trough_Sst1,89.39
p93,Rose_Run1,77.37
p93,StPeter02,96.81
p93,StPeter03,63.34
p93,StPeter04,70.1
p93,StPeter05,32.11
p93,StPeter06,43.92
p94,Basal_Sandstone_TN_Zone_2,91.9
p94,Lower_Tuscaloosa01,181.11
p94,Lower_Tuscaloosa05,179.95
p94,Paluxy4,179.84
p94,WashitaFredericksburg1,190.79
p95,Basal_Sandstone_TN_Zone_2,134.66
p95,Lockport01,142.99
p95,Oriskany6,175.61
p95,Oriskany7,194.52
p95,Rome_Trough_Sst1,143.52
p95,Rose_Run1,142.92
p97,Basal_Sandstone_TN_Zone_2,199.41
p97,Lockport01,163.96
p97,Oriskany6,149.6
p97,Oriskany7,177.9
p97,Rome_Trough_Sst1,165.36
p97,Rose_Run1,164.58
p98,Oriskany6,150.48
