*r,cs
p87,Lower_Tuscaloosa06
p87,Lower_Tuscaloosa07
p87,Lower_Tuscaloosa08
p87,Lower_Tuscaloosa09
p87,Lower_Tuscaloosa10
p87,Paluxy4
p87,Paluxy5
p87,Paluxy6
p87,WashitaFredericksburg1
p87,WashitaFredericksburg2
p87,WashitaFredericksburg3
p88,Basal_Sandstone_TN_Zone_2
p88,Knox5
p88,Lower_Tuscaloosa01
p88,Lower_Tuscaloosa06
p88,Lower_Tuscaloosa08
p88,Lower_Tuscaloosa09
p88,Paluxy4
p88,Paluxy6
p88,StPeter05
p88,WashitaFredericksburg1
p88,WashitaFredericksburg3
p89,Basal_Sandstone_TN_Zone_2
p89,Lower_Tuscaloosa01
p89,Lower_Tuscaloosa02
p89,Lower_Tuscaloosa03
p89,Lower_Tuscaloosa05
p89,Lower_Tuscaloosa08
p89,Lower_Tuscaloosa09
p89,Lower_Tuscaloosa10
p89,Paluxy4
p89,Paluxy5
p89,Paluxy6
p89,WashitaFredericksburg1
p89,WashitaFredericksburg2
p89,WashitaFredericksburg3
p9,Domengine1
p9,Domengine2
p9,Forbes
p9,Mokelumne_River1
p9,Mokelumne_River2
p9,Monterey1a
p9,Monterey1b
p9,Moreno1Starkey
p9,Moreno2
p9,Panoche1a
p9,Panoche1b
p9,Starkey1
p9,Stevens1
p9,Temblor1a
p9,Temblor1b
p9,Temblor2a
p9,Temblor2b
p9,Temblor3a
p9,Temblor3b
p9,Temblor3c
p9,Winters1a
p9,Winters1b
p9,Winters1c
p9,Winters2
p90,Lower_Tuscaloosa01
p90,Lower_Tuscaloosa02
p90,Lower_Tuscaloosa03
p90,Lower_Tuscaloosa04
p90,Lower_Tuscaloosa05
p90,Lower_Tuscaloosa06
p90,Lower_Tuscaloosa07
p90,Lower_Tuscaloosa08
p90,Lower_Tuscaloosa09
p90,Lower_Tuscaloosa10
p90,Paluxy4
p90,Paluxy5
p90,Paluxy6
p90,WashitaFredericksburg1
p90,WashitaFredericksburg2
p90,WashitaFredericksburg3
p91,Lower_Tuscaloosa01
p91,Lower_Tuscaloosa02
p91,Lower_Tuscaloosa03
p91,Lower_Tuscaloosa04
p91,Lower_Tuscaloosa05
p91,Lower_Tuscaloosa08
p91,Lower_Tuscaloosa09
p91,Paluxy4
p91,Paluxy5
p91,WashitaFredericksburg1
p91,WashitaFredericksburg2
p92,Basal_Sandstone_TN_Zone_2
p92,Knox1
p92,Knox2
p92,Knox3
p92,Knox4
p92,Knox5
p92,Knox6
p92,Lockport01
p92,Mount_Simon02
p92,Mount_Simon03
p92,Mount_Simon04
p92,Mount_Simon05
p92,Mount_Simon06
p92,Rome_Trough_Sst1
p92,Rose_Run1
p92,StPeter02
p92,StPeter03
p92,StPeter04
p92,StPeter05
p92,StPeter06
p93,Basal_Sandstone_TN_Zone_2
p93,Knox1
p93,Knox2
p93,Knox3
p93,Knox4
p93,Knox5
p93,Knox6
p93,Lockport01
p93,Mount_Simon02
p93,Mount_Simon03
p93,Mount_Simon04
p93,Mount_Simon05
p93,Mount_Simon06
p93,Mount_Simon10
p93,Rome_Trough_Sst1
p93,Rose_Run1
p93,StPeter02
p93,StPeter03
p93,StPeter04
p93,StPeter05
p93,StPeter06
p94,Basal_Sandstone_TN_Zone_2
p94,Lower_Tuscaloosa01
p94,Lower_Tuscaloosa05
p94,Paluxy4
p94,WashitaFredericksburg1
p95,Basal_Sandstone_TN_Zone_2
p95,Lockport01
p95,Oriskany6
p95,Oriskany7
p95,Rome_Trough_Sst1
p95,Rose_Run1
p97,Basal_Sandstone_TN_Zone_2
p97,Lockport01
p97,Oriskany6
p97,Oriskany7
p97,Rome_Trough_Sst1
p97,Rose_Run1
p98,Oriskany6
