reeds_ba,state_abbr,model,cr,pollutant,damage
p116,WV,InMAP,H6C,VOC,9160.822317
p117,WV,AP2,ACS,NH3,27983.686660
p117,WV,AP2,ACS,NOX,1858.705836
p117,WV,AP2,ACS,PM25,32574.490310
p117,WV,AP2,ACS,SO2,25346.427115
p117,WV,AP2,ACS,VOC,3530.551356
p117,WV,AP2,H6C,NH3,71897.652169
p117,WV,AP2,H6C,NOX,4774.054516
p117,WV,AP2,H6C,PM25,83692.924258
p117,WV,AP2,H6C,SO2,65121.672130
p117,WV,AP2,H6C,VOC,9069.571009
p117,WV,EASIUR,ACS,NH3,62773.496644
p117,WV,EASIUR,ACS,NOX,5132.365066
p117,WV,EASIUR,ACS,PM25,65900.340907
p117,WV,EASIUR,ACS,SO2,21448.043044
p117,WV,EASIUR,H6C,NH3,161284.022379
p117,WV,EASIUR,H6C,NOX,13185.152939
p117,WV,EASIUR,H6C,PM25,169317.905264
p117,WV,EASIUR,H6C,SO2,55105.451804
p117,WV,InMAP,ACS,NH3,28871.911386
p117,WV,InMAP,ACS,NOX,6310.026306
p117,WV,InMAP,ACS,PM25,39894.597066
p117,WV,InMAP,ACS,SO2,26024.622306
p117,WV,InMAP,ACS,VOC,3637.018826
p117,WV,InMAP,H6C,NH3,74179.791225
p117,WV,InMAP,H6C,NOX,16210.948815
p117,WV,InMAP,H6C,PM25,102500.666324
p117,WV,InMAP,H6C,SO2,66864.176798
p117,WV,InMAP,H6C,VOC,9343.120669
p118,VA,AP2,ACS,NH3,47391.245475
p118,VA,AP2,ACS,NOX,2090.847716
p118,VA,AP2,ACS,PM25,37169.951486
p118,VA,AP2,ACS,SO2,26169.537169
p118,VA,AP2,ACS,VOC,4000.342434
p118,VA,AP2,H6C,NH3,121762.001473
p118,VA,AP2,H6C,NOX,5370.502729
p118,VA,AP2,H6C,PM25,95500.163046
p118,VA,AP2,H6C,SO2,67236.510352
p118,VA,AP2,H6C,VOC,10276.617534
p118,VA,EASIUR,ACS,NH3,54374.420469
p118,VA,EASIUR,ACS,NOX,4506.793965
p118,VA,EASIUR,ACS,PM25,63374.656873
p118,VA,EASIUR,ACS,SO2,19660.217303
p118,VA,EASIUR,H6C,NH3,139704.055934
p118,VA,EASIUR,H6C,NOX,11577.856719
p118,VA,EASIUR,H6C,PM25,162828.599111
p118,VA,EASIUR,H6C,SO2,50511.944293
p118,VA,InMAP,ACS,NH3,31192.685113
p118,VA,InMAP,ACS,NOX,6726.204199
p118,VA,InMAP,ACS,PM25,47381.127594
p118,VA,InMAP,ACS,SO2,28343.012716
p118,VA,InMAP,ACS,VOC,3908.923652
p118,VA,InMAP,H6C,NH3,80142.615963
p118,VA,InMAP,H6C,NOX,17280.245577
p118,VA,InMAP,H6C,PM25,121736.005334
p118,VA,InMAP,H6C,SO2,72820.878019
p118,VA,InMAP,H6C,VOC,10041.732862
p119,PA,AP2,ACS,NH3,38371.951978
p119,PA,AP2,ACS,NOX,1650.979956
p119,PA,AP2,ACS,PM25,35175.902662
p119,PA,AP2,ACS,SO2,25133.226818
p119,PA,AP2,ACS,VOC,3801.516965
p119,PA,AP2,H6C,NH3,98588.494392
p119,PA,AP2,H6C,NOX,4240.338969
p119,PA,AP2,H6C,PM25,90376.801172
p119,PA,AP2,H6C,SO2,64573.891018
p119,PA,AP2,H6C,VOC,9765.770047
p119,PA,EASIUR,ACS,NH3,71178.658126
p119,PA,EASIUR,ACS,NOX,9756.818118
p119,PA,EASIUR,ACS,PM25,83356.428528
p119,PA,EASIUR,ACS,SO2,27564.184008
p119,PA,EASIUR,H6C,NH3,182879.624000
p119,PA,EASIUR,H6C,NOX,25066.881314
p119,PA,EASIUR,H6C,PM25,214168.288520
p119,PA,EASIUR,H6C,SO2,70819.813014
p119,PA,InMAP,ACS,NH3,55412.043748
p119,PA,InMAP,ACS,NOX,10570.510267
p119,PA,InMAP,ACS,PM25,64111.001786
p119,PA,InMAP,ACS,SO2,44359.396562
p119,PA,InMAP,ACS,VOC,4838.611521
p119,PA,InMAP,H6C,NH3,142370.048600
p119,PA,InMAP,H6C,NOX,27157.521872
p119,PA,InMAP,H6C,PM25,164720.509360
p119,PA,InMAP,H6C,SO2,113972.192636
p119,PA,InMAP,H6C,VOC,12430.404258
p12,NV,AP2,ACS,NH3,5659.464318
p12,NV,AP2,ACS,NOX,3349.291072
p12,NV,AP2,ACS,PM25,9683.509444
p12,NV,AP2,ACS,SO2,9491.724545
p12,NV,AP2,ACS,VOC,1201.581233
p12,NV,AP2,H6C,NH3,14539.442858
p12,NV,AP2,H6C,NOX,8603.854212
p12,NV,AP2,H6C,PM25,24878.527419
p12,NV,AP2,H6C,SO2,24385.769455
p12,NV,AP2,H6C,VOC,3085.687058
p12,NV,EASIUR,ACS,NH3,7532.234157
p12,NV,EASIUR,ACS,NOX,1198.579062
p12,NV,EASIUR,ACS,PM25,18045.766160
p12,NV,EASIUR,ACS,SO2,9665.952431
p12,NV,EASIUR,H6C,NH3,19351.199465
p12,NV,EASIUR,H6C,NOX,3077.973501
p12,NV,EASIUR,H6C,PM25,46363.892674
p12,NV,EASIUR,H6C,SO2,24833.417728
p12,NV,InMAP,ACS,NH3,13472.112401
p12,NV,InMAP,ACS,NOX,5375.835399
p12,NV,InMAP,ACS,PM25,20432.809054
p12,NV,InMAP,ACS,SO2,9660.604523
p12,NV,InMAP,ACS,VOC,1632.117827
p12,NV,InMAP,H6C,NH3,34612.684248
p12,NV,InMAP,H6C,NOX,13810.707644
p12,NV,InMAP,H6C,PM25,52496.984521
p12,NV,InMAP,H6C,SO2,24819.677205
p12,NV,InMAP,H6C,VOC,4191.876008
p120,PA,AP2,ACS,NH3,47150.147505
p120,PA,AP2,ACS,NOX,2164.642869
p120,PA,AP2,ACS,PM25,45823.725680
p120,PA,AP2,ACS,SO2,27437.976460
p120,PA,AP2,ACS,VOC,4895.030226
p120,PA,AP2,H6C,NH3,121142.542150
p120,PA,AP2,H6C,NOX,5560.106547
p120,PA,AP2,H6C,PM25,117734.531800
p120,PA,AP2,H6C,SO2,70495.544655
p120,PA,AP2,H6C,VOC,12575.362315
p120,PA,EASIUR,ACS,NH3,72265.236430
p120,PA,EASIUR,ACS,NOX,12171.246410
p120,PA,EASIUR,ACS,PM25,103161.588040
p120,PA,EASIUR,ACS,SO2,27262.622945
p120,PA,EASIUR,H6C,NH3,185671.398100
p120,PA,EASIUR,H6C,NOX,31270.335170
p120,PA,EASIUR,H6C,PM25,265054.203700
p120,PA,EASIUR,H6C,SO2,70045.004280
p120,PA,InMAP,ACS,NH3,63421.336740
p120,PA,InMAP,ACS,NOX,8929.894794
p120,PA,InMAP,ACS,PM25,80899.384445
p120,PA,InMAP,ACS,SO2,43983.741780
p120,PA,InMAP,ACS,VOC,5181.143655
p120,PA,InMAP,H6C,NH3,162948.534900
p120,PA,InMAP,H6C,NOX,22942.245555
p120,PA,InMAP,H6C,PM25,207855.340750
p120,PA,InMAP,H6C,SO2,113007.013000
p120,PA,InMAP,H6C,VOC,13310.481045
p121,MD,AP2,ACS,NH3,61508.479527
p121,MD,AP2,ACS,NOX,2371.248261
p121,MD,AP2,ACS,PM25,55961.932435
p121,MD,AP2,ACS,SO2,30146.182570
p121,MD,AP2,ACS,VOC,5941.952833
p121,MD,AP2,H6C,NH3,158033.780775
p121,MD,AP2,H6C,NOX,6090.943196
p121,MD,AP2,H6C,PM25,143782.892000
p121,MD,AP2,H6C,SO2,77453.809565
p121,MD,AP2,H6C,VOC,15265.247997
p121,MD,EASIUR,ACS,NH3,74647.579805
p121,MD,EASIUR,ACS,NOX,10935.607845
p121,MD,EASIUR,ACS,PM25,105267.057272
p121,MD,EASIUR,ACS,SO2,25804.180100
p121,MD,EASIUR,H6C,NH3,191792.415325
p121,MD,EASIUR,H6C,NOX,28095.576642
p121,MD,EASIUR,H6C,PM25,270463.840950
p121,MD,EASIUR,H6C,SO2,66297.788858
p121,MD,InMAP,ACS,NH3,52696.481918
p121,MD,InMAP,ACS,NOX,7129.506862
p121,MD,InMAP,ACS,PM25,68658.881065
p121,MD,InMAP,ACS,SO2,36441.479152
p121,MD,InMAP,ACS,VOC,4481.056982
p121,MD,InMAP,H6C,NH3,135392.884450
p121,MD,InMAP,H6C,NOX,18316.461675
p121,MD,InMAP,H6C,PM25,176405.494775
p121,MD,InMAP,H6C,SO2,93628.480000
p121,MD,InMAP,H6C,VOC,11511.730018
p122,PA,AP2,ACS,NH3,81619.241303
p122,PA,AP2,ACS,NOX,1818.287502
p122,PA,AP2,ACS,PM25,62281.165550
p122,PA,AP2,ACS,SO2,29752.102529
p122,PA,AP2,ACS,VOC,6547.163973
p122,PA,AP2,H6C,NH3,209704.887853
p122,PA,AP2,H6C,NOX,4670.206630
p122,PA,AP2,H6C,PM25,160019.063208
p122,PA,AP2,H6C,SO2,76441.289388
p122,PA,AP2,H6C,VOC,16820.232835
p122,PA,EASIUR,ACS,NH3,79854.439109
p122,PA,EASIUR,ACS,NOX,14046.675516
p122,PA,EASIUR,ACS,PM25,119182.352204
p122,PA,EASIUR,ACS,SO2,28476.096117
p122,PA,EASIUR,H6C,NH3,205170.535348
p122,PA,EASIUR,H6C,NOX,36088.924312
p122,PA,EASIUR,H6C,PM25,306216.772775
p122,PA,EASIUR,H6C,SO2,73162.812683
p122,PA,InMAP,ACS,NH3,68297.974475
p122,PA,InMAP,ACS,NOX,9494.127887
p122,PA,InMAP,ACS,PM25,83930.941438
p122,PA,InMAP,ACS,SO2,50393.603818
p122,PA,InMAP,ACS,VOC,4986.788194
p122,PA,InMAP,H6C,NH3,175478.208010
p122,PA,InMAP,H6C,NOX,24391.944422
p122,PA,InMAP,H6C,PM25,215644.399576
p122,PA,InMAP,H6C,SO2,129476.039414
p122,PA,InMAP,H6C,VOC,12811.118467
p123,DC,AP2,ACS,NH3,347287.592300
p123,DC,AP2,ACS,NOX,1423.410068
p123,DC,AP2,ACS,PM25,190888.089600
p123,DC,AP2,ACS,SO2,51105.284430
p123,DC,AP2,ACS,VOC,19589.596910
p123,DC,AP2,H6C,NH3,892293.542100
p123,DC,AP2,H6C,NOX,3655.637694
p123,DC,AP2,H6C,PM25,490452.202300
p123,DC,AP2,H6C,SO2,131304.579000
p123,DC,AP2,H6C,VOC,50330.497470
p123,DC,EASIUR,ACS,NH3,99460.072890
p123,DC,EASIUR,ACS,NOX,14255.388440
p123,DC,EASIUR,ACS,PM25,174531.994800
p123,DC,EASIUR,ACS,SO2,27815.183380
p123,DC,EASIUR,H6C,NH3,255543.803800
p123,DC,EASIUR,H6C,NOX,36625.175900
p123,DC,EASIUR,H6C,PM25,448428.059600
p123,DC,EASIUR,H6C,SO2,71464.712270
p123,DC,InMAP,ACS,NH3,28456.070960
p123,DC,InMAP,ACS,NOX,3448.516416
p123,DC,InMAP,ACS,PM25,37962.973950
p123,DC,InMAP,ACS,SO2,18638.777620
p123,DC,InMAP,ACS,VOC,2468.707194
p123,DC,InMAP,H6C,NH3,73111.361520
p123,DC,InMAP,H6C,NOX,8858.796489
p123,DC,InMAP,H6C,PM25,97537.696430
p123,DC,InMAP,H6C,SO2,47887.532560
p123,DC,InMAP,H6C,VOC,6341.346985
p123,MD,AP2,ACS,NH3,98010.911960
p123,MD,AP2,ACS,NOX,1545.906740
p123,MD,AP2,ACS,PM25,68823.691945
p123,MD,AP2,ACS,SO2,31704.548162
p123,MD,AP2,ACS,VOC,7231.304631
p123,MD,AP2,H6C,NH3,251820.436717
p123,MD,AP2,H6C,NOX,3970.371604
p123,MD,AP2,H6C,PM25,176828.947677
p123,MD,AP2,H6C,SO2,81457.759109
p123,MD,AP2,H6C,VOC,18578.013350
p123,MD,EASIUR,ACS,NH3,74658.146582
p123,MD,EASIUR,ACS,NOX,14255.343710
p123,MD,EASIUR,ACS,PM25,131234.809028
p123,MD,EASIUR,ACS,SO2,28787.852511
p123,MD,EASIUR,H6C,NH3,191819.564835
p123,MD,EASIUR,H6C,NOX,36625.060970
p123,MD,EASIUR,H6C,PM25,337183.465830
p123,MD,EASIUR,H6C,SO2,73963.816556
p123,MD,InMAP,ACS,NH3,23074.390600
p123,MD,InMAP,ACS,NOX,3094.800861
p123,MD,InMAP,ACS,PM25,30358.331692
p123,MD,InMAP,ACS,SO2,15924.394693
p123,MD,InMAP,ACS,VOC,1997.219231
p123,MD,InMAP,H6C,NH3,59284.069187
p123,MD,InMAP,H6C,NOX,7949.985845
p123,MD,InMAP,H6C,PM25,77998.889865
p123,MD,InMAP,H6C,SO2,40913.397386
p123,MD,InMAP,H6C,VOC,5129.940609
p124,VA,AP2,ACS,NH3,22760.348760
p124,VA,AP2,ACS,NOX,846.432428
p124,VA,AP2,ACS,PM25,26069.698610
p124,VA,AP2,ACS,SO2,22047.303625
p124,VA,AP2,ACS,VOC,2845.737260
p124,VA,AP2,H6C,NH3,58477.193260
p124,VA,AP2,H6C,NOX,2173.193927
p124,VA,AP2,H6C,PM25,66979.992525
p124,VA,AP2,H6C,SO2,56645.147715
p124,VA,AP2,H6C,VOC,7310.060210
p124,VA,EASIUR,ACS,NH3,51816.479805
p124,VA,EASIUR,ACS,NOX,10906.713460
p124,VA,EASIUR,ACS,PM25,83497.477160
p124,VA,EASIUR,ACS,SO2,29644.190590
p124,VA,EASIUR,H6C,NH3,133131.872000
p124,VA,EASIUR,H6C,NOX,28021.337535
p124,VA,EASIUR,H6C,PM25,214530.688450
p124,VA,EASIUR,H6C,SO2,76164.028420
p124,VA,InMAP,ACS,NH3,3903.810820
p124,VA,InMAP,ACS,NOX,754.760737
p124,VA,InMAP,ACS,PM25,5058.519481
p124,VA,InMAP,ACS,SO2,3306.889281
p124,VA,InMAP,ACS,VOC,481.646099
p124,VA,InMAP,H6C,NH3,10028.596326
p124,VA,InMAP,H6C,NOX,1937.659450
p124,VA,InMAP,H6C,PM25,12995.419545
p124,VA,InMAP,H6C,SO2,8494.910181
p124,VA,InMAP,H6C,VOC,1235.938856
p125,DE,AP2,ACS,NH3,78480.978653
p125,DE,AP2,ACS,NOX,1393.717902
p125,DE,AP2,ACS,PM25,62556.332080
p125,DE,AP2,ACS,SO2,31487.828477
p125,DE,AP2,ACS,VOC,6583.618115
p125,DE,AP2,H6C,NH3,201641.667400
p125,DE,AP2,H6C,NOX,3579.348834
p125,DE,AP2,H6C,PM25,160726.055767
p125,DE,AP2,H6C,SO2,80900.935540
p125,DE,AP2,H6C,VOC,16913.895417
p125,DE,EASIUR,ACS,NH3,68324.370127
p125,DE,EASIUR,ACS,NOX,16692.218860
p125,DE,EASIUR,ACS,PM25,126387.240600
p125,DE,EASIUR,ACS,SO2,31287.267393
p125,DE,EASIUR,H6C,NH3,175546.027033
p125,DE,EASIUR,H6C,NOX,42886.188140
p125,DE,EASIUR,H6C,PM25,324728.481200
p125,DE,EASIUR,H6C,SO2,80385.628687
p125,DE,InMAP,ACS,NH3,16813.984566
p125,DE,InMAP,ACS,NOX,2191.387714
p125,DE,InMAP,ACS,PM25,21971.024343
p125,DE,InMAP,ACS,SO2,12226.335147
p125,DE,InMAP,ACS,VOC,1374.134350
p125,DE,InMAP,H6C,NH3,43199.043957
p125,DE,InMAP,H6C,NOX,5628.822780
p125,DE,InMAP,H6C,PM25,56449.161353
p125,DE,InMAP,H6C,SO2,31411.876117
p125,DE,InMAP,H6C,VOC,3529.032302
p126,NJ,AP2,ACS,NH3,265959.927024
p126,NJ,AP2,ACS,NOX,987.048869
p126,NJ,AP2,ACS,PM25,153520.982839
p126,NJ,AP2,ACS,SO2,41523.630684
p126,NJ,AP2,ACS,VOC,15608.673540
p126,NJ,AP2,H6C,NH3,683336.241000
p126,NJ,AP2,H6C,NOX,2534.483434
p126,NJ,AP2,H6C,PM25,394443.916090
p126,NJ,AP2,H6C,SO2,106686.185064
p126,NJ,AP2,H6C,VOC,40102.206756
p126,NJ,EASIUR,ACS,NH3,99121.826482
p126,NJ,EASIUR,ACS,NOX,27916.126318
p126,NJ,EASIUR,ACS,PM25,222961.229781
p126,NJ,EASIUR,ACS,SO2,33695.565630
p126,NJ,EASIUR,H6C,NH3,254674.738495
p126,NJ,EASIUR,H6C,NOX,71724.067610
p126,NJ,EASIUR,H6C,PM25,572858.561710
p126,NJ,EASIUR,H6C,SO2,86573.332444
p126,NJ,InMAP,ACS,NH3,63794.386843
p126,NJ,InMAP,ACS,NOX,3910.220852
p126,NJ,InMAP,ACS,PM25,86093.844066
p126,NJ,InMAP,ACS,SO2,39746.650114
p126,NJ,InMAP,ACS,VOC,2869.125596
p126,NJ,InMAP,H6C,NH3,163907.022323
p126,NJ,InMAP,H6C,NOX,10045.065791
p126,NJ,InMAP,H6C,PM25,221201.601951
p126,NJ,InMAP,H6C,SO2,102120.542334
p126,NJ,InMAP,H6C,VOC,7370.152475
p127,NY,AP2,ACS,NH3,93767.635843
p127,NY,AP2,ACS,NOX,793.915109
p127,NY,AP2,ACS,PM25,54289.048438
p127,NY,AP2,ACS,SO2,20687.874237
p127,NY,AP2,ACS,VOC,5665.866348
p127,NY,AP2,H6C,NH3,240918.076222
p127,NY,AP2,H6C,NOX,2038.259804
p127,NY,AP2,H6C,PM25,139484.707329
p127,NY,AP2,H6C,SO2,53152.330173
p127,NY,AP2,H6C,VOC,14555.891758
p127,NY,EASIUR,ACS,NH3,73948.294079
p127,NY,EASIUR,ACS,NOX,14702.544447
p127,NY,EASIUR,ACS,PM25,125808.558927
p127,NY,EASIUR,ACS,SO2,29270.864807
p127,NY,EASIUR,H6C,NH3,189995.722185
p127,NY,EASIUR,H6C,NOX,37774.065539
p127,NY,EASIUR,H6C,PM25,323241.659295
p127,NY,EASIUR,H6C,SO2,75204.832700
p127,NY,InMAP,ACS,NH3,42468.077823
p127,NY,InMAP,ACS,NOX,5275.463501
p127,NY,InMAP,ACS,PM25,50857.119335
p127,NY,InMAP,ACS,SO2,30639.339604
p127,NY,InMAP,ACS,VOC,3152.020532
p127,NY,InMAP,H6C,NH3,109112.777843
p127,NY,InMAP,H6C,NOX,13552.819497
p127,NY,InMAP,H6C,PM25,130666.961980
p127,NY,InMAP,H6C,SO2,78720.890850
p127,NY,InMAP,H6C,VOC,8097.001845
p128,NY,AP2,ACS,NH3,234734.723275
p128,NY,AP2,ACS,NOX,503.373112
p128,NY,AP2,ACS,PM25,139775.257060
p128,NY,AP2,ACS,SO2,32775.416325
p128,NY,AP2,ACS,VOC,14069.151855
p128,NY,AP2,H6C,NH3,603108.507210
p128,NY,AP2,H6C,NOX,1291.762639
p128,NY,AP2,H6C,PM25,359126.662670
p128,NY,AP2,H6C,SO2,84209.168750
p128,NY,AP2,H6C,VOC,36146.673354
p128,NY,EASIUR,ACS,NH3,90700.124150
p128,NY,EASIUR,ACS,NOX,26516.946640
p128,NY,EASIUR,ACS,PM25,212392.882350
p128,NY,EASIUR,ACS,SO2,34990.428630
p128,NY,EASIUR,H6C,NH3,233036.638100
p128,NY,EASIUR,H6C,NOX,68129.118605
p128,NY,EASIUR,H6C,PM25,545705.029750
p128,NY,EASIUR,H6C,SO2,89900.257870
p128,NY,InMAP,ACS,NH3,20033.911105
p128,NY,InMAP,ACS,NOX,1295.754685
p128,NY,InMAP,ACS,PM25,25512.605510
p128,NY,InMAP,ACS,SO2,12943.514715
p128,NY,InMAP,ACS,VOC,1073.337681
p128,NY,InMAP,H6C,NH3,51472.085570
p128,NY,InMAP,H6C,NOX,3327.649373
p128,NY,InMAP,H6C,PM25,65548.638630
p128,NY,InMAP,H6C,SO2,33254.544370
p128,NY,InMAP,H6C,VOC,2756.187537
p129,VT,AP2,ACS,NH3,17988.095920
p129,VT,AP2,ACS,NOX,405.444633
p129,VT,AP2,ACS,PM25,15403.982958
p129,VT,AP2,ACS,SO2,9913.782402
p129,VT,AP2,ACS,VOC,1782.318095
p129,VT,AP2,H6C,NH3,46215.719014
p129,VT,AP2,H6C,NOX,1040.152433
p129,VT,AP2,H6C,PM25,39576.289883
p129,VT,AP2,H6C,SO2,25470.173764
p129,VT,AP2,H6C,VOC,4577.789490
p129,VT,EASIUR,ACS,NH3,52826.766654
p129,VT,EASIUR,ACS,NOX,8599.209610
p129,VT,EASIUR,ACS,PM25,76205.606970
p129,VT,EASIUR,ACS,SO2,25662.686896
p129,VT,EASIUR,H6C,NH3,135727.628443
p129,VT,EASIUR,H6C,NOX,22092.607448
p129,VT,EASIUR,H6C,PM25,195795.495343
p129,VT,EASIUR,H6C,SO2,65934.246671
p129,VT,InMAP,ACS,NH3,17901.597760
p129,VT,InMAP,ACS,NOX,2069.842798
p129,VT,InMAP,ACS,PM25,21390.368190
p129,VT,InMAP,ACS,SO2,13789.972620
p129,VT,InMAP,ACS,VOC,1668.052266
p129,VT,InMAP,H6C,NH3,45993.477024
p129,VT,InMAP,H6C,NOX,5316.534242
p129,VT,InMAP,H6C,PM25,54957.266291
p129,VT,InMAP,H6C,SO2,35429.370836
p129,VT,InMAP,H6C,VOC,4284.203302
p13,NV,AP2,ACS,NH3,27003.080320
p13,NV,AP2,ACS,NOX,2173.493946
p13,NV,AP2,ACS,PM25,15707.157740
p13,NV,AP2,ACS,SO2,7727.303222
p13,NV,AP2,ACS,VOC,1915.467548
p13,NV,AP2,H6C,NH3,69378.154620
p13,NV,AP2,H6C,NOX,5582.847852
p13,NV,AP2,H6C,PM25,40355.244800
p13,NV,AP2,H6C,SO2,19852.395530
p13,NV,AP2,H6C,VOC,4919.893867
p13,NV,EASIUR,ACS,NH3,9732.834011
p13,NV,EASIUR,ACS,NOX,1813.041216
p13,NV,EASIUR,ACS,PM25,30592.230060
p13,NV,EASIUR,ACS,SO2,9835.310997
p13,NV,EASIUR,H6C,NH3,25005.258320
p13,NV,EASIUR,H6C,NOX,4656.727211
p13,NV,EASIUR,H6C,PM25,78599.851050
p13,NV,EASIUR,H6C,SO2,25268.555130
p13,NV,InMAP,ACS,NH3,15970.234640
p13,NV,InMAP,ACS,NOX,5218.171202
p13,NV,InMAP,ACS,PM25,29499.570100
p13,NV,InMAP,ACS,SO2,8958.381744
p13,NV,InMAP,ACS,VOC,2306.170550
p13,NV,InMAP,H6C,NH3,41031.175170
p13,NV,InMAP,H6C,NOX,13405.616890
p13,NV,InMAP,H6C,PM25,75792.451220
p13,NV,InMAP,H6C,SO2,23015.437820
p13,NV,InMAP,H6C,VOC,5923.737327
p130,NH,AP2,ACS,NH3,21714.242019
p130,NH,AP2,ACS,NOX,463.636203
p130,NH,AP2,ACS,PM25,24063.685935
p130,NH,AP2,ACS,SO2,12263.412698
p130,NH,AP2,ACS,VOC,2700.607915
p130,NH,AP2,H6C,NH3,55789.403806
p130,NH,AP2,H6C,NOX,1189.665559
p130,NH,AP2,H6C,PM25,61825.891608
p130,NH,AP2,H6C,SO2,31507.140439
p130,NH,AP2,H6C,VOC,6937.175582
p130,NH,EASIUR,ACS,NH3,64476.728686
p130,NH,EASIUR,ACS,NOX,12545.460040
p130,NH,EASIUR,ACS,PM25,111323.631150
p130,NH,EASIUR,ACS,SO2,28819.309780
p130,NH,EASIUR,H6C,NH3,165660.181090
p130,NH,EASIUR,H6C,NOX,32231.812063
p130,NH,EASIUR,H6C,PM25,286025.154920
p130,NH,EASIUR,H6C,SO2,74044.640544
p130,NH,InMAP,ACS,NH3,22807.766578
p130,NH,InMAP,ACS,NOX,1819.083790
p130,NH,InMAP,ACS,PM25,29221.328477
p130,NH,InMAP,ACS,SO2,16403.369531
p130,NH,InMAP,ACS,VOC,1730.907522
p130,NH,InMAP,H6C,NH3,58599.025100
p130,NH,InMAP,H6C,NOX,4672.252553
p130,NH,InMAP,H6C,PM25,75077.557716
p130,NH,InMAP,H6C,SO2,42144.039987
p130,NH,InMAP,H6C,VOC,4445.698959
p131,MA,AP2,ACS,NH3,68819.028283
p131,MA,AP2,ACS,NOX,405.281708
p131,MA,AP2,ACS,PM25,42874.179315
p131,MA,AP2,ACS,SO2,16134.531213
p131,MA,AP2,ACS,VOC,4629.947460
p131,MA,AP2,H6C,NH3,176816.965199
p131,MA,AP2,H6C,NOX,1039.733825
p131,MA,AP2,H6C,PM25,110156.185041
p131,MA,AP2,H6C,SO2,41453.306656
p131,MA,AP2,H6C,VOC,11894.278220
p131,MA,EASIUR,ACS,NH3,76926.077729
p131,MA,EASIUR,ACS,NOX,17049.692998
p131,MA,EASIUR,ACS,PM25,150459.141804
p131,MA,EASIUR,ACS,SO2,33010.919090
p131,MA,EASIUR,H6C,NH3,197646.619743
p131,MA,EASIUR,H6C,NOX,43804.655806
p131,MA,EASIUR,H6C,PM25,386577.047679
p131,MA,EASIUR,H6C,SO2,84814.252152
p131,MA,InMAP,ACS,NH3,21454.783741
p131,MA,InMAP,ACS,NOX,1742.751739
p131,MA,InMAP,ACS,PM25,26769.034544
p131,MA,InMAP,ACS,SO2,14830.241476
p131,MA,InMAP,ACS,VOC,1571.614952
p131,MA,InMAP,H6C,NH3,55122.770851
p131,MA,InMAP,H6C,NOX,4476.130616
p131,MA,InMAP,H6C,PM25,68776.814664
p131,MA,InMAP,H6C,SO2,38102.160866
p131,MA,InMAP,H6C,VOC,4036.424386
p132,CT,AP2,ACS,NH3,84178.447365
p132,CT,AP2,ACS,NOX,464.198324
p132,CT,AP2,ACS,PM25,50077.918524
p132,CT,AP2,ACS,SO2,18425.650541
p132,CT,AP2,ACS,VOC,5402.865942
p132,CT,AP2,H6C,NH3,216280.323050
p132,CT,AP2,H6C,NOX,1191.109832
p132,CT,AP2,H6C,PM25,128664.940912
p132,CT,AP2,H6C,SO2,47339.939566
p132,CT,AP2,H6C,VOC,13880.157924
p132,CT,EASIUR,ACS,NH3,81853.512474
p132,CT,EASIUR,ACS,NOX,18890.900945
p132,CT,EASIUR,ACS,PM25,156665.863075
p132,CT,EASIUR,ACS,SO2,31139.078311
p132,CT,EASIUR,H6C,NH3,210306.806912
p132,CT,EASIUR,H6C,NOX,48535.319620
p132,CT,EASIUR,H6C,PM25,402524.139237
p132,CT,EASIUR,H6C,SO2,80004.882601
p132,CT,InMAP,ACS,NH3,25533.845395
p132,CT,InMAP,ACS,NOX,2102.538557
p132,CT,InMAP,ACS,PM25,31025.247976
p132,CT,InMAP,ACS,SO2,17206.441107
p132,CT,InMAP,ACS,VOC,1773.695231
p132,CT,InMAP,H6C,NH3,65603.210824
p132,CT,InMAP,H6C,NOX,5400.540314
p132,CT,InMAP,H6C,PM25,79712.415336
p132,CT,InMAP,H6C,SO2,44207.392824
p132,CT,InMAP,H6C,VOC,4555.634540
p133,RI,AP2,ACS,NH3,72254.317158
p133,RI,AP2,ACS,NOX,459.596300
p133,RI,AP2,ACS,PM25,49744.966220
p133,RI,AP2,ACS,SO2,18069.510984
p133,RI,AP2,ACS,VOC,5367.906802
p133,RI,AP2,H6C,NH3,185643.342900
p133,RI,AP2,H6C,NOX,1179.285730
p133,RI,AP2,H6C,PM25,127809.477834
p133,RI,AP2,H6C,SO2,46424.900880
p133,RI,AP2,H6C,VOC,13790.336491
p133,RI,EASIUR,ACS,NH3,84544.383864
p133,RI,EASIUR,ACS,NOX,17325.801632
p133,RI,EASIUR,ACS,PM25,158182.128500
p133,RI,EASIUR,ACS,SO2,32327.277284
p133,RI,EASIUR,H6C,NH3,217220.533260
p133,RI,EASIUR,H6C,NOX,44514.068952
p133,RI,EASIUR,H6C,PM25,406419.919740
p133,RI,EASIUR,H6C,SO2,83057.753346
p133,RI,InMAP,ACS,NH3,13146.219310
p133,RI,InMAP,ACS,NOX,971.602168
p133,RI,InMAP,ACS,PM25,16354.418570
p133,RI,InMAP,ACS,SO2,8897.096935
p133,RI,InMAP,ACS,VOC,944.989893
p133,RI,InMAP,H6C,NH3,33775.358592
p133,RI,InMAP,H6C,NOX,2494.795820
p133,RI,InMAP,H6C,PM25,42018.268998
