,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100
p41,0,0,9.171,13.167,17.864,24.706,28.42,33.298,55.135,71.217,86.864,106.584,132.196,142.345,204.438,241.352,261.899,281.811,304.426,334.272,360.455,384.702,407.779,429.146,448.139,464.349,477.685,488.321,496.589,502.885,507.605,511.1,513.666,515.536,516.893,517.873,518.58,519.089,519.454,519.717,519.905,520.04,520.136,520.206,520.255,520.291
p42,0,0,0.006,0.023,0.095,0.331,0.832,1.891,4.52,9.851,19.67,36.679,60.96,86.627,122.886,159.203,191.761,216.001,234.331,242.404,249.125,252.851,254.837,255.843,256.335,256.569,256.679,256.731,256.755,256.766,256.772,256.774,256.775,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776,256.776
p43,0,0,16.826,77.923,85.636,98.677,106.47,120.705,174.048,256.984,395.658,628.462,969.719,1347.573,1932.332,2551.051,3167.832,3660.664,4005.517,4116.644,4207.955,4249.797,4269.06,4277.974,4282.112,4284.036,4284.932,4285.349,4285.544,4285.634,4285.677,4285.696,4285.705,4285.71,4285.712,4285.713,4285.713,4285.713,4285.713,4285.713,4285.714,4285.714,4285.714,4285.714,4285.714,4285.714
p44,0,0,0.297,1.736,1.976,2.599,2.993,3.659,6.373,10.352,17.222,29.327,47.368,65.068,92.127,116.457,136.35,149.775,159.582,163.044,165.851,167.195,167.829,168.127,168.265,168.33,168.36,168.375,168.381,168.384,168.386,168.386,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387,168.387
p45,0,0,7.845,15.994,20.375,27.64,36.385,48.126,71.913,102.376,137.202,174.368,213.666,247.356,309.026,366.944,420.374,471.365,527.444,583.594,643.201,702.73,760.442,814.024,861.38,901.227,933.265,958.016,976.498,989.918,999.448,1006.104,1010.694,1013.831,1015.961,1017.402,1018.373,1019.026,1019.465,1019.759,1019.957,1020.09,1020.178,1020.238,1020.278,1020.304
p46,0.037516039,2.141675603,2.867,4.264,5.495,8.16,12.88,18.915,32.366,56.795,94.493,145.439,201.183,254.186,299.237,337.044,365.43,391.953,416.299,445.328,472.553,488.304,497.383,502.809,506.28,508.693,510.503,511.94,513.122,514.113,514.948,515.653,516.247,516.745,517.161,517.508,517.795,518.032,518.227,518.388,518.52,518.628,518.716,518.788,518.846,518.894
p47,0.078073811,5.728407335,19.493,24.706,29.044,37.92,47.049,52.134,59.68,68.176,77.781,86.771,95.697,104.954,114.24,123.389,129.766,136.633,142.761,148.227,153.41,156.333,158.055,159.124,159.821,160.291,160.616,160.844,161.005,161.12,161.202,161.26,161.302,161.332,161.354,161.369,161.38,161.388,161.393,161.397,161.4,161.402,161.404,161.405,161.406,161.406
p48,0.015890803,2.982025329,11.961,26.9,27.623,29.656,31.733,34.204,39.031,46.456,57.021,69.096,81.621,93.708,104.836,115.192,123.006,128.896,133.84,137.807,141.474,143.784,145.3,146.332,147.058,147.578,147.956,148.231,148.433,148.58,148.688,148.766,148.822,148.862,148.891,148.912,148.927,148.938,148.946,148.951,148.955,148.958,148.96,148.961,148.962,148.963
p49,0,0,0.55,0.785,1.278,1.941,1.979,1.993,2.074,2.333,2.925,3.454,4.098,4.895,5.896,7.191,8.512,9.819,11.15,12.261,13.244,13.899,14.35,14.692,14.994,15.293,15.583,15.839,16.036,16.171,16.256,16.306,16.335,16.351,16.361,16.365,16.368,16.37,16.371,16.371,16.371,16.371,16.371,16.371,16.372,16.372
p5,5.718094633,41.9169796,53.254,88.366,116.961,152.393,185.039,219.901,280.999,367.602,480.829,613.516,761.63,929.207,1108.259,1295.988,1477.224,1653.484,1822.756,1984.012,2132.389,2253.771,2350.526,2425.877,2483.36,2526.435,2558.232,2581.414,2598.15,2610.14,2618.681,2624.74,2629.027,2632.056,2634.193,2635.7,2636.763,2637.513,2638.042,2638.415,2638.678,2638.864,2638.996,2639.088,2639.154,2639.201
p50,0,0,33.628,50.622,63.706,86.863,105.495,130.576,173.11,227.877,309.751,387.584,475.509,580.644,705.284,854.474,999.479,1137.528,1263.506,1370.681,1459.472,1516.534,1553.092,1576.31,1590.968,1600.18,1605.923,1609.447,1611.559,1612.793,1613.497,1613.893,1614.112,1614.234,1614.3,1614.337,1614.357,1614.368,1614.374,1614.377,1614.379,1614.38,1614.381,1614.381,1614.381,1614.381
p51,0,0,1.095,1.644,2.531,4.177,4.974,5.825,7.875,11.625,18.274,26.371,39.762,60.867,92.206,138.063,196.335,265.189,339.73,411.88,477.806,529.402,568.413,597.532,619.023,634.447,645.016,651.868,656.084,658.572,659.997,660.798,661.243,661.489,661.624,661.698,661.738,661.761,661.773,661.779,661.783,661.785,661.786,661.787,661.787,661.787
p52,0,0,2.203,3.293,4.051,5.26,6.013,6.855,11.082,15.735,20.321,24.417,28.423,29.764,37.627,41.727,44.003,45.876,47.967,50.208,52.337,54.289,56.069,57.639,58.975,60.074,60.951,61.635,62.157,62.549,62.84,63.054,63.21,63.323,63.405,63.464,63.507,63.537,63.559,63.575,63.586,63.594,63.6,63.604,63.607,63.609
p53,0,0,33.07,49.759,57.007,68.073,76.934,87.35,130.613,181.522,238.654,302.584,373.364,413.646,553.92,648.758,719.207,784.068,855.47,929.677,1002.743,1071.015,1133.62,1189.051,1236.347,1275.346,1306.557,1330.915,1349.538,1363.547,1373.951,1381.605,1387.195,1391.255,1394.192,1396.312,1397.838,1398.934,1399.722,1400.287,1400.693,1400.983,1401.191,1401.34,1401.447,1401.524
p54,0.094914678,2.754555382,22.989,31.147,32.439,35.108,37.621,40.806,52.761,69.302,91.438,118.743,153.183,181.842,252.63,311.912,357.829,400.914,444.95,486.675,524.844,556.752,583.148,604.458,621.23,634.144,643.911,651.194,656.568,660.502,663.363,665.436,666.933,668.011,668.787,669.344,669.743,670.03,670.236,670.383,670.488,670.564,670.618,670.657,670.685,670.705
p55,0.007026694,1.701282147,12.989,17.76,20.246,25.066,27.921,30.147,43.331,58.197,73.71,92.355,112.935,128.273,170.47,206.055,235.951,263.785,292.278,318.92,343.834,365.383,383.56,398.427,410.244,419.409,426.38,431.6,435.463,438.298,440.363,441.861,442.944,443.724,444.286,444.689,444.979,445.187,445.336,445.442,445.519,445.574,445.613,445.641,445.661,445.676
p56,0,0,2.168,2.711,2.993,3.946,5.116,7.788,15.111,27.551,43.354,63.903,95.654,140.1,186.721,230.878,264.902,292.147,315.066,331.54,345.548,354.17,363.523,371.764,376.092,377.563,377.964,378.065,378.09,378.096,378.097,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098,378.098
p57,0.681239627,1.237219526,2.013,5.147,5.277,5.686,6.146,6.9,8.335,10.471,13.338,16.489,19.983,24.172,29.505,36.138,43.274,50.419,57.217,63.27,68.556,72.56,75.677,78.165,80.114,81.558,82.569,83.252,83.711,84.021,84.235,84.383,84.487,84.56,84.612,84.649,84.675,84.694,84.707,84.716,84.723,84.728,84.731,84.734,84.736,84.737
p58,2.973437518,3.310040121,25.445,62.84,63.936,118.126,138.058,144.782,177.573,227.66,289.359,348.971,415.009,533.224,671.691,806.685,890.418,956.664,1044.863,1118.946,1187.972,1220.717,1231.971,1234.915,1235.699,1235.945,1236.034,1236.069,1236.083,1236.088,1236.091,1236.091,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092,1236.092
p59,0.225905501,1.216504631,2.218,7.682,9.758,14.391,21.577,31.486,44.523,58.39,71.554,81.188,88.656,94.459,99.997,107.046,111.245,114.666,117.852,120.599,123.441,125.347,126.679,127.633,128.326,128.831,129.198,129.464,129.657,129.796,129.895,129.967,130.018,130.055,130.081,130.099,130.113,130.122,130.129,130.134,130.137,130.14,130.141,130.143,130.143,130.144
p6,0.246640299,9.779499557,11.725,19.643,25.252,31.532,39.014,47.249,59.999,77.87,101.147,129.028,160.856,197.653,237.898,281.039,323.543,365.59,406.778,446.039,482.703,512.934,537.201,556.203,570.747,581.647,589.669,595.482,599.645,602.601,604.688,606.156,607.187,607.91,608.417,608.772,609.022,609.197,609.32,609.407,609.468,609.511,609.541,609.562,609.577,609.588
p60,0.01193542,0.447235192,1.805,4.312,4.955,6.297,8.194,10.803,14.142,17.926,21.726,24.779,27.219,29.295,31.26,33.226,34.766,36.072,37.384,38.556,39.763,40.588,41.165,41.576,41.87,42.083,42.236,42.346,42.425,42.482,42.523,42.552,42.573,42.588,42.598,42.606,42.611,42.615,42.618,42.62,42.621,42.622,42.623,42.624,42.624,42.624
p61,0.007968921,0.746904448,1.63,4.383,5.521,7.871,11.598,16.73,23.284,30.504,37.427,42.853,47.036,50.958,54.244,58.129,61.041,63.555,65.949,68.147,70.173,71.627,72.686,73.461,74.028,74.442,74.742,74.96,75.116,75.229,75.309,75.367,75.408,75.438,75.459,75.474,75.484,75.492,75.498,75.501,75.504,75.506,75.508,75.509,75.509,75.51
p62,0.064115463,0.41323642,1.152,3.437,4.645,7.13,10.921,15.76,21.504,27.484,33.222,37.526,40.733,43.432,46.108,48.681,50.604,52.255,53.855,55.294,56.79,57.791,58.485,58.978,59.332,59.588,59.772,59.905,60.001,60.069,60.119,60.154,60.179,60.197,60.21,60.219,60.226,60.23,60.234,60.236,60.238,60.239,60.24,60.241,60.241,60.241
p63,0.201813968,12.24810532,25.804,69.81,85.048,124.437,184.974,266.005,382.186,524.205,678.728,811.318,921.738,1014.121,1094.347,1170.575,1224.9,1267.065,1306.445,1340.739,1374.251,1394.981,1408.468,1417.694,1424.262,1429.025,1432.458,1434.9,1436.624,1437.843,1438.706,1439.32,1439.757,1440.068,1440.29,1440.448,1440.561,1440.642,1440.699,1440.74,1440.769,1440.79,1440.805,1440.815,1440.823,1440.828
p64,0.017288812,5.864901897,9.856,28.748,35.237,51.659,74.611,107.775,150.62,201.188,256.274,306.08,353.054,400.274,445.801,489.316,521.205,545.145,564.795,580.759,595.988,604.993,610.55,614.14,616.549,618.209,619.372,620.197,620.784,621.203,621.502,621.716,621.869,621.978,622.056,622.112,622.151,622.18,622.2,622.214,622.224,622.232,622.237,622.241,622.243,622.245
p65,0.074564522,6.345614295,8.61,23.664,26.68,38.065,54.639,75.714,112.276,165.31,235.936,306.923,372.06,429.519,478.938,522.749,553.172,577.27,596.786,612.735,628.912,639.154,645.954,650.642,653.954,656.322,658.025,659.252,660.134,660.768,661.223,661.549,661.783,661.949,662.068,662.153,662.214,662.257,662.288,662.31,662.326,662.337,662.345,662.351,662.355,662.358
p66,0.00687512,2.876324151,4.383,11.894,11.94,12.87,13.236,13.511,15.014,19.713,29.606,45.935,69.575,100.643,136.483,171.684,198.845,217.723,231.644,241.701,249.949,254.449,257.042,258.695,259.848,260.671,261.239,261.618,261.87,262.043,262.164,262.252,262.315,262.362,262.396,262.42,262.438,262.451,262.46,262.467,262.472,262.475,262.478,262.479,262.481,262.481
p67,0.049593126,5.42192879,16.091,46.415,66.648,111.597,177.905,260.596,363.254,471.011,576.319,652.491,711.5,755.42,797.919,835.93,865.451,889.283,912.974,935.033,957.293,971.19,980.25,986.367,990.598,993.568,995.671,997.167,998.233,998.994,999.536,999.924,1000.2,1000.397,1000.538,1000.638,1000.709,1000.76,1000.797,1000.822,1000.841,1000.854,1000.863,1000.87,1000.875,1000.878
p68,0,0,0.69,3.355,4.391,5.857,6.646,8.239,14.016,23.072,38.363,63.893,99.734,137.225,191.679,243.877,291.274,327.427,353.483,361.737,368.609,371.703,373.102,373.742,374.036,374.173,374.236,374.266,374.279,374.286,374.289,374.29,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291,374.291
p69,0,0,2.088,4.189,7.309,11.689,15.705,20.589,31.301,45.02,61.589,80.368,100.727,118.527,148.025,174.472,197.843,219.191,241.493,263.452,286.603,309.388,331.316,351.58,369.416,384.365,396.337,405.552,412.41,417.374,420.892,423.344,425.032,426.185,426.968,427.497,427.853,428.093,428.254,428.362,428.434,428.483,428.515,428.537,428.552,428.562
p7,0.042888671,1.603520842,3.671,6.081,7.085,8.3,9.678,11.246,13.23,15.728,18.859,22.455,26.379,30.758,35.354,40.088,44.593,49.002,53.195,57.205,60.883,63.864,66.221,68.043,69.425,70.455,71.213,71.764,72.162,72.447,72.65,72.795,72.897,72.97,73.021,73.058,73.083,73.101,73.114,73.123,73.13,73.134,73.138,73.14,73.142,73.143
p70,0,0,10.868,20.708,33.343,52.379,71.905,97.446,151.513,219.95,301.219,393.312,494.362,586.998,738.747,882.604,1014.608,1137.963,1268.609,1395.02,1524.949,1651.821,1773.112,1884.97,1983.669,2066.821,2133.852,2185.779,2224.646,2252.923,2273.033,2287.089,2296.79,2303.423,2307.929,2310.976,2313.031,2314.413,2315.342,2315.966,2316.384,2316.664,2316.852,2316.978,2317.063,2317.119
p71,0.048889458,0.2611806,2.52,3.361,3.576,4.085,4.364,4.622,6.532,8.901,11.807,14.978,18.553,20.745,28.046,33.299,37.297,41.149,45.049,48.751,52.135,55.056,57.522,59.541,61.146,62.392,63.34,64.05,64.575,64.96,65.241,65.445,65.592,65.698,65.774,65.829,65.868,65.897,65.917,65.931,65.942,65.949,65.955,65.958,65.961,65.963
p72,0.051234245,4.395968779,42.73,57.676,63.497,74.043,78.401,83.747,118.202,161.814,213.846,275.049,345.762,391.099,540.27,653.78,743.131,823.381,905.151,977.437,1045.344,1103.407,1151.746,1190.792,1221.486,1245.077,1262.889,1276.154,1285.929,1293.077,1298.274,1302.036,1304.752,1306.708,1308.114,1309.124,1309.849,1310.369,1310.742,1311.009,1311.2,1311.337,1311.435,1311.506,1311.556,1311.592
p73,0,0.247787902,2.682,3.575,3.637,3.802,3.874,3.962,4.835,6.192,7.944,10.015,12.494,14.27,19.37,23.749,27.493,31.198,35.169,38.918,42.627,46.007,48.961,51.441,53.45,55.032,56.248,57.166,57.849,58.352,58.72,58.987,59.181,59.321,59.421,59.494,59.546,59.583,59.61,59.629,59.642,59.652,59.659,59.664,59.668,59.671
p74,0,0,1.036,2.42,2.529,2.723,2.923,3.196,3.639,4.292,5.209,6.234,7.358,8.613,9.984,11.3,12.425,13.552,14.604,15.833,17.05,17.756,18.187,18.481,18.723,18.982,19.286,19.618,19.927,20.169,20.33,20.426,20.478,20.506,20.52,20.527,20.53,20.532,20.533,20.533,20.533,20.533,20.533,20.534,20.534,20.534
p75,0.049455912,2.342791084,2.213,3.308,4.375,6.638,10.209,12.455,20.387,34.484,57.069,88.479,125.278,163.53,200.138,234.924,264.944,293.722,319.676,346.386,370.42,385.399,394.884,401.226,405.785,409.292,412.131,414.499,416.502,418.204,419.649,420.87,421.898,422.759,423.476,424.072,424.564,424.97,425.303,425.577,425.801,425.985,426.134,426.256,426.356,426.437
p76,0.004075108,2.41498537,3.98,6.186,8.802,13.907,22.084,34.072,54.659,87.151,134.31,193.929,256.434,314.849,365.647,410.846,446.399,479.87,510.247,546.751,581.697,603.012,616.367,625.208,631.477,636.235,640.047,643.208,645.877,648.146,650.074,651.707,653.084,654.239,655.204,656.006,656.671,657.219,657.67,658.041,658.345,658.594,658.797,658.962,659.098,659.208
p77,0,0.829536661,1.167,1.724,2.264,3.404,5.378,8.302,14.244,24.536,40.125,60.388,81.793,101.489,117.808,131.246,141.05,150.207,158.461,168.582,178.372,183.989,187.259,189.272,190.614,191.587,192.343,192.958,193.472,193.907,194.276,194.589,194.854,195.077,195.263,195.419,195.549,195.656,195.744,195.817,195.877,195.926,195.967,195.999,196.026,196.048
p78,0.044142199,1.68559734,2.147,3.207,4.698,7.656,12.91,21.328,35.734,57.618,87.38,122.34,157.441,188.636,215.207,237.377,253.117,268.03,280.851,297.256,312.685,321.367,326.307,329.266,331.185,332.546,333.59,334.436,335.145,335.75,336.268,336.712,337.092,337.415,337.689,337.92,338.113,338.275,338.409,338.521,338.613,338.688,338.751,338.802,338.844,338.878
p79,0.101972038,4.785413941,6.337,9.738,15.471,26.632,46.195,80.202,135.915,219.716,329.408,451.795,567.708,669.664,758.299,834.636,890.686,944.6,994.442,1053.806,1111.571,1146.553,1168.784,1183.928,1194.967,1203.494,1210.38,1216.102,1220.929,1225.02,1228.486,1231.414,1233.875,1235.934,1237.649,1239.071,1240.247,1241.216,1242.012,1242.665,1243.199,1243.636,1243.993,1244.284,1244.521,1244.714
p8,0.819524,8.793521013,33.614,55.404,56.056,57.041,57.924,58.577,59.331,60.184,61.188,62.043,62.744,63.473,64.152,64.777,65.224,65.581,65.97,66.421,66.762,66.967,67.088,67.158,67.199,67.222,67.236,67.244,67.248,67.251,67.252,67.253,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254,67.254
p80,0.355709642,8.406996517,11.257,20.813,22.262,38.407,89.665,89.789,184.523,427.817,791.936,1173.962,1486.666,1793.983,2138.194,2447.586,2621.046,2768.469,2892.438,2902.131,2918.27,2922.493,2923.669,2924.195,2924.527,2924.669,2924.711,2924.722,2924.725,2924.725,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726,2924.726
p81,0.090199905,0.960017493,3.496,6.166,6.218,6.451,6.983,7.201,8.226,9.545,11.685,16.94,32.418,71.882,138.746,214.791,280.456,346.402,408.605,417.192,426.115,431.744,435.377,437.294,438.043,438.272,438.333,438.349,438.352,438.353,438.353,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354,438.354
p82,0,0.338281606,0.812,1.444,1.444,1.458,1.514,1.514,1.651,2.013,2.681,3.764,6.387,12.412,20.645,28.546,36.486,50.508,75.251,78.972,82.229,83.95,85.084,86.16,87.016,87.396,87.51,87.539,87.547,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549,87.549
p83,0.035923054,0.394704384,1.772,3.095,3.095,3.097,3.097,3.097,3.097,3.097,3.304,4.461,8.624,20.124,40.745,64.636,85.584,108.112,132.312,135.823,139.74,142.564,144.317,145.359,145.836,145.994,146.038,146.049,146.051,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052,146.052
p84,0,0.93922519,7.972,10.68,11.049,12.117,12.605,12.981,17.701,23.581,30.645,38.913,48.387,54.277,75.075,90.654,102.765,114.821,127.855,140.745,153.203,164.279,173.906,181.985,188.537,193.7,197.672,200.672,202.907,204.554,205.758,206.633,207.267,207.724,208.054,208.291,208.461,208.583,208.67,208.733,208.778,208.81,208.833,208.85,208.862,208.87
p85,0,0,3.593,4.726,4.768,4.946,5.155,5.421,6.531,10.481,27.198,74.605,176.477,326.256,462.71,579.849,674.482,758.777,829.791,877.249,912.068,922.538,926.536,928.452,929.163,929.369,929.423,929.436,929.439,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44,929.44
p86,0,0,5.218,12.927,13.005,13.339,13.457,13.605,14.216,15.484,17.898,21.482,26.255,39.062,60.444,80.429,89.803,93.897,99.927,107.129,116.089,121.66,123.735,124.276,124.413,124.452,124.464,124.468,124.47,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471,124.471
p87,0,0,0.541,1.055,2.591,4.913,7.953,11.697,16.917,24.79,38.67,65.934,119.903,219.525,365.281,544.343,596.264,645.158,689.255,729.873,764.813,789.7,807.377,820.275,830.416,839.129,847.173,855.017,862.872,870.749,878.625,886.481,894.268,901.905,909.298,916.353,922.992,929.15,934.788,939.885,944.437,948.461,951.983,955.037,957.666,959.913
p88,0,0,0.006,0.012,0.03,0.092,0.222,0.515,1.363,3.583,8.954,21.763,48.7,97.985,165.235,236.415,255.351,268.75,278.478,286.22,291.894,294.546,295.748,296.3,296.581,296.759,296.903,297.046,297.199,297.369,297.557,297.765,297.992,298.237,298.498,298.771,299.054,299.343,299.632,299.919,300.199,300.467,300.722,300.96,301.18,301.379
p89,0,0,0.199,0.406,0.65,1.053,1.407,1.93,3.246,6.906,17.548,45.155,94.373,149.36,193.392,227.03,249.597,264.522,278.152,293.34,307.562,316.173,323.178,329.792,336.314,342.808,349.307,355.693,361.581,366.801,371.43,375.537,379.162,382.334,385.084,387.451,389.472,391.187,392.634,393.848,394.863,395.708,396.408,396.988,397.466,397.859
p9,430.9401092,716.7919976,1342.56,2643.466,2894.447,3227.498,3471.136,3639.559,3834.995,4050.361,4299.196,4491.714,4647.703,4795.596,4919.3,5025.029,5092.802,5158.103,5215.625,5273.55,5325.089,5356.661,5375.806,5387.352,5394.296,5398.469,5400.977,5402.485,5403.393,5403.941,5404.272,5404.472,5404.593,5404.666,5404.71,5404.738,5404.754,5404.764,5404.77,5404.774,5404.776,5404.778,5404.778,5404.779,5404.779,5404.779
p90,0,0,1.703,3.333,4.468,6.665,8.705,10.224,12.503,16.956,27.581,52.057,94.788,137.891,167.024,187.6,201.598,213.68,227.479,243.873,259.676,272.017,283.261,294.087,304.648,314.89,324.682,333.895,342.42,350.189,357.169,363.357,368.78,373.483,377.524,380.97,383.886,386.339,388.393,390.105,391.525,392.7,393.67,394.469,395.125,395.663
p91,0.434143915,2.552060478,4.921,9.468,18.153,37.477,65.396,99.897,146.548,207.746,281.092,350.57,408.095,456.243,495.165,528.59,550.087,570.386,593.358,624.145,650.586,665.719,675.307,682.181,687.462,691.374,694.054,695.812,696.97,697.747,698.281,698.654,698.916,699.102,699.235,699.33,699.397,699.445,699.48,699.505,699.522,699.535,699.544,699.55,699.555,699.558
p92,0.114763759,35.8,56.494,74.347,77.986,84.481,88.041,91.931,98.355,108.339,124.011,143.522,167.301,197.237,234.768,281.5,337.962,404.52,482.497,573.132,673.747,777.918,882.001,982.234,1075.316,1158.835,1231.462,1292.893,1343.632,1384.712,1417.429,1443.144,1463.143,1478.568,1490.39,1499.405,1506.255,1511.443,1515.365,1518.324,1520.553,1522.231,1523.492,1524.44,1525.153,1525.687
p93,0,0,8.841,11.452,11.755,12.283,12.717,13.217,14.142,15.609,17.904,21.186,25.647,31.585,39.061,48.015,57.886,68.196,78.644,89.173,99.399,108.386,116.085,122.543,127.858,132.162,135.603,138.329,140.476,142.161,143.481,144.514,145.324,145.959,146.461,146.86,147.178,147.434,147.64,147.807,147.942,148.052,148.142,148.215,148.274,148.322
p94,0.872693419,21.5,29.56,36.65,42.67,55.418,64.292,73.301,87.649,108.986,139.066,176.28,198.651,225.574,257.078,294.347,336.184,385.086,442.855,512.773,592.214,678.535,770.985,868.234,968.389,1069.134,1167.971,1262.508,1350.72,1431.117,1502.819,1565.524,1619.41,1665.013,1703.096,1734.535,1760.23,1781.047,1797.781,1811.139,1821.732,1830.082,1836.628,1841.734,1845.7,1848.769
p95,0,0,0.484,15.008,31.068,75.981,153.791,263.952,315.303,369.216,420.94,459.472,487.505,508.937,528.579,546.099,555.97,567.775,583.719,603.944,618.783,625.529,628.536,629.868,630.46,630.726,630.847,630.903,630.93,630.943,630.949,630.952,630.954,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955,630.955
p96,0,0,0.992,35.971,83.255,189.986,365.709,591.932,694.013,797.649,902.854,985.084,1048.346,1097.87,1144.032,1180.591,1203.393,1230.253,1265.098,1309.221,1342.933,1360.234,1369.471,1374.652,1377.802,1379.837,1381.076,1381.742,1382.066,1382.214,1382.28,1382.309,1382.322,1382.328,1382.33,1382.331,1382.332,1382.332,1382.332,1382.332,1382.332,1382.332,1382.332,1382.332,1382.332,1382.332
p97,1.601205543,22.69234846,58.888,78.615,107.639,191.632,258.259,317.939,399.46,520.095,701.529,921.692,1197.395,1532.795,1894.229,2258.204,2571.208,2833.605,3050.624,3236.136,3378.194,3468.362,3525.42,3561.242,3583.564,3597.396,3605.934,3611.191,3614.422,3616.407,3617.625,3618.372,3618.83,3619.111,3619.284,3619.389,3619.454,3619.494,3619.518,3619.533,3619.542,3619.548,3619.552,3619.554,3619.555,3619.556
p98,1.314698949,24.50765154,54.546,70.305,103.607,202.331,288.747,352.742,442.192,558.494,727.024,920.535,1156.795,1453.052,1783.06,2126.349,2427.102,2691.904,2916.532,3116.321,3270.601,3369.528,3432.545,3472.257,3497.044,3512.416,3521.911,3527.76,3531.357,3533.566,3534.921,3535.753,3536.264,3536.577,3536.768,3536.886,3536.958,3537.002,3537.03,3537.046,3537.056,3537.063,3537.067,3537.069,3537.07,3537.071
p99,0,0,6.921,20.868,25.226,40.441,49.51,54.373,73.813,108.852,162.974,226.09,295.688,372.908,454.195,534.488,595.052,646.741,693.782,743.245,778.636,796.115,805.384,810.879,814.369,816.512,817.72,818.35,818.659,818.806,818.875,818.906,818.921,818.928,818.931,818.932,818.933,818.933,818.933,818.933,818.933,818.933,818.933,818.933,818.933,818.933
