from_ba,to_ba,WKT
p160,p162,"LINESTRING(-108.208882912979 25.7583536915336,-105.968131351165 23.196510250903)"
p162,p160,"LINESTRING(-105.968131351165 23.196510250903,-108.208882912979 25.7583536915336)"
p42,p44,"LINESTRING(-95.98582149 47.536101,-95.78703761 44.44491793)"
p44,p42,"LINESTRING(-95.78703761 44.44491793,-95.98582149 47.536101)"
p119,p128,"LINESTRING(-77.8602452002939 40.7937231639167,-73.25742602 40.80816052)"
p128,p119,"LINESTRING(-73.25742602 40.80816052,-77.8602452002939 40.7937231639167)"
p120,p128,"LINESTRING(-77.64509082 39.93275473,-73.25742602 40.80816052)"
p128,p120,"LINESTRING(-73.25742602 40.80816052,-77.64509082 39.93275473)"
p118,p120,"LINESTRING(-79.9416168637136 37.2711991567412,-77.64509082 39.93275473)"
p120,p118,"LINESTRING(-77.64509082 39.93275473,-79.9416168637136 37.2711991567412)"
p34,p39,"LINESTRING(-104.791986329959 38.8629624624115,-103.660685874225 41.8675077505093)"
p39,p34,"LINESTRING(-103.660685874225 41.8675077505093,-104.791986329959 38.8629624624115)"
p172,p181,"LINESTRING(-100.422226893188 25.9744104538249,-100.758610639159 22.7474689524954)"
p181,p172,"LINESTRING(-100.758610639159 22.7474689524954,-100.422226893188 25.9744104538249)"
p73,p82,"LINESTRING(-91.77041486 37.95128631,-89.6700411394687 40.6999821157391)"
p82,p73,"LINESTRING(-89.6700411394687 40.6999821157391,-91.77041486 37.95128631)"
p49,p50,"LINESTRING(-101.479501181834 36.6858085317387,-97.5206293727874 35.4719888060368)"
p50,p49,"LINESTRING(-97.5206293727874 35.4719888060368,-101.479501181834 36.6858085317387)"
p69,p76,"LINESTRING(-92.3427978940366 42.4931543162673,-88.4005062273542 44.2686790151675)"
p76,p69,"LINESTRING(-88.4005062273542 44.2686790151675,-92.3427978940366 42.4931543162673)"
p174,p180,"LINESTRING(-99.0146229506645 22.0562165828326,-102.49151960909 22.9111787137317)"
p180,p174,"LINESTRING(-102.49151960909 22.9111787137317,-99.0146229506645 22.0562165828326)"
p76,p81,"LINESTRING(-88.4005062273542 44.2686790151675,-90.5346136899278 41.4933962189324)"
p81,p76,"LINESTRING(-90.5346136899278 41.4933962189324,-88.4005062273542 44.2686790151675)"
p122,p133,"LINESTRING(-75.1719418320079 40.0019190225265,-71.4169255559512 41.8230481729244)"
p133,p122,"LINESTRING(-71.4169255559512 41.8230481729244,-75.1719418320079 40.0019190225265)"
p43,p78,"LINESTRING(-93.2537321966635 44.9819251260619,-89.4011169858218 43.0730155630143)"
p78,p43,"LINESTRING(-89.4011169858218 43.0730155630143,-93.2537321966635 44.9819251260619)"
p49,p53,"LINESTRING(-101.479501181834 36.6858085317387,-97.32803106 37.69426323)"
p53,p49,"LINESTRING(-97.32803106 37.69426323,-101.479501181834 36.6858085317387)"
p35,p36,"LINESTRING(-105.839984376838 46.4088842967516,-100.783316285997 46.8083172801516)"
p36,p35,"LINESTRING(-100.783316285997 46.8083172801516,-105.839984376838 46.4088842967516)"
p103,p80,"LINESTRING(-83.0820016464927 42.3319060017023,-87.7520008327093 41.8319365192784)"
p80,p103,"LINESTRING(-87.7520008327093 41.8319365192784,-83.0820016464927 42.3319060017023)"
p111,p117,"LINESTRING(-81.6969440699897 41.4719326537173,-81.6327281104652 38.3497379751048)"
p117,p111,"LINESTRING(-81.6327281104652 38.3497379751048,-81.6969440699897 41.4719326537173)"
p51,p54,"LINESTRING(-95.9300207944416 36.120003274575,-94.6060400775458 39.1090343683975)"
p54,p51,"LINESTRING(-94.6060400775458 39.1090343683975,-95.9300207944416 36.120003274575)"
p24,p32,"LINESTRING(-104.819710735883 41.1400069367046,-103.230557090044 44.080550963409)"
p32,p24,"LINESTRING(-103.230557090044 44.080550963409,-104.819710735883 41.1400069367046)"
p182,p190,"LINESTRING(-101.166961363025 20.4112138645946,-97.9507085120238 19.0699632855265)"
p190,p182,"LINESTRING(-97.9507085120238 19.0699632855265,-101.166961363025 20.4112138645946)"
p168,p65,"LINESTRING(-102.162149643101 28.3185786352348,-98.5092511989633 29.489279048526)"
p65,p168,"LINESTRING(-98.5092511989633 29.489279048526,-102.162149643101 28.3185786352348)"
p32,p36,"LINESTRING(-103.230557090044 44.080550963409,-100.783316285997 46.8083172801516)"
p36,p32,"LINESTRING(-100.783316285997 46.8083172801516,-103.230557090044 44.080550963409)"
p40,p54,"LINESTRING(-98.357986289243 40.9222682892426,-94.6060400775458 39.1090343683975)"
p54,p40,"LINESTRING(-94.6060400775458 39.1090343683975,-98.357986289243 40.9222682892426)"
p111,p120,"LINESTRING(-81.6969440699897 41.4719326537173,-77.64509082 39.93275473)"
p120,p111,"LINESTRING(-77.64509082 39.93275473,-81.6969440699897 41.4719326537173)"
p148,p150,"LINESTRING(-73.2941446698144 45.3946750256179,-69.3649287709957 47.3993452645939)"
p150,p148,"LINESTRING(-69.3649287709957 47.3993452645939,-73.2941446698144 45.3946750256179)"
p72,p93,"LINESTRING(-90.2419263698286 38.6369635781852,-86.4436489275417 36.9906994822608)"
p93,p72,"LINESTRING(-86.4436489275417 36.9906994822608,-90.2419263698286 38.6369635781852)"
p70,p78,"LINESTRING(-93.6199809181302 41.5799800812373,-89.4011169858218 43.0730155630143)"
p78,p70,"LINESTRING(-89.4011169858218 43.0730155630143,-93.6199809181302 41.5799800812373)"
p119,p132,"LINESTRING(-77.8602452002939 40.7937231639167,-73.2019070419611 41.1819245156953)"
p132,p119,"LINESTRING(-73.2019070419611 41.1819245156953,-77.8602452002939 40.7937231639167)"
p22,p39,"LINESTRING(-106.66107774 44.340041,-103.660685874225 41.8675077505093)"
p39,p22,"LINESTRING(-103.660685874225 41.8675077505093,-106.66107774 44.340041)"
p104,p82,"LINESTRING(-85.5871895769524 42.292158832868,-89.6700411394687 40.6999821157391)"
p82,p104,"LINESTRING(-89.6700411394687 40.6999821157391,-85.5871895769524 42.292158832868)"
p70,p77,"LINESTRING(-93.6199809181302 41.5799800812373,-90.5038920509303 43.9850529165334)"
p77,p70,"LINESTRING(-90.5038920509303 43.9850529165334,-93.6199809181302 41.5799800812373)"
p43,p76,"LINESTRING(-93.2537321966635 44.9819251260619,-88.4005062273542 44.2686790151675)"
p76,p43,"LINESTRING(-88.4005062273542 44.2686790151675,-93.2537321966635 44.9819251260619)"
p68,p78,"LINESTRING(-93.9991567400719 44.1636208283181,-89.4011169858218 43.0730155630143)"
p78,p68,"LINESTRING(-89.4011169858218 43.0730155630143,-93.9991567400719 44.1636208283181)"
p115,p118,"LINESTRING(-80.0019312526002 40.4319444538432,-79.9416168637136 37.2711991567412)"
p118,p115,"LINESTRING(-79.9416168637136 37.2711991567412,-80.0019312526002 40.4319444538432)"
p96,p98,"LINESTRING(-79.9921047380627 32.7923769317883,-78.6446934424845 35.8187813507458)"
p98,p96,"LINESTRING(-78.6446934424845 35.8187813507458,-79.9921047380627 32.7923769317883)"
p160,p205,"LINESTRING(-108.208882912979 25.7583536915336,-112.018510360231 25.9195724170294)"
p205,p160,"LINESTRING(-112.018510360231 25.9195724170294,-108.208882912979 25.7583536915336)"
p109,p72,"LINESTRING(-85.7506501246934 38.2269627643814,-90.2419263698286 38.6369635781852)"
p72,p109,"LINESTRING(-90.2419263698286 38.6369635781852,-85.7506501246934 38.2269627643814)"
p116,p123,"LINESTRING(-81.5616471778477 39.2666587514756,-77.0113644394371 38.901495235087)"
p123,p116,"LINESTRING(-77.0113644394371 38.901495235087,-81.5616471778477 39.2666587514756)"
p63,p67,"LINESTRING(-96.8419627874982 32.8219696816773,-95.341925149146 29.8219202431888)"
p67,p63,"LINESTRING(-95.341925149146 29.8219202431888,-96.8419627874982 32.8219696816773)"
p181,p188,"LINESTRING(-100.758610639159 22.7474689524954,-97.7701586082275 20.8348214371417)"
p188,p181,"LINESTRING(-97.7701586082275 20.8348214371417,-100.758610639159 22.7474689524954)"
p113,p80,"LINESTRING(-84.2019332871221 39.7523218545566,-87.7520008327093 41.8319365192784)"
p80,p113,"LINESTRING(-87.7520008327093 41.8319365192784,-84.2019332871221 39.7523218545566)"
p113,p93,"LINESTRING(-84.2019332871221 39.7523218545566,-86.4436489275417 36.9906994822608)"
p93,p113,"LINESTRING(-86.4436489275417 36.9906994822608,-84.2019332871221 39.7523218545566)"
p26,p33,"LINESTRING(-109.528002158428 40.4553975617018,-104.985961810968 39.7411339069655)"
p33,p26,"LINESTRING(-104.985961810968 39.7411339069655,-109.528002158428 40.4553975617018)"
p88,p93,"LINESTRING(-88.7033301205846 34.2579205515856,-86.4436489275417 36.9906994822608)"
p93,p88,"LINESTRING(-86.4436489275417 36.9906994822608,-88.7033301205846 34.2579205515856)"
p117,p120,"LINESTRING(-81.6327281104652 38.3497379751048,-77.64509082 39.93275473)"
p120,p117,"LINESTRING(-77.64509082 39.93275473,-81.6327281104652 38.3497379751048)"
p115,p146,"LINESTRING(-80.0019312526002 40.4319444538432,-80.6923455145141 43.5705988144701)"
p146,p115,"LINESTRING(-80.6923455145141 43.5705988144701,-80.0019312526002 40.4319444538432)"
p117,p97,"LINESTRING(-81.6327281104652 38.3497379751048,-80.8319839462883 35.206940384812)"
p97,p117,"LINESTRING(-80.8319839462883 35.206940384812,-81.6327281104652 38.3497379751048)"
p59,p62,"LINESTRING(-106.511941018331 31.7819298053712,-102.36722477396 31.8455613393366)"
p62,p59,"LINESTRING(-102.36722477396 31.8455613393366,-106.511941018331 31.7819298053712)"
p23,p24,"LINESTRING(-105.505250286667 44.2831742544253,-104.819710735883 41.1400069367046)"
p24,p23,"LINESTRING(-104.819710735883 41.1400069367046,-105.505250286667 44.2831742544253)"
p195,p196,"LINESTRING(-92.4621129264314 16.4440161634584,-95.9176463692649 16.4607926057633)"
p196,p195,"LINESTRING(-95.9176463692649 16.4607926057633,-92.4621129264314 16.4440161634584)"
p34,p49,"LINESTRING(-104.791986329959 38.8629624624115,-101.479501181834 36.6858085317387)"
p49,p34,"LINESTRING(-101.479501181834 36.6858085317387,-104.791986329959 38.8629624624115)"
p187,p192,"LINESTRING(-99.2695042895469 19.8452863755325,-96.731002823498 17.4607698278138)"
p192,p187,"LINESTRING(-96.731002823498 17.4607698278138,-99.2695042895469 19.8452863755325)"
p58,p66,"LINESTRING(-90.0419127386428 29.9969483193615,-94.101682781739 30.086263040176)"
p66,p58,"LINESTRING(-94.101682781739 30.086263040176,-90.0419127386428 29.9969483193615)"
p57,p64,"LINESTRING(-94.7402742937857 32.5005342804199,-97.7447242214212 30.2688955442973)"
p64,p57,"LINESTRING(-97.7447242214212 30.2688955442973,-94.7402742937857 32.5005342804199)"
p122,p99,"LINESTRING(-75.1719418320079 40.0019190225265,-75.9802645859174 36.8551601927613)"
p99,p122,"LINESTRING(-75.9802645859174 36.8551601927613,-75.1719418320079 40.0019190225265)"
p165,p168,"LINESTRING(-106.1153364555 28.0477762634166,-102.162149643101 28.3185786352348)"
p168,p165,"LINESTRING(-102.162149643101 28.3185786352348,-106.1153364555 28.0477762634166)"
p123,p128,"LINESTRING(-77.0113644394371 38.901495235087,-73.25742602 40.80816052)"
p128,p123,"LINESTRING(-73.25742602 40.80816052,-77.0113644394371 38.901495235087)"
p44,p70,"LINESTRING(-95.78703761 44.44491793,-93.6199809181302 41.5799800812373)"
p70,p44,"LINESTRING(-93.6199809181302 41.5799800812373,-95.78703761 44.44491793)"
p190,p193,"LINESTRING(-97.9507085120238 19.0699632855265,-94.634006603569 17.8586152701758)"
p193,p190,"LINESTRING(-94.634006603569 17.8586152701758,-97.9507085120238 19.0699632855265)"
p106,p116,"LINESTRING(-86.1719939153852 39.7519342813145,-81.5616471778477 39.2666587514756)"
p116,p106,"LINESTRING(-81.5616471778477 39.2666587514756,-86.1719939153852 39.7519342813145)"
p5,p6,"LINESTRING(-122.681935932133 45.521969681728,-122.874422650018 42.3266270132067)"
p6,p5,"LINESTRING(-122.874422650018 42.3266270132067,-122.681935932133 45.521969681728)"
p16,p20,"LINESTRING(-112.033301434154 43.4666866242138,-108.54000044944 45.7883020213584)"
p20,p16,"LINESTRING(-108.54000044944 45.7883020213584,-112.033301434154 43.4666866242138)"
p41,p68,"LINESTRING(-96.0099900734133 41.2400008331892,-93.9991567400719 44.1636208283181)"
p68,p41,"LINESTRING(-93.9991567400719 44.1636208283181,-96.0099900734133 41.2400008331892)"
p164,p30,"LINESTRING(-107.462318821811 30.3622434887791,-110.891932066526 32.2069426227557)"
p30,p164,"LINESTRING(-110.891932066526 32.2069426227557,-107.462318821811 30.3622434887791)"
p127,p147,"LINESTRING(-73.74907494 42.67295449,-77.2746449287163 44.9496898234213)"
p147,p127,"LINESTRING(-77.2746449287163 44.9496898234213,-73.74907494 42.67295449)"
p16,p7,"LINESTRING(-112.033301434154 43.4666866242138,-116.96188948756 44.0266266063123)"
p7,p16,"LINESTRING(-116.96188948756 44.0266266063123,-112.033301434154 43.4666866242138)"
p41,p44,"LINESTRING(-96.0099900734133 41.2400008331892,-95.78703761 44.44491793)"
p44,p41,"LINESTRING(-95.78703761 44.44491793,-96.0099900734133 41.2400008331892)"
p74,p77,"LINESTRING(-87.4065875668684 46.5467311798901,-90.5038920509303 43.9850529165334)"
p77,p74,"LINESTRING(-90.5038920509303 43.9850529165334,-87.4065875668684 46.5467311798901)"
p17,p4,"LINESTRING(-113.993052614175 46.8722410268966,-119.27649915 47.13184305)"
p4,p17,"LINESTRING(-119.27649915 47.13184305,-113.993052614175 46.8722410268966)"
p104,p114,"LINESTRING(-85.5871895769524 42.292158832868,-84.4588685084773 39.1638306436169)"
p114,p104,"LINESTRING(-84.4588685084773 39.1638306436169,-85.5871895769524 42.292158832868)"
p73,p85,"LINESTRING(-91.77041486 37.95128631,-92.3310931821225 34.7360825795826)"
p85,p73,"LINESTRING(-92.3310931821225 34.7360825795826,-91.77041486 37.95128631)"
p37,p68,"LINESTRING(-96.7894257016716 46.8772278026129,-93.9991567400719 44.1636208283181)"
p68,p37,"LINESTRING(-93.9991567400719 44.1636208283181,-96.7894257016716 46.8772278026129)"
p88,p94,"LINESTRING(-88.7033301205846 34.2579205515856,-84.4018952418757 33.8319597126059)"
p94,p88,"LINESTRING(-84.4018952418757 33.8319597126059,-88.7033301205846 34.2579205515856)"
p40,p70,"LINESTRING(-98.357986289243 40.9222682892426,-93.6199809181302 41.5799800812373)"
p70,p40,"LINESTRING(-93.6199809181302 41.5799800812373,-98.357986289243 40.9222682892426)"
p103,p116,"LINESTRING(-83.0820016464927 42.3319060017023,-81.5616471778477 39.2666587514756)"
p116,p103,"LINESTRING(-81.5616471778477 39.2666587514756,-83.0820016464927 42.3319060017023)"
p110,p98,"LINESTRING(-82.52436295 37.4804456,-78.6446934424845 35.8187813507458)"
p98,p110,"LINESTRING(-78.6446934424845 35.8187813507458,-82.52436295 37.4804456)"
p157,p204,"LINESTRING(-111.266519364596 29.9936882178759,-114.502433556963 32.0765762869995)"
p204,p157,"LINESTRING(-114.502433556963 32.0765762869995,-111.266519364596 29.9936882178759)"
p176,p184,"LINESTRING(-98.8880381360018 21.5196545172561,-101.743390938646 19.3606007858006)"
p184,p176,"LINESTRING(-101.743390938646 19.3606007858006,-98.8880381360018 21.5196545172561)"
p171,p181,"LINESTRING(-98.0474693796669 25.1324674394656,-100.758610639159 22.7474689524954)"
p181,p171,"LINESTRING(-100.758610639159 22.7474689524954,-98.0474693796669 25.1324674394656)"
p126,p131,"LINESTRING(-74.7433553483933 40.216962503107,-71.0719595321869 42.3319060017023)"
p131,p126,"LINESTRING(-71.0719595321869 42.3319060017023,-74.7433553483933 40.216962503107)"
p24,p26,"LINESTRING(-104.819710735883 41.1400069367046,-109.528002158428 40.4553975617018)"
p26,p24,"LINESTRING(-109.528002158428 40.4553975617018,-104.819710735883 41.1400069367046)"
p103,p79,"LINESTRING(-83.0820016464927 42.3319060017023,-87.921912942085 43.0546009073042)"
p79,p103,"LINESTRING(-87.921912942085 43.0546009073042,-83.0820016464927 42.3319060017023)"
p121,p128,"LINESTRING(-77.7202795834312 39.6416487824015,-73.25742602 40.80816052)"
p128,p121,"LINESTRING(-73.25742602 40.80816052,-77.7202795834312 39.6416487824015)"
p21,p25,"LINESTRING(-108.395048056861 43.0281604197849,-111.931997781048 40.7769621540401)"
p25,p21,"LINESTRING(-111.931997781048 40.7769621540401,-108.395048056861 43.0281604197849)"
p179,p181,"LINESTRING(-103.582753625878 20.501585150901,-100.758610639159 22.7474689524954)"
p181,p179,"LINESTRING(-100.758610639159 22.7474689524954,-103.582753625878 20.501585150901)"
p111,p121,"LINESTRING(-81.6969440699897 41.4719326537173,-77.7202795834312 39.6416487824015)"
p121,p111,"LINESTRING(-77.7202795834312 39.6416487824015,-81.6969440699897 41.4719326537173)"
p120,p132,"LINESTRING(-77.64509082 39.93275473,-73.2019070419611 41.1819245156953)"
p132,p120,"LINESTRING(-73.2019070419611 41.1819245156953,-77.64509082 39.93275473)"
p108,p110,"LINESTRING(-87.113323813612 37.7745792836963,-82.52436295 37.4804456)"
p110,p108,"LINESTRING(-82.52436295 37.4804456,-87.113323813612 37.7745792836963)"
p159,p164,"LINESTRING(-109.605571037534 27.5159989649668,-107.462318821811 30.3622434887791)"
p164,p159,"LINESTRING(-107.462318821811 30.3622434887791,-109.605571037534 27.5159989649668)"
p117,p123,"LINESTRING(-81.6327281104652 38.3497379751048,-77.0113644394371 38.901495235087)"
p123,p117,"LINESTRING(-77.0113644394371 38.901495235087,-81.6327281104652 38.3497379751048)"
p46,p82,"LINESTRING(-91.2394285499568 43.8013690379522,-89.6700411394687 40.6999821157391)"
p82,p46,"LINESTRING(-89.6700411394687 40.6999821157391,-91.2394285499568 43.8013690379522)"
p186,p191,"LINESTRING(-100.162614869147 21.018617447262,-99.4366141777358 17.5874581040656)"
p191,p186,"LINESTRING(-99.4366141777358 17.5874581040656,-100.162614869147 21.018617447262)"
p73,p83,"LINESTRING(-91.77041486 37.95128631,-88.2041874610773 40.1099922882629)"
p83,p73,"LINESTRING(-88.2041874610773 40.1099922882629,-91.77041486 37.95128631)"
p123,p98,"LINESTRING(-77.0113644394371 38.901495235087,-78.6446934424845 35.8187813507458)"
p98,p123,"LINESTRING(-78.6446934424845 35.8187813507458,-77.0113644394371 38.901495235087)"
p108,p73,"LINESTRING(-87.113323813612 37.7745792836963,-91.77041486 37.95128631)"
p73,p108,"LINESTRING(-91.77041486 37.95128631,-87.113323813612 37.7745792836963)"
p120,p99,"LINESTRING(-77.64509082 39.93275473,-75.9802645859174 36.8551601927613)"
p99,p120,"LINESTRING(-75.9802645859174 36.8551601927613,-77.64509082 39.93275473)"
p31,p59,"LINESTRING(-106.641330812388 35.104974791498,-106.511941018331 31.7819298053712)"
p59,p31,"LINESTRING(-106.511941018331 31.7819298053712,-106.641330812388 35.104974791498)"
p162,p179,"LINESTRING(-105.968131351165 23.196510250903,-103.582753625878 20.501585150901)"
p179,p162,"LINESTRING(-103.582753625878 20.501585150901,-105.968131351165 23.196510250903)"
p188,p192,"LINESTRING(-97.7701586082275 20.8348214371417,-96.731002823498 17.4607698278138)"
p192,p188,"LINESTRING(-96.731002823498 17.4607698278138,-97.7701586082275 20.8348214371417)"
p117,p98,"LINESTRING(-81.6327281104652 38.3497379751048,-78.6446934424845 35.8187813507458)"
p98,p117,"LINESTRING(-78.6446934424845 35.8187813507458,-81.6327281104652 38.3497379751048)"
p114,p115,"LINESTRING(-84.4588685084773 39.1638306436169,-80.0019312526002 40.4319444538432)"
p115,p114,"LINESTRING(-80.0019312526002 40.4319444538432,-84.4588685084773 39.1638306436169)"
p129,p132,"LINESTRING(-73.2124668799627 44.4757981557933,-73.2019070419611 41.1819245156953)"
p132,p129,"LINESTRING(-73.2019070419611 41.1819245156953,-73.2124668799627 44.4757981557933)"
p110,p92,"LINESTRING(-82.52436295 37.4804456,-86.76913977 36.1715035299999)"
p92,p110,"LINESTRING(-86.76913977 36.1715035299999,-82.52436295 37.4804456)"
p40,p53,"LINESTRING(-98.357986289243 40.9222682892426,-97.32803106 37.69426323)"
p53,p40,"LINESTRING(-97.32803106 37.69426323,-98.357986289243 40.9222682892426)"
p103,p114,"LINESTRING(-83.0820016464927 42.3319060017023,-84.4588685084773 39.1638306436169)"
p114,p103,"LINESTRING(-84.4588685084773 39.1638306436169,-83.0820016464927 42.3319060017023)"
p45,p77,"LINESTRING(-94.99698758 42.42384459,-90.5038920509303 43.9850529165334)"
p77,p45,"LINESTRING(-90.5038920509303 43.9850529165334,-94.99698758 42.42384459)"
p161,p178,"LINESTRING(-106.935479634913 24.3756966070532,-104.907286793293 21.4220858927954)"
p178,p161,"LINESTRING(-104.907286793293 21.4220858927954,-106.935479634913 24.3756966070532)"
p115,p122,"LINESTRING(-80.0019312526002 40.4319444538432,-75.1719418320079 40.0019190225265)"
p122,p115,"LINESTRING(-75.1719418320079 40.0019190225265,-80.0019312526002 40.4319444538432)"
p181,p184,"LINESTRING(-100.758610639159 22.7474689524954,-101.743390938646 19.3606007858006)"
p184,p181,"LINESTRING(-101.743390938646 19.3606007858006,-100.758610639159 22.7474689524954)"
p103,p106,"LINESTRING(-83.0820016464927 42.3319060017023,-86.1719939153852 39.7519342813145)"
p106,p103,"LINESTRING(-86.1719939153852 39.7519342813145,-83.0820016464927 42.3319060017023)"
p119,p127,"LINESTRING(-77.8602452002939 40.7937231639167,-73.74907494 42.67295449)"
p127,p119,"LINESTRING(-73.74907494 42.67295449,-77.8602452002939 40.7937231639167)"
p21,p39,"LINESTRING(-108.395048056861 43.0281604197849,-103.660685874225 41.8675077505093)"
p39,p21,"LINESTRING(-103.660685874225 41.8675077505093,-108.395048056861 43.0281604197849)"
p100,p111,"LINESTRING(-78.1666347673523 39.178731301931,-81.6969440699897 41.4719326537173)"
p111,p100,"LINESTRING(-81.6969440699897 41.4719326537173,-78.1666347673523 39.178731301931)"
p115,p125,"LINESTRING(-80.0019312526002 40.4319444538432,-75.52098513 39.16083229)"
p125,p115,"LINESTRING(-75.52098513 39.16083229,-80.0019312526002 40.4319444538432)"
p1,p137,"LINESTRING(-122.341930845868 47.5719479125307,-124.945876799657 50.5303245019429)"
p137,p1,"LINESTRING(-124.945876799657 50.5303245019429,-122.341930845868 47.5719479125307)"
p45,p54,"LINESTRING(-94.99698758 42.42384459,-94.6060400775458 39.1090343683975)"
p54,p45,"LINESTRING(-94.6060400775458 39.1090343683975,-94.99698758 42.42384459)"
p37,p38,"LINESTRING(-96.7894257016716 46.8772278026129,-96.729997804536 43.5499890330683)"
p38,p37,"LINESTRING(-96.729997804536 43.5499890330683,-96.7894257016716 46.8772278026129)"
p51,p63,"LINESTRING(-95.9300207944416 36.120003274575,-96.8419627874982 32.8219696816773)"
p63,p51,"LINESTRING(-96.8419627874982 32.8219696816773,-95.9300207944416 36.120003274575)"
p77,p82,"LINESTRING(-90.5038920509303 43.9850529165334,-89.6700411394687 40.6999821157391)"
p82,p77,"LINESTRING(-89.6700411394687 40.6999821157391,-90.5038920509303 43.9850529165334)"
p149,p150,"LINESTRING(-74.8472312312428 46.9925202219928,-69.3649287709957 47.3993452645939)"
p150,p149,"LINESTRING(-69.3649287709957 47.3993452645939,-74.8472312312428 46.9925202219928)"
p134,p150,"LINESTRING(-70.2152596452502 44.1007047720027,-69.3649287709957 47.3993452645939)"
p150,p134,"LINESTRING(-69.3649287709957 47.3993452645939,-70.2152596452502 44.1007047720027)"
p83,p93,"LINESTRING(-88.2041874610773 40.1099922882629,-86.4436489275417 36.9906994822608)"
p93,p83,"LINESTRING(-86.4436489275417 36.9906994822608,-88.2041874610773 40.1099922882629)"
p43,p75,"LINESTRING(-93.2537321966635 44.9819251260619,-88.0000138770922 44.5299808950513)"
p75,p43,"LINESTRING(-88.0000138770922 44.5299808950513,-93.2537321966635 44.9819251260619)"
p189,p194,"LINESTRING(-96.5548543289361 19.0725025885487,-93.0258267375822 17.9581365745392)"
p194,p189,"LINESTRING(-93.0258267375822 17.9581365745392,-96.5548543289361 19.0725025885487)"
p119,p146,"LINESTRING(-77.8602452002939 40.7937231639167,-80.6923455145141 43.5705988144701)"
p146,p119,"LINESTRING(-80.6923455145141 43.5705988144701,-77.8602452002939 40.7937231639167)"
p33,p52,"LINESTRING(-104.985961810968 39.7411339069655,-100.86408654967 37.9752130320694)"
p52,p33,"LINESTRING(-100.86408654967 37.9752130320694,-104.985961810968 39.7411339069655)"
p10,p204,"LINESTRING(-118.18192636994 33.9919241087654,-114.502433556963 32.0765762869995)"
p204,p10,"LINESTRING(-114.502433556963 32.0765762869995,-118.18192636994 33.9919241087654)"
p100,p98,"LINESTRING(-78.1666347673523 39.178731301931,-78.6446934424845 35.8187813507458)"
p98,p100,"LINESTRING(-78.6446934424845 35.8187813507458,-78.1666347673523 39.178731301931)"
p104,p81,"LINESTRING(-85.5871895769524 42.292158832868,-90.5346136899278 41.4933962189324)"
p81,p104,"LINESTRING(-90.5346136899278 41.4933962189324,-85.5871895769524 42.292158832868)"
p30,p59,"LINESTRING(-110.891932066526 32.2069426227557,-106.511941018331 31.7819298053712)"
p59,p30,"LINESTRING(-106.511941018331 31.7819298053712,-110.891932066526 32.2069426227557)"
p188,p191,"LINESTRING(-97.7701586082275 20.8348214371417,-99.4366141777358 17.5874581040656)"
p191,p188,"LINESTRING(-99.4366141777358 17.5874581040656,-97.7701586082275 20.8348214371417)"
p131,p148,"LINESTRING(-71.0719595321869 42.3319060017023,-73.2941446698144 45.3946750256179)"
p148,p131,"LINESTRING(-73.2941446698144 45.3946750256179,-71.0719595321869 42.3319060017023)"
p176,p180,"LINESTRING(-98.8880381360018 21.5196545172561,-102.49151960909 22.9111787137317)"
p180,p176,"LINESTRING(-102.49151960909 22.9111787137317,-98.8880381360018 21.5196545172561)"
p191,p196,"LINESTRING(-99.4366141777358 17.5874581040656,-95.9176463692649 16.4607926057633)"
p196,p191,"LINESTRING(-95.9176463692649 16.4607926057633,-99.4366141777358 17.5874581040656)"
p44,p77,"LINESTRING(-95.78703761 44.44491793,-90.5038920509303 43.9850529165334)"
p77,p44,"LINESTRING(-90.5038920509303 43.9850529165334,-95.78703761 44.44491793)"
p17,p7,"LINESTRING(-113.993052614175 46.8722410268966,-116.96188948756 44.0266266063123)"
p7,p17,"LINESTRING(-116.96188948756 44.0266266063123,-113.993052614175 46.8722410268966)"
p114,p92,"LINESTRING(-84.4588685084773 39.1638306436169,-86.76913977 36.1715035299999)"
p92,p114,"LINESTRING(-86.76913977 36.1715035299999,-84.4588685084773 39.1638306436169)"
p178,p184,"LINESTRING(-104.907286793293 21.4220858927954,-101.743390938646 19.3606007858006)"
p184,p178,"LINESTRING(-101.743390938646 19.3606007858006,-104.907286793293 21.4220858927954)"
p192,p194,"LINESTRING(-96.731002823498 17.4607698278138,-93.0258267375822 17.9581365745392)"
p194,p192,"LINESTRING(-93.0258267375822 17.9581365745392,-96.731002823498 17.4607698278138)"
p106,p110,"LINESTRING(-86.1719939153852 39.7519342813145,-82.52436295 37.4804456)"
p110,p106,"LINESTRING(-82.52436295 37.4804456,-86.1719939153852 39.7519342813145)"
p184,p190,"LINESTRING(-101.743390938646 19.3606007858006,-97.9507085120238 19.0699632855265)"
p190,p184,"LINESTRING(-97.9507085120238 19.0699632855265,-101.743390938646 19.3606007858006)"
p100,p112,"LINESTRING(-78.1666347673523 39.178731301931,-82.9919554632241 39.9819202432293)"
p112,p100,"LINESTRING(-82.9919554632241 39.9819202432293,-78.1666347673523 39.178731301931)"
p119,p124,"LINESTRING(-77.8602452002939 40.7937231639167,-75.74237466 37.71080118)"
p124,p119,"LINESTRING(-75.74237466 37.71080118,-77.8602452002939 40.7937231639167)"
p2,p7,"LINESTRING(-120.50683379 46.6160627800001,-116.96188948756 44.0266266063123)"
