r,i,rscbin,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p66,hydUND,bin1,0,0,0,0,4.05,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
p66,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
p68,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
p69,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076
p70,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
p71,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
p75,hydUND,bin4,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
p75,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344,0.1344
p76,hydUD,bin5,0.031,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062
p76,hydUND,bin2,0,0,0,0,0,0,0,0,0.31,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
p80,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
p80,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.23,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
p81,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
p85,hydUND,bin1,6.432,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864,12.864
p85,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26
p85,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54
p85,hydUND,bin4,0,0,0,0,0,0,1.6,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,4.82,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44
p85,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21
p89,hydUND,bin2,0,0,0,0,4.044,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088,8.088
p89,hydUND,bin3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p90,hydUD,bin1,0,0,0,0,0,0,0,0,6.75,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
p90,hydUD,bin4,3.645,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29
p90,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,3.28,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56
p90,hydUND,bin1,0,0,11.25,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
p90,hydUND,bin3,0,0,8.85,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
p90,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1
p90,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05
p92,hydUD,bin5,0,0,0,0,0,0,1.828,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656,3.656
p92,hydUND,bin1,0,0,4.156,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312,8.312
p92,hydUND,bin2,0,0,0,0,0,0,0,0,3.996,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992,7.992
p92,hydUND,bin5,0,0,0,0,1.12,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
p93,hydUND,bin2,5.2,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
p94,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,10,20,20,20,20,20,20,20,20,20,32,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
p94,hydUD,bin4,0,0,0,0,0,0,0,0,0,0,2.932,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864,5.864
p94,hydUND,bin1,0,0,0,0,5.62,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24
p94,hydUND,bin4,0,0,0,0,0,0,0,0,0.115,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
p94,hydUND,bin5,0,0,0,0,0,0,0.07135,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427,0.1427
p95,hydUD,bin5,0,0,0,0,0,0,0.04445,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889
p95,hydUND,bin1,7.88,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76,15.76
p95,hydUND,bin5,0,0,0,0,0,0,0.215,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.49,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.62,0.69,0.69,0.69,0.69,0.69
p96,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72
p97,hydUD,bin3,2.25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
p97,hydUND,bin5,0.0084,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.11695,0.2171,0.3321,0.4471,0.8084,1.1697,1.1697,1.1697,1.1697,1.1697,1.1697,1.1697,1.1697,1.1697,1.4397,1.7097,1.7097,1.7097,1.7097,1.7097
p98,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
p98,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.44,0.44,0.44
p98,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
p98,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442,0.0884,0.1484,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084,0.2084
p99,hydUND,bin1,0,0,0,0,0,0,0,0,0.225,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
p99,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
p99,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
p99,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
p99,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
p101,hydUND,bin1,0,0,0,0,0,0,0.61,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
p103,hydUD,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
p103,hydUND,bin5,0,0,0,0,0,0,0.0125,0.025,0.025,0.025,0.025,0.025,0.105,0.185,0.185,0.185,0.185,0.185,0.37175,0.5585,0.6385,0.7185,1.0925,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665,1.4665
p104,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
p107,hydUND,bin1,0,0,3.24,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
p108,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04515,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903,0.0903
p109,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
p112,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,3.51,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02
p112,hydUND,bin2,0,0,0,0,0,0,0,0,2.37,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74
p112,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
p112,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
p114,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
p115,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
p115,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.5,1.5,1.5,2.18,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
p115,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
p115,hydUND,bin5,0,0,0,0,0,0,0,0,0.26,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.58,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
p116,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,8,8,8,8,8,8,8
p116,hydUND,bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
p116,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
p118,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.14,0.24,0.252,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264
p122,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
p122,hydUND,bin5,0,0,0,0,0,0,0,0,0.00325,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.80055,1.5946,1.5946,1.5946,1.5946,1.5946,1.6021,1.6096,1.6096,1.6096,1.6096,1.6096,1.6096,1.6096,1.6096,1.6096
p126,hydUND,bin1,0,0,0,0,0,0,0.54,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
p127,hydUD,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.455,242.91,242.91,242.91,242.91,242.91,242.91,242.91,242.91,242.91
p127,hydUD,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92
p127,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,5.46,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66
p127,hydUND,bin2,0,0,0,0,0,0,0.82,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
p127,hydUND,bin3,0,0,0,0,0,0,0.45,0.9,1.55,2.2,3.355,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,5.08,5.65,5.65,5.65,6.34,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03
p127,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0.51875,1.0375,1.0375,1.0375,1.2675,1.4975,1.7475,1.9975,2.4675,2.9375,3.7625,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875,4.5875
p127,hydUND,bin5,0,0,0,0,0.07,0.14,0.4606,0.7812,1.53445,2.2877,2.82775,3.3678,4.03305,4.6983,4.6998,4.7013,4.7713,4.8413,5.7178,6.5943,7.36945,8.1446,8.82175,9.4989,9.70965,9.9204,10.1168,10.3132,10.3757,10.4382,10.4382,10.4382,10.4382,10.4382,10.4382,10.4382
p129,hydUD,bin2,0,0,0,0,0,0,0.44,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
p129,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
p129,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.55,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
p129,hydUND,bin5,0.09,0.18,0.18,0.18,0.18,0.18,0.29,0.4,0.461,0.522,0.545,0.568,0.568,0.568,0.568,0.568,0.603,0.638,0.8155,0.993,1.05095,1.1089,1.1989,1.2889,1.2889,1.2889,1.2889,1.2889,1.3189,1.3489,1.3489,1.3489,1.3489,1.3489,1.3489,1.3489
p130,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
p130,hydUND,bin4,0,0,0,0,0,0,0.23,0.46,0.995,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.7,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
p130,hydUND,bin5,0,0,0,0,0,0,0.37525,0.7505,0.9715,1.1925,1.3275,1.4625,1.563,1.6635,1.6635,1.6635,2.0277,2.3919,2.7145,3.0371,3.279125,3.52115,3.52615,3.53115,3.54285,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455,3.55455
p131,hydUD,bin1,0,0,0,0,0,0,0,0,0.875,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
p131,hydUD,bin2,0,0,0,0,0.56,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
p131,hydUND,bin3,0,0,0,0,0,0,0,0,1.145,2.29,2.29,2.29,3.03,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77
p131,hydUND,bin4,0,0,0.16,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
p131,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0.01785,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.09645,0.1572,0.3522,0.5472,0.5472,0.5472,0.5847,0.6222,0.6222,0.6222,0.6222,0.6222,0.6818,0.7414,0.7414,0.7414,0.75085,0.7603
p132,hydUND,bin1,0,0,0,0,0,0,0,0,0,0,0.43,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
p132,hydUND,bin3,0,0,0,0,0,0,0.139,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.528,0.778,0.938,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098,1.098
p132,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
p132,hydUND,bin5,0,0,0.07,0.14,0.14,0.14,0.14,0.14,0.16,0.18,0.257,0.334,0.334,0.334,0.334,0.334,0.33587,0.33774,0.33774,0.33774,0.33774,0.33774,0.33774,0.33774,0.35679,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584,0.37584
p133,hydUND,bin1,0,0,0,0,0.08,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
p133,hydUND,bin2,0,0,0,0,0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
p133,hydUND,bin3,0,0,0,0,0,0,0.035,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
p133,hydUND,bin4,0,0,0,0,0,0,0.0239,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478,0.0478
